Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
23771716,Poisson aux 7 Couleurs,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Poisson/Normal],,,,,Niveau 4,1800,800,,,,Aucun mortel n'a jamais réussi à capturer ce poisson arc-en-ciel très rare.,,,,,
57617178,Oiseau Supersonique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Bête Ailée/Effet],,,,,Niveau 4,1400,1000,,,,Lorsque cette carte est Invoquée Normalement ou par Flip : vous pouvez ajouter 1 Magie Rituelle depuis votre Deck à votre main.,Ritual Spell Card,,Activates upon Normal Summon/Activates upon Flip Summon/Adds from Deck to hand,Trigger,
77585513,Jinzo,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Machine/Effect],,,,,6,2400,1500,,,,"Trap Cards, and their effects on the field, cannot be activated. Negate all Trap effects on the field.",,,,Continuous,
14644902,Invocateur des Illusions,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Flip／Effet],,,,,Niveau 3,800,900,,,,"FLIP : Sacrifiez 1 autre monstre, et si vous le faites, Invoquez Spécialement 1 Monstre de Fusion depuis votre Extra Deck, mais détruisez-le durant la End Phase de ce tour.",Fusion Monster,,Tributes as an effect,Flip,
64752646,Princesse du Feu,Unlimited(OCG)/Unlimited(TCG),FEU,[Pyro/Effet],,,,,Niveau 4,1300,1500,,,,"Chaque fois que vous gagnez des Life Points, infligez 500 points de dommages à votre adversaire.",,,Activates if you gain LP,Continuous,
81843628,Vers Aiguillon,Unlimited(OCG)/Unlimited(TCG),TERRE,[Insecte/Flip／Effet],,,,,Niveau 2,750,600,,,,FLIP : Envoyez les 5 cartes du dessus du Deck de votre adversaire au Cimetière.,,,Sends from your opponent's Deck to your opponent's Graveyard,Flip,
14261867,Scorpion aux 8 Pinces,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Insecte/Effet],,,,,Niveau 2,300,200,,,,"Une fois par tour, vous pouvez retourner cette carte en Position de Défense face verso. Lorsque cette carte attaque un monstre adverse en Position de Défense face verso, l'ATK de cette carte devient 2400 durant le calcul des dommages uniquement.",,,Flips itself face-down/Changes battle positions,Ignition/Trigger,
15383415,Nuée de Scarabées,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Insecte/Effet],,,,,Niveau 3,500,1000,,,,Une fois par tour : vous pouvez changer cette carte en Position de Défense face verso. Si cette carte est Invoquée par Flip : ciblez 1 monstre contrôlé par votre adversaire ; détruisez la cible.,,,Flips itself face-down/Changes battle positions/Activates upon Flip Summon,Ignition/Trigger,
41872150,Nuée de Sauterelles,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Insecte/Effet],,,,,Niveau 3,1000,500,,,,Une fois par tour : vous pouvez changer cette carte en Position de Défense face verso. Si cette carte est Invoquée par Flip : ciblez 1 Magie/Piège contrôlé par votre adversaire ; détruisez la cible.,,,Flips itself face-down/Changes battle positions/Activates upon Flip Summon,Ignition/Trigger,
02326738,Des Lacooda,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)/[[]] (UpcomingTCGSpeed Duel),EARTH,[Zombie/Effect],,,,,3,500,600,,,,Once per turn: You can change this card to face-down Defense Position. If this card is Flip Summoned: Draw 1 card.,,,Flips itself face-down/Changes battle positions/Activates upon Flip Summon/You draw cards,Ignition/Trigger,
04335645,Newdoria,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Effect],,,,,4,1200,800,,,,If this card is destroyed by battle and sent to the GY: Target 1 monster on the field; destroy that target.,,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
76922029,Don Zaloog,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Warrior/Effect],,,,,4,1400,1500,,,,When this card inflicts battle damage to your opponent: You can activate 1 of these effects;●Discard 1 random card from their hand.●Send the top 2 cards of their Deck to the GY.,,,Activates when it inflicts battle damage/Sends from your opponent's Deck to your opponent's Graveyard/Your opponent discards,Trigger,
45141844,Vieux Magicien Vindicatif,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Flip／Effet],,,,,Niveau 2,450,600,,,,FLIP : Ciblez 1 monstre contrôlé par votre adversaire ; détruisez la cible.,,,,Flip,
71413901,"Fracas, le Guerrier Magique",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1600,1000,,,,"Si cette carte est Invoquée Normalement : placez 1 Compteur Magie sur elle (max. 1). Gagne 300 ATK pour chaque Compteur Magie sur elle. Vous pouvez retirer 1 Compteur Magie de cette carte, puis ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.",,,Activates upon Normal Summon,Trigger/Continuous/Ignition,
07572887,Dame Guerrière D.D.,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1500,1600,,,,"Après le calcul des dommages, lorsque cette carte combat un monstre de l'adversaire : vous pouvez bannir le monstre, et aussi, bannissez cette carte.",,,,Trigger,
40737112,Magicien Sombre du Chaos,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 8,2800,2600,,,,"Durant la End Phase, si cette carte a été Invoquée Normalement ou Spécialement ce tour : vous pouvez cibler 1 Magie dans votre Cimetière ; ajoutez-la à votre main. Vous ne pouvez utiliser cet effet de ""Magicien Sombre du Chaos"" qu'une fois par tour. Si cette carte détruit un monstre de l'adversaire au combat, après le calcul des dommages : bannissez le monstre de l'adversaire. Si cette carte face recto va quitter le Terrain, bannissez-la à la place.",Spell Card,,Adds from Graveyard to hand/Activates when it destroys a monster by battle,Trigger/Condition/Unclassified,
03510565,Oiseau Furtif,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 3,700,1700,,,,Une fois par tour : vous pouvez changer cette carte en Position de Défense face verso. Lorsque cette carte est Invoquée par Flip : infligez 1000 points de dommages à votre adversaire.,,,Changes battle positions/Flips itself face-down/Activates upon Flip Summon,Ignition/Trigger,
81306586,Pingouin de Cauchemar,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Aqua/Effet],,,,,Niveau 4,900,1800,,,,Tous les monstres EAU face recto que vous contrôlez gagnent 200 ATK. Lorsque cette carte est retournée face recto : ciblez 1 carte contrôlée par votre adversaire ; renvoyez la cible à la main.,WATER,,Returns from your opponent's field to your opponent's hand,Continuous/Trigger,
70095154,Cyber Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Machine/Effect],,,,,5,2100,1600,,,,"If only your opponent controls a monster, you can Special Summon this card (from your hand).",,,,Unclassified,
32619583,"Sillva, Seigneur de Guerre du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 5,2300,1400,,,,"Si cette carte est défaussée au Cimetière par un effet de carte : Invoquez Spécialement cette carte, puis, si elle a été défaussée depuis votre main à votre Cimetière par un effet de carte de l'adversaire, votre adversaire place exactement 2 cartes depuis sa main au-dessous de son Deck, dans l'ordre de son choix.",,,Activates from your Graveyard/Returns from your opponent's hand to your opponent's Deck,Trigger,
78004197,"Goldd, Wu-Lord du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 5,2300,1400,,,,"Si cette carte est défaussée au Cimetière par un effet de carte : si elle a été défaussée depuis votre main à votre Cimetière par un effet de carte de l'adversaire, vous pouvez cibler max. 2 cartes contrôlées par votre adversaire ; Invoquez Spécialement cette carte, puis détruisez les cibles (s'il y en a).",,,Activates from your Graveyard,Trigger,
83039729,Grand Maître des Six Samouraïs,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 5,2100,800,,,,"Vous ne pouvez contrôler qu'1 ""Grand Maître des Six Samouraïs"". Si vous contrôlez un monstre ""Six Samouraïs"", vous pouvez Invoquer Spécialement cette carte (depuis votre main). Si cette carte en votre possession est détruite par un effet de carte de l'adversaire : ciblez 1 monstre ""Six Samouraïs"" dans votre Cimetière ; ajoutez la cible à votre main.",Supports archetypes /Six Samurai,,Activates from your hand/Activates if destroyed by card effect/Returns from your Graveyard to your hand,Unclassified/Trigger,
82213171,"Prométhée, Roi des Ombres",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1200,800,,,,"Si cette carte est Invoquée Normalement : bannissez min. 1 monstre TÉNÈBRES depuis votre Cimetière, et si vous le faites, cette carte gagne 400 ATK pour chacun d'eux jusqu'à la fin de ce tour.",DARK,,Activates upon Normal Summon,Trigger,
