Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
44287299,Masaki le Spadassin Légendaire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Normal],,,,,Niveau 4,1100,1100,,,,"Masaki, maître légendaire de l'épée, a survécu à plus de 100 batailles.",,,,,
74677422,Dragon Noir aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Normal],,,,,Niveau 7,2400,2000,,,,Dragon féroce à l'attaque meurtrière.,,,,,
48305365,Axe Raider,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Warrior/Normal],,,,,4,1700,1150,,,,An axe-wielding monster of tremendous strength and agility.,,,,,
14977074,Garoozis,Unlimited(OCG)/Unlimited(TCG),FIRE,[Beast-Warrior/Normal],,,,,5,1800,1500,,,,An axe-swinging beast-warrior with the head of a dragon.,,,,,
03573512,Le Spadassin de Landstar,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Normal],,,,,Niveau 3,500,1200,,,,"Loin d'être brillant à l'épée, ce guerrier féerique compte surtout sur ses mystérieux pouvoirs.",,,,,
48766543,Alligator Cybertech,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Normal],,,,,Niveau 5,2500,1600,,,,"Un redoutable dragon a férocement attaqué ce ptérodactyle. Mais à l'aide d'une technologie avancée, son maître l'a sauvé de ses blessures mortelles et l'a ramené à la vie sous la forme d'un puissant cyborg.(Cette carte n'est pas traitée comme une carte ""Cyber"".)",,,,,
64428736,Glaive de l'Alligator,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Normal],,,,,Niveau 4,1500,1200,,,,Ce puissant lézard peut faire virevolter son glaive à une vitesse dépassant celle du son !,,,,,
53832650,Meotoko,Unlimited(OCG)/Unlimited(TCG),EARTH,[Beast/Normal],,,,,2,700,600,,,,Dis big ol' guy wit' a big ol' eye shoots a nasty ray beam right atcha!,,,,,
80600490,Kageningen,Unlimited(OCG)/Unlimited(TCG),DARK,[Warrior/Normal],,,,,2,800,600,,,,He yoozes both a physical and a shadow form ta attack. So he's a tough monstah ta beat!,,,,,
49417509,Loup,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Normal],,,,,Niveau 3,1200,800,,,,Espèce de loup rare capable de sentir l'odeur la plus subtile d'un ennemi !,,,,,
89987208,Héros de l'Est,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Normal],,,,,Niveau 3,1100,1000,,,,Puissant samouraï de l'Extrême-Orient muni d'une épée.,,,,,
40453765,Garde des Marais,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 5,1800,1500,,,,"(Cette carte est toujours traitée comme une carte ""des Gardes"".)Gagne 500 ATK pour chaque ""Garde des Laves"" que vous contrôlez.",Lava Battleguard,,,Continuous,
77585513,Jinzo,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Machine/Effect],,,,,6,2400,1500,,,,"Trap Cards, and their effects on the field, cannot be activated. Negate all Trap effects on the field.",,,,Continuous,
03643300,Le Pêcheur Légendaire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Guerrier/Effet],,,,,Niveau 5,1850,1600,,,,"Tant que ""Umi"" est sur le Terrain, cette carte n'est pas affectée par les effets de Magie et ne peut pas être ciblée par des attaques, mais elle n'empêche pas votre adversaire de vous attaquer directement.",Umi,,,Continuous,
79870141,Bête Folle à l'Épée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Dinosaure/Effet],,,,,Niveau 4,1400,1200,,,,"Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants.",,,,Continuous,
