Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
36211150,Bitron,Unlimited(OCG)/Unlimited(TCG),EARTH,[Cyberse/Normal],,,,,2,200,2000,,,,A new species found in electronic space. There's not much information on it.,,,,,
62706865,Draconnet,Unlimited(OCG)/Unlimited(TCG),DARK,[Cyberse/Effect],,,,,3,1400,1200,,,,When this card is Normal Summoned: You can Special Summon 1 Level 2 or lower Normal Monster from your hand or Deck in Defense Position.,Normal Monster,,Activates upon Normal Summon,Trigger,
18108166,Dragon Carapace Mystère,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Wyrm/Normal],,,,,Niveau 4,2000,0,,,,Mystérieuse matière vivante qui est apparue soudainement d'une autre dimension. Son attaque paralyse les nerfs de la cible provoquant des hallucinations intenses.,,,,,
70095154,Cyber Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Machine/Effect],,,,,5,2100,1600,,,,"If only your opponent controls a monster, you can Special Summon this card (from your hand).",,,,Unclassified,
65367484,Lanceur Photon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,2100,0,,,,Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) tant que vous ne contrôlez aucun monstre. Ne peut pas attaquer si vous contrôlez un autre monstre.,,,,Summon/Continuous,
63749102,Univers Éxarion,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête-Guerrier/Effet],,,,,Niveau 4,1800,1900,,,,"Durant votre Battle Step, si cette carte attaque un monstre en Position de Défense : vous pouvez faire perdre exactement 400 ATK à cette carte, et si elle le fait, elle infligera des dommages de combat perçants. Ces effets durent jusqu'à la fin de ce tour.",,,,Trigger,
08814959,Mandragora Colonie du Mal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Plante/Effet],,,,,Niveau 4,1550,1450,,,,"Si votre adversaire contrôle plus de monstres que vous, vous pouvez Invoquer Spécialement cette carte (depuis votre main).",,,,Unclassified,
26202165,Sangan,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Effect],,,,,3,1000,600,,,,"If this card is sent from the field to the GY: Add 1 monster with 1500 or less ATK from your Deck to your hand, but you cannot activate cards, or the effects of cards, with that name for the rest of this turn. You can only use this effect of ""Sangan"" once per turn.",,,Activates from your Graveyard/Adds from Deck to hand,Trigger/Condition,
16404809,Kuribandit,Unlimited(OCG)/Unlimited(TCG),DARK,[Fiend/Effect],,,,,3,1000,700,,,,"During the End Phase, if this card was Normal Summoned this turn: You can Tribute this card; excavate the top 5 cards of your Deck, you can add 1 excavated Spell/Trap to your hand, also send the remaining cards to the GY.",,,Tributes itself for cost/Excavates from the player's Deck/Adds excavated cards to the hand/Adds from Deck to hand/Sends excavated cards to the Graveyard/Sends from the top of your Deck to your Graveyard,Trigger,
31305911,Marshmallon,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Fairy/Effect],,,,,3,300,500,,,,"Cannot be destroyed by battle. After damage calculation, if this card was attacked, and was face-down at the start of the Damage Step: The attacking player takes 1000 damage.",,,,Continuous/Trigger,
