Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
74093656,Guerrier Syntoniseur,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Syntoniseur／Normal],,,,,Niveau 3,1600,200,,,,"Les antennes de ce guerrier peuvent s'adapter à toutes les fréquences d'énergie. Elles peuvent également capter les communications à longue distance, mais la réception est de mauvaise qualité.",,,,,
48305365,Axe Raider,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Warrior/Normal],,,,,4,1700,1150,,,,An axe-wielding monster of tremendous strength and agility.,,,,,
13179332,Charbon d'Inpachi,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Pyro/Normal],,,,,Niveau 1,100,2100,,,,"Incarnation d'un arbre géant qui a brûlé intégralement, tout barbecue réalisé avec ce charbon est si superbe qu'on le croirait précieux.",,,,,
35322812,Inpachi Technobois,Unlimited(OCG)/Unlimited(TCG),FEU,[Machine/Normal],,,,,Niveau 5,500,2500,,,,"Un nouvel avatar de l'énigmatique Inpachi, redessiné par une des plus récentes technologies du Monde des Ténèbres. La manœuvrabilité a été sacrifiée au profit d'une armure plus résistante, considérée comme vitale.",,,,,
36472900,Bip Bip,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête Ailée/Effet],,,,,Niveau 1,300,300,,,,Non destructible au combat avec un monstre qui a min. 1900 ATK.,,,,Continuous,
09365703,Guerrier de Célérité,Unlimited(OCG)/Unlimited(TCG),VENT,[Guerrier/Effet],,,,,Niveau 2,900,400,,,,"Une fois par Battle Phase, si cette carte a été Invoquée Normalement ce tour (sauf durant la Damage Step) : jusqu'à la fin de la Battle Phase, vous pouvez faire devenir son ATK le double de son ATK d'origine.",,,Activates during the turn in which it was Normal Summoned,Trigger,
26376390,Copiechat,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Magicien/Effet],,,,,Niveau 1,0,0,,,,Si cette carte est Invoquée : ciblez 1 monstre face recto contrôlé par votre adversaire ; l'ATK/DEF de cette carte deviennent égales à l'ATK/DEF d'origine du monstre.,,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon,Trigger,
60806437,Tortue OVNI,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Machine/Effet],,,,,Niveau 4,1400,1200,,,,Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre FEU avec max. 1500 ATK depuis votre Deck en Position d'Attaque.,FIRE,,Activates from your Graveyard,Trigger,
83011277,Tomate Mystique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Plante/Effet],,,,,Niveau 4,1400,1100,,,,Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre TÉNÈBRES avec max. 1500 ATK depuis votre Deck en Position d'Attaque face recto.,DARK,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
74131780,La Troupe Exilée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1000,1000,,,,"Vous pouvez Sacrifier cette carte, puis ciblez 1 monstre sur le Terrain ; détruisez la cible.",,,Tributes itself for cost,Ignition,
98143165,Turbo Synchro,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Le monstre équipé gagne 500 points d'ATK et son Niveau augmente de 1.,,,,Continuous-like,
35537860,Vague Mentale Fréquentielle,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Si vous contrôlez un Monstre Synchro : ciblez 1 monstre contrôlé par votre adversaire ; détruisez la cible.,Synchro Monster,,,Activation requirement/Effect,
61032879,Royaume Psychique,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Chaque fois que vous Invoquez par Synchronisation un Monstre Synchro : infligez 500 points de dommages à votre adversaire.,Synchro Monster,,,Trigger-like,
95281259,Le Guerrier Réincarné,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 monstre Guerrier dans votre Cimetière ; ajoutez la cible à votre main.,Warrior,,Adds from Graveyard to hand,Effect,
97169186,Destruction Terrestre,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Détruisez le monstre face recto contrôlé par votre adversaire avec la plus haute DEF (en cas d'égalité, vous choisissez).",,,,Effect,
70046172,Charge Intrépide,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre face recto sur le Terrain ; jusqu'à la fin de ce tour, il gagne 700 ATK.",,,,Effect,
74848038,Réincarnation de Monstre,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Défaussez 1 carte, puis ciblez 1 monstre dans votre Cimetière ; ajoutez-le à votre main.",,,Adds from Graveyard to hand/Discards for cost,Cost/Effect,
43422537,Double Invocation,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ce tour, vous pouvez mener 2 Invocations/Poses Normales, pas uniquement 1.",,,,Effect,
78794994,Symboles du Devoir,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Envoyez 1 Monstre Normal que vous contrôlez au Cimetière, puis ciblez 1 monstre dans l'un des Cimetières ; Invoquez-le Spécialement, et si vous le faites, équipez-lui cette carte. Lorsque cette carte quitte le Terrain, détruisez le monstre équipé.",Normal Monster,,Sends from field to Graveyard for cost/Equips self from field,Cost/Effect/Continuous-like,
36361633,Rugissement Menaçant,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Votre adversaire ne peut pas déclarer d'attaque ce tour.,,,,Effect,
98427577,Épouvantail de Ferraille,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Lorsqu'un monstre de l'adversaire déclare une attaque : ciblez le monstre attaquant ; annulez l'attaque, et aussi, après ça, Posez cette carte face verso au lieu de l'envoyer au Cimetière.",,,Activates upon attack declaration/Flips itself face-down,Activation requirement/Effect,
18807108,Cercle Envoûtant,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Activez cette carte en ciblant 1 monstre contrôlé par votre adversaire ; il ne peut ni attaquer ni changer sa position de combat. Lorsque le monstre est détruit, détruisez cette carte.",,,Prevents Battle Position changes,Continuous-like,
04206964,Trappe,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Lorsque votre adversaire Invoque Normalement ou par Flip un monstre avec min. 1000 ATK : ciblez le monstre ; détruisez la cible.,,,,Activation requirement/Effect,
03819470,Sept Outils du Bandit,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'une Carte Piège est activée : payez 1000 LP ; annulez l'activation, et si vous le faites, détruisez-la.",,,,Activation requirement/Cost/Effect,
35539880,Droit d'Aînesse,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Activez cette carte en ciblant 1 Monstre Normal dans votre Cimetière ; Invoquez Spécialement la cible en Position d'Attaque. Lorsque cette carte quitte le Terrain, détruisez le monstre. Lorsque le monstre quitte le Terrain, détruisez cette carte.",Normal Monster,,,Effect/Continuous-like,
60800381,Robot Guerrier,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Synchro／Effet],,,,,Niveau 5,2300,1300,,Robot Synchronique + 1+ monstre non-Syntoniseur,,Si cette carte est Invoquée par Synchronisation : elle gagne une ATK égale à la somme des ATK de tous les monstres de max. Niveau 2 que vous contrôlez actuellement.,,,Activates upon Synchro Summon,Trigger,
97204936,"Chevalier Gaia, Force de la Terre",Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Synchro],,,,,Niveau 6,2600,800,,,,1 Syntoniseur + 1 monstre non-Syntoniseur ou plus,,,,,
23693634,Guerrier Colossal,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Synchro／Effet],,,,,Niveau 8,2800,1000,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"(Cette carte n'est pas traitée comme carte ""Guerrier"".)Gagne 100 ATK pour chaque monstre Guerrier dans les Cimetières. Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez cibler 1 monstre Guerrier dans l'un des Cimetières ; Invoquez Spécialement la cible.",Warrior,Warrior,Activates from your Graveyard,Continuous/Trigger,
