Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
48766543,Alligator Cybertech,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Normal],,,,,Niveau 5,2500,1600,,,,"Un redoutable dragon a férocement attaqué ce ptérodactyle. Mais à l'aide d'une technologie avancée, son maître l'a sauvé de ses blessures mortelles et l'a ramené à la vie sous la forme d'un puissant cyborg.(Cette carte n'est pas traitée comme une carte ""Cyber"".)",,,,,
69140098,Gemini Elf,Unlimited(OCG)/Unlimited(TCG),EARTH,[Spellcaster/Normal],,,,,4,1900,900,,,,Elf twins that alternate their attacks.,,,,,
84696266,Canard Supersonique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Bête Ailée/Normal],,,,,Niveau 3,1700,700,,,,Un canard qui peut se déplacer à des vitesses transsoniques. Il lui arrive de se tromper dans ses foulées et de perdre le contrôle.,,,,,
28933734,Masque des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Flip／Effet],,,,,Niveau 2,900,400,,,,FLIP : Ciblez 1 Piège dans votre Cimetière ; ajoutez la cible à votre main.,,,Activates upon being flipped face-up/Adds from Graveyard to hand,Flip,
74131780,La Troupe Exilée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1000,1000,,,,"Vous pouvez Sacrifier cette carte, puis ciblez 1 monstre sur le Terrain ; détruisez la cible.",,,Tributes itself for cost,Ignition,
90790253,Petit Guerrier Ailé,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Guerrier/Effet],,,,,Niveau 4,1400,1800,,,,"Une fois par tour, durant votre End Phase : vous pouvez changer la position de combat de cette carte.",,,Changes battle positions,Trigger,
22609617,Mataza le Zappeur,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 3,1300,800,,,,"Durant chaque Battle Phase, cette carte peut attaquer une seconde fois. Le contrôle de cette carte face recto sur le Terrain ne peut pas être échangé.",,,Cannot change control,Continuous,
16956455,Chiron le Mage,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête-Guerrier/Effet],,,,,Niveau 4,1800,1000,,,,"Une fois par tour : vous pouvez défausser 1 Magie, puis ciblez 1 Magie/Piège contrôlé par votre adversaire ; détruisez la cible.",,,Discards for cost,Ignition,
86188410,"Cœur Farouche, HÉROS Élémentaire",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1500,1600,,,,Non affectée par des effets de Piège.,,,,Continuous,
96428622,Cyclopéen Cybernétique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête-Guerrier/Effet],,,,,Niveau 4,1400,200,,,,"Tant que vous n'avez pas de carte dans votre main, augmentez l'ATK de cette carte de 1000 points.",,,,Continuous,
70046172,Charge Intrépide,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre face recto sur le Terrain ; jusqu'à la fin de ce tour, il gagne 700 ATK.",,,,Effect,
19613556,Violent Orage,Limited(OCG)/Forbidden(TCG),MAGIE,,,,,,,,,,,,Détruisez toutes les Cartes Magie/Piège sur le Terrain.,,,,Effect,
