Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
48094997,Footballeur de Combat,Unlimited(OCG)/Unlimited(TCG),FEU,[Machine/Normal],,,,,Niveau 4,1000,2100,,,,"Cyborg doté d'un fort potentiel défensif, c'était à l'origine un robot footballeur.",,,,,
74093656,Guerrier Syntoniseur,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Syntoniseur／Normal],,,,,Niveau 3,1600,200,,,,"Les antennes de ce guerrier peuvent s'adapter à toutes les fréquences d'énergie. Elles peuvent également capter les communications à longue distance, mais la réception est de mauvaise qualité.",,,,,
00255998,Guerrier d'Intervention,Unlimited(OCG)/Unlimited(TCG),VENT,[Guerrier/Effet],,,,,Niveau 4,1200,200,,,,"Durant votre Main Phase 1, vous pouvez activer l'effet de cette carte. Si vous le faites, elle peut attaquer directement votre adversaire ce tour. Les autres monstres ne peuvent pas attaquer durant le tour où vous activez cet effet.",,,,Ignition,
36643046,Explorateur Synchronique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 2,0,700,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre ""Synchronique"" dans votre Cimetière ; Invoquez Spécialement la cible, mais annulez ses effets.",Supports archetypes /Synchron,,Activates upon Normal Summon,Trigger,
54652250,Insecte Mangeur d'Hommes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Insecte/Flip／Effet],,,,,Niveau 2,450,600,,,,FLIP : Ciblez 1 monstre sur le Terrain ; détruisez-le.,,,,Flip,
77252217,Insecte Tronçonneuse,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Insecte/Effet],,,,,Niveau 4,2400,0,,,,"Si cette carte a combattu, à la fin de la Damage Step : votre adversaire pioche 1 carte.",,,Your opponent draws cards,Trigger,
88650530,Ver - Apocalypse,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Reptile/Flip／Effet],,,,,Niveau 1,300,200,,,,FLIP : Ciblez 1 Carte Magie/Piège sur le Terrain ; détruisez la cible.,,,Activates upon being flipped face-up,Flip,
09365703,Guerrier de Célérité,Unlimited(OCG)/Unlimited(TCG),VENT,[Guerrier/Effet],,,,,Niveau 2,900,400,,,,"Une fois par Battle Phase, si cette carte a été Invoquée Normalement ce tour (sauf durant la Damage Step) : jusqu'à la fin de la Battle Phase, vous pouvez faire devenir son ATK le double de son ATK d'origine.",,,Activates during the turn in which it was Normal Summoned,Trigger,
66288028,Guerrier Forteresse,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 2,600,1200,,,,"Vous ne recevez aucun dommage de combat d'attaques impliquant cette carte. Une fois par tour, cette carte ne peut pas être détruite au combat.",,,,Continuous,
88559132,Guerrier Tourelle,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 5,1200,2000,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Sacrifiant 1 monstre de Type Guerrier, et si vous le faites, elle gagne une ATK égale à l'ATK d'origine du monstre Sacrifié.",Warrior,,Activates from your hand/Tributes for cost,Summon,
73048641,À Moitié Fermé,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre face recto sur le Terrain ; il ne peut pas être détruit au combat ce tour, et aussi, son ATK est divisée par deux jusqu'à la fin de ce tour.",,,,Effect,
72892473,Destruction de Carte,Limited(OCG)/Limited(TCG),MAGIE,,,,,,,,,,,,"Chaque joueur défausse autant de cartes que possible depuis sa main, puis chaque joueur pioche le même nombre de cartes qu'il a défaussées.",,,You discard/Your opponent discards/You draw cards/Your opponent draws cards/Discards for effect,Effect,
32807846,Renfort de l'Armée,Limited(OCG)/Limited(TCG)/Limited 2(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ajoutez 1 monstre Guerrier de max. Niveau 4 depuis votre Deck à votre main.,Warrior,,Adds from Deck to hand,Effect,
95281259,Le Guerrier Réincarné,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 monstre Guerrier dans votre Cimetière ; ajoutez la cible à votre main.,Warrior,,Adds from Graveyard to hand,Effect,
10012614,Bannière du Courage,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Durant votre Battle Phase uniquement, tous les monstres que vous contrôlez gagnent 200 ATK.",,,,Continuous-like,
98045062,Contrôleur d'Ennemi,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Activez 1 de ces effets ;●Ciblez 1 monstre face recto contrôlé par votre adversaire ; changez la position de combat de la cible.●Sacrifiez 1 monstre, puis ciblez 1 monstre face recto contrôlé par votre adversaire ; jusqu'à la End Phase, prenez le contrôle de la cible.",,,Tributes for cost/Changes control/Changes battle positions,Condition/Effect/Cost,
74848038,Réincarnation de Monstre,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Défaussez 1 carte, puis ciblez 1 monstre dans votre Cimetière ; ajoutez-le à votre main.",,,Adds from Graveyard to hand/Discards for cost,Cost/Effect,
98143165,Turbo Synchro,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Le monstre équipé gagne 500 points d'ATK et son Niveau augmente de 1.,,,,Continuous-like,
