Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
46986414,Magicien Sombre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 7,2500,2100,,,,Mage suprême en termes d'attaque et de défense.,,,,,
87796900,"Dragon Ailé, Gardien de la Forteresse N°1",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Normal],,,,,Niveau 4,1400,1200,,,,Dragon que l'on trouve généralement gardant les forteresses de montagne. On le reconnaît à son attaque sous forme de plongeon profond venu de nulle part.,,,,,
32452818,Guerrier Castor,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête-Guerrier/Normal],,,,,Niveau 4,1200,1500,,,,Cette créature compense sa petite taille par une excellente méthode défensive dans les batailles en plaine.,,,,,
06368038,Gaïa le Chevalier Implacable,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Normal],,,,,Niveau 7,2300,2100,,,,Chevalier dont le destrier voyage plus vite que le vent. Sa charge de bataille est une force à ne pas sous-estimer.,,,,,
13429800,Grand Blanc,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Poisson/Normal],,,,,Niveau 4,1600,800,,,,Requin blanc géant doté de dents acérées comme des lames de rasoir.,,,,,
13039848,Soldat Géant de Pierre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Rocher/Normal],,,,,Niveau 3,1300,2000,,,,Guerrier géant en pierre. Un coup de poing de cette créature est capable de faire trembler la terre.,,,,,
47060154,Clown Mystique,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1500,1000,,,,Rien ne peut arrêter l'attaque folle de cette créature puissante.,,,,,
50930991,Néo le Spadassin Magique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Normal],,,,,Niveau 4,1700,1000,,,,"Voyageur dimensionnel qui non seulement pratique la sorcellerie, mais qui est aussi maître en arts martiaux et au maniement de l'épée.",,,,,
05818798,"Gazelle, Roi des Bêtes Mythiques",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Normal],,,,,Niveau 4,1500,1200,,,,"Ce monstre se déplace si vite qu'il semble n'être qu'une illusion aux yeux des mortels.(Cette carte est toujours traitée comme une carte ""Bête Fantôme"".)",,,,,
75953262,Dai Grepher le Guerrier,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Normal],,,,,Niveau 4,1700,1600,,,,Personne ne connaît le passé mystérieux de l'homme qui murmurait à l'oreille des dragons.,,,,,
13945283,Mur des Illusions,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1000,1850,,,,"Si cette carte est attaquée par un monstre, après le calcul des dommages : renvoyez le monstre à la main.",,,Returns from field to hand/Returns from your opponent's field to your opponent's hand/Returns battling monster to hand after damage calculation,Trigger,
54652250,Insecte Mangeur d'Hommes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Insecte/Flip／Effet],,,,,Niveau 2,450,600,,,,FLIP : Ciblez 1 monstre sur le Terrain ; détruisez-le.,,,,Flip,
26202165,Sangan,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Effect],,,,,3,1000,600,,,,"If this card is sent from the field to the GY: Add 1 monster with 1500 or less ATK from your Deck to your hand, but you cannot activate cards, or the effects of cards, with that name for the rest of this turn. You can only use this effect of ""Sangan"" once per turn.",,,Activates from your Graveyard/Adds from Deck to hand,Trigger/Condition,
40640057,Kuriboh,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Effect],,,,,1,300,200,,,,"During damage calculation, if your opponent's monster attacks (Quick Effect): You can discard this card; you take no battle damage from that battle.",,,Activates from your hand/Discards itself for cost,Quick,
