Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
20403123,Magicien Prestidigitateur Potartiste,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 7,2500,2000,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Sacrifiant 1 monstre ""Potartiste"" (Monstres Pendule exclus). Une fois par tour : vous pouvez défausser 1 carte, puis ciblez 1 carte face recto sur le Terrain ; détruisez-la.",Supports archetypes /Performapal,,Discards for cost,Summon/Ignition,
67808837,Roi Ours Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête-Guerrier/Pendule／Effet],,,,,Niveau 6,2200,1000,,,,"Non destructible par des effets de Magie/Piège tant qu'elle est en Position d'Attaque face recto. Durant votre Battle Phase uniquement, cette carte gagne 100 ATK pour chaque carte ""Potartiste"" que vous contrôlez.",Supports archetypes /Performapal,,Adds from Graveyard to hand/Adds from Extra Deck to hand,Pendulum Effect /Trigger-like/Monster Effect/Continuous,
93892436,Acrobra Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Reptile/Pendule／Effet],,,,,Niveau 4,300,1800,,,,"Cette carte peut attaquer directement votre adversaire. Si cette carte attaque, elle est changée en Position de Défense à la fin de la Battle Phase.",,,Activates when it inflicts battle damage/Sends from your opponent's Deck to your opponent's Graveyard/Changes battle positions,Pendulum Effect /Trigger-like/Monster Effect/Continuous,
92170894,Taureau Grandphone Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 4,1600,1200,,,,"Si cette carte est Invoquée Spécialement : vous pouvez ajouter 1 monstre ""Potartiste"" depuis votre Deck à votre main (Monstres Pendule exclus). Vous ne pouvez utiliser cet effet de ""Taureau Grandphone Potartiste"" qu'une fois par tour.",Supports archetypes /Performapal,,Activates upon Special Summon/Adds from Deck to hand,Trigger/Condition,
15978426,Secondâne Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 4,1000,2000,,,,"Lorsque cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer 1 monstre ""Potartiste"" (""Secondâne Potartiste"" exclu) depuis votre Deck au Cimetière. Si vous avez 2 cartes dans vos Zones Pendule, vous pouvez l'ajouter à votre main à la place.",Supports archetypes /Performapal,,Activates upon Normal Summon/Activates upon Special Summon/Sends from your Deck to your Graveyard/Adds from Deck to hand,Trigger,
41440148,Hippopotame à la Mode Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 3,800,800,,,,"Après que vous avez Invoqué Normalement cette carte, vous pouvez Invoquer par Sacrifice 1 monstre de min. Niveau 7 en Position d'Attaque face recto durant votre Main Phase ce tour, en plus de votre Invocation Normale ou Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.)",,,,Unclassified,
43785278,Canon de Foucault,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Normal],,,,,Niveau 5,2200,1200,,,,"Une forme de vie mécanisée, errant à travers l'espace-temps. Étrangement, elle semble avoir presque perdu tou... sa mémoi... P...ur que...lle raison ? Refu... elle d'interf... avec ?",,,,Pendulum Effect /Trigger-like,
57624336,Eccentrick Archdémon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Pendule／Effet],,,,,Niveau 3,800,1000,,,,"Vous pouvez Sacrifier cette carte, puis ciblez 1 monstre sur le Terrain ; détruisez-le. Vous ne pouvez utiliser cet effet de ""Eccentrick Archdémon"" qu'une fois par tour.",,,Tributes itself for cost,Pendulum Effect /Ignition-like/Condition/Monster Effect/Ignition,
69247929,Loup de Guerre Géno-Perverti,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête-Guerrier/Normal],,,,,Niveau 4,2000,100,,,,"On a donné à ce loup de guerre une force incalculable par le biais d'horribles manipulations génétiques. Sa nature douce a été complètement anéantie, et sa seule raison d'être est maintenant de semer la destruction.",,,,,
88975532,Loup de Guerre Noir-d'Encre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Bête-Guerrier/Effet],,,,,Niveau 4,1600,600,,,,"Durant la Battle Phase, votre adversaire ne peut pas activer de Cartes Piège.",,,,Continuous,
