Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
70095154,Cyber Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Machine/Effect],,,,,5,2100,1600,,,,"If only your opponent controls a monster, you can Special Summon this card (from your hand).",,,,Unclassified,
05373478,Cyber Dragon Zwei,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Machine/Effect],,,,,4,1500,1000,,,,"This card's name becomes ""Cyber Dragon"" while in the GY. Once per turn: You can reveal 1 Spell in your hand; this card's name becomes ""Cyber Dragon"" until the End Phase. If this card attacks an opponent's monster, it gains 300 ATK during the Damage Step only.",Cyber Dragon,,Reveals your hand for cost,Continuous/Ignition/Unclassified,
59281922,Cyber Dragon Drei,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Machine/Effect],,,,,4,1800,800,,,,"This card's name becomes ""Cyber Dragon"" while on the field or in the GY. When this card is Normal Summoned: You can make all ""Cyber Dragon"" you currently control become Level 5. You cannot Special Summon monsters the turn you activate this effect, except Machine monsters. If this card is banished: You can target 1 ""Cyber Dragon"" you control; it cannot be destroyed by battle or card effects this turn.",Cyber Dragon/Machine,,Activates upon Normal Summon/Activates while banished,Trigger/Condition/Unclassified,
29975188,Cyber Dragon Vier,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Machine/Effect],,,,,4,1100,1600,,,,"This card's name becomes ""Cyber Dragon"" while on the field or in the GY. If you Normal or Special Summon ""Cyber Dragon"", except during the Damage Step: You can Special Summon this card from your hand in Defense Position. You can only use this effect of ""Cyber Dragon Vier"" once per turn. Each ""Cyber Dragon"" you control gains 500 ATK/DEF.",Cyber Dragon,,Activates from your hand/Activates upon Normal Summon/Activates upon Special Summon,Unclassified/Trigger/Condition/Continuous,
56364287,Cyber Dragon Herz,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Machine/Effect],,,,,1,100,100,,,,"This card's name becomes ""Cyber Dragon"" while on the field or in the GY. You can only use 1 of the following effects of ""Cyber Dragon Herz"" per turn, and only once that turn.●If this card is Special Summoned: You can make this card's Level become 5 until the end of this turn, also, you cannot Special Summon monsters for the rest of this turn, except Machine monsters.●If this card is sent to the GY: You can add 1 other ""Cyber Dragon"" from your Deck or GY to your hand.",Cyber Dragon/Machine,,Activates upon Special Summon/Activates from your Graveyard/Adds from Deck to hand/Adds from Graveyard to hand,Unclassified/Condition/Trigger,
29719112,Cyber Pharos,Unlimited(OCG)/Unlimited(TCG),LIGHT,[Machine/Effect],,,,,1,0,2100,,,,"You can Special Summon this card (from your hand) by Tributing 1 Machine monster. Once per turn, during your Main Phase: You can Fusion Summon 1 Machine Fusion Monster from your Extra Deck, using monsters from your hand and/or field as material. When a Fusion Monster you control is destroyed by battle: You can banish this card from your GY; add 1 ""Power Bond"" from your Deck to your hand. You can only use this effect of ""Cyber Pharos"" once per turn.",Machine/Fusion Monster/Power Bond,,Tributes for cost/Uses cards in the hand as Fusion Materials/Uses cards on the player's field as Fusion Materials/Sends from your hand to your Graveyard/Sends from your field to your Graveyard/Activates if destroyed by battle/Activates from your Graveyard/Adds from Deck to hand,Summon/Ignition/Trigger/Condition,
70298454,Leng Ling,Unlimited(OCG)/Unlimited(TCG),DARK,[Dragon/Union／Effect],,,,,3,1500,0,,,,"Once per turn, you can either: Target 1 face-up monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. The original ATK of a monster equipped with this card becomes 1000, it can make a second attack during each Battle Phase, also if the equipped monster would be destroyed by battle or card effect, destroy this card instead.",,,Equips self from field,Ignition/Ignition-like/Continuous-like,
63941210,"Jizukiru, Kaiju Destructeur des Étoiles",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Effet],,,,,Niveau 10,3300,2600,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) sur le Terrain de votre adversaire en Position d'Attaque, en Sacrifiant 1 monstre qu'il contrôle. Si votre adversaire contrôle un monstre ""Kaiju"", vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position d'Attaque. Vous ne pouvez contrôler qu'1 monstre ""Kaiju"". Lorsqu'une carte ou un effet qui cible 1 carte (et aucune autre carte) est activé (Effet Rapide) : vous pouvez retirer 3 Compteurs Kaiju depuis le Terrain ; annulez l'effet, et si vous le faites, vous pouvez détruire 1 carte sur le Terrain.",,Anti-supports archetypes /Kaiju,Activates from your hand/Tributes opponent's monsters,Unclassified/Quick,
71197066,"Gizmek Orochi, le Trancheur Céleste Serpentron",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 8,2450,2450,,,,"Si cette carte est dans votre main ou Cimetière (Effet Rapide) : vous pouvez bannir face verso 8 cartes du dessus de votre Deck ; Invoquez Spécialement cette carte. Vous pouvez bannir face verso 3 cartes depuis votre Extra Deck, puis ciblez 1 monstre face recto sur le Terrain ; détruisez-le. Vous ne pouvez utiliser qu'1 effet de ""Gizmek Orochi, le Trancheur Céleste Serpentron"" par tour, et uniquement une fois le tour.",,,Activates from your hand/Activates from your Graveyard,Quick/Ignition/Condition,
06498706,Déploiement Fusion,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Révélez 1 Monstre Fusion dans votre Extra Deck et Invoquez Spécialement 1 des Matériels Fusion dont le nom est mentionné sur le monstre depuis votre main ou Deck, et aussi, vous ne pouvez pas Invoquer Spécialement (Monstres Fusion exclus) depuis l'Extra Deck le tour où vous activez cette carte. Vous ne pouvez activer qu'1 ""Déploiement Fusion"" par tour.",Fusion Monster,,Reveals your Extra Deck,Effect/Condition,
