Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
23898021,"Lilith, Dame de la Lamentation",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 3,2000,0,,,,"Si cette carte est Invoquée Normalement, son ATK d'origine devient 1000. (Effet Rapide) : vous pouvez Sacrifier 1 monstre TÉNÈBRES ; révélez 3 Pièges Normaux depuis votre Deck, votre adversaire en choisit 1 au hasard pour vous à Poser sur votre Terrain, et vous mélangez les cartes restantes dans votre Deck. Vous ne pouvez utiliser cet effet de ""Lilith, Dame de la Lamentation"" qu'une fois par tour.",DARK/Normal Trap Card,,Tributes for cost/Reveals cards from your Deck/Sets from your Deck,Unclassified/Quick/Condition,
50383626,"Diabolos des Ténèbres, Seigneur de l'Antre",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 8,3000,2000,,,,"Votre adversaire ne peut ni Sacrifier cette carte face recto sur le Terrain ni la cibler avec des effets de carte. Vous ne pouvez utiliser chacun de ces effets de ""Diabolos des Ténèbres, Seigneur de l'Antre"" qu'une fois par tour.●Si un monstre TÉNÈBRES que vous contrôlez est Sacrifié (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis votre Cimetière (si elle y était lorsque vous avez Sacrifié) ou la main (même si elle n'y était pas).●Vous pouvez Sacrifier 1 monstre TÉNÈBRES ; votre adversaire place 1 carte depuis sa main soit au-dessus soit au-dessous du Deck.",DARK,,Cannot be Tributed/Activates from your Graveyard/Activates from your hand/Activates if Tributed/Tributes for cost/Returns from your opponent's hand to your opponent's Deck,Continuous/Condition/Trigger/Ignition,
86377375,"Ahrima, le Garde Malfaisant",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1700,0,,,,"Vous pouvez défausser cette carte ; ajoutez 1 ""Antre des Ténèbres"" depuis votre Deck à votre main. Vous pouvez Sacrifier 1 monstre TÉNÈBRES ; piochez 1 carte, ou si vous avez Sacrifié un monstre TÉNÈBRES (cette carte exclue) pour activer cet effet, vous pouvez ajouter 1 monstre TÉNÈBRES avec min. 2000 DEF depuis votre Deck à votre main à la place. Vous ne pouvez utiliser cet effet de ""Ahrima, le Garde Malfaisant"" qu'une fois par tour.",Lair of Darkness/DARK,,Activates from your hand/Discards itself for cost/Adds from Deck to hand/Tributes for cost/You draw cards,Ignition/Condition,
12766474,"Duc Shade, le Seigneur des Ombres Sinistres",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,500,2000,,,,"Vous pouvez Sacrifier un nombre de votre choix de monstres TÉNÈBRES ; Invoquez Spécialement cette carte depuis votre main, et si vous le faites, elle gagne 500 ATK pour chaque monstre que vous avez Sacrifié. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre TÉNÈBRES de min. Niveau 5 dans votre Cimetière ; ajoutez-le à votre main. Vous ne pouvez utiliser chaque effet de ""Duc Shade, le Seigneur des Ombres Sinistres"" qu'une fois par tour. Vous ne pouvez pas Invoquer Spécialement de monstres (monstres TÉNÈBRES exclus) le tour où vous activez un effet de cette carte.",DARK,,Activates from your hand/Tributes for cost/Activates upon Normal Summon/Activates upon Special Summon/Adds from your Graveyard to your hand,Ignition/Trigger/Condition,
29424328,"Diabolos, Roi des Abysses",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 7,2800,1000,,,,"Non Invocable Spécialement. Si vous Invoquez par Sacrifice cette carte, les Sacrifices doivent être TÉNÈBRES. Non Sacrifiable par des effets de carte tant qu'elle est face recto sur le Terrain. Une fois par tour, durant la Draw Phase de votre adversaire, avant sa pioche normale : regardez la carte du dessus du Deck de votre adversaire, et si vous le faites, placez la carte soit au-dessus soit au-dessous de son Deck.",DARK,,Looks at cards from the top of the opponent's Deck/Changes Deck order/Places cards from the Deck on the top of the Deck/Places cards from the Deck on the bottom of the Deck/Cannot be Tributed,Summon/Continuous/Trigger,
55818463,"Seigneur Liche, Roi des Enfers",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 6,2400,1200,,,,"Si vous Invoquez par Sacrifice cette carte, le Sacrifice doit être TÉNÈBRES. Si cette carte est Sacrifiée par un effet de carte et envoyée au Cimetière : ajoutez cette carte depuis votre Cimetière à votre main.",DARK,,Activates if Tributed/Activates from your Graveyard/Returns itself from Graveyard to hand,Summon/Trigger,
82213171,"Prométhée, Roi des Ombres",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1200,800,,,,"Si cette carte est Invoquée Normalement : bannissez min. 1 monstre TÉNÈBRES depuis votre Cimetière, et si vous le faites, cette carte gagne 400 ATK pour chacun d'eux jusqu'à la fin de ce tour.",DARK,,Activates upon Normal Summon,Trigger,
28423537,"Empereur Archdémon, le Premier Seigneur de l'Horreur",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 8,3000,2000,,,,"Vous pouvez Invoquer Normalement cette carte sans Sacrifices, mais son ATK/DEF d'origine seront divisées par deux. Si elle est Invoquée de cette façon, cette carte est détruite durant la End Phase. Vous ne pouvez pas Invoquer Spécialement de monstres (monstres Démon exclus). Une fois par tour : vous pouvez bannir 1 carte ""Archdémon"" depuis votre main ou Cimetière, puis ciblez 1 carte sur le Terrain ; détruisez-la.",Supports archetypes /Archfiend,,,Summon/Condition/Continuous/Ignition,
87288189,Caius le Méga Monarque,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 8,2800,1000,,,,"Vous pouvez Invoquer par Sacrifice cette carte en Sacrifiant 1 monstre Invoqué par Sacrifice. Si cette carte est Invoquée par Sacrifice : ciblez 1 carte sur le Terrain ; bannissez-la, et si vous le faites, infligez 1000 points de dommages à votre adversaire, puis, si c'est une Carte Monstre TÉNÈBRES, bannissez toutes les cartes de ce nom depuis la main, Main Deck, Extra Deck et Cimetière du joueur qui la contrôlait. Si cette carte a été Invoquée par Sacrifice en Sacrifiant un monstre TÉNÈBRES, ajoutez cet effet supplémentaire.●Vous pouvez cibler 2 cartes à la place.",DARK,DARK,Activates upon Tribute Summon,Summon/Trigger/Condition,
47084486,Démon de la Vanité,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 6,2400,1200,,,,Non Invocable Spécialement. Aucun joueur ne peut Invoquer Spécialement de monstres.,,,,Summon/Continuous,
