Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
03611830,"Endymion, le Puissant Maître de Magie",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Pendule／Effet],,,,,Niveau 7,2800,1700,,,,"Une fois par tour, lorsqu'une Carte Magie/Piège ou effet de Magie/Piège est activé (Effet Rapide) : vous pouvez renvoyer 1 carte que vous contrôlez avec un Compteur Magie à la main, et si vous le faites, annulez l'activation, et si vous faites ça, détruisez-la. Puis, vous pouvez placer le même nombre de Compteurs Magie que la carte renvoyée avait sur cette carte. Tant que cette carte a un Compteur Magie, votre adversaire ne peut pas la cibler avec des effets de carte, et aussi, elle ne peut pas être détruite par des effets de carte de votre adversaire. Lorsque cette carte avec un Compteur Magie est détruite au combat : vous pouvez ajouter 1 Magie Normale depuis votre Deck à votre main.",Normal Spell Card,,Returns from your field to your hand/Adds from Deck to hand,Pendulum Effect /Ignition-like/Condition/Monster Effect/Quick/Continuous/Trigger,
39000945,Reflet d'Endymion,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Pendule／Effet],,,,,Niveau 7,1850,2700,,,,"Vous ne pouvez Invoquer Spécialement un ou plusieurs ""Reflet d'Endymion"" qu'une fois par tour. Si cette carte est Invoquée Spécialement : vous pouvez cibler 1 carte contrôlée par votre adversaire et 1 carte que vous contrôlez avec un Compteur Magie (cette carte exclue) ; renvoyez la carte de l'adversaire et votre carte à la main, puis placez le même nombre de Compteurs Magie que votre carte renvoyée avait sur cette carte. Lorsque cette carte avec un Compteur Magie est détruite au combat : vous pouvez ajouter 1 carte ""Endymion"" depuis votre Deck à votre main.",Supports archetypes /Endymion,,Activates upon Special Summon/Returns from your field to your hand/Activates if destroyed by battle/Adds from Deck to hand,Pendulum Effect /Continuous-like/Ignition-like/Monster Effect/Trigger/Condition,
66104644,Magister d'Endymion,Unlimited(OCG)/Unlimited(TCG),TERRE,[Magicien/Pendule／Effet],,,,,Niveau 3,1500,900,,,,"Vous ne pouvez Invoquer Spécialement un ou plusieurs ""Magister d'Endymion"" qu'une fois par tour. Lorsque cette carte déclare une attaque : vous pouvez placer 1 Compteur Magie sur elle. Une fois par tour de l'adversaire (Effet Rapide) : vous pouvez retirer 3 Compteurs Magie depuis votre Terrain ; Invoquez Spécialement 1 monstre depuis votre Deck sur lequel vous pouvez placer un Compteur Magie. Si cette carte dans la Zone Monstre est détruite : vous pouvez placer cette carte dans votre Zone Pendule, puis placez le même nombre de Compteurs Magie qu'elle avait en tant que monstre sur elle.",,,Activates upon attack declaration/Activates if destroyed by battle/Activates if destroyed by card effect/Goes to Pendulum Zone,Pendulum Effect /Continuous-like/Ignition-like/Monster Effect/Trigger/Quick/Condition,
92559258,Servante d'Endymion,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Pendule／Effet],,,,,Niveau 3,900,1500,,,,"Vous ne pouvez Invoquer Spécialement un ou plusieurs ""Servante d'Endymion"" qu'une fois par tour. Cette carte avec un Compteur Magie peut attaquer directement. Une fois par tour de l'adversaire (Effet Rapide) : vous pouvez défausser 1 carte ; placez 1 Compteur Magie sur chaque carte que vous contrôlez sur laquelle vous pouvez placer un Compteur Magie. Si cette carte dans la Zone Monstre est détruite : vous pouvez placer cette carte dans votre Zone Pendule, puis placez le même nombre de Compteurs Magie qu'elle avait en tant que monstre sur elle.",,,Discards for cost/Activates if destroyed by battle/Activates if destroyed by card effect/Goes to Pendulum Zone,Pendulum Effect /Continuous-like/Ignition-like/Monster Effect/Continuous/Quick/Trigger/Condition,
40732515,"Endymion, le Maître des Magiciens",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 7,2700,1700,,,,"Vous pouvez Invoquer Spécialement cette carte depuis votre main ou Cimetière en retirant 6 Compteurs Magie de ""Citadelle Magique d'Endymion"" que vous contrôlez. Si elle est Invoquée de cette façon : ciblez 1 Magie dans votre Cimetière ; ajoutez la cible à votre main. Une fois par tour : vous pouvez défausser 1 Magie, puis ciblez 1 carte sur le Terrain ; détruisez la cible.",Magical Citadel of Endymion/Spell Card,,Activates upon Special Summon/Adds from Graveyard to hand/Discards for cost,Unclassified/Trigger/Ignition,
73853830,Croisé d'Endymion,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Gémeau／Effet],,,,,Niveau 4,1900,1200,,,,"Cette carte est traitée comme Monstre Normal tant qu'elle est face recto sur le Terrain ou dans le Cimetière. Tant que cette carte est un Monstre Normal sur le Terrain, vous pouvez l'Invoquer Normalement pour qu'elle devienne un Monstre à Effet avec cet effet.●Une fois par tour : vous pouvez cibler 1 carte face recto sur le Terrain sur laquelle vous pouvez placer un Compteur Magie ; placez 1 Compteur Magie sur elle, et si vous le faites, cette carte gagne 600 ATK jusqu'à la fin de ce tour.",,,,Unclassified/Condition/Ignition,
02525268,"Bouclier Divin, le Chevalier Magique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 4,1600,2000,,,,"Si cette carte est Invoquée Normalement : placez 1 Compteur Magie sur elle (max. 1). Une fois par tour, si un ou plusieurs monstres Magicien sur le Terrain vont être détruits, vous pouvez retirer 1 Compteur Magie depuis votre Terrain pour chacun de ces monstres à la place.",Spellcaster,,Activates upon Normal Summon,Trigger/Continuous,
55424270,"Cerbère, Bête Mythique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 4,1400,1400,,,,"Chaque fois qu'une Carte Magie est activée, placez 1 Compteur Magie sur cette carte lorsque la Magie est résolue. Gagne 500 ATK pour chaque Compteur Magie sur elle. À la fin de la Battle Phase, si cette carte a combattu, retirez tous les Compteurs Magie sur elle.",,,,Continuous,
54965929,"Méduse, Bête Mythique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Pendule／Effet],,,,,Niveau 4,1500,1500,,,,"Chaque fois qu'une Carte Magie est activée, placez 1 Compteur Magie sur cette carte lorsque la Magie est résolue. Une fois par tour, durant la Battle Phase (Effet Rapide) : vous pouvez retirer 2 Compteurs Magie depuis votre Terrain, puis ciblez 1 monstre face recto sur le Terrain ; jusqu'à la fin de ce tour, son ATK/DEF deviennent la moitié de son ATK/DEF actuelles.",,,Activates if other Pendulum Zone is unoccupied,Pendulum Effect /Ignition-like/Condition/Monster Effect/Continuous/Quick,
43930492,Chose de Magie,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1800,1300,,,,"Chaque fois qu'une Carte Magie est activée, placez 1 Compteur Magie sur cette carte lorsque la Magie est résolue. Le Niveau de cette carte est augmenté du nombre de Compteurs Magie sur elle. Vous pouvez retirer 3 Compteurs Magie de cette carte, puis ciblez 1 Magie Jeu-Rapide dans votre Cimetière ; Posez la carte dans votre Zone Magie & Piège. Vous ne pouvez utiliser cet effet de ""Chose de Magie"" qu'une fois par tour.",Quick-Play Spell Card,,Sets from your Graveyard,Continuous/Ignition/Condition,
