Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
05556499,Forteresse Méchabot,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 7,2500,1600,,,,"Vous pouvez défausser un ou plusieurs monstres Machine dont le Niveau total est égal à min. 8, puis Invoquez Spécialement cette carte (depuis votre main ou Cimetière). Si cette carte est détruite au combat et envoyée au Cimetière : ciblez 1 carte contrôlée par votre adversaire ; détruisez la cible. Avant la résolution d'un effet de monstre de l'adversaire qui cible cette carte face recto, regardez la main de votre adversaire et défaussez-lui 1 carte.",Machine,Effect Monster,Activates from your hand/Activates from your Graveyard/Discards for cost/Activates if destroyed by battle/Reveals your opponent's hand/Your opponent discards,Unclassified/Trigger/Continuous,
58054262,Force Méchabot,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 10,4600,4100,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement avec ""Commandant Covington"". Vous devez payer 1000 LP pour déclarer une attaque avec cette carte. Vous pouvez envoyer cette carte que vous contrôlez au Cimetière, puis ciblez 1 ""Soldat Méchabot"", ""Sniper Méchabot"" et ""Défenseur Méchabot"" dans votre Cimetière ; Invoquez Spécialement les cibles.",Commander Covington/Machina Soldier/Machina Sniper/Machina Defender,,Sends itself from field to Graveyard for cost,Summon/Continuous/Ignition,
22666164,Commandant Covington,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 4,1000,600,,,,"Vous pouvez envoyer 1 ""Soldat Méchabot"", ""Sniper Méchabot"" et ""Défenseur Méchabot"" face recto que vous contrôlez au Cimetière ; Invoquez Spécialement 1 ""Force Méchabot"" depuis votre main ou Deck.",Machina Soldier/Machina Sniper/Machina Defender/Machina Force,,Sends from field to Graveyard for cost,Ignition,
63941210,"Jizukiru, Kaiju Destructeur des Étoiles",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Effet],,,,,Niveau 10,3300,2600,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) sur le Terrain de votre adversaire en Position d'Attaque, en Sacrifiant 1 monstre qu'il contrôle. Si votre adversaire contrôle un monstre ""Kaiju"", vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position d'Attaque. Vous ne pouvez contrôler qu'1 monstre ""Kaiju"". Lorsqu'une carte ou un effet qui cible 1 carte (et aucune autre carte) est activé (Effet Rapide) : vous pouvez retirer 3 Compteurs Kaiju depuis le Terrain ; annulez l'effet, et si vous le faites, vous pouvez détruire 1 carte sur le Terrain.",,Anti-supports archetypes /Kaiju,Activates from your hand/Tributes opponent's monsters,Unclassified/Quick,
24731453,Chasse-Neige Grande Vitesse,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 10,2500,3000,,,,"Lorsqu'un monstre de votre adversaire déclare une attaque directe, tant que vous contrôlez une ou plusieurs cartes dans votre Zone Magie & Piège : vous pouvez Invoquer Spécialement cette carte depuis votre main, puis détruisez autant de cartes dans votre Zone Magie & Piège que possible, et si vous le faites, infligez 200 points de dommages à votre adversaire pour chaque carte détruite. Vous ne pouvez pas Invoquer Spécialement de monstres (monstres Machine exclus).",Machine,,Activates upon attack declaration/Activates from your hand,Trigger/Continuous,
64034255,"Homme-Oiseau, Allié Genex",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Syntoniseur／Effet],,,,,Niveau 3,1400,400,,,,"Vous pouvez renvoyer 1 monstre face recto que vous contrôlez à la main ; Invoquez Spécialement cette carte depuis votre main, mais bannissez-la lorsqu'elle quitte le Terrain, et aussi, elle gagne 500 ATK si le monstre renvoyé était VENT sur le Terrain.",WIND,,Activates from your hand/Returns from field to hand for cost/Returns from your field to your hand,Ignition,
04334811,Recycleur de Ferraille,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 3,900,1200,,,,Lorsque cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer 1 monstre Machine depuis votre Deck au Cimetière. Une fois par tour : vous pouvez mélanger 2 monstres TERRE Machine de Niveau 4 depuis votre Cimetière dans le Deck ; piochez 1 carte.,Machine/EARTH,,Activates upon Normal Summon/Activates upon Special Summon/Sends from your Deck to your Graveyard/Returns from Graveyard to Deck for cost/You draw cards,Trigger/Ignition,
60071928,Tournevis Droitier,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Syntoniseur／Effet],,,,,Niveau 1,100,300,,,,"Pour une Invocation Synchro, vous pouvez substituer cette carte à 1 Syntoniseur ""Synchronique"". Si cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 ""Tournevis Gaucher"" depuis votre main, Deck ou Cimetière. Vous ne pouvez utiliser cet effet de ""Tournevis Droitier"" qu'une fois par tour.",Supports archetypes /Synchron,,Activates upon Normal Summon,Condition/Trigger,
44935634,Tournevis Gaucher,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 2,300,100,,,,"Si cette carte est Invoquée Spécialement : jusqu'à la fin de ce tour, vous pouvez faire devenir cette carte de Niveau 3. Durant votre Main Phase, sauf le tour où cette carte a été envoyée au Cimetière : vous pouvez bannir cette carte depuis votre Cimetière ; ajoutez 1 ""Tournevis Droitier"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Tournevis Gaucher"" qu'une fois par tour.",Righty Driver,,Activates upon Special Summon/Activates from your Graveyard/Adds from Deck to hand,Trigger/Ignition/Condition,
31828916,Unité Cuirassée Méchabot,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Une fois par tour, lorsqu'un monstre Machine est détruit au combat et envoyé à votre Cimetière : vous pouvez Invoquer Spécialement 1 monstre Machine depuis votre Deck qui a le même Attribut et une ATK inférieure à celle du monstre détruit dans le Cimetière.",Machine,,Activates if destroyed by battle,Trigger-like,
64662453,Appel de Fer,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous contrôlez un monstre Machine : ciblez 1 monstre Machine de max. Niveau 4 dans votre Cimetière ; Invoquez Spécialement la cible, mais ses effets sont annulés, et aussi, détruisez-la durant la End Phase.",Machine,,,Activation requirement/Effect/Condition,
34559295,Pioche de Fer,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous contrôlez exactement 2 Monstres à Effet Machine et aucun autre monstre : piochez 2 cartes. Le reste de ce tour après la résolution de cette carte, vous ne pouvez Invoquer Spécialement qu'une fois. Vous ne pouvez activer qu'1 ""Pioche de Fer"" par tour.",Machine,,You draw cards,Activation requirement/Effect/Condition,
23171610,Limiter Removal,Unlimited(OCG)/Unlimited(TCG),SPELL,,,,,,,,,Quick-Play,,,"Double the ATK of all Machine monsters you currently control, until the end of this turn. During the End Phase of this turn, destroy those monsters.",Machine,,,Effect/Lingering,
40450317,Liens des Camarades,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Payez 2000 LP, puis ciblez 1 monstre de max. Niveau 4 que vous contrôlez ; le reste de ce tour après la résolution de cette carte, vous ne pouvez pas Invoquer Spécialement de monstres, et aussi, Invoquez Spécialement 2 monstres depuis votre Deck, des mêmes Type, Attribut et Niveau que le monstre, mais de noms différents les uns des autres et du monstre. Vous ne pouvez pas mener votre Battle Phase le tour où vous activez cette carte.",,,Cannot conduct Battle Phase,Cost/Effect/Condition,
67169062,Pot d'Avarice,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 5 monstres dans votre Cimetière ; mélangez-les tous les 5 dans le Deck, puis piochez 2 cartes.",,,Returns from your Graveyard to your Deck/You draw cards,Effect,
08267140,Cyclone Cosmique,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Payez 1000 LP, puis ciblez 1 Magie/Piège sur le Terrain ; bannissez-le.",,,,Cost/Effect,
17626381,Unité de Ravitaillement,Unlimited(OCG)/Unlimited(TCG)/Limited 2(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Une fois par tour, si un ou plusieurs monstres que vous contrôlez sont détruits au combat ou par un effet de carte : piochez 1 carte.",,,Activates if destroyed by battle/Activates if destroyed by card effect/You draw cards,Trigger-like,
63477921,Cyber Canon d'Invocation,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Chaque fois qu'un ou plusieurs monstres Machine sont Invoqués Spécialement, tant que cette carte est déjà face recto dans votre Zone Magie & Piège : infligez 300 points de dommages à votre adversaire.",Machine,Machine,Activates upon Special Summon,Trigger-like,
59919307,Retour au Front,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Ciblez 1 monstre dans votre Cimetière ; Invoquez-le Spécialement en Position de Défense.,,,,Effect,
80101899,Combine de Piège,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Bannissez 1 Piège Normal (""Combine de Piège"" exclu) depuis votre Deck, et si vous le faites, Posez 1 carte du même nom directement depuis votre Deck. Elle peut être activée ce tour. Le reste de ce tour après la résolution de cette carte, vous ne pouvez activer qu'1 Carte Piège. Vous ne pouvez activer qu'1 ""Combine de Piège"" par tour.",Normal Trap Card,,Sets from your Deck,Effect/Lingering/Condition,
12524259,Réactivation Non Autorisée,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre Machine que vous contrôlez ; équipez 1 monstre Union Machine approprié depuis votre main ou Deck au monstre, mais le monstre Union que vous avez équipé ne peut pas être Invoqué Spécialement ce tour. Vous ne pouvez activer qu'1 ""Réactivation Non Autorisée"" par tour.",Machine/Union monster,,Equips monsters from the player's hand/Equips monsters from the player's Deck,Effect/Condition,
