Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
41406613,"Règne-Galant, Roi Suprême du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 8,3000,1800,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre Cimetière) en renvoyant 1 monstre ""Monde Ténébreux"" de max. Niveau 7 que vous contrôlez à la main. Si cette carte est défaussée au Cimetière par un effet de carte : vous pouvez ajouter 1 monstre ""Monde Ténébreux"" de min. Niveau 5 (""Règne-Galant, Roi Suprême du Monde Ténébreux"" exclu) depuis votre Deck à votre main, puis, si cette carte a été défaussée depuis votre main à votre Cimetière par un effet de carte de l'adversaire, vous pouvez Invoquer Spécialement 1 monstre ""Monde Ténébreux"" de max. Niveau 4 depuis votre Deck ou Cimetière sur l'un des Terrains.",Supports archetypes /Dark World,,Activates from your Graveyard/Returns from field to hand for cost/Adds from Deck to hand,Unclassified/Trigger,
77895328,"Genta, Portier du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1000,1800,,,,"Vous ne pouvez Invoquer Spécialement ""Genta, Portier du Monde Ténébreux"" qu'une fois par tour. Vous pouvez défausser cette carte au Cimetière ; ajoutez 1 ""Portail du Monde Ténébreux"" depuis votre Deck à votre main. Si cette carte est bannie et que vous contrôlez une carte ""Monde Ténébreux"" : vous pouvez Invoquer Spécialement cette carte.",Supports archetypes /Dark World,,Discards itself for cost/Adds from Deck to hand/Activates while banished,Condition/Ignition/Trigger,
03289027,"Parl, Ermite du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 1,300,100,,,,"Si cette carte est défaussée au Cimetière par un effet de carte : vous pouvez cibler 1 monstre ""Monde Ténébreux"" (""Parl, Ermite du Monde Ténébreux"" exclu) dans votre Cimetière ; Invoquez-le Spécialement sur l'un des Terrains, puis, si cette carte a été défaussée depuis votre main à votre Cimetière par un effet de carte de l'adversaire, vous pouvez Invoquer Spécialement, sur l'un des Terrains, 1 de vos monstres Démon qui est banni, ou dans votre main ou Cimetière. Vous ne pouvez utiliser cet effet de ""Parl, Ermite du Monde Ténébreux"" qu'une fois par tour.",Supports archetypes /Dark World,,Activates from your Graveyard,Trigger/Condition,
99458769,"Règne-Galant, Chef Suprême du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 7,2500,1800,,,,Si cette carte est défaussée depuis votre main à votre Cimetière par un effet de carte de l'adversaire : Invoquez Spécialement cette carte depuis le Cimetière. Si elle est Invoquée de cette façon : détruisez tous les monstres contrôlés par votre adversaire OU toutes les Magies et tous les Pièges qu'il contrôle.,,,Activates from your Graveyard,Trigger,
34968834,"Lucent, Seigneur des Enfers du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 6,2400,0,,,,"Si cette carte est défaussée au Cimetière par un effet de carte : Invoquez Spécialement cette carte, puis, si cette carte a été défaussée depuis votre main à votre Cimetière par un effet de carte de l'adversaire, vous pouvez Invoquer Spécialement 1 monstre Démon depuis votre Deck sur l'un des Terrains.",Fiend,,,Trigger,
15667446,"Latinum, Exarque du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 6,1500,2400,,,,"Si cette carte est défaussée au Cimetière par un effet de carte : si elle a été défaussée depuis votre main à votre Cimetière par un effet de carte de l'adversaire, ciblez 1 monstre Démon sur le Terrain ; Invoquez Spécialement cette carte, puis la cible (s'il y en a une) gagne 500 ATK.",Fiend,,,Trigger,
78004197,"Goldd, Wu-Lord du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 5,2300,1400,,,,"Si cette carte est défaussée au Cimetière par un effet de carte : si elle a été défaussée depuis votre main à votre Cimetière par un effet de carte de l'adversaire, vous pouvez cibler max. 2 cartes contrôlées par votre adversaire ; Invoquez Spécialement cette carte, puis détruisez les cibles (s'il y en a).",,,Activates from your Graveyard,Trigger,
32619583,"Sillva, Seigneur de Guerre du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 5,2300,1400,,,,"Si cette carte est défaussée au Cimetière par un effet de carte : Invoquez Spécialement cette carte, puis, si elle a été défaussée depuis votre main à votre Cimetière par un effet de carte de l'adversaire, votre adversaire place exactement 2 cartes depuis sa main au-dessous de son Deck, dans l'ordre de son choix.",,,Activates from your Graveyard/Returns from your opponent's hand to your opponent's Deck,Trigger,
06214884,"Brron, Roi Fou du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1800,400,,,,Lorsque cette carte inflige des dommages de combat à votre adversaire : vous pouvez défausser 1 carte.,,,You discard/Discards for effect,Trigger,
33731070,"Beiige, Avant-garde du Monde Ténébreux",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1600,1300,,,,Si cette carte est défaussée au Cimetière par un effet de carte : Invoquez Spécialement cette carte.,,,Activates from your Graveyard,Trigger,
