Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
66431519,Roi du Feu Sacré Garunix,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête Ailée/Effet],,,,,Niveau 8,2700,1700,,,,"Si un ou plusieurs de vos monstres qui étaient FEU à l'origine sont détruits au combat ou par un effet de carte : vous pouvez Invoquer Spécialement cette carte depuis votre Cimetière (si elle y était lorsque le monstre a été détruit) ou la main (même si elle n'y était pas). Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez détruire 1 monstre FEU Bête, Bête-Guerrier ou Bête Ailée (""Roi du Feu Sacré Garunix"" exclu) dans votre main, Deck ou Terrain face recto, et si vous le faites, cette carte gagne une ATK égale à la moitié de l'ATK du monstre détruit qu'il y avait, jusqu'à la fin de ce tour. Vous ne pouvez utiliser chaque effet de ""Roi du Feu Sacré Garunix"" qu'une fois par tour.",FIRE/Beast/Beast-Warrior/Winged Beast,,Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard/Activates from your hand/Activates upon Normal Summon/Activates upon Special Summon,Trigger/Trigger/Condition,
02526224,Avatar Grand Roi du Feu Kirin,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête/Effet],,,,,Niveau 8,2400,200,,,,"Durant la Main Phase, si cette carte est dans votre main (Effet Rapide) : vous pouvez détruire 1 autre monstre FEU dans votre main ou Terrain face recto, et si vous le faites, Invoquez Spécialement cette carte. Si cette carte est détruite et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre ""Roi du Feu"" ou ""Rois du Feu"" (""Avatar Grand Roi du Feu Kirin"" exclu) depuis votre main ou Cimetière, puis vous pouvez détruire 1 carte sur le Terrain. Vous ne pouvez utiliser chaque effet de ""Avatar Grand Roi du Feu Kirin"" qu'une fois par tour.",Supports archetypes /Fire King,,Activates from your hand/Activates if destroyed by battle/Activates if destroyed by card effect/Activates if sent to the Graveyard/Activates from your Graveyard,Quick/Trigger/Condition,
69000994,Avatar Roi du Feu Barong,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 4,1800,200,,,,"Si un ou plusieurs monstres ""Roi du Feu"" ou ""Rois du Feu"" face recto que vous contrôlez sont détruits par un effet de carte (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis votre main. Une fois par tour, durant la prochaine Standby Phase après que cette carte a été détruite par un effet de carte et envoyée au Cimetière : ajoutez 1 carte ""Roi du Feu"" ou ""Rois du Feu"" (""Avatar Roi du Feu Barong"" exclu) depuis votre Deck à votre main.",Supports archetypes /Fire King,,Adds from Deck to hand,Trigger,
53804307,"Blaster, Maître Dragon des Brasiers",Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Effet],,,,,Niveau 7,2800,1800,,,,"Si cette carte est dans votre main ou Cimetière : vous pouvez bannir un total de 2 monstres FEU et/ou Dragon (cette carte exclue) depuis votre main et/ou Cimetière ; Invoquez Spécialement cette carte. Durant la End Phase de votre adversaire, si vous contrôlez cette carte Invoquée Spécialement : renvoyez-la à la main. Vous pouvez défausser cette carte et 1 monstre FEU au Cimetière, puis ciblez 1 carte sur le Terrain ; détruisez la cible. Si cette carte est bannie : vous pouvez ajouter 1 monstre FEU Dragon depuis votre Deck à votre main. Vous ne pouvez utiliser qu'1 effet de ""Blaster, Maître Dragon des Brasiers"" par tour, et uniquement une fois le tour.",FIRE/Dragon,,Returns itself from field to hand/Discards itself for cost/Adds from Deck to hand,Ignition/Trigger/Condition,
53797637,"Burner, Maître Dragon des Étincelles",Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Effet],,,,,Niveau 3,1000,200,,,,"Vous pouvez défausser cette carte et 1 monstre Dragon ou FEU ; Invoquez Spécialement 1 ""Blaster, Maître Dragon des Brasiers"" depuis votre Deck, mais il ne peut pas attaquer ce tour. Vous ne pouvez utiliser cet effet de ""Burner, Maître Dragon des Étincelles"" qu'une fois par tour.","Dragon/FIRE/Blaster, Dragon Ruler of Infernos",,Discards itself for cost/Discards for cost,Ignition/Condition,
67136033,Bearman Capitaine Entraîneur,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 8,2600,2700,,,,"Non utilisable comme Matériel pour une Invocation Xyz, sauf pour l'Invocation Xyz d'un monstre FEU Guerrier. Vous pouvez Invoquer Normalement cette carte sans Sacrifices, mais son ATK d'origine devient 1300. Une fois par tour : jusqu'à la fin de ce tour, vous pouvez faire devenir tous les monstres Bête-Guerrier de Niveau 4 que vous contrôlez actuellement Niveau 8.",Beast-Warrior/FIRE/Warrior,,,Unclassified/Ignition/Condition,
96746083,Roi Véritable Agnimazud le Volatil,Unlimited(OCG)/Unlimited(TCG),FEU,[Wyrm/Effet],,,,,Niveau 9,2900,1900,,,,"Si cette carte est dans votre main : vous pouvez détruire 2 autres monstres dans votre main et/ou Terrain face recto (un monstre FEU inclus), et si vous le faites, Invoquez Spécialement cette carte, et si vous faites ça, vous pouvez bannir 1 monstre depuis le Terrain ou Cimetière de votre adversaire, si les deux monstres détruits étaient FEU. Si cette carte est détruite par un effet de carte : vous pouvez ajouter 1 monstre non-FEU Wyrm depuis votre Cimetière à votre main. Vous ne pouvez utiliser chaque effet de ""Roi Véritable Agnimazud le Volatil"" qu'une fois par tour.",DARK/EARTH/FIRE/LIGHT/WATER/WIND/Wyrm,,Activates from your hand/Activates if destroyed by card effect/Adds from Graveyard to hand,Ignition/Trigger/Condition,
93332803,"Dogoran, Kaiju des Flammes Enragées",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Dinosaure/Effet],,,,,Niveau 8,3000,1200,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) sur le Terrain de votre adversaire en Position d'Attaque, en Sacrifiant 1 monstre qu'il contrôle. Si votre adversaire contrôle un monstre ""Kaiju"", vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position d'Attaque. Vous ne pouvez contrôler qu'1 monstre ""Kaiju"". Une fois par tour : vous pouvez retirer 3 Compteurs Kaiju depuis le Terrain ; détruisez tous les monstres contrôlés par votre adversaire. Cette carte ne peut pas attaquer le tour où cet effet est activé.",,Anti-supports archetypes /Kaiju,Activates from your hand/Tributes opponent's monsters,Unclassified/Ignition,
15033525,Mars l'Embrasé,Unlimited(OCG)/Unlimited(TCG),FEU,[Pyro/Effet],,,,,Niveau 8,2600,2200,,,,"Tant que cette carte est dans votre main ou Cimetière : vous pouvez bannir 3 autres monstres depuis votre Cimetière ; Invoquez Spécialement cette carte, et aussi, vous ne pouvez pas Invoquer Spécialement d'autres monstres le reste de ce tour. Durant votre Main Phase 1 : vous pouvez envoyer tous les autres monstres que vous contrôlez au Cimetière ; infligez 500 points de dommages à votre adversaire pour chaque monstre envoyé au Cimetière. Vous ne pouvez utiliser cet effet de ""Mars l'Embrasé"" qu'une fois par tour.",,,Activates from your hand/Activates from your Graveyard/Sends from your field to your Graveyard,Ignition/Condition,
59834564,Colosse Grand Feu,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 8,2600,2200,,,,"Si vous contrôlez un monstre FEU, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Si cette carte est Invoquée Spécialement : ciblez 2 monstres FEU que vous contrôlez ; détruisez les cibles.",FIRE,,,Summon/Trigger,
