Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
96746083,Roi Véritable Agnimazud le Volatil,Unlimited(OCG)/Unlimited(TCG),FEU,[Wyrm/Effet],,,,,Niveau 9,2900,1900,,,,"Si cette carte est dans votre main : vous pouvez détruire 2 autres monstres dans votre main et/ou Terrain face recto (un monstre FEU inclus), et si vous le faites, Invoquez Spécialement cette carte, et si vous faites ça, vous pouvez bannir 1 monstre depuis le Terrain ou Cimetière de votre adversaire, si les deux monstres détruits étaient FEU. Si cette carte est détruite par un effet de carte : vous pouvez ajouter 1 monstre non-FEU Wyrm depuis votre Cimetière à votre main. Vous ne pouvez utiliser chaque effet de ""Roi Véritable Agnimazud le Volatil"" qu'une fois par tour.",DARK/EARTH/FIRE/LIGHT/WATER/WIND/Wyrm,,Activates from your hand/Activates if destroyed by card effect/Adds from Graveyard to hand,Ignition/Trigger/Condition,
93332803,"Dogoran, Kaiju des Flammes Enragées",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Dinosaure/Effet],,,,,Niveau 8,3000,1200,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) sur le Terrain de votre adversaire en Position d'Attaque, en Sacrifiant 1 monstre qu'il contrôle. Si votre adversaire contrôle un monstre ""Kaiju"", vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position d'Attaque. Vous ne pouvez contrôler qu'1 monstre ""Kaiju"". Une fois par tour : vous pouvez retirer 3 Compteurs Kaiju depuis le Terrain ; détruisez tous les monstres contrôlés par votre adversaire. Cette carte ne peut pas attaquer le tour où cet effet est activé.",,Anti-supports archetypes /Kaiju,Activates from your hand/Tributes opponent's monsters,Unclassified/Ignition,
97396380,Furet Escrime de Feu,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête/Effet],,,,,Niveau 4,1700,600,,,,"Si cette carte est détruite et envoyée au Cimetière : ciblez 1 monstre face recto contrôlé par votre adversaire ; détruisez la cible, et si vous le faites, infligez 500 points de dommages à votre adversaire.",,,,Trigger,
74823665,Inferno,Unlimited(OCG)/Unlimited(TCG),FIRE,[Pyro/Effect],,,,,4,1100,1900,,,,Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 FIRE monster from your GY. If this card destroys an opponent's monster by battle and sends it to the GY: Inflict 1500 damage to your opponent.,FIRE,,Activates when it destroys a monster by battle,Summon/Trigger,
14558127,Floraison de Cendres et Joyeux Printemps,Unlimited(OCG)/Unlimited(TCG),FEU,[Zombie/Syntoniseur／Effet],,,,,Niveau 3,0,1800,,,,"Lorsqu'une carte ou un effet qui inclut n'importe lequel de ces effets est activé (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'effet.●Ajouter une carte depuis le Deck à la main.●Invoquer Spécialement depuis le Deck.●Envoyer une carte depuis le Deck au Cimetière.Vous ne pouvez utiliser cet effet de ""Floraison de Cendres et Joyeux Printemps"" qu'une fois par tour.",,,Activates from your hand/Discards itself for cost,Quick/Condition,
40975574,Diapason Rouge,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Syntoniseur／Effet],,,,,Niveau 2,600,200,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 monstre de max. Niveau 4 depuis votre main. Lorsque cette carte est Invoquée Spécialement : vous pouvez cibler 1 monstre face recto sur le Terrain ; gagnez des LP égaux à son ATK. Vous ne pouvez utiliser cet effet de ""Diapason Rouge"" qu'une fois par tour.",,,Activates upon Normal Summon/Activates upon Special Summon,Trigger/Condition,
33365932,Obus Volcanique,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),FEU,[Pyro/Effet],,,,,Niveau 1,100,0,,,,"Une fois par tour : vous pouvez payer 500 LP ; ajoutez 1 ""Obus Volcanique"" depuis votre Deck à votre main. Cette carte doit être dans le Cimetière pour activer et résoudre cet effet.",,,Activates from your Graveyard/Adds from Deck to hand/Adds copies of itself to hand,Ignition/Condition,
64178424,Volonté de la Salamangrande,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Durant votre Main Phase : vous pouvez Invoquer Spécialement 1 monstre ""Salamangrande"" depuis votre main ou Cimetière. Vous pouvez envoyer cette carte face recto depuis le Terrain au Cimetière, puis ciblez 1 Monstre Lien ""Salamangrande"" que vous contrôlez qui a été Invoqué par Lien en utilisant un monstre du même nom que celui-ci comme Matériel ; Invoquez Spécialement un nombre de monstres ""Salamangrande"" depuis votre main et/ou Cimetière en Position de Défense, inférieur ou égal au nombre de la Classification Lien du monstre. Vous ne pouvez utiliser qu'1 effet de ""Volonté de la Salamangrande"" par tour, et uniquement une fois le tour.",Supports archetypes /Salamangreat,,Sends itself from field to Graveyard for cost,Ignition-like/Condition,
74848038,Réincarnation de Monstre,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Défaussez 1 carte, puis ciblez 1 monstre dans votre Cimetière ; ajoutez-le à votre main.",,,Adds from Graveyard to hand/Discards for cost,Cost/Effect,
59388357,Cercle des Rois du Feu,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre FEU que vous contrôlez et 1 monstre FEU dans votre Cimetière ; détruisez le monstre que vous contrôlez, et si vous le faites, Invoquez Spécialement l'autre monstre depuis votre Cimetière. Vous ne pouvez activer qu'1 ""Cercle des Rois du Feu"" par tour.",FIRE,,,Effect/Condition,
