Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
22056710,Vampire Genesis,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Zombie/Effect],,,,,8,3000,2100,,,,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing 1 ""Vampire Lord"" you control. Once per turn: You can discard 1 Zombie monster to the GY, then target 1 Zombie monster in your GY with a Level less than the discarded Zombie monster's; Special Summon that target.",Zombie/Vampire Lord,,Discards for cost,Summon/Ignition,
24530661,Maître Kyonshee,Unlimited(OCG)/Unlimited(TCG),TERRE,[Zombie/Normal],,,,,Niveau 4,1750,1000,,,,Un Kyonshee errant à la recherche d’un solide rival à défaire. Il est connu comme ayant été le maître de tous les arts martiaux.,,,,,
71200730,Désespoir des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 8,2800,3000,,,,Si cette carte est envoyée depuis votre main ou Deck à votre Cimetière par un effet de carte de l'adversaire : Invoquez Spécialement cette carte.,,,Activates from your Graveyard,Trigger,
57281778,Ryu Kokki,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Zombie/Effect],,,,,6,2400,2000,,,,"At the end of the Damage Step, if this card battled a Warrior or Spellcaster monster: Destroy that monster.",,Spellcaster/Warrior,,Trigger,
63012333,Tour d'Ossements Buveuse d'Ames,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 3,400,1500,,,,"Si vous contrôlez un autre monstre de Type Zombie, votre adversaire ne peut pas cibler cette carte avec une attaque. Chaque fois qu'un ou plusieurs monstres de Type Zombie sont Invoqués Spécialement : envoyez les 2 cartes du dessus du Deck de votre adversaire au Cimetière.",Zombie,,Sends from your opponent's Deck to your opponent's Graveyard,Continuous/Trigger,
44436472,Double Coston,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Zombie/Effect],,,,,4,1700,1650,,,,This card can be treated as 2 Tributes for the Tribute Summon of a DARK monster.,DARK,,,Unclassified,
45986603,Vol à l'Arraché,Unlimited(OCG)/Limited(TCG),MAGIE,,,,,,,,,,,,"Équipable uniquement à un monstre contrôlé par votre adversaire. Prenez le contrôle du monstre équipé. Une fois par tour, durant la Standby Phase de votre adversaire : il gagne 1000 LP.",,,Takes control of equipped,Condition/Continuous-like/Trigger-like,
05318639,Typhon d'Espace Mystique,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.,,,,Effect,
71044499,Seigneur de la Suppression,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre face verso sur le Terrain ; détruisez la cible, et si vous le faites, bannissez-le, puis, si c'était un monstre Flip, chaque joueur révèle son Main Deck, puis en bannit toutes les cartes du nom du monstre.",,Flip monster,Reveals your Deck/Reveals your opponent's Deck,Effect,
55144522,Pot de Cupidité,Forbidden(OCG)/Forbidden(TCG),MAGIE,,,,,,,,,,,,Piochez 2 cartes.,,,You draw cards,Effect,
57953380,Carte de Retour Sain & Sauf,Forbidden(OCG)/Forbidden(TCG),MAGIE,,,,,,,,,,,,Lorsqu'un ou plusieurs monstres sont Invoqués Spécialement depuis votre Cimetière (sauf durant la Damage Step) : vous pouvez piocher 1 carte.,,,Activates upon Special Summon/You draw cards,Trigger-like,
19613556,Violent Orage,Limited(OCG)/Forbidden(TCG),MAGIE,,,,,,,,,,,,Détruisez toutes les Cartes Magie/Piège sur le Terrain.,,,,Effect,
31036355,Permutation de Créature,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Chaque joueur choisit 1 monstre qu'il contrôle et échange son contrôle avec celui choisi par l'adversaire. Le reste de ce tour, ces monstres ne peuvent pas changer de position de combat.",,,Changes control/Prevents Battle Position changes,Effect/Condition,
02204140,Le Livre de la Vie,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre Zombie dans votre Cimetière et 1 monstre dans le Cimetière de votre adversaire ; Invoquez Spécialement la première cible, et aussi, bannissez la seconde cible.",Zombie,,,Effect,
04861205,L'Appel de la Momie,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Une fois par tour : vous pouvez Invoquer Spécialement 1 monstre Zombie depuis votre main. Vous ne devez contrôler aucun monstre pour activer et résoudre cet effet.,Zombie,,,Ignition-like/Condition,
60082869,Tornade de Poussière,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Ciblez 1 Magie/Piège contrôlé par votre adversaire ; détruisez la cible, puis vous pouvez Poser 1 Magie/Piège depuis votre main.",,,Sets from your hand,Effect,
53582587,Hommage Torrentiel,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Lorsqu'un ou plusieurs monstres sont Invoqués : détruisez tous les monstres sur le Terrain.,,,,Activation requirement/Effect,
77414722,Brouilleur Magique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'une Carte Magie est activée : défaussez 1 carte ; annulez l'activation, et si vous le faites, détruisez-la.",,,Discards for cost,Activation requirement/Cost/Effect,
94192409,Dispositif d'Évacuation Obligatoire,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Ciblez 1 monstre sur le Terrain ; renvoyez la cible à la main.,,,Returns from field to hand,Effect,
