Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
69488544,Gearfried Phénix,Unlimited(OCG)/Unlimited(TCG),FEU,[Guerrier/Gémeau／Effet],,,,,Niveau 8,2800,2200,,,,"Cette carte est traitée comme un Monstre Normal tant qu'elle est face recto sur le Terrain ou dans le Cimetière. Tant que cette carte est un Monstre Normal sur le Terrain, vous pouvez l'Invoquer Normalement pour qu'elle devienne un Monstre à Effet avec cet effet.●Si votre adversaire active une Carte Magie : vous pouvez cibler 1 monstre Gémeau dans votre Cimetière ; Invoquez Spécialement la cible. Durant le tour de chaque joueur, lorsqu'une Carte Magie/Piège qui cible un ou plusieurs monstres sur le Terrain est activée : vous pouvez envoyer 1 Carte d'Équipement face recto que vous contrôlez au Cimetière ; annulez l'activation, et si vous le faites, détruisez-la.",Gemini monster/Equip Card,,Sends from your field to your Graveyard for cost,Unclassified/Condition/Trigger/Quick,
32271987,Illusioniste du Vent Ardent,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Effet],,,,,Niveau 2,700,1100,,,,"Lorsque cette carte est détruite au combat et envoyée au Cimetière, vous pouvez envoyer 1 monstre Gémeau depuis votre Deck au Cimetière et piocher 1 carte.",Gemini monster,,Activates if destroyed by battle/Activates from your Graveyard/Sends from your Deck to your Graveyard/You draw cards,Trigger,
49681811,Freed le Général Irremplaçable,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 5,2300,1700,,,,"Annulez les effets de Magie qui ciblent cette carte sur le Terrain lorsqu'ils sont résolus, et si vous le faites, détruisez la carte. Durant votre Draw Phase, au lieu de mener votre pioche normale : vous pouvez ajouter 1 monstre Guerrier de max. Niveau 4 depuis votre Deck à votre main. Cette carte doit être face recto sur le Terrain pour activer et résoudre cet effet.",Warrior,,Adds from Deck to hand/Replaces normal draw,Continuous/Trigger,
74131780,La Troupe Exilée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1000,1000,,,,"Vous pouvez Sacrifier cette carte, puis ciblez 1 monstre sur le Terrain ; détruisez la cible.",,,Tributes itself for cost,Ignition,
07572887,Dame Guerrière D.D.,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1500,1600,,,,"Après le calcul des dommages, lorsque cette carte combat un monstre de l'adversaire : vous pouvez bannir le monstre, et aussi, bannissez cette carte.",,,,Trigger,
85087012,Soldat de Carte,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 3,400,400,,,,"Une fois par tour : vous pouvez choisir un nombre entre 1 et 3, puis envoyez autant de cartes du dessus de votre Deck au Cimetière ; jusqu'à la fin de ce tour, cette carte gagne 500 ATK pour chaque carte envoyée au Cimetière de cette façon. Si cette carte que vous contrôlez est détruite et envoyée à votre Cimetière : piochez 1 carte.",,,Sends from the top of your Deck to your Graveyard for cost/Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard/You draw cards,Ignition/Trigger,
37043180,Guerrier D.D.,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1200,1000,,,,"Après le calcul des dommages, lorsque cette carte combat un monstre : bannissez le monstre, et bannissez aussi cette carte.",,,,Trigger,
37520316,Contrôle Mental,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre contrôlé par votre adversaire ; jusqu'à la End Phase, prenez le contrôle de la cible, mais elle ne peut ni déclarer d'attaque ni être Sacrifiée.",,,Changes control/Cannot be Tributed,Effect,
44947065,Fardeau du Puissant,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Chaque monstre face recto contrôlé par votre adversaire perd 100 ATK x son propre Niveau.,,,,Continuous-like,
58775978,Cage d'Acier de Cauchemar,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Cette carte reste sur le Terrain pour 2 tours de votre adversaire. Tant que cette carte est face recto sur le Terrain, aucun monstre ne peut attaquer.",,,,Condition/Continuous-like,
05318639,Typhon d'Espace Mystique,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.,,,,Effect,
32807846,Renfort de l'Armée,Limited(OCG)/Limited(TCG)/Limited 2(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ajoutez 1 monstre Guerrier de max. Niveau 4 depuis votre Deck à votre main.,Warrior,,Adds from Deck to hand,Effect,
43422537,Double Invocation,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ce tour, vous pouvez mener 2 Invocations/Poses Normales, pas uniquement 1.",,,,Effect,
78794994,Symboles du Devoir,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Envoyez 1 Monstre Normal que vous contrôlez au Cimetière, puis ciblez 1 monstre dans l'un des Cimetières ; Invoquez-le Spécialement, et si vous le faites, équipez-lui cette carte. Lorsque cette carte quitte le Terrain, détruisez le monstre équipé.",Normal Monster,,Sends from field to Graveyard for cost/Equips self from field,Cost/Effect/Continuous-like,
