Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
85520851,Tyranno Super-Conducteur,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dinosaure/Effet],,,,,Niveau 8,3300,1400,,,,Une fois par tour : vous pouvez Sacrifier 1 monstre ; infligez 1000 points de dommages à votre adversaire. Cette carte ne peut pas déclarer d'attaque le tour où cet effet est activé.,,,Tributes for cost,Ignition/Condition,
51934376,Kabazauls,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Dinosaur/Normal],,,,,4,1700,1500,,,,A huge monster in the shape of a hippopotamus. The sneezing from his gigantic body is so fierce that people mistake it for a hurricane.,,,,,
79870141,Bête Folle à l'Épée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Dinosaure/Effet],,,,,Niveau 4,1400,1200,,,,"Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants.",,,,Continuous,
65287621,Driceratops des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Dinosaure/Effet],,,,,Niveau 6,2400,1500,,,,"Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants.",,,,Continuous,
83235263,Tyrrano-Infinité,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Dinosaure/Effet],,,,,Niveau 4,?,0,,,,L'ATK d'origine de cette carte est le nombre de vos monstres de Type Dinosaure bannis x 1000.,Dinosaur,,,Continuous,
22587018,Hydrogeddon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Dinosaur/Effect],,,,,4,1600,1000,,,,"When this card destroys an opponent's monster by battle and sends it to the GY: You can Special Summon 1 ""Hydrogeddon"" from your Deck.",,,Activates when it destroys a monster by battle,Trigger,
58071123,Oxygeddon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WIND,[Dinosaur/Effect],,,,,4,1800,800,,,,If this card is destroyed by battle with a Pyro monster and sent to the GY: Each player takes 800 damage.,,Pyro,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
83682725,Battement de Queue,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre Dinosaure de min. Niveau 5 que vous contrôlez ; si le monstre Dinosaure est toujours face recto sur le Terrain, choisissez max. 2 monstres contrôlés par votre adversaire qui ont un Niveau inférieur, ou qui sont face verso, et renvoyez les monstres choisis à la main.",Dinosaur,,Returns from your opponent's field to your opponent's hand,Effect,
10080320,Monde Jurassique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Tous les monstres de Type Dinosaure gagnent 300 ATK/DEF.,Dinosaur,,,Continuous-like,
34016756,Riryoku,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),SPELL,,,,,,,,,,,,"Target 2 face-up monsters on the field; halve the ATK of 1 monster, and if you do, add that lost ATK to the other monster. These effects last until the end of this turn.",,,,Effect/Condition,
05318639,Typhon d'Espace Mystique,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.,,,,Effect,
22046459,Mégamorphe,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Tant que vos LP sont inférieurs à ceux de votre adversaire, l'ATK du monstre équipé devient le double de son ATK d'origine. Tant que vos LP sont supérieurs, l'ATK du monstre équipé devient la moitié de son ATK d'origine.",,,,Continuous-like,
19613556,Violent Orage,Limited(OCG)/Forbidden(TCG),MAGIE,,,,,,,,,,,,Détruisez toutes les Cartes Magie/Piège sur le Terrain.,,,,Effect,
11925569,Instinct du Chasseur,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Lorsqu'un ou plusieurs monstres sont Invoqués Spécialement sur le Terrain de votre adversaire (sauf durant la Damage Step) : Invoquez Spécialement 1 monstre Dinosaure depuis votre main.,Dinosaur,,Activates upon Special Summon,Activation requirement/Effect,
58419204,Instinct de Survie,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Bannissez un nombre de votre choix de monstres de Type Dinosaure depuis votre Cimetière ; gagnez 400 Life Points pour chaque monstre de Type Dinosaure banni pour activer cette carte.,Dinosaur,,,Cost/Effect,
79569173,Onde de Choc Sismique,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Détruisez cette carte durant votre 3e Standby Phase après activation. Activez cette carte lorsqu'un monstre de Type Dinosaure face recto que vous contrôlez est détruit et envoyé au Cimetière (sauf durant la Damage Step) : choisissez 3 Zones Magie & Piège inutilisées de votre adversaire. Ces Zones ne peuvent pas être utilisées. Si cette carte se détruit : vous pouvez cibler 1 monstre de Type Dinosaure dans votre Cimetière ; ajoutez la cible à votre main.,Dinosaur,,Activates from your Graveyard/Returns from Graveyard to hand,Continuous-like/Activation requirement/Effect/Trigger-like,
96008713,Bouclier Magique de Bras,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'un monstre de l'adversaire déclare une attaque tant qu'il contrôle min. 2 monstres face recto et que vous contrôlez un monstre : ciblez 1 monstre face recto contrôlé par votre adversaire (le monstre attaquant exclu) ; prenez le contrôle du monstre face recto (jusqu'à la fin de la Battle Phase), et si vous le faites, transférez-lui la cible de l'attaque et faites le calcul des dommages.",,,Activates upon attack declaration/Changes control,Activation requirement/Effect,
14315573,Annulation d'Attaque,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Lorsqu'un monstre de l'adversaire déclare une attaque : ciblez le monstre attaquant ; annulez l'attaque, puis terminez la Battle Phase.",,,Activates upon attack declaration/Ends the Battle Phase,Activation requirement/Effect,
69632396,Gobelin Sous Pression,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Payez 500 Life Points. Annulez l'activation d'une Carte Magie et renvoyez-la dans la main de son propriétaire.,,,Returns from field to hand,Cost/Effect,
06137095,Dysfonction,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Payez 500 Life Points. Annulez l'activation d'une Carte Piège et renvoyez-la dans sa position d'origine.,,,,Cost/Effect,
