Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
51858306,Vouivre Éclipse,Forbidden(OCG)/Forbidden(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 4,1600,1000,,,,Si cette carte est envoyée au Cimetière : bannissez 1 monstre LUMIÈRE ou TÉNÈBRES Dragon de min. Niveau 7 depuis votre Deck. Si cette carte est bannie depuis votre Cimetière : vous pouvez ajouter le monstre banni par l'effet de cette carte à votre main.,LIGHT/DARK/Dragon,,Activates from your Graveyard/Adds banished cards to the hand,Trigger,
89631139,Dragon Blanc aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Normal],,,,,Niveau 8,3000,2500,,,,Ce dragon légendaire est un puissant moteur de destruction. Rares sont ceux qui ont survécu à cette terrifiante créature quasiment invincible pour en parler.,,,,,
74677422,Dragon Noir aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Normal],,,,,Niveau 7,2400,2000,,,,Dragon féroce à l'attaque meurtrière.,,,,,
79814787,Pierre Blanche Légendaire,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Syntoniseur／Effet],,,,,Niveau 1,300,250,,,,"Si cette carte est envoyée au Cimetière : ajoutez 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre Deck à votre main.",Blue-Eyes White Dragon,,Activates from your Graveyard/Adds from Deck to hand,Trigger,
36262024,Poussin Dragon Noir,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 1,800,500,,,,"Vous pouvez envoyer cette carte face recto que vous contrôlez au Cimetière ; Invoquez Spécialement 1 ""Dragon Noir aux Yeux Rouges"" depuis votre main.",Red-Eyes Black Dragon,,Sends itself from field to Graveyard for cost,Ignition,
21785144,"Gragonith le Dragon, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 6,2000,1600,,,,"Cette carte gagne 300 ATK/DEF pour chaque monstre ""Seigneur Lumière"" de noms différents dans votre Cimetière. Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire. Durant chacune de vos End Phases : envoyez les 3 cartes du dessus de votre Deck au Cimetière.",Supports archetypes /Lightsworn,,Sends from the top of your Deck to your Graveyard,Continuous/Trigger,
65192027,Dragon Armé des Ténèbres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 7,2800,1000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en ayant exactement 3 monstres TÉNÈBRES dans votre Cimetière. Vous pouvez bannir 1 monstre TÉNÈBRES depuis votre Cimetière, puis ciblez 1 carte sur le Terrain ; détruisez la cible.",DARK,,,Summon/Ignition,
88264978,Dragon Sombre Métallique aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 10,2800,2400,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en bannissant 1 monstre Dragon face recto que vous contrôlez. Vous ne pouvez Invoquer Spécialement ""Dragon Sombre Métallique aux Yeux Rouges"" qu'une fois par tour de cette façon. Durant votre Main Phase : vous pouvez Invoquer Spécialement 1 monstre Dragon (""Dragon Sombre Métallique aux Yeux Rouges"" exclu) depuis votre main ou Cimetière. Vous ne pouvez utiliser cet effet de ""Dragon Sombre Métallique aux Yeux Rouges"" qu'une fois par tour.",Dragon,,,Summon/Ignition,
09596126,Sorcier du Chaos,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 6,2300,2000,,,,Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 1 monstre LUMIÈRE et 1 monstre TÉNÈBRES depuis votre Cimetière. Une fois par tour : vous pouvez cibler 1 monstre face recto sur le Terrain ; bannissez la cible. Cette carte ne peut pas attaquer le tour où vous activez cet effet.,,,,Summon/Ignition/Condition,
17985575,Seigneur des D,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1200,1100,,,,Aucun joueur ne peut cibler de monstres Dragon sur le Terrain avec des effets de carte.,Dragon,,,Continuous,
