Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
60806437,Tortue OVNI,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Machine/Effet],,,,,Niveau 4,1400,1200,,,,Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre FEU avec max. 1500 ATK depuis votre Deck en Position d'Attaque.,FIRE,,Activates from your Graveyard,Trigger,
68658728,Petite Chimère,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête/Effet],,,,,Niveau 2,600,550,,,,Tous les monstres FEU sur le Terrain gagnent 500 ATK. Tous les monstres EAU sur le Terrain perdent 400 ATK.,FIRE,WATER,,Continuous,
74823665,Inferno,Unlimited(OCG)/Unlimited(TCG),FIRE,[Pyro/Effect],,,,,4,1100,1900,,,,Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 FIRE monster from your GY. If this card destroys an opponent's monster by battle and sends it to the GY: Inflict 1500 damage to your opponent.,FIRE,,Activates when it destroys a monster by battle,Summon/Trigger,
90810762,Lutin du Brasier,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Pyro/Effet],,,,,Niveau 3,100,200,,,,Cette carte peut attaquer directement. Si cette carte inflige des dommages de combat à votre adversaire par une attaque directe : elle gagne 1000 ATK.,,,,Continuous/Trigger,
26205777,"Thestalos, le Monarque de la Tempête de Feu",Unlimited(OCG)/Unlimited(TCG),FEU,[Pyro/Effet],,,,,Niveau 6,2400,1000,,,,"Si cette carte est Invoquée par Sacrifice : défaussez 1 carte au hasard à votre adversaire, puis, si c'était une Carte Monstre, infligez des dommages à votre adversaire égaux à son Niveau d'origine x 100.",,,Activates upon Tribute Summon/Your opponent discards,Trigger,
51355346,"Ame de Gaïa, le Combustible Collectif",Unlimited(OCG)/Unlimited(TCG),FEU,[Pyro/Effet],,,,,Niveau 4,2000,0,,,,"Une fois par tour : vous pouvez Sacrifier max. 2 monstres de Type Pyro ; cette carte gagne 1000 ATK pour chacun d'eux. Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire. Durant la End Phase : détruisez cette carte.",Pyro,,Tributes for cost,Ignition/Continuous/Trigger,
88753985,Renard Feu,Unlimited(OCG)/Unlimited(TCG),FEU,[Pyro/Effet],,,,,Niveau 2,300,200,,,,"Durant la End Phase, si cette carte a été détruite au combat et envoyée au Cimetière ce tour et qu'elle était face recto au début de la Damage Step : Invoquez Spécialement cette carte depuis le Cimetière. Cette carte face recto ne peut pas être Sacrifiée pour une Invocation Sacrifice.",,,Activates from your Graveyard,Trigger/Continuous,
45986603,Vol à l'Arraché,Unlimited(OCG)/Limited(TCG),MAGIE,,,,,,,,,,,,"Équipable uniquement à un monstre contrôlé par votre adversaire. Prenez le contrôle du monstre équipé. Une fois par tour, durant la Standby Phase de votre adversaire : il gagne 1000 LP.",,,Takes control of equipped,Condition/Continuous-like/Trigger-like,
05318639,Typhon d'Espace Mystique,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.,,,,Effect,
71044499,Seigneur de la Suppression,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre face verso sur le Terrain ; détruisez la cible, et si vous le faites, bannissez-le, puis, si c'était un monstre Flip, chaque joueur révèle son Main Deck, puis en bannit toutes les cartes du nom du monstre.",,Flip monster,Reveals your Deck/Reveals your opponent's Deck,Effect,
55144522,Pot de Cupidité,Forbidden(OCG)/Forbidden(TCG),MAGIE,,,,,,,,,,,,Piochez 2 cartes.,,,You draw cards,Effect,
79759861,Hommage aux Damnés,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Défaussez 1 carte, puis ciblez 1 monstre sur le Terrain ; détruisez-le.",,,Discards for cost,Cost/Effect,
19613556,Violent Orage,Limited(OCG)/Forbidden(TCG),MAGIE,,,,,,,,,,,,Détruisez toutes les Cartes Magie/Piège sur le Terrain.,,,,Effect,
85562745,Chambre Ténébreuse du Cauchemar,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Chaque fois que votre adversaire subit des dommages par l'effet d'une carte, excepté ""Chambre Ténébreuse du Cauchemar"", infligez 300 points de dommages à votre adversaire.",,,,Trigger-like,
48576971,Collier de Commandement,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Lorsqu'un monstre sur votre Terrain équipé avec cette carte est détruit à l'issue du combat, et que cette carte est envoyée au Cimetière, sélectionnez et activez 1 des effets suivants : ● Piochez 1 carte de votre Deck. ● Défaussez 1 carte au hasard de la main de votre adversaire au Cimetière.",,,Activates from your Graveyard/You draw cards/Your opponent discards,Trigger-like,
33767325,Météore Destructeur,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Si les Life Points de votre adversaire sont supérieurs à 3000 : infligez 1000 points de dommages à votre adversaire.,,,,Activation requirement/Effect,
60082869,Tornade de Poussière,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Ciblez 1 Magie/Piège contrôlé par votre adversaire ; détruisez la cible, puis vous pouvez Poser 1 Magie/Piège depuis votre main.",,,Sets from your hand,Effect,
97077563,Appel de l'Être Hanté,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Activez cette carte en ciblant 1 monstre dans votre Cimetière ; Invoquez Spécialement la cible en Position d'Attaque. Lorsque cette carte quitte le Terrain, détruisez le monstre. Lorsque le monstre est détruit, détruisez cette carte.",,,,Effect/Continuous-like,
83968380,Jarre de Cupidité,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Piochez 1 carte.,,,You draw cards,Effect,
38275183,Sort de Bouclier Type 8,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Activez 1 de ces effets. ●Lorsqu'une Carte Magie qui cible exactement 1 monstre sur le Terrain est activée : annulez l'activation, et si vous le faites, détruisez-la. ●Lorsqu'une Carte Magie est activée : envoyez 1 Carte Magie depuis votre main au Cimetière ; annulez l'activation, et si vous le faites, détruisez-la.",,,Sends from your hand to your Graveyard for cost,Activation requirement/Effect/Cost,
82705573,Retour de Flamme,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Si un ou plusieurs monstres FEU face recto que vous contrôlez sont détruits et envoyés au Cimetière : infligez 500 points de dommages à votre adversaire.,FIRE,,,Trigger-like,
