Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
40164421,"Minerva la Demoiselle, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 3,800,200,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez ajouter 1 monstre LUMIÈRE de Type Dragon depuis votre Deck à votre main, dont le Niveau est inférieur ou égal au nombre total de monstres ""Seigneur Lumière"" de noms différents dans votre Cimetière. Si cette carte est envoyée depuis la main ou Deck au Cimetière : envoyez la carte du dessus de votre Deck au Cimetière. Durant chacune de vos End Phases : envoyez les 2 cartes du dessus de votre Deck au Cimetière.",Supports archetypes /Lightsworn,,Activates upon Normal Summon/Adds from Deck to hand/Activates from your Graveyard/Sends from the top of your Deck to your Graveyard,Trigger,
77558536,"Raiden le Serviteur, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Syntoniseur／Effet],,,,,Niveau 4,1700,1000,,,,"Durant votre Main Phase : vous pouvez envoyer les 2 cartes du dessus de votre Deck au Cimetière, puis si des monstres ""Seigneur Lumière"" ont été envoyés au Cimetière par cet effet, cette carte gagne 200 ATK jusqu'à la fin du tour de votre adversaire. Vous ne pouvez utiliser cet effet de ""Raiden le Serviteur, Seigneur Lumière"" qu'une fois par tour. Une fois par tour, durant votre End Phase : envoyez les 2 cartes du dessus de votre Deck au Cimetière.",Supports archetypes /Lightsworn,,Sends from the top of your Deck to your Graveyard,Ignition/Condition/Trigger,
21785144,"Gragonith le Dragon, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 6,2000,1600,,,,"Cette carte gagne 300 ATK/DEF pour chaque monstre ""Seigneur Lumière"" de noms différents dans votre Cimetière. Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire. Durant chacune de vos End Phases : envoyez les 3 cartes du dessus de votre Deck au Cimetière.",Supports archetypes /Lightsworn,,Sends from the top of your Deck to your Graveyard,Continuous/Trigger,
94381039,"Celestia l'Ange, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 5,2300,200,,,,"Lorsque vous Invoquez par Sacrifice cette carte en Sacrifiant un monstre ""Seigneur Lumière"", vous pouvez envoyer les 4 cartes du dessus de votre Deck au Cimetière pour détruire jusqu'à 2 cartes contrôlées par votre adversaire.",Supports archetypes /Lightsworn,,Activates upon Tribute Summon/Sends from the top of your Deck to your Graveyard for cost,Trigger,
96235275,"Jeanne la Paladine, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1800,1200,,,,"Si cette carte attaque un monstre de votre adversaire, durant la Damage Step uniquement, elle gagne 300 ATK. Une fois par tour, durant votre End Phase : envoyez les 2 cartes du dessus de votre Deck au Cimetière.",,,Sends from the top of your Deck to your Graveyard,Continuous/Trigger,
22624373,"Lyla la Magicienne, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 4,1700,200,,,,"Durant votre Main Phase : vous pouvez cibler 1 Carte Magie/Piège contrôlée par votre adversaire ; changez cette carte en Position d'Attaque face recto que vous contrôlez en Position de Défense face recto, et détruisez la cible, mais jusqu'à la fin de votre prochain tour, la position de combat de cette carte ne peut pas être changée, sauf avec un effet de carte. Durant chacune de vos End Phases : envoyez les 3 cartes du dessus de votre Deck au Cimetière. Vous devez contrôler cette carte face recto pour activer et résoudre cet effet.",,,Changes battle positions/Prevents Battle Position changes/Sends from the top of your Deck to your Graveyard,Ignition/Trigger,
59019082,"Garoth le Guerrier, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1850,1300,,,,"Si une ou plusieurs cartes sont envoyées depuis votre Deck au Cimetière par l'effet d'un monstre ""Seigneur Lumière"" que vous contrôlez (""Garoth le Guerrier, Seigneur Lumière"" exclu) : envoyez les 2 cartes du dessus de votre Deck au Cimetière, puis piochez 1 carte pour chaque monstre ""Seigneur Lumière"" envoyé au Cimetière par cet effet.",Supports archetypes /Lightsworn,,Sends from the top of your Deck to your Graveyard/You draw cards,Trigger,
58996430,"Wulf la Bête, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête-Guerrier/Effet],,,,,Niveau 4,2100,300,,,,Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement par un effet de carte. Si cette carte est envoyée depuis votre Deck au Cimetière : Invoquez-la Spécialement.,,,Activates from your Graveyard,Summon/Trigger,
95503687,"Lumina l'Invocatrice, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 3,1000,1000,,,,"Une fois par tour : vous pouvez défausser 1 carte, puis ciblez 1 monstre ""Seigneur Lumière"" de max. Niveau 4 dans votre Cimetière ; Invoquez-le Spécialement. Une fois par tour, durant votre End Phase : envoyez les 3 cartes du dessus de votre Deck au Cimetière.",Supports archetypes /Lightsworn,,Discards for cost/Sends from the top of your Deck to your Graveyard,Ignition/Trigger,
02420921,"Shire l'Esprit, Seigneur Lumière",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 3,400,1400,,,,"Cette carte gagne 300 ATK pour chaque monstre ""Seigneur Lumière"" de nom différent dans votre Cimetière. Durant chacune de vos End Phases : envoyez les 2 cartes du dessus de votre Deck au Cimetière.",Supports archetypes /Lightsworn,,Sends from the top of your Deck to your Graveyard,Continuous/Trigger,
