Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
96561011,Dragon des Ténèbres aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 9,2400,2000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en Sacrifiant 1 ""Dragon Noir aux Yeux Rouges"". Gagne 300 ATK pour chaque monstre Dragon dans votre Cimetière.",Red-Eyes Black Dragon/Dragon,,Tributes for cost,Summon/Continuous,
74677422,Dragon Noir aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Normal],,,,,Niveau 7,2400,2000,,,,Dragon féroce à l'attaque meurtrière.,,,,,
43586926,Béhémoth à Deux Têtes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 3,1500,1200,,,,"Durant la End Phase, si cette carte est dans le Cimetière parce qu'elle a été détruite sur le Terrain et y a été envoyée ce tour : vous pouvez Invoquer Spécialement cette carte, mais son ATK/DEF deviennent 1000. Vous ne pouvez utiliser cet effet de ""Béhémoth à Deux Têtes"" qu'une fois par Duel.",,,Activates from your Graveyard,Trigger/Condition,
00980973,Dragon Armé LV3,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 3,1200,900,,,,"Durant votre Standby Phase : vous pouvez envoyer cette carte au Cimetière ; Invoquez Spécialement 1 ""Dragon Armé LV5"" depuis votre main ou Deck.",Armed Dragon LV5,,Sends itself from field to Graveyard for cost,Trigger,
46384672,Dragon Armé LV5,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 5,2400,1700,,,,"Vous pouvez envoyer 1 monstre depuis votre main au Cimetière, puis ciblez 1 monstre contrôlé par votre adversaire avec une ATK inférieure ou égale à l'ATK du monstre envoyé ; détruisez la cible. Durant la End Phase, si cette carte a détruit un monstre au combat ce tour : vous pouvez envoyer cette carte au Cimetière ; Invoquez Spécialement 1 ""Dragon Armé LV7"" depuis votre main ou Deck.",Armed Dragon LV7,,Discards for cost/Activates when it destroys a monster by battle/Sends itself from field to Graveyard for cost,Ignition/Trigger,
36262024,Poussin Dragon Noir,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 1,800,500,,,,"Vous pouvez envoyer cette carte face recto que vous contrôlez au Cimetière ; Invoquez Spécialement 1 ""Dragon Noir aux Yeux Rouges"" depuis votre main.",Red-Eyes Black Dragon,,Sends itself from field to Graveyard for cost,Ignition,
45986603,Vol à l'Arraché,Unlimited(OCG)/Limited(TCG),MAGIE,,,,,,,,,,,,"Équipable uniquement à un monstre contrôlé par votre adversaire. Prenez le contrôle du monstre équipé. Une fois par tour, durant la Standby Phase de votre adversaire : il gagne 1000 LP.",,,Takes control of equipped,Condition/Continuous-like/Trigger-like,
05318639,Typhon d'Espace Mystique,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.,,,,Effect,
71044499,Seigneur de la Suppression,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre face verso sur le Terrain ; détruisez la cible, et si vous le faites, bannissez-le, puis, si c'était un monstre Flip, chaque joueur révèle son Main Deck, puis en bannit toutes les cartes du nom du monstre.",,Flip monster,Reveals your Deck/Reveals your opponent's Deck,Effect,
72302403,Épées de Révélation de la Lumière,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Après activation de cette carte, elle reste sur le Terrain, mais vous devez la détruire durant la End Phase du 3e tour de votre adversaire. Lorsque cette carte est activée : si votre adversaire contrôle un monstre face verso, retournez face recto tous les monstres qu'il contrôle. Tant que cette carte est face recto sur le Terrain, les monstres de votre adversaire ne peuvent pas déclarer d'attaque.",,,Flips monsters face-up,Condition/Effect/Continuous-like,
55144522,Pot de Cupidité,Forbidden(OCG)/Forbidden(TCG),MAGIE,,,,,,,,,,,,Piochez 2 cartes.,,,You draw cards,Effect,
19613556,Violent Orage,Limited(OCG)/Forbidden(TCG),MAGIE,,,,,,,,,,,,Détruisez toutes les Cartes Magie/Piège sur le Terrain.,,,,Effect,
81385346,Écrasement Destructeur,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous contrôlez un monstre Dragon : ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible, et si vous le faites, infligez 500 points de dommages à son contrôleur.",Dragon,,,Activation requirement/Effect,
31036355,Permutation de Créature,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Chaque joueur choisit 1 monstre qu'il contrôle et échange son contrôle avec celui choisi par l'adversaire. Le reste de ce tour, ces monstres ne peuvent pas changer de position de combat.",,,Changes control/Prevents Battle Position changes,Effect/Condition,
88089103,Le Cimetière de la Quatrième Dimension,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ajoutez 2 monstres de votre Cimetière qui incluent ""LV"" dans leur nom de carte à votre Deck puis mélangez-le.",Supports archetypes /LV,,Returns from your Graveyard to your Deck,Effect,
97077563,Appel de l'Être Hanté,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Activez cette carte en ciblant 1 monstre dans votre Cimetière ; Invoquez Spécialement la cible en Position d'Attaque. Lorsque cette carte quitte le Terrain, détruisez le monstre. Lorsque le monstre est détruit, détruisez cette carte.",,,,Effect/Continuous-like,
36468556,Cessez-le-Feu,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Si un monstre en Position de Défense face verso ou un Monstre à Effet est sur le Terrain : changez tous les monstres en Position de Défense face verso sur le Terrain en Position de Défense face recto (les effets de monstres Flip ne sont pas activés à ce moment), et aussi, infligez 500 points de dommages à votre adversaire pour chaque Monstre à Effet sur le Terrain.",,Flip monster,Flips monsters face-up,Activation requirement/Effect,
92408984,La Pierre du Dragon,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Défaussez 1 carte de votre main pour annuler l'effet d'une Carte Piège désignant 1 monstre de Type Dragon face recto comme cible et détruisez-la.,Dragon,,Discards for cost,Quick-like,
54178050,La Colère du Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Si votre monstre Dragon attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.",Dragon,,,Continuous-like,
66742250,Malédiction d'Anubis,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Changez tous les Monstres à Effet sur le Terrain en Position de Défense. Jusqu'à la fin de ce tour, la DEF d'origine de ces monstres devient 0, et aussi, leur position de combat ne peut pas être changée.",,Effect Monster,Changes battle positions/Prevents battle position changes,Effect/Condition,
