Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
86321248,Chimère Gadjiltron Rouages Ancients,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 6,2300,1300,,,,Cette carte gagne les effets appropriés si vous l'Invoquez Normalement en Sacrifiant ces monstres.●Gadget Vert : Cette carte gagne 300 ATK.●Gadget Rouge : Si cette carte inflige des dommages de combat à votre adversaire par une attaque directe : infligez 500 points de dommages à votre adversaire.●Gadget Jaune : Si cette carte détruit un monstre de votre adversaire au combat : infligez 700 points de dommages à votre adversaire.,Green Gadget/Red Gadget/Yellow Gadget,,,Condition/Continuous/Trigger,
01953925,Ingénieur Rouages Ancients,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 5,1500,1500,,,,"Annulez les effets de Piège qui ciblent cette carte, et si vous le faites, détruisez la Carte Piège. Si cette carte attaque, votre adversaire ne peut pas activer de Cartes Magie/Piège jusqu'à la fin de la Damage Step. À la fin de la Damage Step, si cette carte a attaqué : ciblez 1 Magie/Piège contrôlé par votre adversaire ; détruisez la cible.",,,,Continuous/Trigger,
13316346,Soldat Amorceur - Dynamo Redoutable,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 4,0,2000,,,,"Tant que vous avez un monstre ""Gadget"" face recto sur votre Terrain, cette carte gagne 2000 points d'ATK.",Supports archetypes /Gadget,,,Continuous,
07359741,Chasseur Mécanique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Machine/Normal],,,,,Niveau 4,1850,800,,,,"Aux ordres du Roi des Machines, ce chasseur poursuit implacablement sa cible.",,,,,
11384280,Soldat Canon,Forbidden(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,1400,1300,,,,Vous pouvez Sacrifier 1 monstre pour infliger 500 points de dommages à votre adversaire.,,,Tributes for cost,Ignition,
30190809,"Gear Golem, La Forteresse Mobile",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 4,800,2200,,,,"Une fois par tour, durant votre Main Phase 1 : vous pouvez payer 800 LP ; ce tour, cette carte peut attaquer directement votre adversaire.",,,,Ignition,
23265594,Plateforme de Soutien des Engins Lourds,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Machine/Union／Effet],,,,,Niveau 3,500,500,,,,"Une fois par tour, vous pouvez SOIT : ciblez 1 monstre Machine que vous contrôlez ; équipez cette carte à la cible, SOIT : déséquipez cette carte et Invoquez-la Spécialement. Un monstre équipé avec cette carte gagne 500 ATK/DEF, et aussi, si le monstre équipé va être détruit au combat ou par un effet de carte, détruisez cette carte à la place.",Machine,,Equips self from field,Ignition/Ignition-like/Continuous-like,
10509340,Bête Rouages Ancients,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 6,2000,2000,,,,"Non Invocable Spécialement. Si cette carte attaque, votre adversaire ne peut pas activer de Cartes Magie/Piège jusqu'à la fin de la Damage Step. Annulez les effets d'un monstre de l'adversaire détruit au combat avec cette carte (y compris dans le Cimetière).",,,,Summon/Continuous,
56094445,Soldat Rouages Ancients,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 4,1300,1300,,,,"Si cette carte attaque, votre adversaire ne peut pas activer de Cartes Magie/Piège jusqu'à la fin de la Damage Step.",,,,Continuous,
31557782,Rouages Ancients,,TERRE,[Machine/Effet],,,,,Niveau 2,100,800,,,,"Si vous contrôlez ""Rouages Ancients"", vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position d'Attaque.",,,Activates from your hand,Summon,
