Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
13039848,Soldat Géant de Pierre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Rocher/Normal],,,,,Niveau 3,1300,2000,,,,Guerrier géant en pierre. Un coup de poing de cette créature est capable de faire trembler la terre.,,,,,
97590747,La Jinn le Génie Mystique de la Lampe,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1800,1000,,,,Génie de la lampe à l'entière disposition de son maître.,,,,,
05053103,Bœuf de Combat,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête-Guerrier/Normal],,,,,Niveau 4,1700,1000,,,,Monstre à la puissance foudroyante qui détruit ses ennemis d'un simple coup de hache.,,,,,
13723605,Coffre Mangeur d'Hommes,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1600,1000,,,,Monstre déguisé en coffre à trésors réputé pour s'abattre sur l'aventurier imprudent.,,,,,
02311603,Overdrive,Unlimited(OCG)/Unlimited(TCG),EARTH,[Machine/Normal],,,,,4,1600,1500,,,,An all-terrain armored vehicle armed with a heavy-duty machine gun.,,,,,
44203504,Chevalier Robotisé,Unlimited(OCG)/Unlimited(TCG),FEU,[Machine/Normal],,,,,Niveau 4,1600,1800,,,,"Serviteur du Roi des Machines, ce commandant est reputé pour la manière dont il contrôle ses troupes.",,,,,
75953262,Dai Grepher le Guerrier,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Normal],,,,,Niveau 4,1700,1600,,,,Personne ne connaît le passé mystérieux de l'homme qui murmurait à l'oreille des dragons.,,,,,
84696266,Canard Supersonique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Bête Ailée/Normal],,,,,Niveau 3,1700,700,,,,Un canard qui peut se déplacer à des vitesses transsoniques. Il lui arrive de se tromper dans ses foulées et de perdre le contrôle.,,,,,
36119641,Poisson-Lune Spatial,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Normal],,,,,Niveau 4,1700,1000,,,,Un poisson-lune spatial flottant dans l'univers infini. On dit que ce fossile vivant est la résurgence d'une ancienne civilisation d'Alphard4.,,,,,
38445524,Gil Garth,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Normal],,,,,4,1800,1200,,,,This steel-armored terror machine ruthlessly strikes down enemies with its giant katana.,,,,,
04335645,Newdoria,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Effect],,,,,4,1200,800,,,,If this card is destroyed by battle and sent to the GY: Target 1 monster on the field; destroy that target.,,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
18325492,Gyroid,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WIND,[Machine/Effect],,,,,3,1000,1000,,,,"The first time this card would be destroyed by battle each turn, it is not destroyed.",,,,Continuous,
30683373,Destruction de Bouclier,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 monstre en Position de Défense sur le Terrain ; détruisez la cible.,,,,Effect,
81510157,Voleur d'Esprit,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre face recto contrôlé par votre adversaire ; détruisez la cible, puis votre adversaire gagne 1000 LP.",,,,Effect,
36361633,Rugissement Menaçant,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Votre adversaire ne peut pas déclarer d'attaque ce tour.,,,,Effect,
25005816,Inspiration,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TRAP,,,,,,,,,,,,Target 1 face-up monster you control; it gains 700 ATK until the end of this turn.,,,,Effect,
