Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
None,Le Dragon Ailé de Râ,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DIVIN,[Bête Divine/Effet],,,,,Niveau 10,?,?,,,,"Non Invocable Spécialement. Nécessite 3 Sacrifices pour son Invocation Normale (non Posable Normalement). L'Invocation Normale de cette carte ne peut pas être annulée. Lorsqu'elle est Invoquée Normalement, les autres cartes et effets ne peuvent pas être activés. Lorsque cette carte est Invoquée Normalement : vous pouvez payer des LP jusqu'à n'en avoir plus que 100 ; cette carte gagne une ATK/DEF égales au montant des LP payés. Vous pouvez payer 1000 LP, puis ciblez 1 monstre sur le Terrain ; détruisez la cible.",,,,Summon/Unclassified/Continuous/Trigger/Ignition,
42166000,Dieu Égyptien Slime,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Fusion／Effet],,,,,Niveau 10,3000,3000,,1 monstre Aqua + 1 monstre EAU de Niveau 10,,"Doit d'abord être soit Invoquée par Fusion, soit Invoquée Spécialement depuis votre Extra Deck en Sacrifiant 1 monstre Aqua de Niveau 10 avec 0 ATK. Cette carte peut être traitée comme 1 ou 3 Sacrifices pour l'Invocation Sacrifice d'un monstre. Non destructible au combat. Les monstres de votre adversaire ne peuvent pas cibler avec une attaque, et votre adversaire ne peut pas cibler avec des effets de carte, les monstres que vous contrôlez (""Dieu Égyptien Slime"" exclu).",Aqua/WATER,,,Summon/Unclassified/Continuous,
41044418,Révélation Millénaire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Vous pouvez envoyer 1 monstre Bête Divine depuis votre main au Cimetière ; ajoutez 1 ""Monster Reborn"" depuis votre Deck ou Cimetière à votre main. Vous pouvez envoyer cette carte face recto au Cimetière ; ce tour, vous pouvez Invoquer Spécialement ""Le Dragon Ailé de Râ"" depuis votre Cimetière avec ""Monster Reborn"", en ignorant ses conditions d'Invocation. Durant la End Phase du tour où cet effet a été activé, vous devez envoyer ""Le Dragon Ailé de Râ"" que vous contrôlez qui a été Invoqué Spécialement avec ""Monster Reborn"" au Cimetière. Vous ne pouvez utiliser chaque effet de ""Révélation Millénaire"" qu'une fois par tour.",Divine-Beast/Monster Reborn/The Winged Dragon of Ra,,Sends from hand to Graveyard for cost/Adds from Deck to hand/Adds from Graveyard to hand/Sends itself from field to Graveyard for cost/Sends from your field to your Graveyard,Ignition-like/Condition,
77432167,Unification du Dieu du Soleil,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Si vous contrôlez un monstre dont le nom d'origine est ""Le Dragon Ailé de Râ"", vous pouvez activer cette carte le tour où elle a été Posée. Durant la Main Phase : vous pouvez payer des LP jusqu'à n'en avoir plus que 100 ; 1 ""Le Dragon Ailé de Râ"" Invoqué Spécialement que vous contrôlez gagne une ATK/DEF égales au montant des LP payés (même si cette carte quitte le Terrain). Une fois par tour : vous pouvez Sacrifier 1 ""Le Dragon Ailé de Râ"" ; gagnez des LP égaux à son ATK sur le Terrain. Vous ne pouvez pas activer les deux effets de cette carte dans la même Chaîne.",The Winged Dragon of Ra,,Tributes for cost,Condition/Quick-like,
21593977,Makyura le Destructeur,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1600,1200,,,,"Si cette carte est envoyée depuis la Zone Monstre au Cimetière : ce tour, vous pouvez activer 1 Carte Piège depuis votre main. Vous ne pouvez utiliser cet effet de ""Makyura le Destructeur"" qu'une fois par tour.",,,,Unclassified,
43730887,Paralysie des Bras,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,500,1200,,,,"Si cette carte est Invoquée Normalement ou Spécialement : ciblez 1 monstre face recto contrôlé par votre adversaire ; tant que cette carte est face recto sur le Terrain, le monstre face recto ne peut pas attaquer, et aussi, ses effets sont annulés. Tant que le monstre face recto est sur le Terrain, cette carte ne peut être détruite ni au combat ni par des effets de carte.",,,Activates upon Normal Summon/Activates upon Special Summon,Trigger/Continuous,
39913299,Le Vrai Nom,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Déclarez 1 nom de carte ; dévoilez la carte du dessus de votre Deck, et si c'est la carte déclarée, ajoutez-la à votre main, puis vous pouvez ajouter à votre main, ou Invoquer Spécialement, 1 monstre DIVIN depuis votre Deck. Sinon, envoyez-la au Cimetière. Vous ne pouvez activer qu'1 ""Le Vrai Nom"" par tour.",DIVINE,,Declares a card name/Excavates from the player's Deck/Adds excavated cards to the hand/Adds from Deck to hand/Sends excavated cards to the Graveyard/Sends from your Deck to your Graveyard,Effect/Condition,
30221870,"Wisel, Empereur Meklord - Absorption Synchro",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 1,2500,2500,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement par son propre effet. Durant le tour de votre adversaire (Effet Rapide) : vous pouvez envoyer 1 monstre ""Meklord"" face recto que vous contrôlez au Cimetière ; Invoquez Spécialement cette carte depuis votre main. Vous ne pouvez utiliser cet effet de ""Wisel, Empereur Meklord - Absorption Synchro"" qu'une fois par tour. Si cette carte est Invoquée Spécialement : vous pouvez cibler 1 monstre contrôlé par votre adversaire ; le reste de ce tour, il ne peut pas attaquer. Lorsqu'une carte ou un effet qui va détruire une ou plusieurs cartes sur le Terrain est activé (Effet Rapide) : vous pouvez Sacrifier cette carte ; annulez l'activation, et si vous le faites, détruisez la carte.",Supports archetypes /Meklord,,Activates from your hand/Sends from field to Graveyard for cost/Activates upon Special Summon/Tributes itself for cost,Summon/Quick/Condition/Trigger,
77710579,Noyau Infini Nucléus Meklord,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 1,0,0,,,,"La première fois que cette carte va être détruite au combat chaque tour, elle n'est pas détruite. Vous ne pouvez utiliser chacun des effets suivants de ""Noyau Infini Nucléus Meklord"" qu'une fois par tour. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 Magie/Piège ""Meklord"" depuis votre Deck à votre main. Si cette carte est détruite par un effet de carte : vous pouvez Invoquer Spécialement 1 monstre ""Empereur Meklord"" depuis votre main ou Deck d'un Attribut différent des monstres que vous contrôlez, en ignorant ses conditions d'Invocation, et aussi, vous ne pouvez déclarer une attaque qu'avec 1 monstre le reste de ce tour.",Supports archetypes /Meklord/Meklord Emperor,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Activates if destroyed by card effect,Continuous/Condition/Trigger,
39109382,Assemblée Meklord,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Lorsque cette carte est activée : vous pouvez ajouter 1 monstre ""Meklord"" depuis votre Deck à votre main. Vous ne pouvez activer qu'1 ""Assemblée Meklord"" par tour. Vous ne pouvez utiliser chacun des effets suivants de ""Assemblée Meklord"" qu'une fois par tour.●Vous pouvez défausser 1 carte, puis ciblez 1 monstre que vous contrôlez ; détruisez-le.●Si un ou plusieurs monstres ""Meklord"" face recto que vous contrôlez sont détruits au combat ou par un effet de carte : vous pouvez cibler 1 autre Magie/Piège face recto sur le Terrain ; détruisez-le.",Supports archetypes /Meklord,,Adds from Deck to hand/You discard for cost/Activates if destroyed by battle/Activates if destroyed by card effect,Effect/Condition/Ignition-like/Trigger-like,
66594927,Déviation Meklord,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre ""Meklord"" que vous contrôlez ; votre adversaire ne reçoit aucun dommage de combat des attaques impliquant le monstre face recto jusqu'à la fin de ce tour, et aussi, son ATK devient (définitivement) la somme des ATK d'origine de tous les monstres ""Meklord"" que vous contrôlez actuellement. Si un ou plusieurs monstres ""Meklord"" que vous contrôlez vont être détruits au combat ou par un effet de carte, vous pouvez bannir cette carte depuis votre Cimetière à la place. Vous ne pouvez activer qu'1 ""Déviation Meklord"" par tour.",Supports archetypes /Meklord,,,Effect/Unclassified/Condition,
02992036,Astro Meklord l'Éradicateur,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Ciblez 3 monstres ""Meklord"" de noms différents dans votre Cimetière ; ajoutez-les à votre main, OU Invoquez-les Spécialement, en ignorant leurs conditions d'Invocation. Jusqu'à la fin de votre prochain tour après activation de cette carte, vous ne pouvez pas Invoquer Spécialement de monstres (monstres Machine exclus). Si vous contrôlez un monstre ""Astro Meklord"" ou ""Astre Meklord"" : vous pouvez bannir cette carte depuis votre Cimetière ; détruisez 1 Monstre Synchro contrôlé par votre adversaire, et si vous le faites, infligez des dommages à votre adversaire égaux à son ATK d'origine. Vous ne pouvez utiliser chaque effet de ""Astro Meklord l'Éradicateur"" qu'une fois par tour.",Supports archetypes /Meklord/Meklord Astro,Synchro Monster,Adds from Graveyard to hand/Activates from your Graveyard,Effect/Quick-like/Condition,
39648965,Armée Meklord de Wisel,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,1800,0,,,,"Gagne 100 ATK pour chaque monstre ""Meklord"" (cette carte exclue) sur le Terrain. Une fois par tour, lorsqu'un autre monstre ""Meklord"" que vous contrôlez déclare une attaque sur un monstre en Position de Défense : vous pouvez activer cet effet ; durant ce combat, s'il attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.",Supports archetypes /Meklord,,Activates upon attack declaration,Continuous/Trigger,
04081825,Chaos Infini,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Changez autant de monstres en Position de Défense sur le Terrain que possible en Position d'Attaque face recto, puis Invoquez Spécialement 1 monstre ""Meklord"" depuis votre Deck ou Cimetière, mais ses effets sont annulés, et aussi, il est détruit durant la End Phase.",Supports archetypes /Meklord,,Changes battle positions,Effect,
39987731,Jinzo la Menace Machine,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 7,2400,1500,,,,"Si un Piège est face recto sur le Terrain ou dans l'un des Cimetières : vous pouvez Invoquer Spécialement cette carte depuis votre main, et si vous le faites, elle devient Niveau 6 jusqu'à la fin de ce tour. Durant la Main Phase (Effet Rapide) : vous pouvez Sacrifier cette carte ; Invoquez Spécialement 1 ""Jinzo"" depuis votre main ou Cimetière, puis vous pouvez détruire tous les Pièges contrôlés par votre adversaire (si une carte est Posée, révélez-la). Vous ne pouvez utiliser chaque effet de ""Jinzo la Menace Machine"" qu'une fois par tour.",Jinzo,,Activates from your hand/Tributes itself for cost/Reveals face-down cards,Ignition/Quick/Condition,
65471349,Bounder Psychique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Effet],,,,,Niveau 4,1700,1000,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 ""Jinzo"" ou 1 Magie/Piège qui liste spécifiquement la carte dans son texte, depuis votre Deck à votre main. Lorsqu'un autre monstre que vous contrôlez est attaqué par un monstre de l'adversaire, avant le calcul des dommages : vous pouvez détruire le monstre attaquant ainsi que cette carte. Vous ne pouvez utiliser chaque effet de ""Bounder Psychique"" qu'une fois par tour.",Jinzo,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand,Trigger/Condition,
38265153,Choc Énergétique Cyber,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous contrôlez ""Jinzo"" : ciblez 1 carte sur le Terrain ; détruisez-la, puis, si c'était un Piège, vous pouvez appliquer 1 de ces effets.●Jusqu'à la fin de ce tour, annulez les effets d'1 carte face recto sur le Terrain.●Tous les ""Jinzo"" que vous contrôlez gagnent 800 ATK.Vous ne pouvez activer qu'1 ""Choc Énergétique Cyber"" par tour.",Jinzo,,,Effect/Condition,
64659851,Loi du Cosmos,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Votre adversaire peut Poser 1 Piège directement depuis sa main ou Deck. Puis, s'il l'a fait, Invoquez Spécialement 1 ""Jinzo"" depuis votre Deck. S'il ne l'a pas fait, ajoutez 1 ""Jinzo"" ou 1 monstre qui liste spécifiquement la carte dans son texte depuis votre Deck à votre main. Vous ne pouvez activer qu'1 ""Loi du Cosmos"" par tour.",Jinzo,,Sets from your opponent's hand/Sets from your opponent's Deck/Adds from Deck to hand,Effect/Condition,
87910978,Contrôle Cérébral,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Payez 800 LP, puis ciblez 1 monstre face recto contrôlé par votre adversaire qui est Invocable/Posable Normalement ; jusqu'à la End Phase, prenez le contrôle de la cible.",,,Changes control,Cost/Effect,
00303660,Amplificateur,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Équipable uniquement à ""Jinzo"". L'activation et l'effet de cette carte ne peuvent pas être annulés. L'effet du monstre équipé ""Les Cartes Piège, et leurs effets sur le Terrain, ne peuvent pas être activés. Annulez tous les effets de Piège sur le Terrain."" devient ""Votre adversaire ne peut activer ni de Cartes Piège ni leurs effets sur le Terrain. Annulez tous les effets de Piège contrôlé par votre adversaire."" Lorsque cette carte quitte le Terrain, détruisez le monstre équipé.",Jinzo,,Overwrites card effects/Activates when it leaves the field/Activation cannot be negated/Effect that cannot be negated,Condition/Continuous-like,
37520316,Contrôle Mental,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre contrôlé par votre adversaire ; jusqu'à la End Phase, prenez le contrôle de la cible, mais elle ne peut ni déclarer d'attaque ni être Sacrifiée.",,,Changes control/Cannot be Tributed,Effect,
72563071,Onde de Choc Psychique,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Lorsque votre adversaire active une Carte Piège : défaussez 1 Magie/Piège ; Invoquez Spécialement 1 monstre TÉNÈBRES Machine de Niveau 6 depuis votre Deck.,DARK/Machine,,Discards for cost,Activation requirement/Cost/Effect,
74875003,Disciple de Râ,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1100,600,,,,"Lorsque cette carte est Invoquée : vous pouvez Invoquer Spécialement max. 2 ""Disciple de Râ"" depuis votre main et/ou Deck. Non Sacrifiable, sauf pour l'Invocation Sacrifice de ""Slifer, le Dragon Céleste"", ""Obelisk, le Tourmenteur"" ou ""Le Dragon Ailé de Râ"". Vous ne pouvez pas Invoquer Spécialement de monstres, sauf par l'effet de ""Disciple de Râ"".",Obelisk the Tormentor/Slifer the Sky Dragon/The Winged Dragon of Ra,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon/Cannot be Tributed,Trigger/Continuous,
02137678,Armée Meklord de Granel,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 4,1600,1200,,,,"Gagne 100 ATK pour chaque monstre ""Meklord"" (cette carte exclue) sur le Terrain. Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; jusqu'à la fin de ce tour, divisez par deux l'ATK de la cible.",Supports archetypes /Meklord,,,Continuous/Trigger,
12986778,Bénédiction de l'Empereur Meklord,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si les seuls monstres face recto sur le Terrain sont 2 monstres ""Meklord"" : piochez 2 cartes. Vous ne pouvez pas mener votre Battle Phase le tour où vous activez cette carte.",Supports archetypes /Meklord,,You draw cards/Cannot conduct Battle Phase,Effect/Condition,
59371387,Armée Meklord Déterminée,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Tous les monstres ""Armée Meklord"" que vous contrôlez en Position d'Attaque ne peuvent pas être détruits au combat, et aussi, leurs effets sont annulés.",Supports archetypes /Meklord Army,,,Continuous-like,
23587624,Un Monstre Sauvage Apparaît !,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si uniquement votre adversaire contrôle un monstre : Invoquez Spécialement 1 monstre de max. Niveau 10 d'origine depuis votre main qui ne peut pas être Invoqué/Posé Normalement, en ignorant ses conditions d'Invocation. Il n'est pas affecté par les effets de vos cartes (ses propres effets et ceux de cette carte exclus), et aussi, mélangez-le dans le Deck durant la prochaine End Phase de votre adversaire. Le reste de ce tour, vous ne pouvez ni Invoquer/Poser Normalement ni Invoquer Spécialement de monstres, et votre adversaire ne reçoit aucun dommage.",,,Returns from field to Deck,Activation requirement/Effect/Condition,
00269012,Chaînes d'Entrave du Dieu,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Les monstres de min. Niveau 10 sur le Terrain ne peuvent être ni ciblés ni détruits par des effets de carte. Si un monstre de min. Niveau 10 détruit un monstre au combat et l'envoie au Cimetière : le joueur qui contrôlait le monstre détruit reçoit 1000 points de dommages. Lorsque cette carte sur le Terrain est détruite par un effet de carte et envoyée au Cimetière : vous pouvez ajouter 1 monstre DIVIN depuis votre Deck à votre main.,DIVINE,,Activates when it destroys a monster by battle/Activates from your Graveyard/Adds from Deck to hand,Continuous-like/Trigger-like,
89907227,Bihamut Aura Blanche,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Synchro／Effet],,,,,Niveau 10,3300,3000,,1 Monstre Synchro Syntoniseur + 1+ monstre non-Syntoniseur,,"Durant votre tour, lorsque cette carte est Invoquée par Synchronisation : vous pouvez Invoquer Spécialement 1 ""Jeton Dragon Divin"" (Poisson/EAU/Niveau 10/ATK 3300/DEF 3000) en Position de Défense. Une fois par tour de l'adversaire, tant que vous ne contrôlez aucun Jeton (Effet Rapide) : vous pouvez Invoquer Spécialement 1 ""Jeton Dragon Divin"". Si cette carte que vous contrôlez est détruite par un effet de carte de l'adversaire et envoyée à votre Cimetière, tant que vous contrôlez ""Jeton Dragon Divin"" : vous pouvez Invoquer Spécialement cette carte en Position de Défense.",,,Activates upon Synchro Summon/Activates from your Graveyard,Trigger/Quick,
