Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
89631139,Dragon Blanc aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Normal],,,,,Niveau 8,3000,2500,,,,Ce dragon légendaire est un puissant moteur de destruction. Rares sont ceux qui ont survécu à cette terrifiante créature quasiment invincible pour en parler.,,,,,
34627841,Kaibaman,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Warrior/Effect],,,,,3,200,700,,,,"You can Tribute this card; Special Summon 1 ""Blue-Eyes White Dragon"" from your hand.",Blue-Eyes White Dragon,,Tributes itself for cost,Ignition,
02732323,Dragon Appât,Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Effet],,,,,Niveau 2,300,200,,,,"Si cette carte est ciblée par une attaque : ciblez 1 monstre Dragon de min. Niveau 7 dans votre Cimetière ; Invoquez-le Spécialement, et si vous le faites, transférez-lui la cible de l'attaque et faites le calcul des dommages.",Dragon,,,Trigger,
79814787,Pierre Blanche Légendaire,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Syntoniseur／Effet],,,,,Niveau 1,300,250,,,,"Si cette carte est envoyée au Cimetière : ajoutez 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre Deck à votre main.",Blue-Eyes White Dragon,,Activates from your Graveyard/Adds from Deck to hand,Trigger,
09433350,Dragon Blanc aux Yeux Bleus Corrompu,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 8,3000,2500,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre Deck. Il ne peut y avoir qu'1 monstre ""Corrompu"" sur le Terrain. Les autres monstres que vous contrôlez ne peuvent pas déclarer d'attaque. S'il n'y a aucune Magie de Terrain face recto sur le Terrain, détruisez cette carte.",Blue-Eyes White Dragon/Field Spell Card,Anti-supports archetypes /Malefic,,Summon/Unclassified/Continuous,
88241506,Demoiselle aux Yeux Couleur Bleu,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 1,0,0,,,,"Lorsqu'une carte ou un effet qui cible cette carte est activé (Effet Rapide) : vous pouvez Invoquer Spécialement 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre main, Deck ou Cimetière. Lorsque cette carte est ciblée par une attaque : vous pouvez annuler l'attaque, et si vous le faites, changez la position de combat de cette carte, puis vous pouvez Invoquer Spécialement 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre main, Deck ou Cimetière. Vous ne pouvez utiliser qu'1 effet de ""Demoiselle aux Yeux Couleur Bleu"" par tour, et uniquement une fois le tour.",Blue-Eyes White Dragon,,Changes battle positions,Trigger/Quick/Condition,
36734924,Prêtresse avec des Yeux de Bleu,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 1,0,0,,,,"Lorsqu'une carte ou un effet qui cible cette carte est activé (Effet Rapide) : vous pouvez envoyer 1 Monstre à Effet que vous contrôlez au Cimetière, et si vous le faites, ajoutez max. 2 monstres ""Yeux Bleus"" de noms différents depuis votre Deck à votre main. Si cette carte est dans votre Cimetière : vous pouvez cibler 1 monstre ""Yeux Bleus"" que vous contrôlez ; mélangez-le dans le Deck, et si vous le faites, Invoquez Spécialement cette carte. Vous ne pouvez utiliser qu'1 effet de ""Prêtresse avec des Yeux de Bleu"" par tour, et uniquement une fois le tour.",Supports archetypes /Blue-Eyes,,Sends from your field to your Graveyard for cost/Adds from Deck to hand/Activates from your Graveyard/Returns from your field to your Deck,Quick/Ignition/Condition,
38517737,Dragon Blanc Alternatif aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,3000,2500,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en révélant ""Dragon Blanc aux Yeux Bleus"" dans votre main. Vous ne pouvez Invoquer Spécialement ""Dragon Blanc Alternatif aux Yeux Bleus"" qu'une fois par tour de cette façon. Le nom de cette carte devient ""Dragon Blanc aux Yeux Bleus"" tant qu'elle est sur le Terrain ou dans le Cimetière. Une fois par tour : vous pouvez cibler 1 monstre contrôlé par votre adversaire ; détruisez-le. Cette carte ne peut pas attaquer le tour où cet effet est activé.",Blue-Eyes White Dragon,,Reveals your hand for cost/Destroys your opponent's Monster Cards,Summon/Unclassified/Ignition/Condition,
45467446,Esprit du Dragon Blanc,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,2500,2000,,,,"(Cette carte est toujours traitée comme carte ""Yeux Bleus"".)Cette carte est traitée comme Monstre Normal tant qu'elle est dans la main ou Cimetière. Lorsque cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 Magie/Piège contrôlé par votre adversaire ; bannissez-le. Si votre adversaire contrôle un monstre (Effet Rapide) : vous pouvez Sacrifier cette carte ; Invoquez Spécialement 1 ""Dragon Blanc aux Yeux Bleus"" depuis votre main.",Blue-Eyes White Dragon,,Activates upon Normal Summon/Activates upon Special Summon/Tributes itself for cost,Condition/Unclassified/Trigger/Quick,
72855441,Protecteur avec des Yeux de Bleu,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet],,,,,Niveau 1,800,1300,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 Syntoniseur LUMIÈRE de Niveau 1 depuis votre main. Vous pouvez cibler 1 Monstre à Effet que vous contrôlez ; envoyez-le au Cimetière, et si vous le faites, Invoquez Spécialement 1 monstre ""Yeux Bleus"" depuis votre main. Vous ne pouvez utiliser cet effet de ""Protecteur avec des Yeux de Bleu"" qu'une fois par tour.",Supports archetypes /Blue-Eyes,,Activates upon Normal Summon/Sends from your field to your Graveyard for cost,Trigger/Ignition/Condition,
