Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
89631139,Dragon Blanc aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Normal],,,,,Niveau 8,3000,2500,,,,Ce dragon légendaire est un puissant moteur de destruction. Rares sont ceux qui ont survécu à cette terrifiante créature quasiment invincible pour en parler.,,,,,
85639257,Aqua Madoor,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Spellcaster/Normal],,,,,4,1200,2000,,,,A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.,,,,,
97590747,La Jinn le Génie Mystique de la Lampe,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1800,1000,,,,Génie de la lampe à l'entière disposition de son maître.,,,,,
05053103,Bœuf de Combat,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête-Guerrier/Normal],,,,,Niveau 4,1700,1000,,,,Monstre à la puissance foudroyante qui détruit ses ennemis d'un simple coup de hache.,,,,,
14531242,Opticlops,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Normal],,,,,4,1800,1700,,,,"A one-eyed giant that serves the ""Dark Ruler Ha Des"", it skewers its enemies with its sharp horn, shattering them to pieces.",,,,,
93346024,Le Dragon Tapi dans la Caverne,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Normal],,,,,Niveau 4,1300,2000,,,,"Un imposant dragon vivant dans une caverne. Calme de nature, il est redoutable lorsqu'il se met en colère. Selon la légende, il protègerait certains trésors.",,,,,
62651957,Tête de Canon X,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Machine/Normal],,,,,Niveau 4,1800,1500,,,,"Monstre doté d'un puissant canon, il utilise la technique d'intégration pour mener ses combats. Il attaque la plupart du temps en s'associant ou se dissociant d'autres monstres.",,,,,
79182538,Chien Enragé des Ténèbres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête/Normal],,,,,Niveau 4,1900,1400,,,,"C'était un chien ordinaire qui jouait dans un parc, mais il a été corrompu par la puissance des ténèbres.",,,,,
43586926,Béhémoth à Deux Têtes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 3,1500,1200,,,,"Durant la End Phase, si cette carte est dans le Cimetière parce qu'elle a été détruite sur le Terrain et y a été envoyée ce tour : vous pouvez Invoquer Spécialement cette carte, mais son ATK/DEF deviennent 1000. Vous ne pouvez utiliser cet effet de ""Béhémoth à Deux Têtes"" qu'une fois par Duel.",,,Activates from your Graveyard,Trigger/Condition,
75830094,Horus Dragon de la Flamme Noire LV4,Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Effet],,,,,Niveau 4,1600,1000,,,,"Le contrôle de cette carte face recto ne peut pas être échangé. Durant la End Phase, si cette carte a détruit un monstre au combat ce tour : vous pouvez envoyer cette carte face recto au Cimetière ; Invoquez Spécialement 1 ""Horus Dragon de la Flamme Noire LV6"" depuis votre main ou Deck.",Horus the Black Flame Dragon LV6,,Cannot change control/Activates when it destroys a monster by battle/Sends itself from field to Graveyard for cost,Continuous/Trigger,
11224103,Horus Dragon de la Flamme Noire LV6,Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Effet],,,,,Niveau 6,2300,1600,,,,"Cette carte n'est pas affectée par les effets de Magie. Durant la End Phase, si cette carte a détruit un monstre au combat ce tour : vous pouvez envoyer cette carte face recto au Cimetière ; Invoquez Spécialement 1 ""Horus Dragon de la Flamme Noire LV8"" depuis votre main ou Deck.",Horus the Black Flame Dragon LV8,,Activates when it destroys a monster by battle/Sends itself from field to Graveyard for cost,Continuous/Trigger,
96428622,Cyclopéen Cybernétique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête-Guerrier/Effet],,,,,Niveau 4,1400,200,,,,"Tant que vous n'avez pas de carte dans votre main, augmentez l'ATK de cette carte de 1000 points.",,,,Continuous,
77135531,Garde Royal du Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Dragon/Effet],,,,,Niveau 4,1700,1300,,,,Vous pouvez envoyer 1 monstre Dragon depuis votre main au Cimetière ; cette carte gagne 300 ATK. Lorsque cette carte que vous contrôlez est envoyée à votre Cimetière par un effet de carte de l'adversaire : vous pouvez cibler 1 Monstre Normal Dragon dans l'un des Cimetières ; Invoquez Spécialement la cible.,Dragon/Normal Monster,Dragon/Normal Monster,Sends from hand to Graveyard for cost/Activates from your Graveyard,Ignition/Trigger,
