Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
46986414,Magicien Sombre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 7,2500,2100,,,,Mage suprême en termes d'attaque et de défense.,,,,,
13039848,Soldat Géant de Pierre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Rocher/Normal],,,,,Niveau 3,1300,2000,,,,Guerrier géant en pierre. Un coup de poing de cette créature est capable de faire trembler la terre.,,,,,
50930991,Néo le Spadassin Magique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Normal],,,,,Niveau 4,1700,1000,,,,"Voyageur dimensionnel qui non seulement pratique la sorcellerie, mais qui est aussi maître en arts martiaux et au maniement de l'épée.",,,,,
69140098,Gemini Elf,Unlimited(OCG)/Unlimited(TCG),EARTH,[Spellcaster/Normal],,,,,4,1900,900,,,,Elf twins that alternate their attacks.,,,,,
40640057,Kuriboh,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Fiend/Effect],,,,,1,300,200,,,,"During damage calculation, if your opponent's monster attacks (Quick Effect): You can discard this card; you take no battle damage from that battle.",,,Activates from your hand/Discards itself for cost,Quick,
78193831,Buster Blader,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Warrior/Effect],,,,,7,2600,2300,,,,Gains 500 ATK for each Dragon monster your opponent controls or is in their GY.,,Dragon,,Continuous,
83994646,Coccinelle des Damnés à 4 Étoiles,Unlimited(OCG)/Unlimited(TCG),VENT,[Insecte/Flip／Effet],,,,,Niveau 3,800,1200,,,,FLIP : Détruisez tous les monstres de Niveau 4 contrôlés par votre adversaire.,,,,Flip,
38033121,Magicienne des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 6,2000,1700,,,,"Gagne 300 ATK pour chaque ""Magicien Sombre"" ou ""Magicien du Chaos Sombre"" dans les Cimetières.",Dark Magician/Magician of Black Chaos,,,Continuous,
46363422,Magicien Blanc Expérimenté,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Magicien/Effet],,,,,Niveau 4,1700,1900,,,,"Chaque fois qu'une Carte Magie est activée, placez 1 Compteur Magie sur cette carte (max. 3) lorsque la Magie est résolue. Vous pouvez Sacrifier cette carte avec 3 Compteurs Magie sur elle ; Invoquez Spécialement 1 ""Buster Blader"" depuis votre main, Deck ou Cimetière.",Buster Blader,,Tributes itself for cost,Continuous/Ignition,
45141844,Vieux Magicien Vindicatif,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Flip／Effet],,,,,Niveau 2,450,600,,,,FLIP : Ciblez 1 monstre contrôlé par votre adversaire ; détruisez la cible.,,,,Flip,
71413901,"Fracas, le Guerrier Magique",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1600,1000,,,,"Si cette carte est Invoquée Normalement : placez 1 Compteur Magie sur elle (max. 1). Gagne 300 ATK pour chaque Compteur Magie sur elle. Vous pouvez retirer 1 Compteur Magie de cette carte, puis ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.",,,Activates upon Normal Summon,Trigger/Continuous/Ignition,
44436472,Double Coston,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Zombie/Effect],,,,,4,1700,1650,,,,This card can be treated as 2 Tributes for the Tribute Summon of a DARK monster.,DARK,,,Unclassified,
01995985,Spadassin Silencieux LV3,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 3,1000,1000,,,,"Annulez les effets de Magie de votre adversaire qui ciblent cette carte. Durant votre Standby Phase : vous pouvez envoyer cette carte face recto au Cimetière ; Invoquez Spécialement 1 ""Spadassin Silencieux LV5"" depuis votre main ou Deck. Vous ne pouvez pas activer cet effet le tour où cette carte est Invoquée ou retournée face recto.",Silent Swordsman LV5,,Sends itself from field to Graveyard for cost,Continuous/Trigger/Condition,
74388798,Spadassin Silencieux LV5,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 5,2300,1000,,,,"Non affectée par les effets de Magie de votre adversaire. Durant votre prochaine Standby Phase après que cette carte a infligé des dommages de combat à votre adversaire par une attaque directe : vous pouvez envoyer cette carte face recto au Cimetière ; Invoquez Spécialement 1 ""Spadassin Silencieux LV7"" depuis votre main ou Deck.",Silent Swordsman LV7,,Activates when it inflicts battle damage/Sends itself from field to Graveyard for cost,Continuous/Trigger,
14778250,Le Mystérieux,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Effet],,,,,Niveau 5,2000,1200,,,,Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en défaussant 1 carte.,,,Discards for cost,Unclassified,
72302403,Épées de Révélation de la Lumière,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Après activation de cette carte, elle reste sur le Terrain, mais vous devez la détruire durant la End Phase du 3e tour de votre adversaire. Lorsque cette carte est activée : si votre adversaire contrôle un monstre face verso, retournez face recto tous les monstres qu'il contrôle. Tant que cette carte est face recto sur le Terrain, les monstres de votre adversaire ne peuvent pas déclarer d'attaque.",,,Flips monsters face-up,Condition/Effect/Continuous-like,
05318639,Typhon d'Espace Mystique,Unlimited(OCG)/Unlimited(TCG)/Limited 1(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 Magie/Piège sur le Terrain ; détruisez la cible.,,,,Effect,
83746708,Puissance du Mage,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Le monstre équipé gagne 500 ATK/DEF pour chaque Magie/Piège que vous contrôlez.,,,,Continuous-like,
14087893,Le Livre de la Lune,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ciblez 1 monstre face recto sur le Terrain ; changez la cible en Position de Défense face verso.,,,Flips monsters face-down/Changes battle positions,Effect,
63391643,Mille Couteaux,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous contrôlez ""Magicien Sombre"" : ciblez 1 monstre contrôlé par votre adversaire ; détruisez la cible.",Dark Magician,,,Activation requirement/Effect,
02314238,Attaque de Magie Noire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous contrôlez ""Magicien Sombre"" : détruisez tous les Magies/Pièges contrôlés par votre adversaire.",Dark Magician,,,Activation requirement/Effect,
36045450,Unité des Magiciens,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Si vous contrôlez min. 2 monstres Magicien en Position d'Attaque : ciblez-en 1 ; son ATK devient 3000 jusqu'à la fin de ce tour, et aussi, le reste de ce tour après la résolution de cette carte, les autres monstres Magicien que vous contrôlez ne peuvent pas attaquer.",Spellcaster,,,Activation requirement/Effect,
81510157,Voleur d'Esprit,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre face recto contrôlé par votre adversaire ; détruisez la cible, puis votre adversaire gagne 1000 LP.",,,,Effect,
33904024,Fragment de Cupidité,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Chaque fois que vous piochez une ou plusieurs cartes pour votre pioche normale durant votre Draw Phase, placez 1 Compteur Cupidité sur cette carte. Vous pouvez envoyer cette carte avec min. 2 Compteurs Cupidité au Cimetière ; piochez 2 cartes.",,,Draw a card/Sends itself from field to Graveyard for cost,Continuous-like/Ignition-like,
04206964,Trappe,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Lorsque votre adversaire Invoque Normalement ou par Flip un monstre avec min. 1000 ATK : ciblez le monstre ; détruisez la cible.,,,,Activation requirement/Effect,
12607053,Waboku,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TRAP,,,,,,,,,,,,You take no battle damage this turn. Your monsters cannot be destroyed by battle this turn.,,,,Effect,
44095762,Force de Miroir,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Lorsqu'un monstre de l'adversaire déclare une attaque : détruisez tous les monstres en Position d'Attaque de votre adversaire.,,,Activates upon attack declaration,Activation requirement/Effect,
18807108,Cercle Envoûtant,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,"Activez cette carte en ciblant 1 monstre contrôlé par votre adversaire ; il ne peut ni attaquer ni changer sa position de combat. Lorsque le monstre est détruit, détruisez cette carte.",,,Prevents Battle Position changes,Continuous-like,
97077563,Appel de l'Être Hanté,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Activez cette carte en ciblant 1 monstre dans votre Cimetière ; Invoquez Spécialement la cible en Position d'Attaque. Lorsque cette carte quitte le Terrain, détruisez le monstre. Lorsque le monstre est détruit, détruisez cette carte.",,,,Effect/Continuous-like,
