Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
83303851,"D/D/D Apocalypse, Roi du Chaos",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Pendule／Effet],,,,,Niveau 7,2700,2000,,,,"Durant le tour de votre adversaire, si cette carte est dans votre main ou Cimetière : vous pouvez cibler 2 Cartes Magie/Piège face recto que vous contrôlez ; vous ne pouvez pas Invoquer Spécialement de monstres (monstres de Type Démon exclus) le reste de ce tour, et aussi, détruisez les cartes ciblées, et si vous le faites, Invoquez Spécialement cette carte (ceci est un Effet Rapide). Vous ne pouvez utiliser cet effet de ""D/D/D Apocalypse, Roi du Chaos"" qu'une fois par tour.",Supports archetypes /D/D,,,Pendulum Effect /Ignition-like/Monster Effect/Quick/Condition,
19302550,D/D Savant Newton,Unlimited(OCG)/Unlimited(TCG),DARK,[Fiend/Pendulum／Effect],,,,10,7,0,0,,,"You cannot Pendulum Summon monsters, except ""D/D"" monsters. This effect cannot be negated. Once, while this card is in your Pendulum Zone, you can negate an activated Trap effect that would inflict damage to you, then destroy this card.","You can discard this card, then target 1 ""D/D"" or ""Dark Contract"" card in your Graveyard, except ""D/D Savant Newton""; add it to your hand. You can only use this effect of ""D/D Savant Newton"" once per turn.",Supports archetypes /D/D/Dark Contract,,Effect that cannot be negated/Discards itself for cost/Adds from Graveyard to hand,Pendulum Effect /Continuous-like/Condition/Monster Effect/Ignition,
72181263,D/D Orthros,Unlimited(OCG)/Unlimited(TCG),DARK,[Fiend/Pendulum／Tuner／Effect],,,,3,4,600,1800,,,"Once per turn: You can target 1 Spell/Trap Card on the field and 1 other ""D/D"" or ""Dark Contract"" card you control; destroy them.","When you take battle or effect damage: You can Special Summon this card from your hand. If this card is Special Summoned to your field, you cannot Special Summon monsters for the rest of this turn, except Fiend-Type monsters.",Supports archetypes /D/D/Dark Contract,,,Pendulum Effect /Ignition-like/Monster Effect/Trigger/Unclassified,
19580308,D/D Lamia,Unlimited(OCG)/Unlimited(TCG),DARK,[Fiend/Tuner／Effect],,,,,1,100,1900,,,,"If this card is in your hand or GY: You can send 1 ""D/D"" or ""Dark Contract"" card from your hand or face-up field to the GY, except ""D/D Lamia""; Special Summon this card, but banish it when it leaves the field. You can only use this effect of ""D/D Lamia"" once per turn.",Supports archetypes /D/D/Dark Contract,,Sends from your hand to your Graveyard for cost/Sends from your field to your Graveyard for cost,Ignition/Condition,
12822541,D/D Lilith,Unlimited(OCG)/Unlimited(TCG),DARK,[Fiend/Effect],,,,,4,100,2100,,,,"If this card is Normal or Special Summoned: You can activate 1 of these effects. You can only use this effect of ""D/D Lilith"" once per turn.●Target 1 ""D/D"" monster in your Graveyard; add it to your hand.●Add 1 face-up ""D/D"" Pendulum Monster from your Extra Deck to your hand.",Supports archetypes /D/D,,Adds from Graveyard to hand/Adds from Extra Deck to hand,Trigger/Condition,
48210156,D/D Hurlement de Nuit,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Syntoniseur／Effet],,,,,Niveau 3,300,600,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre ""D/D"" dans votre Cimetière ; Invoquez-le Spécialement, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres de Type Démon exclus) le reste de ce tour. L'ATK/DEF du monstre deviennent 0. S'il est détruit, vous recevez 1000 points de dommages.",Supports archetypes /D/D,,Activates upon Normal Summon,Trigger,
74069667,"D/D/D Abysses Ragnarok, Roi de l'Oubli",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Pendule／Effet],,,,,Niveau 8,2200,3000,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre ""D/D/D"" dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser cet effet de ""D/D/D Abysses Ragnarok, Roi de l'Oubli"" qu'une fois par tour. Une fois par tour : vous pouvez Sacrifier 1 autre monstre ""D/D"", puis ciblez 1 monstre contrôlé par votre adversaire ; bannissez-le.",Supports archetypes /D/D/D/D/D,,Activates upon Normal Summon/Activates upon Special Summon/Tributes for cost,Pendulum Effect /Trigger-like/Condition/Monster Effect/Trigger/Ignition,
65192027,Dragon Armé des Ténèbres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 7,2800,1000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en ayant exactement 3 monstres TÉNÈBRES dans votre Cimetière. Vous pouvez bannir 1 monstre TÉNÈBRES depuis votre Cimetière, puis ciblez 1 carte sur le Terrain ; détruisez la cible.",DARK,,,Summon/Ignition,
28985331,Chevalier Armageddon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1400,1200,,,,Lorsque cette carte est Invoquée : vous pouvez envoyer 1 monstre TÉNÈBRES depuis votre Deck au Cimetière.,DARK,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon/Sends from your Deck to your Graveyard,Trigger,
94283662,Transe Archdémon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1500,500,,,,"Une fois par tour : vous pouvez défausser 1 monstre de Type Démon, et si vous le faites, cette carte gagne 500 ATK jusqu'à la fin de ce tour. Lorsque cette carte que vous contrôlez est détruite et envoyée à votre Cimetière : vous pouvez cibler 1 de vos monstres TÉNÈBRES bannis ; ajoutez la cible à votre main.",DARK/Fiend,,Discards for effect/Activates from your Graveyard/Adds banished cards to the hand,Ignition/Trigger,
