Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
18964575,Attaque de l'Épouvantail,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 1,0,0,,,,"Lorsqu'un monstre de l'adversaire déclare une attaque directe (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'attaque, puis terminez la Battle Phase.",,,Activates from your hand/Activates upon attack declaration/Discards itself for cost/Ends the Battle Phase,Quick,
07025445,Géant de Puissance,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 6,2200,0,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en envoyant 1 monstre de max. Niveau 4 depuis votre main au Cimetière. Si vous le faites, réduisez le Niveau de cette carte par le Niveau du monstre. Si cette carte attaque ou est attaquée, jusqu'à la fin de la Damage Step, les dommages d'effets que vous recevez deviennent 0.",,,Activates from your hand/Sends from hand to Graveyard for cost,Unclassified,
05780210,Créateur de Diapason,Unlimited(OCG)/Unlimited(TCG),VENT,[Démon/Syntoniseur／Effet],,,,,Niveau 3,800,600,,,,"Si vous contrôlez un Monstre Synchro de min. Niveau 8, vous pouvez Invoquer Spécialement cette carte (depuis votre main).",Synchro Monster,,Activates from your hand,Summon,
78564023,Aile Noire - Etesia la Double Lame,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 3,400,1600,,,,"Si un monstre ""Aile Noire"" que vous contrôlez combat un monstre de votre adversaire, et que votre adversaire contrôle toujours le monstre à la fin de la Damage Step : vous pouvez envoyer cette carte depuis votre main au Cimetière ; infligez 1000 points de dommages à votre adversaire.",Supports archetypes /Blackwing,,Sends itself from hand to Graveyard for cost,Trigger,
04068622,Aile Noire - Aurora la Lumière du Nord,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête Ailée/Effet],,,,,Niveau 10,?,0,,,,"Ni Invocable Normalement ni Posable. Uniquement Invocable Spécialement (depuis votre main) en bannissant 2 monstres face recto que vous contrôlez (1 Syntoniseur ""Aile Noire"" et 1 non-Syntoniseur), et non Invocable Spécialement autrement. Une fois par tour : vous pouvez bannir 1 Monstre Synchro ""Aile Noire"" depuis votre Extra Deck ; jusqu'à la End Phase, le nom et l'ATK d'origine de cette carte deviennent ceux du monstre, et remplacez cet effet par les effets d'origine du monstre.",Supports archetypes /Blackwing,,,Summon/Ignition,
31053337,Aile Noire - Abrolhos le Méga Séisme,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 7,2600,1800,,,,"Non Invocable Spécialement. Cette carte ne peut pas détruire de monstres au combat. Si cette carte combat un monstre, après le calcul des dommages : renvoyez le monstre à la main. Une fois par tour, durant votre Main Phase 1 : vous pouvez réduire l'ATK de cette carte d'exactement 1000, et si vous le faites, renvoyez toutes les cartes dans la Zone Magie & Piège de votre adversaire à la main.",,,Returns from your opponent's field to your opponent's hand/Returns battling monster to hand after damage calculation,Summon/Continuous/Trigger/Ignition,
67441435,Bulbe Luisant,Unlimited(OCG)/Forbidden(TCG),TERRE,[Plante/Syntoniseur／Effet],,,,,Niveau 1,100,100,,,,"Si cette carte est dans votre Cimetière : vous pouvez envoyer la carte du dessus de votre Deck au Cimetière, et si vous le faites, Invoquez Spécialement cette carte. Vous ne pouvez utiliser cet effet de ""Bulbe Luisant"" qu'une fois par Duel.",,,Activates from your Graveyard/Sends from the top of your Deck to your Graveyard,Ignition/Condition,
65503206,Soldat de Ferraille,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Syntoniseur／Effet],,,,,Niveau 5,2100,700,,,,"Cette carte ne peut pas être utilisée en tant que Monstre-Matériel de Synchro, excepté pour l'Invocation Synchro d'un monstre ""Ferraille"". Si cette carte en Position de Défense face recto est sélectionnée comme cible d'une attaque, détruisez cette carte à la fin de la Battle Phase. Si cette carte est détruite par l'effet d'une carte ""Ferraille"" et envoyée au Cimetière, vous pouvez sélectionner 1 monstre ""Ferraille"" dans votre Cimetière, excepté ""Soldat de Ferraille"", et l'ajouter à votre main.",Supports archetypes /Scrap,Anti-supports archetypes /Scrap,Activates from your Graveyard/Adds from Graveyard to hand,Condition/Trigger,
92901944,Explorateur de Ferraille,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête Ailée/Effet],,,,,Niveau 1,100,300,,,,"Lorsqu'un monstre ""Ferraille"" que vous contrôlez, excepté ""Explorateur de Ferraille"", est détruit et envoyé au Cimetière pendant que cette carte est dans le Cimetière, vous pouvez Invoquer Spécialement cette carte depuis votre Cimetière. Lorsque cette carte est Invoquée Spécialement, détruisez tous les monstres face recto que vous contrôlez, excepté les monstres ""Ferraille"".",Supports archetypes /Scrap,,Activates from your Graveyard,Trigger,
61380658,Électro-Sauterelle,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Tonnerre/Effet],,,,,Niveau 1,0,0,,,,"Votre adversaire ne peut pas sélectionner un autre monstre ""Électro-"" face recto comme cible d'une attaque, et il ne peut pas les cibler avec les effets de carte.",Supports archetypes /Watt,,,Continuous,
