Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
16312943,Feu Libromancien,Unlimited(OCG)/Unlimited(TCG),FEU,[Cyberse/Effet],,,,,Niveau 4,1800,1800,,,,"Vous pouvez révéler 1 Monstre Rituel dans votre main : Invoquez Spécialement cette carte depuis votre main. Si cette carte est Invoquée Spécialement : vous pouvez ajouter 1 monstre ""Libromancien"" (""Feu Libromancien"" exclu) depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Feu Libromancien"" qu'une fois par tour.",Supports archetypes /Libromancer,,Reveals cards in your hand/Activates upon Special Summon/Adds from Deck to hand,Ignition/Trigger/Condition,
84332527,"Therion ""Taureau"" Ain",Unlimited(OCG)/Unlimited(TCG),FEU,[Guerrier/Effet],,,,,Niveau 7,2100,1600,,,,"Vous ne pouvez utiliser chacun des effets suivants de ""Therion ""Taureau"" Ain"" qu'une fois par tour.●Vous pouvez cibler 1 monstre ""Therion"" ou 1 monstre Guerrier dans votre Cimetière ; Invoquez Spécialement cette carte depuis votre main, et si vous le faites, équipez le monstre à cette carte.●Vous pouvez cibler 1 carte ""Therion"" que vous contrôlez et 1 carte contrôlée par votre adversaire ; détruisez-les.Un monstre ""Therion"" équipé avec cette carte gagne 700 ATK, et aussi, il peut activer le 2e effet listé ci-dessus comme s'il était ""Therion ""Taureau"" Ain"".",Supports archetypes /Therion,,,Condition/Ignition/Ignition/Continuous-like,
21727231,"Therion ""Faucheuse"" Fum",Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 7,1400,2500,,,,"Vous ne pouvez utiliser chacun des effets suivants de ""Therion ""Faucheuse"" Fum"" qu'une fois par tour.●Vous pouvez cibler 1 monstre ""Therion"" ou 1 monstre Aqua dans votre Cimetière ; Invoquez Spécialement cette carte depuis votre main, et si vous le faites, équipez le monstre à cette carte.●Durant le tour de votre adversaire (Effet Rapide) : vous pouvez cibler 1 carte ""Therion"" dans votre Zone Magie & Piège et 1 carte contrôlée par votre adversaire ; renvoyez-les à la main.Un monstre ""Therion"" équipé avec cette carte gagne 700 ATK, et aussi, il peut activer le 2e effet listé ci-dessus comme s'il était ""Therion ""Faucheuse"" Fum"".",Supports archetypes /Therion,,,Condition/Ignition/Quick/Continuous-like,
57111330,"Therion ""Duc"" Yul",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Psychique/Effet],,,,,Niveau 8,2100,2800,,,,"Vous ne pouvez utiliser le 1er des effets suivants de ""Therion ""Duc"" Yul"" qu'une fois par tour.●Vous pouvez cibler 1 monstre ""Therion"" ou 1 monstre Psychique dans votre Cimetière ; Invoquez Spécialement cette carte depuis votre main, et si vous le faites, équipez le monstre à cette carte.●Tant que vous contrôlez une Carte d'Équipement, les monstres ""Therion"" que vous contrôlez ne peuvent pas être détruits par des effets de carte de votre adversaire.Un monstre ""Therion"" équipé avec cette carte gagne 700 ATK, et aussi, il gagne le 2e effet listé ci-dessus comme s'il était ""Therion ""Duc"" Yul"".",Supports archetypes /Therion,,,Condition/Ignition/Continuous/Continuous-like,
83610035,"Therion ""Lily"" Borea",Unlimited(OCG)/Unlimited(TCG),VENT,[Plante/Effet],,,,,Niveau 8,2400,2500,,,,"Vous ne pouvez utiliser chacun des effets suivants de ""Therion ""Lily"" Borea"" qu'une fois par tour.●Vous pouvez cibler 1 monstre ""Therion"" ou 1 monstre Plante dans votre Cimetière ; Invoquez Spécialement cette carte depuis votre main, et si vous le faites, équipez le monstre à cette carte.●Vous pouvez envoyer 1 carte depuis votre main ou Terrain au Cimetière ; ajoutez 1 Magie/Piège ""Therion"" depuis votre Deck à votre main.Un monstre ""Therion"" équipé avec cette carte gagne 700 ATK, et aussi, il peut activer le 2e effet listé ci-dessus comme s'il était ""Therion ""Lily"" Borea"".",Supports archetypes /Therion,,,Condition/Ignition/Ignition/Continuous-like,
10604644,"Therion ""Roi"" Regulus",Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 8,2800,1600,,,,"Vous ne pouvez utiliser chacun des effets suivants de ""Therion ""Roi"" Regulus"" qu'une fois par tour.●Vous pouvez cibler 1 monstre ""Therion"" ou 1 monstre Machine dans votre Cimetière ; Invoquez Spécialement cette carte depuis votre main, et si vous le faites, équipez le monstre à cette carte.●Lorsque votre adversaire active une carte ou un effet (Effet Rapide) : vous pouvez envoyer 1 Carte Monstre ""Therion"" depuis votre main ou Terrain face recto au Cimetière ; annulez l'effet.Un monstre ""Therion"" équipé avec cette carte gagne 700 ATK, et aussi, il peut activer le 2e effet listé ci-dessus comme s'il était ""Therion ""Roi"" Regulus"".",Supports archetypes /Therion,,,Condition/Ignition/Quick/Continuous-like,
83488497,Astra Griffrayeur,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 3,0,1300,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) dans votre Zone Monstre Main, adjacente à un monstre ""Griffrayeur"" que vous contrôlez ou dans sa colonne. Vous ne pouvez Invoquer Spécialement ""Astra Griffrayeur"" qu'une fois par tour de cette façon. Vos monstres ""Griffrayeur"" dans les Zones Monstre Extra peuvent attaquer un nombre de fois chaque Battle Phase, inférieur ou égal au nombre de monstres ""Griffrayeur"" que vous contrôlez en Position de Défense de noms différents.",Supports archetypes /Scareclaw,,,Unclassified/Condition/Continuous,
19882096,Belone Griffrayeur,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 3,0,1700,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) dans votre Zone Monstre Main, adjacente à un monstre ""Griffrayeur"" que vous contrôlez ou dans sa colonne. Vous ne pouvez Invoquer Spécialement ""Belone Griffrayeur"" qu'une fois par tour de cette façon. Si votre monstre ""Griffrayeur"" dans la Zone Monstre Extra attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.",Supports archetypes /Scareclaw,,,Unclassified/Condition/Continuous,
46877100,Acro Griffrayeur,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 3,0,2000,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) dans votre Zone Monstre Main, adjacente à un monstre ""Griffrayeur"" que vous contrôlez ou dans sa colonne. Vous ne pouvez Invoquer Spécialement ""Acro Griffrayeur"" qu'une fois par tour de cette façon. Vos monstres ""Griffrayeur"" dans les Zones Monstre Extra gagnent 300 ATK pour chaque monstre en Position de Défense que vous contrôlez.",Supports archetypes /Scareclaw,,,Unclassified/Condition/Continuous,
82361809,Reichheart Griffrayeur,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1500,2100,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) dans votre Zone Monstre Main, adjacente à un monstre ""Griffrayeur"" que vous contrôlez ou dans sa colonne. Vous ne pouvez Invoquer Spécialement ""Reichheart Griffrayeur"" qu'une fois par tour de cette façon. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 Magie/Piège ""Griffrayeur"" depuis votre Deck à votre main, puis, si min. 3 monstres en Position de Défense sont sur le Terrain, vous pouvez piocher 1 carte. Vous ne pouvez utiliser cet effet de ""Reichheart Griffrayeur"" qu'une fois par tour.",Supports archetypes /Scareclaw,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/You draw cards,Unclassified/Condition/Trigger/Condition,
