Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
41855169,Jowgen le Spirit,Unlimited(OCG)/Forbidden(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 3,200,1300,,,,Vous pouvez défausser 1 carte au hasard depuis votre main au Cimetière ; détruisez tous les monstres Invoqués Spécialement sur le Terrain. Aucun joueur ne peut Invoquer Spécialement de monstres.,,Special Summon,Discards for cost,Ignition/Continuous,
88240808,Kycoo le Destructeur de Fantômes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1800,700,,,,Lorsque cette carte inflige des dommages de combat à votre adversaire : vous pouvez cibler max. 2 monstres dans son Cimetière ; bannissez les cibles. Votre adversaire ne peut pas bannir de cartes depuis les Cimetières.,,,Activates when it inflicts battle damage,Trigger/Continuous,
40133511,Bazoo le Mangeur d'Âmes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête/Effet],,,,,Niveau 4,1600,900,,,,"Une fois par tour : vous pouvez bannir max. 3 monstres depuis votre Cimetière ; jusqu'à la fin du tour de votre adversaire, cette carte gagne 300 ATK pour chacun d'eux.",,,,Ignition,
31829185,Necrofear des Ténèbres,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 8,2200,2800,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 3 monstres Démon depuis votre Cimetière. Durant la End Phase, si cette carte est dans votre Cimetière parce qu'elle a été détruite dans votre Zone Monstre par une carte de l'adversaire et y a été envoyée ce tour : ciblez 1 monstre face recto contrôlé par votre adversaire ; équipez cette carte à la cible. Tant que cette carte est équipée à un monstre par cet effet, prenez le contrôle du monstre.",Fiend,,Activates from your Graveyard/Equips self from Graveyard/Takes control of equipped,Summon/Trigger/Continuous-like,
77527210,Âme de Pureté et de Lumière,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 6,2000,1800,,,,Cette carte ne peut ni être Invoquée Normalement ni être Posée. Cette carte ne peut être Invoquée Spécialement qu'en retirant du jeu 2 monstres LUMIÈRE dans votre Cimetière. Les monstres contrôlés par votre adversaire perdent 300 ATK durant sa Battle Phase uniquement.,LIGHT,,,Summon/Continuous,
76305638,L'Esprit de la Pierre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Rocher/Effet],,,,,Niveau 4,1700,1000,,,,Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 1 monstre TERRE depuis votre Cimetière. Gagne 300 ATK durant la Battle Phase de votre adversaire.,EARTH,,,Summon/Continuous,
88472456,Zombyra la Ténébreuse,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,2100,500,,,,Ne peut pas attaquer directement. Si cette carte détruit un monstre au combat : cette carte perd 200 ATK.,,,Activates when it destroys a monster by battle,Continuous/Trigger,
71466592,Maryokutai,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Aqua/Effect],,,,,3,900,900,,,,"During your opponent's turn, when your opponent activates a Spell Card (Quick Effect): You can Tribute this card; negate the activation, and if you do, destroy it.",,,Tributes itself for cost,Condition/Quick,
86099788,L'Ultime Guerrier d'une Autre Planète,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Fusion／Effet],,,,,Niveau 7,2350,2300,,"Zombyra la Ténébreuse + ""Maryokutai""",,Si cette carte est Invoquée Spécialement : détruisez tous les autres monstres que vous contrôlez. Aucun joueur ne peut Invoquer de monstres.,,,,Trigger/Continuous,
93599951,Esprit Noir du Silence,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Activable uniquement lorsqu'un monstre de votre adversaire déclare une attaque. Annulez cette attaque et sélectionnez un autre monstre face recto contrôlé par votre adversaire. Ce monstre attaque à la place (s'il est en Position de Défense face recto, changez-le en Position d'Attaque).",,,Activates upon attack declaration/Changes battle positions,Activation requirement/Effect,
33950246,Ordre Royal,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Les effets de monstres Flip ne peuvent pas être activés, et aussi, leurs effets sont annulés.",,Flip monster,,Continuous-like,
