Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
23379054,"Fantôme Charon, le Nocher des Enfers",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Syntoniseur／Effet],,,,,Niveau 2,500,0,,,,"Si votre adversaire contrôle un monstre et que vous ne contrôlez aucun monstre (cette carte exclue) : vous pouvez cibler 1 Monstre de Fusion dans votre Cimetière ; bannissez cette carte depuis le Terrain ainsi que la cible, et si vous le faites, Invoquez Spécialement 1 Monstre Synchro de Type Dragon depuis votre Extra Deck dont le Niveau est égal à la somme des Niveaux que ces 2 monstres avaient (Niveau d'origine, si face verso). Vous ne pouvez utiliser cet effet de ""Fantôme Charon, le Nocher des Enfers"" qu'une fois par tour. Vous ne pouvez pas Invoquer Spécialement de monstres (monstres de Type Dragon exclus) le tour où vous activez cet effet.",Fusion Monster/Dragon/Synchro Monster,,,Ignition/Condition,
81105204,Aile Noire - Kris la Fissure de l'Aube,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 4,1900,300,,,,"Si vous contrôlez un monstre ""Aile Noire"" (""Aile Noire - Kris la Fissure de l'Aube"" exclu), vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Aile Noire - Kris la Fissure de l'Aube"" qu'une fois par tour de cette façon. La première fois que cette carte sur le Terrain va être détruite par un effet de Magie/Piège chaque tour, elle n'est pas détruite.",Supports archetypes /Blackwing,,,Summon/Condition/Continuous,
55610595,Aile Noire - Pinaki la Lune Ascendante,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 3,1200,1000,,,,"Non utilisable comme Matériel Synchro, sauf pour l'Invocation Synchro d'un Monstre Synchro ""Aile Noire"". Durant la End Phase, si cette carte est dans le Cimetière parce qu'elle y a été envoyée depuis le Terrain ce tour : vous pouvez ajouter 1 monstre ""Aile Noire"" (""Aile Noire - Pinaki la Lune Ascendante"" exclu) depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Aile Noire - Pinaki la Lune Ascendante"" qu'une fois par tour.",Supports archetypes /Blackwing,,Activates from your Graveyard/Adds from Deck to hand,Condition/Trigger,
69764158,Peropero Cerperus,Unlimited(OCG)/Unlimited(TCG),EARTH,[Beast/Effect],,,,,3,0,1800,,,,"If you take damage by battle or an opponent's card effect while this card is in the GY: You can banish this card from the GY, then target 1 card on the field; destroy it.",,,Activates from your Graveyard/Activates if you take battle damage/Activates if you take effect damage,Trigger,
96163807,"Tristan, Chevalier des Enfers",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 4,1800,0,,,,Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre Zombie avec 0 DEF dans votre Cimetière ; ajoutez-le à votre main. Gagne 300 ATK si vous contrôlez un ou plusieurs autres monstres Zombie.,Zombie,,Activates upon Normal Summon/Adds from Graveyard to hand,Trigger/Continuous,
22657402,"Isolde, Belle des Enfers",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 4,1000,0,,,,"Si vous contrôlez ""Tristan, Chevalier des Enfers"", vous pouvez Invoquer Spécialement cette carte (depuis votre main). Non Invocable Spécialement autrement. Vous pouvez cibler max. 2 monstres Zombie que vous contrôlez et déclarer un Niveau de 5 à 8 ; ils deviennent de ce Niveau jusqu'à la fin de ce tour, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres Zombie exclus) le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Isolde, Belle des Enfers"" qu'une fois par tour.","Tristan, Knight of the Underworld/Zombie",,Declares a Level,Unclassified/Summon/Ignition/Condition,
81983656,Dompteur Aile Noire - Joe Faucon Obsidienne,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Synchro／Effet],,,,,Niveau 7,2600,2000,,"1 Syntoniseur ""Aile Noire"" + 1+ monstre non-Syntoniseur ""Aile Noire""",,"Vous pouvez cibler 1 monstre Bête Ailée de min. Niveau 5 dans votre Cimetière ; Invoquez-le Spécialement. Lorsque votre adversaire active une carte ou un effet qui cible uniquement cette carte, ou lorsque votre adversaire cible cette carte avec une attaque (Effet Rapide) : vous pouvez cibler 1 autre monstre ""Aile Noire"" que vous contrôlez qui serait une cible appropriée ; la carte/effet/attaque cible maintenant la nouvelle cible. Vous ne pouvez utiliser chaque effet de ""Dompteur Aile Noire - Joe Faucon Obsidienne"" qu'une fois par tour.",Supports archetypes /Blackwing,,,Ignition/Quick/Condition,
95040215,Aile Noire - Nothung la Lumière d'Étoile,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Synchro／Effet],,,,,Niveau 6,2400,1600,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Si cette carte est Invoquée Spécialement : infligez 800 points de dommages à votre adversaire, puis 1 monstre face recto contrôlé par votre adversaire perd 800 ATK/DEF. Vous ne pouvez utiliser cet effet de ""Aile Noire - Nothung la Lumière d'Étoile"" qu'une fois par tour. Durant votre Main Phase, vous pouvez Invoquer Normalement 1 monstre ""Aile Noire"" en plus de votre Invocation/Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.)",Supports archetypes /Blackwing,,Activates upon Special Summon,Trigger/Condition/Continuous,
21435914,Dragon Profondâme Altéré Dragocytos,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Synchro／Effet],,,,,Niveau 10,4000,2000,,1 Syntoniseur TÉNÈBRES + 1 monstre non-Syntoniseur de Type Dragon,,"Non destructible au combat. Lorsque cette carte détruit un monstre de votre adversaire au combat et l'envoie au Cimetière : vous pouvez activer cet effet ; cette carte peut faire une seconde attaque à la suite sur un monstre de votre adversaire. Durant votre Standby Phase : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; son ATK devient la moitié de son ATK actuelle, et si elle le fait, infligez des dommages à votre adversaire égaux à l'ATK perdue.",DARK/Dragon,,,Continuous/Trigger,
84224627,Requin Chat,Unlimited(OCG)/Unlimited(TCG),EAU,[Bête/Xyz／Effet],,,Rang 2,,,500,500,,2 monstres de Niveau 2,,"Tant que cette carte a un Matériel attaché qui était EAU à l'origine, elle ne peut pas être détruite au combat. Une fois par tour (Effet Rapide) : vous pouvez détacher 1 Matériel de cette carte, puis ciblez 1 Monstre Xyz de max. Rang 4 que vous contrôlez ; jusqu'à la fin de ce tour, son ATK/DEF deviennent le double de son ATK/DEF d'origine.",Xyz Monster/WATER,,,Continuous/Quick,
21313376,Numéro 14 : Cupide Sarameya,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête/Xyz／Effet],,,Rang 5,,,2500,1500,,2 monstres de Niveau 5,,Votre adversaire reçoit les dommages d'effet que vous auriez dû recevoir de ses effets de carte à la place. Lorsque cette carte détruit un monstre de votre adversaire au combat et l'envoie au Cimetière : vous pouvez détacher 1 Matériel Xyz de cette carte ; détruisez tous les monstres sur le Terrain dont l'ATK actuelle est inférieure ou égale à ATK d'origine du monstre détruit dans le Cimetière.,,,Activates when it destroys a monster by battle,Continuous/Trigger,
57707471,Numéro 21 : Dame Justice de Glace,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Xyz／Effet],,,Rang 6,,,500,500,,2 monstres de Niveau 6,,"Vous pouvez aussi Invoquer par Xyz cette carte en détachant 1 Matériel Xyz d'un Monstre Xyz de Rang 5 que vous contrôlez, puis en utilisant le Monstre Xyz comme le Matériel Xyz. (Les Matériels Xyz attachés au monstre deviennent aussi des Matériels Xyz de cette carte.) Cette carte gagne 1000 ATK pour chaque Matériel Xyz qui lui est attaché. Une fois par tour : vous pouvez détacher 1 Matériel Xyz de cette carte ; détruisez tous les monstres en Position de Défense contrôlés par votre adversaire.",Xyz Monster,,Transfers,Summon/Continuous/Ignition,
08124921,Jambe Droite de l'Interdit,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 1,200,300,,,,Jambe droite interdite scellée par la magie. Toute personne rompant ce sceau connaîtra la puissance infinie.,,,,,
44519536,Jambe Gauche de l'Interdit,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 1,200,300,,,,Jambe gauche interdite scellée par la magie. Toute personne rompant ce sceau connaîtra la puissance infinie.,,,,,
70903634,Bras Droit de l'Interdit,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 1,200,300,,,,Bras droit interdit scellé par la magie. Toute personne rompant ce sceau connaîtra la puissance infinie.,,,,,
07902349,Bras Gauche de l'Interdit,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 1,200,300,,,,Bras gauche interdit scellé par la magie. Toute personne rompant ce sceau connaîtra la puissance infinie.,,,,,
33396948,Éxodia l'Interdit,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 3,1000,1000,,,,"Si vous avez ""Jambe Droite de l'Interdit"", ""Jambe Gauche de l'Interdit"", ""Bras Droit de l'Interdit"" et ""Bras Gauche de l'Interdit"" en plus de cette carte dans votre main, vous gagnez le Duel.",Right Leg of the Forbidden One/Left Leg of the Forbidden One/Right Arm of the Forbidden One/Left Arm of the Forbidden One,,Activates from your hand,Condition,
85087012,Soldat de Carte,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 3,400,400,,,,"Une fois par tour : vous pouvez choisir un nombre entre 1 et 3, puis envoyez autant de cartes du dessus de votre Deck au Cimetière ; jusqu'à la fin de ce tour, cette carte gagne 500 ATK pour chaque carte envoyée au Cimetière de cette façon. Si cette carte que vous contrôlez est détruite et envoyée à votre Cimetière : piochez 1 carte.",,,Sends from the top of your Deck to your Graveyard for cost/Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard/You draw cards,Ignition/Trigger,
