Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
92418590,Poupée Truquée Triste,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 8,0,0,,,,"Si cette carte est dans votre Cimetière : vous pouvez bannir 1 autre monstre ""Poupée Truquée"" depuis votre Cimetière ; Invoquez Spécialement cette carte. Vous ne pouvez utiliser cet effet de ""Poupée Truquée Triste"" qu'une fois par tour. Non utilisable comme Matériel pour une Invocation Xyz, sauf pour l'Invocation Xyz d'un monstre ""Poupée Truquée"".",Supports archetypes /Gimmick Puppet,,Activates from your Graveyard,Ignition/Condition,
05291803,Gardien Tula Chronomal,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 5,1800,900,,,,"S'il y a une Carte Magie de Terrain face recto sur le Terrain, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez contrôler qu'1 ""Gardien Tula Chronomal"".",Field Spell Card,,,Summon/Unclassified,
32696942,Chevalier au Gros Ventre,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 4,1000,1600,,,,Si cette carte est détachée d'un Monstre Xyz et envoyée au Cimetière pour activer l'effet du monstre : vous pouvez Invoquer Spécialement 1 monstre de max. Niveau 3 depuis votre main.,Xyz Monster,,Activates from your Graveyard,Trigger,
68084557,Dragon Méca Électromécanique,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Synchro／Effet],,,,,Niveau 7,2300,2500,,1 Syntoniseur + 1+ monstre non-Syntoniseur,,"Durant votre tour, lorsqu'une ou plusieurs Magies d'Équipement sont équipées à cette carte : vous pouvez piocher 1 carte. Vous ne pouvez utiliser cet effet de ""Dragon Méca Électromécanique"" qu'une fois par tour. Une fois par tour (Effet Rapide) : vous pouvez cibler 1 Carte d'Équipement face recto appropriée sur le Terrain ; équipez la cible à cette carte.",Equip Spell Card/Equip Card,,You draw cards/Moves Equip Cards,Trigger/Quick,
04357063,Cité Babylone Chronomal,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Une fois par tour : vous pouvez bannir 1 monstre ""Chronomal"" depuis votre Cimetière, puis ciblez 1 monstre ""Chronomal"" dans votre Cimetière du même Niveau que le monstre banni ; Invoquez-le Spécialement.",Supports archetypes /Chronomaly,,,Ignition-like,
72837335,Nœud Gordien Chronomal,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 3,300,900,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 monstre ""Chronomal"" depuis votre main, et si vous le faites, le Niveau de cette carte devient du Niveau actuel du monstre Invoqué Spécialement.",Supports archetypes /Chronomaly,,Activates upon Normal Summon,Trigger,
08226374,Poupée Truquée Humpty Dumpty,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,0,100,,,,"Lorsque cette carte est Invoquée Normalement ou Spécialement : vous pouvez Invoquer Spécialement 1 monstre ""Poupée Truquée"" depuis votre main. Vous ne pouvez utiliser cet effet de ""Poupée Truquée Humpty Dumpty"" qu'une fois par tour.",Supports archetypes /Gimmick Puppet,,Activates upon Normal Summon/Activates upon Special Summon,Trigger/Condition,
34620088,Poupée Truquée Antenne Obscure,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 8,1000,1000,,,,"Non destructible au combat. Lorsque vous recevez des dommages de combat d'une attaque directe de votre adversaire tant que cette carte est dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte depuis votre Cimetière en Position d'Attaque face recto, et si vous le faites, recevez 1000 points de dommages. Vous ne pouvez utiliser cet effet de ""Poupée Truquée Antenne Obscure"" qu'une fois par tour. Si cette carte est un Matériel Xyz et va être envoyée au Cimetière, bannissez-la à la place.",,,Activates if you take battle damage/Activates from your Graveyard,Continuous/Trigger/Condition,
71015787,Wobby du Silence,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Effet],,,,,Niveau 4,1000,2000,,,,"Durant votre Main Phase : vous pouvez Invoquer Spécialement cette carte depuis votre main sur le Terrain de votre adversaire. Lorsqu'elle est Invoquée de cette façon : piochez 1 carte, et si vous le faites, votre adversaire gagne 2000 Life Points. Vous ne pouvez utiliser cet effet de ""Wobby du Silence"" qu'une fois par tour. La limite de cartes dans la main du contrôleur de cette carte devient 3.",,,Activates from your hand/Your opponent draws cards/You draw cards/Decreases your hand size limit,Ignition/Trigger/Condition/Continuous,
07409792,Dynathérium,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête/Effet],,,,,Niveau 4,1600,600,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Dynathérium"" qu'une fois par tour de cette façon. Lorsqu'elle est Invoquée de cette façon : votre adversaire peut cibler 1 monstre de Niveau 4 dans l'un des Cimetières ; il Invoque Spécialement la cible sur son Terrain.",,,,Summon/Condition/Trigger,
08198620,Dragon Profondâme Dragonécro,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Fusion／Effet],,,,,Niveau 8,3000,0,,2 monstres Zombie,,"Doit d'abord être Invoquée par Fusion. Les monstres ne peuvent pas être détruits au combat avec cette carte. À la fin de la Damage Step, si cette carte a combattu un monstre : changez l'ATK du monstre à 0, et aussi, si le monstre est toujours face recto sur le Terrain, Invoquez Spécialement 1 ""Jeton Âme des Ténèbres"" (Zombie/TÉNÈBRES/Niveau ?/ATK ?/DEF 0) du même Niveau/ATK que le Niveau/ATK d'origine du monstre. Vous ne pouvez contrôler qu'1 ""Dragon Profondâme Dragonécro"".",Zombie,,,Summon/Continuous/Trigger/Condition/Unclassified,
