Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
41933425,Portail de Contact,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Bannissez 2 monstres ""Néo-Spacien"" de noms différents depuis votre Cimetière ; Invoquez Spécialement 2 monstres ""Néo-Spacien"" de noms différents depuis votre main, Deck, et/ou Cimetière, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (Monstres Fusion exclus) depuis l'Extra Deck le reste de ce tour. Si un Monstre Fusion face recto qui liste ""Néos, HÉROS Élémentaire"" comme Matériel est renvoyé depuis votre Terrain à l'Extra Deck : vous pouvez bannir cette carte depuis votre Cimetière ; Invoquez Spécialement 1 de vos monstres ""Néo-Spacien"" bannis. Vous ne pouvez activer qu'1 ""Portail de Contact"" par tour.",Supports archetypes /Neo-Spacian,,,Cost/Effect/Trigger-like/Condition,
67218327,Tablir SIMM,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Effet],,,,,Niveau 5,0,1800,,,,"Vous pouvez révéler cette carte dans votre main, puis ciblez 1 monstre Cyberse de Niveau 4 dans votre Cimetière ; Invoquez Spécialement cette carte depuis votre main dans votre zone pointée par un Monstre Lien lié que vous contrôlez, et si vous le faites, renvoyez le monstre ciblé à la main. Vous ne pouvez utiliser cet effet de ""Tablir SIMM"" qu'une fois par tour.",Cyberse/Link Monster,,Activates from your hand/Reveals itself in the hand for cost/Adds from your Graveyard to your hand,Ignition/Condition,
27918365,"Héritage du Monde - ""Couronne du Monde""",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 6,2000,2000,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position de Défense dans votre zone pointée par un Monstre Lien. Vous ne pouvez Invoquer Spécialement ""Héritage du Monde - ""Couronne du Monde"""" qu'une fois par tour de cette façon. Lorsqu'un monstre sur le Terrain qui a été Invoqué Spécialement depuis l'Extra Deck active son effet (Effet Rapide) : vous pouvez Sacrifier cette carte ; annulez l'activation, et si vous le faites, détruisez-la. Si cette carte Invoquée/Posée Normalement est Sacrifiée : vous pouvez ajouter 1 Magie/Piège ""Héritage du Monde"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Héritage du Monde - ""Couronne du Monde"""" qu'une fois par tour.",Supports archetypes /World Legacy,,Tributes itself for cost/Activates if Tributed/Adds from Deck to hand,Trigger/Quick,
80701178,Talismandra Lutincantation,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Plante/Effet],,,,,Niveau 6,0,0,,,,"Vous pouvez révéler 1 Monstre Rituel dans votre main ; Invoquez Spécialement cette carte depuis votre main ainsi qu'1 monstre ""Lutincantation"" (""Talismandra Lutincantation"" exclu) depuis votre Deck. Si cette carte est Invoquée Spécialement depuis le Deck : vous pouvez ajouter 1 Monstre Rituel depuis votre Deck à votre main. Vous ne pouvez utiliser qu'1 effet de ""Talismandra Lutincantation"" par tour, et uniquement une fois le tour. Vous ne pouvez pas Invoquer Spécialement de monstres depuis l'Extra Deck.",Supports archetypes /Impcantation,,Reveals your hand for cost/Adds from Deck to hand,Ignition/Trigger/Condition/Continuous,
29253591,Guisarme Dragunité,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Syntoniseur／Effet],,,,,Niveau 2,1000,200,,,,"Non utilisable comme Matériel Synchro, sauf pour l'Invocation Synchro d'un monstre ""Dragunité"". Cette carte sur le Terrain peut être traitée comme un monstre de Niveau 4 lorsqu'elle est utilisée pour une Invocation Synchro. Si cette carte est actuellement équipée à un monstre : vous pouvez Invoquer Spécialement cette carte équipée.",Supports archetypes /Dragunity,,,Condition/Continuous/Ignition-like,
12196873,Dragon Appât Métaphysique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Wyrm/Pendule／Effet],,,,,Niveau 2,300,200,,,,"Lorsque votre monstre est ciblé par une attaque : vous pouvez cibler 1 de vos monstres ""Métaphysique"" qui sont bannis ou dans votre Cimetière ; bannissez cette carte, et si vous le faites, Invoquez Spécialement le monstre en Position d'Attaque. Durant la Standby Phase du prochain tour après que cette carte a été bannie : vous pouvez Invoquer Spécialement cette carte bannie. Vous ne pouvez utiliser chaque effet de ""Dragon Appât Métaphysique"" qu'une fois par tour.",Supports archetypes /Metaphys,,Activates upon attack declaration/Activates while banished,Pendulum Effect /Trigger-like/Condition/Monster Effect/Trigger,
59281822,Ombramirage le Seigneur Élémentaire,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 8,2800,2200,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en ayant exactement 5 monstres TÉNÈBRES dans votre Cimetière. Si cette carte est Invoquée Spécialement : ajoutez 1 monstre avec max. 1500 ATK depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Ombramirage le Seigneur Élémentaire"" qu'une fois par tour. Si cette carte face recto quitte le Terrain, sautez la Battle Phase de votre prochain tour.",DARK,,Skips Battle Phase/Activates upon Special Summon/Adds from Deck to hand,Summon/Trigger/Condition/Unclassified,
48468330,Bambin Terrifiant du Tourment,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Flip／Effet],,,,,Niveau 3,0,2000,,,,"FLIP : Vous pouvez envoyer 1 monstre Démon depuis votre Deck au Cimetière.Si cette carte est envoyée depuis la main ou Deck au Cimetière : vous pouvez Invoquer Spécialement cette carte en Position de Défense face verso. Vous ne pouvez utiliser chaque effet de ""Bambin Terrifiant du Tourment"" qu'une fois par tour.",Fiend,,Sends from your Deck to your Graveyard/Activates from your Graveyard,Flip/Trigger/Condition,
84453939,As Psychique,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Psychique/Effet],,,,,Niveau 2,1000,0,,,,Si cette carte dans la Zone Monstre est Sacrifiée : vous pouvez cibler 1 carte sur le Terrain ; détruisez-la.,,,Activates if Tributed,Trigger,
47346782,Centregrenouille,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 2,100,2000,,,,"Non utilisable comme Matériel pour une Invocation Fusion, Synchro, Xyz ou Lien. Si cette carte est Invoquée Normalement ou par Flip : changez-la en Position de Défense. Une fois par tour : vous pouvez cibler 1 monstre dans la Zone Monstre Main de votre adversaire ; donnez le contrôle de cette carte en Position de Défense à votre adversaire en la déplaçant dans la zone de votre adversaire adjacente à la cible, puis si votre adversaire contrôle exactement 2 ""Centregrenouille"" dans la Zone Monstre Main, gagnez le contrôle de tous les monstres entre ces 2 cartes.",,,Activates upon Normal Summon/Activates upon Flip Summon/Changes battle positions/Changes control,Condition/Trigger/Ignition,
24731391,Magicien Cyberse,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Rituel／Effet],,,,,Niveau 7,2500,2000,,,,"Vous pouvez Invoquer Rituellement cette carte avec ""Cynet Rituel"". Les dommages que vous recevez sont divisés par deux. (Vous ne pouvez pas rediviser par deux les mêmes dommages de cette façon.) Tant que vous contrôlez un Monstre Lien, les monstres contrôlés par votre adversaire ne peuvent pas cibler de monstres que vous contrôlez (celui-ci exclu) avec une attaque, et aussi, votre adversaire ne peut pas cibler de monstres que vous contrôlez (celui-ci exclu) avec des effets de carte. Si cette carte combat un Monstre Lien, il gagne 1000 ATK durant ce calcul des dommages uniquement. Si cette carte en votre possession est détruite par un effet de carte de l'adversaire : vous pouvez ajouter 1 monstre Cyberse depuis votre Deck à votre main.",Link Monster/Cyberse,Link Monster,Activates if destroyed by card effect/Adds from Deck to hand,Summon/Continuous/Trigger,
50139096,"Ruine, Ange de l'Oubli",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Rituel／Effet],,,,,Niveau 4,1700,1000,,,,"Vous pouvez Invoquer Rituellement cette carte avec ""Cycle du Monde"". Le nom de cette carte devient ""Ruine, Reine de l'Oubli"" tant qu'elle est dans la main ou sur le Terrain. Si cette carte est Invoquée Rituellement : durant chaque Battle Phase ce tour, elle peut faire max. 2 attaques sur des monstres. Si cette carte est envoyée au Cimetière : vous pouvez cibler 1 Monstre Rituel que vous contrôlez ; tant qu'il est face recto sur votre Terrain, votre adversaire ne peut ni activer de cartes ni d'effets lorsque vos Monstres Rituels déclarent une attaque.","Ruin, Queen of Oblivion/Ritual Monster",,Activates upon Ritual Summon/Activates from your Graveyard,Summon/Unclassified/Trigger,
13518809,"Ruine, Reine Suprême de l'Oubli",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Rituel／Effet],,,,,Niveau 10,2900,3000,,,,"Vous pouvez Invoquer Rituellement cette carte avec ""Cycle du Monde"". Le nom de cette carte devient ""Ruine, Reine de l'Oubli"" tant qu'elle est dans la main ou sur le Terrain. Tant que cette carte Invoquée Rituellement est sur le Terrain, les Monstres Rituels que vous contrôlez ne peuvent pas être détruits par des effets de carte. Si tous les monstres utilisés pour Invoquer Rituellement cette carte étaient des Monstres Rituels, elle peut faire une seconde attaque durant chaque Battle Phase. Si cette carte détruit un monstre de l'adversaire au combat : vous pouvez infliger des dommages à votre adversaire égaux à l'ATK d'origine du monstre détruit.","Ruin, Queen of Oblivion/Ritual Monster",,,Summon/Unclassified/Continuous/Trigger,
59913418,"Peine, Roi Suprême de l'Armageddon",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Rituel／Effet],,,,,Niveau 10,3000,3000,,,,"Vous pouvez Invoquer Rituellement cette carte avec ""Cycle du Monde"". Le nom de cette carte devient ""Peine, Roi de l'Armageddon"" tant qu'elle est dans la main ou sur le Terrain. Tant que cette carte Invoquée Rituellement est sur le Terrain, vos Monstres Rituels ne peuvent pas être détruits au combat. Si tous les monstres utilisés pour Invoquer Rituellement cette carte étaient des Monstres Rituels, vous ne payez pas de LP pour activer ses effets. Une fois par tour : vous pouvez payer 2000 LP ; détruisez autant d'autres cartes sur le Terrain que possible, et si vous le faites, infligez 200 points de dommages à votre adversaire pour chaque carte détruite qu'il contrôlait.","Demise, King of Armageddon/Ritual Monster",,Reduces costs,Summon/Unclassified/Continuous/Condition/Ignition,
86401517,Paladin du Dragon Orage,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Cyberse/Rituel／Effet],,,,,Niveau 4,1900,900,,,,"Vous pouvez Invoquer Rituellement cette carte avec ""Cynet Rituel"". Au début de la Damage Step, si cette carte attaque un monstre : vous pouvez renvoyer le monstre à la main. Vous pouvez Sacrifier cette carte ; Invoquez Spécialement 1 monstre Cyberse de min. Niveau 5 depuis votre main ou Deck, mais il ne peut pas activer ses effets ce tour. Vous ne pouvez utiliser chaque effet de ""Paladin du Dragon Orage"" qu'une fois par tour.",Cyberse,,Returns from field to hand/Tributes itself for cost,Summon/Trigger/Ignition/Condition,
12496261,Chevalier Dragunité - Luin,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Synchro／Syntoniseur／Effet],,,,,Niveau 6,1200,1900,,"1 Syntoniseur ""Dragunité"" + 1+ monstre non-Syntoniseur",,"Si cette carte est Invoquée Spécialement : vous pouvez cibler 1 monstre ""Dragunité"" dans votre Cimetière ; équipez-le à cette carte. Si cette carte est envoyée au Cimetière : vous pouvez cibler 1 monstre ""Dragunité"" que vous contrôlez ; équipez cette carte à la cible. Il gagne 1000 ATK/DEF. Vous ne pouvez utiliser chaque effet de ""Chevalier Dragunité - Luin"" qu'une fois par tour.",Supports archetypes /Dragunity,,Activates upon Special Summon/Equips monsters from the player's Graveyard to itself/Activates from your Graveyard/Equips self from Graveyard,Trigger/Continuous-like/Condition,
48891960,Chevalier Dragunité - Ascalon,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Synchro／Effet],,,,,Niveau 10,3300,3200,,"1 Syntoniseur ""Dragunité"" + 1+ monstre non-Syntoniseur",,"Vous pouvez bannir 1 monstre ""Dragunité"" depuis votre Cimetière, puis ciblez 1 monstre contrôlé par votre adversaire ; bannissez-le. Si cette carte Invoquée par Synchronisation contrôlée par son propriétaire est détruite par un effet de carte de l'adversaire : vous pouvez Invoquer Spécialement 1 Monstre Synchro ""Dragunité"" avec max. 3000 ATK depuis votre Extra Deck. (Ceci est traité comme une Invocation Synchro.) Vous ne pouvez utiliser cet effet de ""Chevalier Dragunité - Ascalon"" qu'une fois par tour.",Supports archetypes /Dragunity,,Activates if destroyed by battle/Activates if destroyed by card effect,Ignition/Trigger/Condition,
11674673,Sorcière Cyberse,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Lien／Effet],Lien 2,Bottom-Left/Bottom,,,,800,-,,,,"2 monstres CyberseSi un monstre est Invoqué Spécialement dans une zone pointée par cette carte (sauf durant la Damage Step) : vous pouvez bannir 1 Magie depuis votre Cimetière ; ajoutez 1 Monstre Rituel Cyberse et 1 ""Cynet Rituel"" depuis votre Deck à votre main. Durant votre Main Phase, si cet effet a été activé ce tour : vous pouvez cibler 1 monstre Cyberse de max. Niveau 4 dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser chaque effet de ""Sorcière Cyberse"" qu'une fois par tour.",Cyberse/Ritual Monster/Cynet Ritual,,Activates upon Special Summon/Adds from Deck to hand,Trigger,
74163487,Garde du Point de Restauration,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Lien／Effet],Lien 2,Left/Bottom-Left,,,,1000,-,,,,"2 monstres CyberseUne fois par tour, si un autre Monstre Lien est Invoqué par Lien : le reste de ce tour, cette carte ne peut être détruite ni au combat ni par des effets de carte. Si un Monstre Lien, qui a été Invoqué par Lien en utilisant cette carte comme Matériel, est détruit par un effet de carte de l'adversaire, tant que cette carte est dans le Cimetière (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte. Vous ne pouvez utiliser cet effet de ""Garde du Point de Restauration"" qu'une fois par tour.",Cyberse/Link Monster,,Activates upon Link Summon/Activates from your Graveyard,Trigger/Condition,
47946130,Gouki L'Ogre Géant,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Lien／Effet],Lien 4,Left/Bottom-Left/Bottom-Right/Right,,,,3000,-,,,,"3+ monstres ""Gouki""Non destructible au combat, et non affectacle par les effets activés de monstres de votre adversaire avec une ATK inférieure ou égale à cette carte. Lorsque votre adversaire active une carte ou un effet qui cible cette carte et/ou un ou plusieurs monstres pointés par cette carte (Effet Rapide) : vous pouvez faire perdre exactement 500 ATK à cette carte, et si vous le faites, annulez l'activation. Une fois par tour, si l'ATK actuelle de cette carte est différente de son ATK d'origine (Effet Rapide) : jusqu'à la fin de ce tour, vous pouvez faire gagner 1000 ATK à cette carte.",Supports archetypes /Gouki,,,Continuous/Quick,
72006609,Mekk-Chevalier de l'Étoile du Matin,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Lien／Effet],Lien 2,Bottom-Left/Bottom-Right,,,,2000,-,,,,"2 monstres (un monstre ""Mekk-Chevalier"" inclus)Si cette carte est Invoquée par Lien : vous pouvez défausser 1 monstre ""Mekk-Chevalier"" ou 1 carte ""Héritage du Monde"" ; ajoutez 1 carte ""Héritage du Monde"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Mekk-Chevalier de l'Étoile du Matin"" qu'une fois par tour. Si votre monstre ""Mekk-Chevalier"" combat un monstre qui est dans une colonne différente, votre monstre ne peut pas être détruit au combat, et aussi, vous ne recevez aucun dommage de combat de ce combat.",Supports archetypes /Mekk-Knight/World Legacy,,Discards for cost/Activates upon Link Summon/Adds from Deck to hand,Trigger/Condition/Continuous,
