Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
13179332,Charbon d'Inpachi,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Pyro/Normal],,,,,Niveau 1,100,2100,,,,"Incarnation d'un arbre géant qui a brûlé intégralement, tout barbecue réalisé avec ce charbon est si superbe qu'on le croirait précieux.",,,,,
12057781,Gobelin du Faux,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Normal],,,,,Niveau 1,400,400,,,,"Ce gobelin s'investit totalement pour maîtriser la parfaite calligraphie du mot ""Faux"". Son cœur et son esprit sont pleinement concentrés sur son instrument d'écriture.",,,,,
75830094,Horus Dragon de la Flamme Noire LV4,Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Effet],,,,,Niveau 4,1600,1000,,,,"Le contrôle de cette carte face recto ne peut pas être échangé. Durant la End Phase, si cette carte a détruit un monstre au combat ce tour : vous pouvez envoyer cette carte face recto au Cimetière ; Invoquez Spécialement 1 ""Horus Dragon de la Flamme Noire LV6"" depuis votre main ou Deck.",Horus the Black Flame Dragon LV6,,Cannot change control/Activates when it destroys a monster by battle/Sends itself from field to Graveyard for cost,Continuous/Trigger,
11224103,Horus Dragon de la Flamme Noire LV6,Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Effet],,,,,Niveau 6,2300,1600,,,,"Cette carte n'est pas affectée par les effets de Magie. Durant la End Phase, si cette carte a détruit un monstre au combat ce tour : vous pouvez envoyer cette carte face recto au Cimetière ; Invoquez Spécialement 1 ""Horus Dragon de la Flamme Noire LV8"" depuis votre main ou Deck.",Horus the Black Flame Dragon LV8,,Activates when it destroys a monster by battle/Sends itself from field to Graveyard for cost,Continuous/Trigger,
48229808,Horus Dragon de la Flamme Noire LV8,Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Effet],,,,,Niveau 8,3000,1800,,,,"Ni Invocable Normalement ni Posable. Uniquement Invocable Spécialement avec ""Horus Dragon de la Flamme Noire LV6"" et non Invocable Spécialement autrement. Durant le tour de chaque joueur, lorsqu'une Carte Magie est activée : vous pouvez annuler l'activation, et si vous le faites, détruisez-la. Vous devez contrôler cette carte face recto pour activer et résoudre cet effet.",Horus the Black Flame Dragon LV6,,,Summon/Quick/Condition,
74713516,Imitateur des Ténèbres LV1,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Flip／Effet],,,,,Niveau 1,100,1000,,,,"FLIP : Piochez 1 carte.Une fois par tour, durant votre Standby Phase : vous pouvez envoyer cette carte au Cimetière ; Invoquez Spécialement 1 ""Imitateur des Ténèbres LV3"" depuis votre main ou Deck.",Dark Mimic LV3,,Activates upon being flipped face-up/You draw cards/Sends itself from field to Graveyard for cost,Flip/Trigger,
01102515,Imitateur des Ténèbres LV3,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Effet],,,,,Niveau 3,1000,1000,,,,"Si cette carte est détruite au combat et envoyée au Cimetière : piochez 1 carte, mais si cette carte a été Invoquée Spécialement par l'effet de ""Imitateur des Ténèbres LV1"", piochez 2 cartes à la place.",Dark Mimic LV1,,Activates if destroyed by battle/Activates from your Graveyard/You draw cards,Trigger,
47507260,Spadassin Mystique LV2,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 2,900,0,,,,"Au début de la Damage Step, si cette carte a attaqué un monstre en Position de Défense face verso : détruisez le monstre. Durant la End Phase, si cette carte a détruit un monstre au combat ce tour : vous pouvez envoyer cette carte face recto au Cimetière ; Invoquez Spécialement 1 ""Spadassin Mystique LV4"" depuis votre main ou Deck.",Mystic Swordsman LV4,,Sends itself from field to Graveyard for cost,Trigger,
74591968,Spadassin Mystique LV4,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 4,1900,1600,,,,"Non Invocable Normalement (mais Posable Normalement). Au début de la Damage Step, si cette carte a attaqué un monstre en Position de Défense face verso : détruisez le monstre. Durant la End Phase, si cette carte a détruit un monstre au combat ce tour : vous pouvez envoyer cette carte face recto au Cimetière ; Invoquez Spécialement 1 ""Spadassin Mystique LV6"" depuis votre main ou Deck.",Mystic Swordsman LV6,,Activates when it destroys a monster by battle/Sends itself from field to Graveyard for cost,Summon/Trigger,
00980973,Dragon Armé LV3,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 3,1200,900,,,,"Durant votre Standby Phase : vous pouvez envoyer cette carte au Cimetière ; Invoquez Spécialement 1 ""Dragon Armé LV5"" depuis votre main ou Deck.",Armed Dragon LV5,,Sends itself from field to Graveyard for cost,Trigger,
46384672,Dragon Armé LV5,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 5,2400,1700,,,,"Vous pouvez envoyer 1 monstre depuis votre main au Cimetière, puis ciblez 1 monstre contrôlé par votre adversaire avec une ATK inférieure ou égale à l'ATK du monstre envoyé ; détruisez la cible. Durant la End Phase, si cette carte a détruit un monstre au combat ce tour : vous pouvez envoyer cette carte au Cimetière ; Invoquez Spécialement 1 ""Dragon Armé LV7"" depuis votre main ou Deck.",Armed Dragon LV7,,Discards for cost/Activates when it destroys a monster by battle/Sends itself from field to Graveyard for cost,Ignition/Trigger,
73879377,Dragon Armé LV7,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Dragon/Effet],,,,,Niveau 7,2800,1000,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement avec ""Dragon Armé LV5"". Vous pouvez envoyer 1 monstre depuis votre main au Cimetière ; détruisez tous les monstres contrôlés par votre adversaire avec une ATK inférieure ou égale à l'ATK du monstre envoyé.",Armed Dragon LV5,,Sends from hand to Graveyard for cost,Summon/Ignition,
36262024,Poussin Dragon Noir,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 1,800,500,,,,"Vous pouvez envoyer cette carte face recto que vous contrôlez au Cimetière ; Invoquez Spécialement 1 ""Dragon Noir aux Yeux Rouges"" depuis votre main.",Red-Eyes Black Dragon,,Sends itself from field to Graveyard for cost,Ignition,
72657739,Poupée Malicieuse Mortelle,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1600,1700,,,,Durant votre prochaine Standby Phase après que cette carte a été envoyée depuis le Terrain au Cimetière par un effet de Carte Magie Continue : Invoquez Spécialement cette carte depuis le Cimetière.,Continuous Spell Card,Continuous Spell Card,Activates from your Graveyard,Trigger,
31440542,Rafflesia Séductrice,Unlimited(OCG)/Unlimited(TCG),TERRE,[Plante/Flip／Effet],,,,,Niveau 2,300,900,,,,"FLIP : Jusqu'à la fin du tour, prenez le contrôle d'1 monstre face recto sur le Terrain de votre adversaire.",,,Activates upon being flipped face-up/Changes control,Flip,
04929256,Mobius le Monarque de Glace,,EAU,[Aqua/Effet],,,,,Niveau 6,2400,1000,,,,Lorsque cette carte est Invoquée par Sacrifice : vous pouvez cibler max. 2 Magies/Pièges sur le Terrain ; détruisez les cibles.,,,Activates upon Tribute Summon,Trigger,
