Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
44430454,Chambellan des Six Samouraïs,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Normal],,,,,Niveau 3,200,2000,,,,"Ce silencieux et mystérieux guerrier est l'éminence grise qui aide en secret les Six Samouraïs. Personne ne connaît son passé, mais ses nombreuses cicatrices sont la preuve de son immense expérience.",,,,,
80825553,Nuagien - Boule de Fumée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Elfe/Normal],,,,,Niveau 1,200,600,,,,"Les Boules de Fumée sont des nouveau-nés Nuagiens. Ils ont peur d'être seuls, c'est pourquoi ils préfèrent flâner dans le ciel avec leurs amis.",,,,,
58554959,"Lame Malveillante, HÉROS du Mal",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Démon/Effet],,,,,Niveau 7,2600,1800,,,,"Si votre adversaire contrôle un monstre, vous pouvez Invoquer par Sacrifice cette carte face recto avec 1 Sacrifice. Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants.",,,,Summon/Continuous,
95943058,"Champion de l'Enfer, HÉROS du Mal",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Démon/Effet],,,,,Niveau 4,1600,0,,,,"Durant votre Main Phase 1 : vous pouvez bannir cette carte depuis le Terrain, puis ciblez 1 monstre Démon que vous contrôlez ; la cible peut faire une seconde attaque durant chaque Battle Phase tant que vous la contrôlez face recto. Une fois par tour, durant votre seconde Standby Phase après que cette carte a été bannie pour activer cet effet : Invoquez Spécialement cette carte en Position d'Attaque.",Fiend,,,Ignition/Trigger,
57610714,Nuagien - Œil du Typhon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Aqua/Effet],,,,,Niveau 8,3000,1000,,,,"Non destructible au combat. Si cette carte est en Position de Défense face recto, détruisez-la. Si cette carte déclare une attaque : changez la position de combat de tous les monstres face recto (monstres ""Nuagien"" exclus).",Supports archetypes /Cloudian,,Activates upon attack declaration/Changes battle positions,Continuous/Trigger,
83604828,Nuagien - Brume de Fantôme,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Démon/Effet],,,,,Niveau 1,0,0,,,,Non Invocable Spécialement. Aucun joueur ne reçoit de dommages de combat d'attaques impliquant cette carte. Si cette carte est détruite au combat : distribuez un nombre de Compteurs Brume égal au Niveau du monstre qui l'a détruite parmi les monstres face recto.,,,Activates if destroyed by battle,Summon/Continuous/Trigger,
56597272,Nuagien - Nuage de Mouton,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Elfe/Effet],,,,,Niveau 1,0,0,,,,"Si cette carte est détruite au combat et envoyée au Cimetière : Invoquez Spécialement 2 ""Jeton Nuagien"" (Elfe/EAU/Niveau 1/ATK 0/DEF 0) en Position de Défense. Ces Jetons ne peuvent pas être Sacrifiés pour une Invocation Sacrifice, sauf pour des monstres ""Nuagien"".",Supports archetypes /Cloudian,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
83982270,Nuagien - Gaz Toxique,Unlimited(OCG)/Unlimited(TCG),EAU,[Démon/Effet],,,,,Niveau 3,0,1000,,,,"Lorsque cette carte est détruite au combat et envoyée au Cimetière, si elle était face recto au début de la Damage Step : détruisez le monstre qui l'a détruite, et si vous le faites, infligez 800 points de dommages à votre adversaire.",,,Activates if destroyed by battle/Activates from your Graveyard,Trigger,
43318266,Nuagien - Cirrostratus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Elfe/Effet],,,,,Niveau 4,900,0,,,,"Non destructible au combat. Si cette carte est en Position de Défense face recto, détruisez-la. Si cette carte est Invoquée Normalement : placez 1 Compteur Brume sur elle pour chaque monstre ""Nuagien"" sur le Terrain. Vous pouvez retirer 2 Compteurs Brume de cette carte, puis ciblez 1 monstre sur le Terrain ; détruisez la cible.",Supports archetypes /Cloudian,,,Continuous/Trigger/Ignition,
98049038,Furtiroid,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,1200,0,,,,"Si cette carte attaque, détruisez 1 Carte Magie ou Piège à la fin de la Battle Phase si vous contrôlez un autre monstre ""roid"".",Supports archetypes /roid,,,Trigger,
