Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
83039729,Grand Maître des Six Samouraïs,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 5,2100,800,,,,"Vous ne pouvez contrôler qu'1 ""Grand Maître des Six Samouraïs"". Si vous contrôlez un monstre ""Six Samouraïs"", vous pouvez Invoquer Spécialement cette carte (depuis votre main). Si cette carte en votre possession est détruite par un effet de carte de l'adversaire : ciblez 1 monstre ""Six Samouraïs"" dans votre Cimetière ; ajoutez la cible à votre main.",Supports archetypes /Six Samurai,,Activates from your hand/Activates if destroyed by card effect/Returns from your Graveyard to your hand,Unclassified/Trigger,
69247929,Loup de Guerre Géno-Perverti,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête-Guerrier/Normal],,,,,Niveau 4,2000,100,,,,"On a donné à ce loup de guerre une force incalculable par le biais d'horribles manipulations génétiques. Sa nature douce a été complètement anéantie, et sa seule raison d'être est maintenant de semer la destruction.",,,,,
54959865,Colibri Aérien Néo-Spacien,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Bête Ailée/Effet],,,,,Niveau 3,800,600,,,,Une fois par tour : vous pouvez gagner 500 LP pour chaque carte dans la main de votre adversaire.,,,,Ignition,
80344569,Taupe Géante Néo-Spacien,Unlimited(OCG)/Unlimited(TCG)/Limited 3(TCGSpeed Duel),TERRE,[Rocher/Effet],,,,,Niveau 3,900,300,,,,"Au début de la Damage Step, si cette carte combat un monstre de l'adversaire : vous pouvez renvoyer le monstre de l'adversaire ainsi que cette carte à la main.",,,Returns from your opponent's field to your opponent's hand/Returns itself from field to hand,Trigger,
17732278,Limon Luminescent Néo-Spacien,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Plante/Effet],,,,,Niveau 3,300,900,,,,"Si cette carte attaque ou est attaquée : votre adversaire pioche 1 carte et la montre, puis, appliquez cet effet selon son type.●Monstre : Terminez la Battle Phase de ce tour.●Magie : Si cette carte attaque, vous pouvez changer l'attaque en attaque directe à la place.●Piège : Changez cette carte en Position de Défense.",,,Your opponent draws cards/Shows the opponent's drawn cards/Ends the Battle Phase/Changes battle positions,Trigger,
64398890,Les Six Samouraïs - Yaichi,Unlimited(OCG)/Unlimited(TCG),EAU,[Guerrier/Effet],,,,,Niveau 3,1300,800,,,,"Une fois par tour : vous pouvez cibler 1 Carte Magie/Piège Posée ; détruisez la cible. Vous devez contrôler un monstre ""Six Samouraïs"" face recto de nom différent pour activer et résoudre cet effet. Cette carte ne peut pas déclarer d'attaque durant le tour où cet effet est activé. Si cette carte va être détruite, vous pouvez détruire un autre monstre ""Six Samouraïs"" face recto que vous contrôlez à la place.",Supports archetypes /Six Samurai,,,Ignition/Condition/Continuous,
90397998,Les Six Samouraïs - Kamon,Unlimited(OCG)/Unlimited(TCG),FEU,[Guerrier/Effet],,,,,Niveau 3,1500,1000,,,,"Une fois par tour : vous pouvez cibler 1 Carte Magie/Piège face recto ; détruisez la cible. Vous devez contrôler un monstre ""Six Samouraïs"" face recto de nom différent pour activer et résoudre cet effet. Cette carte ne peut pas déclarer d'attaque durant le tour où cet effet est activé. Si cette carte va être détruite, vous pouvez détruire un autre monstre ""Six Samouraïs"" face recto que vous contrôlez à la place.",Supports archetypes /Six Samurai,,,Ignition/Continuous,
69025477,Les Six Samouraïs - Yariza,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 3,1000,500,,,,"Tant que vous contrôlez un monstre ""Six Samouraïs"" face recto de nom différent, cette carte peut attaquer directement votre adversaire. Si cette carte va être détruite, vous pouvez détruire un autre monstre ""Six Samouraïs"" face recto que vous contrôlez à la place.",Supports archetypes /Six Samurai,,,Continuous,
31904181,Les Six Samouraïs - Nisashi,Unlimited(OCG)/Unlimited(TCG),VENT,[Guerrier/Effet],,,,,Niveau 4,1400,700,,,,"Tant que vous contrôlez un monstre ""Six Samouraïs"" face recto de nom différent, durant chaque Battle Phase, cette carte peut attaquer deux fois. Si cette carte va être détruite, vous pouvez détruire un autre monstre ""Six Samouraïs"" face recto que vous contrôlez à la place.",Supports archetypes /Six Samurai,,,Continuous,
27782503,Les Six Samouraïs - Irou,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1700,1200,,,,"Au début de la Damage Step, si cette carte a attaqué un monstre en Position de Défense face verso : détruisez le monstre. Vous devez contrôler un monstre ""Six Samouraïs"" face recto de nom différent pour activer et résoudre cet effet. Si cette carte va être détruite, vous pouvez détruire un autre monstre ""Six Samouraïs"" face recto que vous contrôlez à la place.",Supports archetypes /Six Samurai,,,Trigger/Continuous,
