Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
02656842,Éclaireur Buggy de la Coléoptroupe,Unlimited(OCG)/Unlimited(TCG),VENT,[Insecte/Effet],,,,,Niveau 3,1000,300,,,,"Vous ne pouvez pas Invoquer Spécialement de monstres (monstres Insecte exclus). Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez Invoquer Spécialement 1 ""Éclaireur Buggy de la Coléoptroupe"" depuis votre main, Deck ou Cimetière. Vous ne pouvez utiliser cet effet de ""Éclaireur Buggy de la Coléoptroupe"" qu'une fois par tour.",Insect,,Activates upon Normal Summon/Activates upon Special Summon,Continuous/Trigger/Condition,
00291414,Dragon de la Convergence des Volontés,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Syntoniseur／Effet],,,,,Niveau 1,0,0,,,,"Non utilisable comme Matériel Synchro, sauf pour l'Invocation Synchro d'un monstre ""Majestueux"". Le nom de cette carte devient ""Dragon Majestueux"" tant qu'elle est sur le Terrain ou dans le Cimetière. Lorsque vous piochez cette carte : vous pouvez la révéler ; Invoquez-la Spécialement depuis votre main, puis, si vous contrôlez un Monstre Synchro Dragon de min. Niveau 8, vous pouvez Invoquer Spécialement 1 monstre Dragon de Niveau 1 depuis votre Deck. Vous ne pouvez Invoquer Spécialement un ou plusieurs ""Dragon de la Convergence des Volontés"" qu'une fois par tour.",Supports archetypes /Majestic,,Activates from your hand/Reveals itself in the hand for cost,Condition/Unclassified/Trigger,
90179822,Comédie Despiane,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Effet],,,,,Niveau 1,0,2000,,,,"Lorsque votre adversaire active une carte ou un effet qui cible une ou plusieurs cartes ""Despia"" face recto que vous contrôlez (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'effet. Si cette carte est dans votre Cimetière (Effet Rapide) : vous pouvez Sacrifier 1 Monstre Fusion ; Invoquez Spécialement cette carte. Vous ne pouvez utiliser qu'1 effet de ""Comédie Despiane"" par tour, et uniquement une fois le tour.",Supports archetypes /Despia,,,Quick/Quick/Condition,
36577931,Tragédie Despiane,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Effet],,,,,Niveau 1,400,400,,,,"Si cette carte est envoyée au Cimetière ou bannie par un effet de carte : vous pouvez ajouter 1 monstre ""Despia"" (""Tragédie Despiane"" exclu) depuis votre Deck à votre main. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 Magie/Piège ""Marqué"" dans votre Cimetière ; Posez-le sur votre Terrain. Vous ne pouvez utiliser qu'1 effet de ""Tragédie Despiane"" par tour, et uniquement une fois le tour.",Supports archetypes /Despia/Branded,,Activates from your Graveyard/Activates while banished/Adds from Deck to hand/Sets from your Graveyard,Trigger/Ignition/Condition,
62962630,Aluber le Fou de Despia,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Effet],,,,,Niveau 4,1800,0,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 Magie/Piège ""Marqué"" depuis votre Deck à votre main. Si un Monstre Fusion face recto que vous contrôlez est détruit au combat, ou quitte le Terrain à cause d'un effet de carte de l'adversaire, tant que cette carte est dans votre Cimetière : vous pouvez cibler 1 Monstre à Effet contrôlé par votre adversaire ; Invoquez Spécialement cette carte, et si vous le faites, annulez les effets du monstre ciblé jusqu'à la fin de ce tour. Vous ne pouvez utiliser qu'1 effet de ""Aluber le Fou de Despia"" par tour, et uniquement une fois le tour.",Supports archetypes /Branded,Effect Monster,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Activates from your Graveyard,Trigger/Trigger/Condition,
99456344,Dramaturge de Despia,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Effet],,,,,Niveau 8,3000,1500,,,,"Si un Monstre Fusion, Synchro, Xyz ou Lien est Invoqué Spécialement (sauf durant la Damage Step) : vous pouvez cibler 1 Monstre à Effet sur le Terrain ; jusqu'à la fin de ce tour, annulez ses effets. Si cette carte dans votre main ou sur votre Terrain est utilisée comme Matériel Fusion, et est envoyée au Cimetière ou est bannie : vous pouvez Invoquer Spécialement cette carte. Vous ne pouvez utiliser chaque effet de ""Dramaturge de Despia"" qu'une fois par tour.",Fusion Monster/Synchro Monster/Xyz Monster/Link Monster,Fusion Monster/Synchro Monster/Xyz Monster/Link Monster/Effect Monster,Activates upon Special Summon/Activates if used as Fusion Material/Activates from your Graveyard/Activates while banished,Trigger/Trigger/Condition,
25451383,Albion le Dragon Obscur,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 8,2500,2000,,,,"Le nom de cette carte devient ""Albaz le Déchu"" tant qu'elle est sur le Terrain ou dans le Cimetière. Si cette carte est dans votre main ou Cimetière : vous pouvez envoyer 1 ""Albaz le Déchu"" ou 1 Magie/Piège ""Marqué"" depuis votre main ou Deck au Cimetière ; appliquez l'effet suivant selon d'où vous l'avez envoyé.●Main : Invoquez Spécialement cette carte.●Deck : Placez cette carte au-dessous du Deck, puis, si vous avez placé cette carte depuis votre main, piochez 1 carte.Vous ne pouvez utiliser cet effet de ""Albion le Dragon Obscur"" qu'une fois par tour.",Supports archetypes /Branded,,Activates from your hand/Activates from your Graveyard/Sends from hand to Graveyard for cost/Sends from Deck to Graveyard for cost/Places itself from hand to Deck/Places itself from Graveyard to Deck/You draw cards,Unclassified/Ignition/Condition,
62849088,Âmépée - L'Iris,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 8,2500,2500,,,,"Durant la Main Phase, si un monstre, dont les effets sont annulés, est sur le Terrain (Effet Rapide) : vous pouvez Invoquer Spécialement cette carte depuis votre main. Si votre adversaire Invoque Spécialement un ou plusieurs monstres (sauf durant la Damage Step) : vous pouvez activer 1 de ces effets selon d'où ils ont été Invoqués Spécialement ;●Main : Invoquez Spécialement 1 monstre depuis votre main.●Deck : Piochez 2 cartes.●Extra Deck : Détruisez 1 de ces monstres Invoqués Spécialement depuis l'Extra Deck.Vous ne pouvez utiliser chaque effet de ""Âmépée - L'Iris"" qu'une fois par tour.",,,You draw cards,Quick/Trigger/Condition,
98234196,"Clavkiys, le Chasse-Ciel de la Magiclé",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Normal],,,,,Niveau 4,1900,1900,,,,"Tout est possible. Tout ce que vous faites, que ce soit avancer, s'arrêter, fermer ou ouvrir, tout est entre vos mains.De nombreuses portes existent dans ce monde. Pour les ouvrir, la Clé Magique est requise... 2 clés et 1 porte... 2 volontés et 1 corps. Une fois les portes ouvertes, les mondes seront connectés et le grand pouvoir révélé.",,,,,
97112505,Globe Magella Chronomal,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Effet],,,,,Niveau 4,1500,300,,,,"Vous pouvez Sacrifier cette carte ; Invoquez Spécialement 1 monstre ""Chronomal"" (""Globe Magella Chronomal"" exclu) depuis votre Deck. Si cette carte est dans votre Cimetière, sauf le tour où elle y a été envoyée : vous pouvez bannir 1 carte ""Chronomal"" (""Globe Magella Chronomal"" exclu) depuis votre Cimetière ; ajoutez cette carte à votre main. Vous ne pouvez utiliser chaque effet de ""Globe Magella Chronomal"" qu'une fois par tour.",Supports archetypes /Chronomaly,,,Ignition/Ignition/Condition,
