Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
43930492,Chose de Magie,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1800,1300,,,,"Chaque fois qu'une Carte Magie est activée, placez 1 Compteur Magie sur cette carte lorsque la Magie est résolue. Le Niveau de cette carte est augmenté du nombre de Compteurs Magie sur elle. Vous pouvez retirer 3 Compteurs Magie de cette carte, puis ciblez 1 Magie Jeu-Rapide dans votre Cimetière ; Posez la carte dans votre Zone Magie & Piège. Vous ne pouvez utiliser cet effet de ""Chose de Magie"" qu'une fois par tour.",Quick-Play Spell Card,,Sets from your Graveyard,Continuous/Ignition/Condition,
72708264,Lézard aux Yeux de Bot Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Reptile/Effet],,,,,Niveau 4,1600,1200,,,,"Une fois par tour, durant votre Main Phase, si cette carte a été Invoquée Normalement ou Spécialement ce tour : vous pouvez envoyer 1 monstre ""Yeux Impairs"" depuis votre Deck au Cimetière ; jusqu'à la End Phase, le nom de cette carte devient le nom d'origine du monstre envoyé.",Supports archetypes /Odd-Eyes,,Sends from Deck to Graveyard for cost,Ignition,
34379489,Bulledog Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Pendule／Effet],,,,,Niveau 6,2300,1000,,,,"Lorsque cette carte est Invoquée Spécialement depuis l'Extra Deck : vous pouvez activer cet effet ; le reste de ce tour, les Monstres Pendule que vous contrôlez qui ont été Invoqués Spécialement depuis l'Extra Deck ne peuvent pas être détruits par des effets de carte.",Pendulum Monster,,,Pendulum Effect /Continuous-like/Monster Effect/Trigger,
71863024,Cheval Radis Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Plante/Pendule／Effet],,,,,Niveau 4,500,2000,,,,"Si votre adversaire contrôle un monstre Invoqué Spécialement et qu'il contrôle au moins autant de monstres que vous, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Une fois par tour : vous pouvez cibler 1 monstre face recto sur chaque Terrain ; jusqu'à la fin de ce tour, le monstre de votre adversaire perd une ATK égale à l'ATK de cette carte, et s'il le fait, le monstre que vous contrôlez gagne une ATK égale à l'ATK de cette carte.",Supports archetypes /Performapal,,,Pendulum Effect /Ignition-like/Monster Effect/Summon/Ignition,
07268133,Spadassin de la Vie Potartiste,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 1,0,0,,,,"Lorsque votre adversaire gagne des LP (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis votre main, et si vous le faites, l'ATK de cette carte devient égale aux LP gagnés par votre adversaire. Vous pouvez Sacrifier cette carte, puis ciblez 1 monstre face recto que vous contrôlez ; jusqu'à la fin de ce tour, il gagne 1000 ATK.",,,Activates from your hand/Activates if your opponent gains LP/Tributes itself for cost,Trigger/Ignition,
00041546,D/D Savant Thomas,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Pendule／Effet],,,,,Niveau 8,1800,2600,,,,"Vous pouvez cibler 1 carte ""D/D"" dans votre Zone Pendule ; détruisez la carte, et si vous le faites, Invoquez Spécialement 1 monstre ""D/D/D"" de Niveau 8 depuis votre Deck en Position de Défense, mais le reste de ce tour, ses effets (s'il en a) sont annulés, et aussi, les dommages de combat reçus par votre adversaire seront divisés par deux. Vous ne pouvez utiliser cet effet de ""D/D Savant Thomas"" qu'une fois par tour.",Supports archetypes /D/D/D/D/D,,Adds from Extra Deck to hand,Pendulum Effect /Ignition-like/Condition/Monster Effect/Ignition,
73534250,Aile Noire - Tornade du Retournement,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 4,1000,1200,,,,"Lorsque cette carte est Invoquée Normalement tant que votre adversaire contrôle un monstre Invoqué Spécialement : vous pouvez cibler 1 Syntoniseur ""Aile Noire"" dans votre Cimetière ; vous ne pouvez pas Invoquer Spécialement de monstres (monstres ""Aile Noire"" exclus) depuis l'Extra Deck le reste de ce tour, et aussi, Invoquez Spécialement le monstre, mais ses effets sont annulés.",Supports archetypes /Blackwing,,Activates upon Normal Summon,Trigger,
09929398,Aile Noire - Gofu la Vague de l'Ombre,Forbidden(OCG)/Forbidden(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 5,0,0,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) tant que vous ne contrôlez aucun monstre. Lorsque cette carte est Invoquée Spécialement depuis la main : vous pouvez Invoquer Spécialement 2 ""Jeton de la Vague de l'Ombre"" (Type Bête Ailée/TÉNÈBRES/Niveau 1/ATK 0/DEF 0), mais ils ne peuvent ni être Sacrifiés ni être utilisés comme Matériels de Synchro. Vous pouvez bannir cette carte et min. 1 non-Syntoniseur face recto que vous contrôlez, puis ciblez 1 Monstre Synchro ""Aile Noire"" dans votre Cimetière dont le Niveau est égal à la somme des Niveaux que les monstres bannis avaient sur le Terrain ; Invoquez-le Spécialement, et si vous le faites, il est traité comme un Syntoniseur.",Supports archetypes /Blackwing,,Cannot be Tributed,Summon/Trigger/Ignition,
45313993,Warg Rouge,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Effet],,,,,Niveau 6,1400,2200,,,,"Lorsque vous Invoquez Normalement un monstre ""Diapason"" : vous pouvez Invoquer Spécialement cette carte depuis votre main, mais son ATK sera divisée par deux.",Supports archetypes /Resonator,,Activates upon Normal Summon,Trigger,
08706701,Miroir Rouge,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Effet],,,,,Niveau 1,0,0,,,,"Lorsqu'un monstre de votre adversaire déclare une attaque : vous pouvez envoyer cette carte depuis votre main au Cimetière, puis ciblez 1 monstre FEU de Type Démon (""Miroir Rouge"" exclu) dans votre Cimetière ; ajoutez-le à votre main. Si vous Invoquez par Synchronisation tant que cette carte est dans votre Cimetière (sauf durant la Damage Step ou le tour où cette carte a été envoyée au Cimetière) : vous pouvez ajouter cette carte à votre main. Vous ne pouvez utiliser chaque effet de ""Miroir Rouge"" qu'une fois par tour.",FIRE/Fiend,,Activates upon attack declaration/Sends itself from hand to Graveyard for cost/Adds from Graveyard to hand,Trigger/Condition,
