Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
82301904,Dragon Empereur du Chaos - Émissaire de l'Achèvement,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 8,3000,2500,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en bannissant 1 monstre LUMIÈRE et 1 monstre TÉNÈBRES depuis votre Cimetière. Une fois par tour : vous pouvez payer 1000 LP ; envoyez autant de cartes dans la main de chaque joueur et sur le Terrain que possible au Cimetière, puis infligez 300 points de dommages à votre adversaire pour chaque carte envoyée dans le Cimetière de l'adversaire par cet effet. Vous ne pouvez pas activer d'autres cartes ou effets durant le tour où vous activez l'effet de cette carte.",LIGHT/DARK,,Sends from hand to Graveyard/Sends from field to Graveyard,Summon/Ignition,
15734813,Âme Tigre,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Normal],,,,,Niveau 4,0,2100,,,,L'âme d'un tigre réputé dévorer celles des hommes. C'est une célébrité que vous n'aimeriez pas croiser au détour d'une rue sombre.,,,,,
04896788,Esprit du Pot de Cupidité,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 1,100,100,,,,"Lorsque cette carte est en Position d'Attaque face recto sur le Terrain, si un joueur active un ""Pot de Cupidité"", il peut piocher une carte supplémentaire.",Pot of Greed,,You draw cards/Your opponent draws cards,Trigger,
40884383,"Chopman, le Hors-la-loi Épouvantable",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 3,1100,500,,,,"Lorsque cette carte est Invoquée avec succès par Invocation Flip, vous pouvez équiper 1 Carte Magie d'Équipement de votre Cimetière à cette carte.",Equip Spell Card,,Activates upon Flip Summon/Places cards from Graveyard in Spell & Trap Zone,Trigger,
03773196,Avion de Reconnaissance D.D.,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Machine/Effet],,,,,Niveau 2,800,1200,,,,"Durant la End Phase, si cette carte est actuellement bannie, et a été bannie ce tour : Invoquez-la Spécialement en Position d'Attaque face recto. Cet effet ne peut être activé qu'une fois par tour.",,,Activates while banished,Trigger,
16556849,"Freed, le Vagabond Courageux",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1700,1200,,,,Retirez du jeu 2 monstres LUMIÈRE de votre Cimetière pour détruire 1 monstre face recto sur le Terrain avec une ATK supérieure à cette carte. Cet effet ne peut être activé qu'une fois par tour.,LIGHT,,,Ignition,
42541548,Entraîneur Gobelin,Unlimited(OCG)/Unlimited(TCG),TERRE,[Démon/Effet],,,,,Niveau 4,1200,1500,,,,"Tant que cette carte reste face recto sur votre Terrain, vous pouvez renvoyer 1 Carte Monstre Normal de votre main sous votre Deck durant votre End Phase pour piocher 1 carte de votre Deck. Cet effet ne peut être activé qu'une fois par tour.",Normal Monster,,Places cards from the player's hand on the bottom of the Deck/Returns from hand to Deck for cost/You draw cards,Trigger/Condition,
75946257,Médecin Sorcier du Chaos,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Flip／Effet],,,,,Niveau 2,500,500,,,,FLIP : Sélectionnez 1 Carte Monstre de votre Cimetière ou de celui de votre adversaire. Retirez-la du jeu.,,,Activates upon being flipped face-up,Flip,
47829960,"Gustaph, Chevaucheur du Chaos",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),VENT,[Guerrier/Effet],,,,,Niveau 4,1400,1500,,,,"Une fois par tour : vous pouvez bannir max. 2 Magies depuis votre Cimetière ; jusqu'à la fin du tour de votre adversaire, cette carte gagne 300 ATK pour chaque carte bannie par cet effet.",,,,Ignition,
74823665,Inferno,Unlimited(OCG)/Unlimited(TCG),FEU,[Pyro/Effet],,,,,Niveau 4,1100,1900,,,,Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 1 monstre FEU depuis votre Cimetière. Si cette carte détruit un monstre de l'adversaire au combat et l'envoie au Cimetière : infligez 1500 points de dommages à votre adversaire.,FIRE,,Activates when it destroys a monster by battle,Summon/Trigger,
