Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
15845914,Magiciens des Liens et de l'Unité,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 8,2500,2500,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en ayant min. 25 cartes dans votre Cimetière. Tant que votre adversaire a min. 25 cartes dans son Cimetière, cette carte gagne 2500 ATK/DEF.",,,,Summoning condition/Summoning condition/Continuous,
14513273,"Magicien, Roi Suprême du Portail",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Pendule／Effet],,,,,Niveau 7,2500,2000,,,,"Si vous avez une carte ""Roi Suprême du Portail"" (""Magicien, Roi Suprême du Portail"" exclu) dans votre Zone Pendule : vous pouvez envoyer 1 monstre ""Dragon Pendule"", ""Dragon Xyz"", ""Dragon Synchro"" ou ""Dragon Fusion"" depuis votre main ou Extra Deck au Cimetière, et si vous le faites, Invoquez Spécialement cette carte depuis votre main. Si cette carte est Invoquée Spécialement : vous pouvez ajouter 1 carte qui mentionne ""Z-ARC, Roi Suprême"" (monstres Magicien exclus) depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Magicien, Roi Suprême du Portail"" qu'une fois par tour.",Supports archetypes /Supreme King Gate/Pendulum Dragon/Xyz Dragon/Synchro Dragon/Fusion Dragon,,Places from hand to Pendulum Zone/Places from Deck to Pendulum Zone/Sends from hand to Graveyard for cost/Sends from Extra Deck to Graveyard for cost/Activates upon Special Summon/Adds from Deck to hand,,
41908872,"Lightwurm, Roi Suprême du Dragon",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Pendule／Syntoniseur／Effet],,,,,Niveau 4,1200,1800,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 Monstre Pendule ""Roi Suprême du Dragon"" ou ""Roi Suprême du Portail"" face recto depuis votre Extra Deck à votre main, puis, immédiatement après la résolution de cet effet, vous pouvez Invoquer par Synchronisation ou Xyz 1 monstre ""Roi Suprême du Dragon"". Si un ou plusieurs Monstres Pendule face recto que vous contrôlez sont détruits au combat ou par un effet de carte, tant que cette carte est face recto dans votre Extra Deck : vous pouvez ajouter cette carte à votre main. Vous ne pouvez utiliser chaque effet de ""Lightwurm, Roi Suprême du Dragon"" qu'une fois par tour.",Supports archetypes /Supreme King Dragon/Supreme King Gate,,Activates upon Special Summon/Activates upon Normal Summon/Adds from Extra Deck to hand/Returns itself from Extra Deck to hand/Changes Levels/Changes Attribute,,
72270339,Diabellstar la Sorcière Sombre,Limited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 7,2500,2000,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en envoyant 1 carte depuis votre main ou Terrain au Cimetière. Vous ne pouvez Invoquer Spécialement ""Diabellstar la Sorcière Sombre"" qu'une fois par tour de cette façon. Vous ne pouvez utiliser chacun des effets suivants de ""Diabellstar la Sorcière Sombre"" qu'une fois par tour. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez Poser 1 Magie/Piège ""Butin du Péché"" directement depuis votre Deck. Durant le tour de votre adversaire, si cette carte est envoyée depuis la main ou Terrain de son propriétaire au Cimetière : vous pouvez envoyer 1 carte depuis votre main ou Terrain au Cimetière, et si vous le faites, Invoquez Spécialement cette carte.",Supports archetypes /Sinful Spoils,,Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost/Activates upon Normal Summon/Activates upon Special Summon/Sets from your Deck/Activates if sent to the Graveyard,Unclassified/Condition/Condition/Trigger/Trigger,
84941194,"Amset, Gloire d'Horus",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 8,3000,1800,,,,"Si vous contrôlez ""Sarcophage du Roi"", vous pouvez Invoquer Spécialement cette carte (depuis votre Cimetière). Vous ne pouvez Invoquer Spécialement ""Amset, Gloire d'Horus"" qu'une fois par tour de cette façon. Vous ne pouvez utiliser chacun des effets suivants de ""Amset, Gloire d'Horus"" qu'une fois par tour. Vous pouvez envoyer 2 cartes (cette carte incluse) depuis votre main au Cimetière ; ajoutez 1 ""Sarcophage du Roi"" depuis votre Deck à votre main, puis vous pouvez piocher 1 carte. Si une ou plusieurs autres cartes que vous contrôlez quittent le Terrain par un effet de carte de l'adversaire, tant que cette carte est dans votre Zone Monstre (sauf durant la Damage Step) : vous pouvez envoyer 1 carte sur le Terrain au Cimetière.",King's Sarcophagus,,Activates from your Graveyard/Discards for cost/Discards itself for cost/Adds from Deck to hand/You draw cards/Sends from field to Graveyard,Unclassified/Condition/Condition/Ignition/Trigger,
11335209,"Douamoutef, Bénédiction d'Horus",Unlimited(OCG)/Unlimited(TCG),EAU,[Bête/Effet],,,,,Niveau 8,0,0,,,,"Si vous contrôlez ""Sarcophage du Roi"", vous pouvez Invoquer Spécialement cette carte (depuis votre Cimetière). Vous ne pouvez Invoquer Spécialement ""Douamoutef, Bénédiction d'Horus"" qu'une fois par tour de cette façon. Gagne 1200 ATK/DEF pour chaque monstre ""Horus"" que vous contrôlez. Si une ou plusieurs autres cartes que vous contrôlez quittent le Terrain par un effet de carte de l'adversaire, tant que cette carte est dans votre Zone Monstre (sauf durant la Damage Step) : vous pouvez piocher un nombre de cartes égal au nombre de monstres de noms différents dans votre Zone Monstre Main. Vous ne pouvez utiliser cet effet de ""Douamoutef, Bénédiction d'Horus"" qu'une fois par tour.",Supports archetypes /Horus,,Activates from your Graveyard/You draw cards,Unclassified/Condition/Continuous/Trigger/Condition,
47330808,"Hâpi, Guide d'Horus",Unlimited(OCG)/Unlimited(TCG),VENT,[Bête-Guerrier/Effet],,,,,Niveau 8,2400,1600,,,,"Si vous contrôlez ""Sarcophage du Roi"", vous pouvez Invoquer Spécialement cette carte (depuis votre Cimetière). Vous ne pouvez Invoquer Spécialement ""Hâpi, Guide d'Horus"" qu'une fois par tour de cette façon. Si une ou plusieurs autres cartes que vous contrôlez quittent le Terrain par un effet de carte de l'adversaire, tant que cette carte est dans votre Zone Monstre (sauf durant la Damage Step) : vous pouvez cibler 2 cartes qui sont bannies et/ou dans les Cimetières ; soit ajoutez-les toutes les deux à la main, soit mélangez-les toutes les deux dans le Deck. Vous ne pouvez utiliser cet effet de ""Hâpi, Guide d'Horus"" qu'une fois par tour.",King's Sarcophagus,,Activates if other cards leave the field/Activates from your Graveyard/Adds from Graveyard to hand/Adds banished cards to the hand/Returns from Graveyard to Deck/Returns banished cards to the Deck/You draw cards,Unclassified/Condition/Trigger/Condition,
74725513,"Kébehsénouf, Protection d'Horus",Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête Ailée/Effet],,,,,Niveau 8,2500,2000,,,,"Si vous contrôlez ""Sarcophage du Roi"", vous pouvez Invoquer Spécialement cette carte (depuis votre Cimetière). Vous ne pouvez Invoquer Spécialement ""Kébehsénouf, Protection d'Horus"" qu'une fois par tour de cette façon. Si une ou plusieurs autres cartes que vous contrôlez quittent le Terrain par un effet de carte de l'adversaire, tant que cette carte est dans votre Zone Monstre (sauf durant la Damage Step) : vous pouvez activer cet effet ; ce tour, les monstres de votre adversaire ne peuvent pas cibler de monstres ""Horus"" avec une attaque, et aussi, votre adversaire ne peut pas cibler de monstres ""Horus"" sur le Terrain avec des effets de carte. Vous ne pouvez utiliser cet effet de ""Kébehsénouf, Protection d'Horus"" qu'une fois par tour.",Supports archetypes /Horus,,Activates from your Graveyard,Unclassified/Condition/Trigger/Condition,
46518210,"Nephilabyss, le Seigneur Ogdoadique",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Reptile/Effet],,,,,Niveau 10,2200,3100,,,,"Si un ou plusieurs monstres sont envoyés depuis la main ou Deck au Cimetière, tant que cette carte est dans votre Cimetière (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres Reptile exclus) jusqu'à la fin du prochain tour. Si vous contrôlez cette carte qui a été Invoquée Spécialement depuis le Cimetière : vous pouvez cibler 1 monstre (""Nephilabyss, le Seigneur Ogdoadique"" exclu) dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser chaque effet de ""Nephilabyss, le Seigneur Ogdoadique"" qu'une fois par tour.",Reptile,,Activates from your Graveyard/Activates upon Special Summon,Trigger/Ignition/Condition,
73602965,Arias l'Intendante Labrynth,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 6,1500,2500,,,,"Durant la Main Phase (Effet Rapide) : vous pouvez envoyer cette carte depuis votre main ou Terrain au Cimetière ; Invoquez Spécialement 1 monstre ""Labrynth"" ou Posez 1 Piège Normal, depuis votre main. Le Piège Normal Posé peut être activé ce tour. Lorsque votre adversaire active une carte ou un effet en réponse à votre activation de carte ou effet d'un Piège Normal ou d'une carte ""Labrynth"" (""Arias l'Intendante Labrynth"" exclu) (Effet Rapide) : vous pouvez activer cet effet dans le Cimetière ; Invoquez Spécialement cette carte. Vous ne pouvez utiliser chaque effet de ""Arias l'Intendante Labrynth"" qu'une fois par tour.",Supports archetypes /Labrynth,,Sends itself from hand to Graveyard for cost/Sends itself from field to Graveyard for cost/Sets from your hand/Activates from your Graveyard,Quick/Condition,
