Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
27024795,"Alvíss, Alfe Nordique",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 4,1500,1000,,,,"Si uniquement cette carte est bannie par l'effet d'un Monstre Lien ""Nordique"" : vous pouvez envoyer 1 monstre ""Nordique"" que vous contrôlez et 2 monstres ""Nordique"" depuis votre Deck au Cimetière, dont le Niveau total est égal à 10, puis Invoquez Spécialement 1 monstre ""Ases"" depuis votre Extra Deck. Si un ou plusieurs monstres ""Ases"" en votre possession sont envoyés à votre Cimetière par une carte de votre adversaire : vous pouvez bannir cette carte depuis votre Cimetière ; Invoquez Spécialement 1 monstre ""Ases"" depuis votre Extra Deck, de nom différent des cartes dans votre Cimetière. Vous ne pouvez utiliser cet effet de ""Alvíss, Alfe Nordique"" qu'une fois par Duel.",Supports archetypes /Nordic/Aesir,,Activates while banished/Sends from your field to your Graveyard/Sends from your Deck to your Graveyard/Activates from your Graveyard,Trigger/Condition,
21830679,Vouivre - Horloge,Unlimited(OCG)/Unlimited(TCG),VENT,[Cyberse/Effet],,,,,Niveau 4,1800,1000,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez diviser l'ATK de cette carte par deux, et si vous le faites, Invoquez Spécialement 1 ""Jeton Horloge"" (Cyberse/VENT/Niveau 1/ATK 0/DEF 0). Vous ne pouvez utiliser cet effet de ""Vouivre - Horloge"" qu'une fois par tour.",,,Activates upon Normal Summon/Activates upon Special Summon,Trigger/Condition,
29996433,Dinolutteur Capoeiraptor,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dinosaure/Effet],,,,,Niveau 4,1800,0,,,,"Cette carte en Position d'Attaque ne peut pas être détruite au combat. Si cette carte est attaquée, changez-la en Position de Défense à la fin de la Damage Step. Durant la Standby Phase, si cette carte est en Position de Défense : vous pouvez Invoquer Spécialement 1 ""Dinolutteur Capoeiraptor"" depuis votre Deck. Vous ne pouvez utiliser cet effet de ""Dinolutteur Capoeiraptor"" qu'une fois par tour.",,,Changes battle positions,Continuous/Trigger/Condition,
93507434,Dinolutteur Capaptera,Unlimited(OCG)/Unlimited(TCG),VENT,[Dinosaure/Effet],,,,,Niveau 3,1600,0,,,,"Si votre adversaire contrôle plus de monstres que vous : vous pouvez cibler 1 monstre contrôlé par votre adversaire ; envoyez-le au Cimetière. Vous ne pouvez utiliser cet effet de ""Dinolutteur Capaptera"" qu'une fois par tour. Si cette carte est envoyée au Cimetière comme Matériel Lien pour l'Invocation Lien d'un monstre ""Dinolutteur"" : vous pouvez activer cet effet ; jusqu'à la fin de ce tour, le Monstre Lien qui a utilisé cette carte comme Matériel gagne 1000 ATK.",Supports archetypes /Dinowrestler,,Sends from your opponent's field to your opponent's Graveyard/Activates from your Graveyard/Activates if used as Link Material,Ignition/Condition/Trigger,
82385847,Dinolutteur Pancraceratops,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dinosaure/Effet],,,,,Niveau 7,2600,0,,,,"Si votre adversaire contrôle plus de monstres que vous, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Dinolutteur Pancraceratops"" qu'une fois par tour de cette façon. (Effet Rapide) : vous pouvez Sacrifier 1 monstre ""Dinolutteur"", puis ciblez 1 carte contrôlée par votre adversaire ; détruisez-la. Vous ne pouvez utiliser cet effet de ""Dinolutteur Pancraceratops"" qu'une fois par tour.",Supports archetypes /Dinowrestler,,,Unclassified/Condition/Quick,
94046012,Orcust Bombardement de Cuivres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Syntoniseur／Effet],,,,,Niveau 1,500,1900,,,,"Vous pouvez bannir cette carte depuis votre Cimetière ; Invoquez Spécialement 1 monstre ""Orcust"" (""Orcust Bombardement de Cuivres"" exclu) depuis votre main, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres TÉNÈBRES exclus) le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Orcust Bombardement de Cuivres"" qu'une fois par tour.",Supports archetypes /Orcust,,Activates from your Graveyard,Ignition/Condition,
21441617,Orcust Squelette de Cymbale,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 3,1200,1500,,,,"Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre ""Orcust"" (""Orcust Squelette de Cymbale"" exclu) dans votre Cimetière ; Invoquez-le Spécialement, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres TÉNÈBRES exclus) le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Orcust Squelette de Cymbale"" qu'une fois par tour.",Supports archetypes /Orcust,,Activates from your Graveyard,Ignition/Condition,
57835716,Orcust Horreur de la Harpe,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,1700,1400,,,,"Vous pouvez bannir cette carte depuis votre Cimetière ; Invoquez Spécialement 1 monstre ""Orcust"" (""Orcust Horreur de la Harpe"" exclu) depuis votre Deck, et aussi, vous ne pouvez pas Invoquer Spécialement (monstres TÉNÈBRES exclus) le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Orcust Horreur de la Harpe"" qu'une fois par tour.",Supports archetypes /Orcust,,Activates from your Graveyard,Ignition/Condition,
93920420,"Héritage du Monde - ""Baguette du Monde""",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 8,500,2500,,,,"Cette carte Invoquée/Posée Normalement ne peut pas être détruite au combat avec un monstre Invoqué Spécialement depuis l'Extra Deck. Vous ne pouvez utiliser chacun des effets suivants de ""Héritage du Monde - ""Baguette du Monde"""" qu'une fois par tour.●Si cette carte est envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre ""Héritage du Monde"" depuis votre main.●Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 de vos monstres ""Orcust"" bannis ; Invoquez-le Spécialement, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres TÉNÈBRES exclus) le reste de ce tour.",Supports archetypes /Orcust/World Legacy,,Activates from your Graveyard,Continuous/Condition/Trigger/Ignition,
18474999,Livrepierre Lutincantation,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 5,0,0,,,,"Vous pouvez révéler 1 Magie Rituelle dans votre main ; Invoquez Spécialement cette carte depuis votre main ainsi qu'1 monstre ""Lutincantation"" (""Livrepierre Lutincantation"" exclu) depuis votre Deck. Si cette carte est Invoquée Spécialement depuis le Deck : vous pouvez cibler 1 Magie Rituelle dans votre Cimetière ; ajoutez-la à votre main. Vous ne pouvez utiliser qu'1 effet de ""Livrepierre Lutincantation"" par tour, et uniquement une fois le tour. Vous ne pouvez pas Invoquer Spécialement de monstres depuis l'Extra Deck.",Supports archetypes /Impcantation,,Reveals your hand for cost/Adds from Graveyard to hand,Ignition/Trigger/Condition/Continuous,
55878038,Levianier Dragon du Chaos,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 8,3000,0,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 3 monstres LUMIÈRE et/ou TÉNÈBRES depuis votre Cimetière. Lorsqu'elle est Invoquée de cette façon : vous pouvez activer cet effet ; appliquez l'effet suivant, selon les Attributs des monstres bannis pour l'Invocation Spéciale, et aussi, cette carte ne peut pas attaquer le reste de ce tour.●Uniquement LUMIÈRE : Invoquez Spécialement 1 monstre depuis votre Cimetière en Position de Défense.●Uniquement TÉNÈBRES : Mélangez 1 carte au hasard depuis la main de votre adversaire dans le Deck.●LUMIÈRE ainsi que TÉNÈBRES : Détruisez max. 2 cartes sur le Terrain.Vous ne pouvez utiliser cet effet de ""Levianier Dragon du Chaos"" qu'une fois par tour.",LIGHT/DARK,,Returns from your opponent's hand to your opponent's Deck,Summon/Trigger/Condition,
