Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
39111158,Dragon à Trois Cornes,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Normal],,,,,Niveau 8,2850,2350,,,,Dragon indigne possédant trois cornes pointues sur la tête.,,,,,
89631139,Dragon Blanc aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Normal],,,,,Niveau 8,3000,2500,,,,Ce dragon légendaire est un puissant moteur de destruction. Rares sont ceux qui ont survécu à cette terrifiante créature quasiment invincible pour en parler.,,,,,
45231177,Spadassin des Flammes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),FEU,[Guerrier/Fusion],,,,,Niveau 5,1800,1600,,,,"Manipulateur de Flammes + ""Masaki le Spadassin Légendaire""",,,,,
46986414,Magicien Sombre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 7,2500,2100,,,,Mage suprême en termes d'attaque et de défense.,,,,,
06368038,Gaïa le Chevalier Implacable,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Normal],,,,,Niveau 7,2300,2100,,,,Chevalier dont le destrier voyage plus vite que le vent. Sa charge de bataille est une force à ne pas sous-estimer.,,,,,
89091579,Insecte Élémentaire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Insecte/Normal],,,,,Niveau 2,500,700,,,,La forêt est l'environnement préféré de cet insecte que l'on aperçoit généralement dans les marais.,,,,,
40374923,Cimetière de Mammouth,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dinosaure/Normal],,,,,Niveau 3,1200,800,,,,Mammouth qui protège les tombes des siens et qui est absolument sans pitié face aux déterreurs de cadavres.,,,,,
77827521,Jugement Cauchemardesque,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1300,900,,,,Ce démon rend son jugement sur les ennemis qu'il maintient prisonniers dans des cercueils.,,,,,
00032864,La 13ème Tombe,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Normal],,,,,Niveau 3,1200,900,,,,"Un zombie qui surgit de l'emplacement n°13, une tombe vide.",,,,,
37421579,Charubin le Chevalier de Feu,Unlimited(OCG)/Unlimited(TCG),FEU,[Pyro/Fusion],,,,,Niveau 3,1100,800,,,,"Œuf de Monstre + ""Âme Hinotama""",,,,,
53375573,Roi Sombre des Abysses,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Normal],,,,,Niveau 3,1200,800,,,,On dit que ce roi du néant a le pouvoir de régner sur les ténèbres.,,,,,
02863439,Reflet Infernal N°2,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête Ailée/Normal],,,,,Niveau 4,1100,1400,,,,Monstre à plumes qui invoque des renforcements d'un miroir qu'il tient dans ses mains.,,,,,
15401633,Kagémusha de la Flamme Bleue,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Normal],,,,,Niveau 2,800,400,,,,Double du souverain de la flamme bleue et véritable fine lame.,,,,,
57305373,Seigneur des Ténèbres à Deux Bouches,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dinosaure/Normal],,,,,Niveau 3,900,700,,,,"Dinosaure à la double mâchoire meurtrière, il stocke de l'électricité dans sa corne et crache de grands éclairs de sa bouche arrière.",,,,,
39004808,Aqua Racine,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Normal],,,,,Niveau 3,900,800,,,,Amphibien capable d'invoquer un énorme raz-de-marée sur les mers des ténèbres pour éliminer ses ennemis monstrueux.,,,,,
18710707,Le Furieux Roi des Mers,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Normal],,,,,Niveau 3,800,700,,,,"Grand Roi des sept mers, il est capable d'invoquer d'énormes raz-de-marée pour faire couler ses ennemis.",,,,,
22910685,Roi Fantôme Vert,Unlimited(OCG)/Unlimited(TCG),TERRE,[Plante/Normal],,,,,Niveau 3,500,1600,,,,"Ce jeune roi des forêts vit dans un monde de verdure, entouré d'arbres et d'animaux.",,,,,
83464209,Mouton Mystique N°2,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Normal],,,,,Niveau 3,800,1000,,,,Mouton monstrueux doté d'une longue queue qui hypnotise ses ennemis.,,,,,
44287299,Masaki le Spadassin Légendaire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Normal],,,,,Niveau 4,1100,1100,,,,"Masaki, maître légendaire de l'épée, a survécu à plus de 100 batailles.",,,,,
91595718,Livre d'Arts Secrets,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Un monstre de Type Magicien équipé de cette carte augmente son ATK et sa DEF de 300 points.,Spellcaster,,,Continuous-like,
77027445,Puissance de Kaishin,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Équipable uniquement à un monstre Aqua. Il gagne 300 ATK/DEF.,Aqua,,,Condition/Continuous-like,
50045299,Jarre de Capture du Dragon,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Changez tous les monstres de Type Dragon face recto sur le Terrain en Position de Défense, et aussi, ils ne peuvent pas changer leur position de combat.",,Dragon,Changes battle positions/Prevents Battle Position changes,Continuous-like,
38199696,Médicament Rouge,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Augmentez vos Life Points de 500 points.,,,,Effect,
04206964,Trappe,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Lorsque votre adversaire Invoque Normalement ou par Flip un monstre avec min. 1000 ATK : ciblez le monstre ; détruisez la cible.,,,,Activation requirement/Effect,
24094653,Polymérisation,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Invoquez par Fusion 1 Monstre Fusion depuis votre Extra Deck, en utilisant des monstres depuis votre main ou Terrain.",,,,Effect,
83887306,Attaque en Double Fourche,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Sélectionnez et détruisez 2 de vos monstres et 1 des monstres de votre adversaire.,,,,Effect,
32452818,Guerrier Castor,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Bête-Guerrier/Normal],,,,,Niveau 4,1200,1500,,,,Cette créature compense sa petite taille par une excellente méthode défensive dans les batailles en plaine.,,,,,
28279543,Malédiction du Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Normal],,,,,Niveau 5,2000,1500,,,,Dragon malfaisant qui exploite les forces des ténèbres pour exécuter une attaque puissante.,,,,,
13039848,Soldat Géant de Pierre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Rocher/Normal],,,,,Niveau 3,1300,2000,,,,Guerrier géant en pierre. Un coup de poing de cette créature est capable de faire trembler la terre.,,,,,
74677422,Dragon Noir aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Normal],,,,,Niveau 7,2400,2000,,,,Dragon féroce à l'attaque meurtrière.,,,,,
