Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
88264978,Dragon Sombre Métallique aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 10,2800,2400,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en bannissant 1 monstre Dragon face recto que vous contrôlez. Vous ne pouvez Invoquer Spécialement ""Dragon Sombre Métallique aux Yeux Rouges"" qu'une fois par tour de cette façon. Durant votre Main Phase : vous pouvez Invoquer Spécialement 1 monstre Dragon (""Dragon Sombre Métallique aux Yeux Rouges"" exclu) depuis votre main ou Cimetière. Vous ne pouvez utiliser cet effet de ""Dragon Sombre Métallique aux Yeux Rouges"" qu'une fois par tour.",Dragon,,,Summon/Ignition,
00706925,Tireur de l'Atlantide,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 3,1400,0,,,,"Lorsque cette carte inflige des dommages de combat à votre adversaire : vous pouvez Invoquer Spécialement 1 monstre ""Atlantide"" Serpent de Mer de max. Niveau 4 (""Tireur de l'Atlantide"" exclu) depuis votre Deck. Si cette carte est envoyée au Cimetière pour activer un effet de monstre EAU : ciblez 1 carte Posée contrôlée par votre adversaire ; détruisez la cible.",Supports archetypes /Atlantean,,Activates when it inflicts battle damage/Activates from your Graveyard,Trigger,
37104630,Infanterie Lourde de l'Atlantide,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 2,0,1600,,,,"Durant votre Main Phase, vous pouvez Invoquer Normalement 1 monstre Serpent de Mer de max. Niveau 4 en plus de votre Invocation/Pose Normale. (Vous ne pouvez gagner cet effet qu'une fois par tour.) Si cette carte est envoyée au Cimetière pour activer un effet de monstre EAU : ciblez 1 carte face recto contrôlée par votre adversaire ; détruisez la cible.",WATER/Sea Serpent,,Activates from your Graveyard,Continuous/Trigger,
61173621,Chaîne du Lutin Tranchant,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1200,1800,,,,"Lorsque cette carte déclare une attaque : vous pouvez ajouter 1 ""Chaîne du Lutin Tranchant"" depuis votre Deck à votre main. Si cette carte est envoyée depuis la main ou Terrain au Cimetière : vous pouvez ajouter 1 carte ""Frourreur"" depuis votre Deck à votre main. Vous ne pouvez utiliser qu'1 effet de ""Chaîne du Lutin Tranchant"" par tour, et uniquement une fois le tour.",Supports archetypes /Frightfur,,Activates upon attack declaration/Adds from Deck to hand/Adds copies of itself to hand/Activates from your Graveyard,Trigger/Condition,
59438930,Ogre Fantôme et Lapin des Neiges,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Psychique/Syntoniseur／Effet],,,,,Niveau 3,0,1800,,,,"Lorsqu'un monstre sur le Terrain active son effet, ou lorsqu'une Magie/Piège qui est déjà face recto sur le Terrain active son effet (Effet Rapide) : vous pouvez envoyer cette carte depuis votre main ou Terrain au Cimetière ; détruisez la carte sur le Terrain. Vous ne pouvez utiliser cet effet de ""Ogre Fantôme et Lapin des Neiges"" qu'une fois par tour.",,,Sends itself from hand to Graveyard for cost/Sends itself from field to Graveyard for cost,Quick/Condition,
93969023,Dragon de Métal Noir,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 1,600,600,,,,"Vous pouvez cibler 1 monstre ""Yeux Rouges"" que vous contrôlez ; équipez ce monstre depuis votre main ou Terrain à la cible. Elle gagne 600 ATK. Si cette carte est envoyée depuis le Terrain au Cimetière : vous pouvez ajouter 1 carte ""Yeux Rouges"" depuis votre Deck à votre main.",Supports archetypes /Red-Eyes,,Activates from your hand/Equips self from hand/Equips self from field/Activates from your Graveyard/Adds from Deck to hand,Ignition/Continuous-like/Trigger,
57624336,Eccentrick Archdémon,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Pendule／Effet],,,,,Niveau 3,800,1000,,,,"Vous pouvez Sacrifier cette carte, puis ciblez 1 monstre sur le Terrain ; détruisez-le. Vous ne pouvez utiliser cet effet de ""Eccentrick Archdémon"" qu'une fois par tour.",,,Tributes itself for cost,Pendulum Effect /Ignition-like/Condition/Monster Effect/Ignition,
96570609,"Aether, le Monarque Céleste",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 8,2800,1000,,,,"Vous pouvez Invoquer par Sacrifice cette carte en Sacrifiant 1 monstre Invoqué par Sacrifice. Si cette carte est Invoquée par Sacrifice : vous pouvez envoyer 2 Cartes Magie/Piège ""Monarque"" de noms différents depuis votre main et/ou Deck au Cimetière, et si vous le faites, Invoquez Spécialement 1 monstre avec min. 2400 ATK et 1000 DEF depuis votre Deck, mais renvoyez-le à la main durant la End Phase. Durant la Main Phase de votre adversaire, si cette carte est dans votre main : vous pouvez bannir 1 Carte Magie/Piège ""Monarque"" depuis votre Cimetière ; immédiatement après la résolution de cet effet, Invoquez par Sacrifice cette carte (ceci est un Effet Rapide).",Supports archetypes /Monarch ,,Activates upon Tribute Summon/Sends from your hand to your Graveyard/Sends from your Deck to your Graveyard/Returns from your field to your hand,Summon/Trigger/Quick,
23064604,"Érébus, le Monarque Souterrain",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 8,2800,1000,,,,"Vous pouvez Invoquer par Sacrifice cette carte en Sacrifiant 1 monstre Invoqué par Sacrifice. Si cette carte est Invoquée par Sacrifice : vous pouvez envoyer 2 Cartes Magie/Piège ""Monarque"" de noms différents depuis votre main et/ou Deck au Cimetière, et si vous le faites, mélangez 1 carte depuis la main (au hasard), Cimetière ou Terrain de votre adversaire dans le Deck. Une fois par tour, durant la Main Phase de chaque joueur, si cette carte est dans votre Cimetière : vous pouvez défausser 1 Carte Magie/Piège ""Monarque"", puis ciblez 1 monstre dans votre Cimetière avec min. 2400 ATK et 1000 DEF ; ajoutez-le à votre main.",Supports archetypes /Monarch ,,Activates upon Tribute Summon/Sends from your hand to your Graveyard for cost/Sends from your Deck to your Graveyard for cost/Returns from your opponent's hand to your opponent's Deck/Returns from your opponent's field to your opponent's Deck/Returns from your opponent's Graveyard to your opponent's Deck/Discards for cost/Adds from Graveyard to hand/Activates from your Graveyard,Summon/Trigger/Quick,
14558127,Floraison de Cendres et Joyeux Printemps,Unlimited(OCG)/Unlimited(TCG),FEU,[Zombie/Syntoniseur／Effet],,,,,Niveau 3,0,1800,,,,"Lorsqu'une carte ou un effet qui inclut n'importe lequel de ces effets est activé (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'effet.●Ajouter une carte depuis le Deck à la main.●Invoquer Spécialement depuis le Deck.●Envoyer une carte depuis le Deck au Cimetière.Vous ne pouvez utiliser cet effet de ""Floraison de Cendres et Joyeux Printemps"" qu'une fois par tour.",,,Activates from your hand/Discards itself for cost,Quick/Condition,
