Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
83682209,Pisprectre le Pirate Fantôme,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 4,1500,500,,,,"Si un ou plusieurs monstres EAU face recto que vous contrôlez (""Pisprectre le Pirate Fantôme"" exclu) sont détruits au combat ou par un effet de carte tant que cette carte est dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte (mais bannissez-la lorsqu'elle quitte le Terrain), et si vous le faites, elle gagne 100 ATK pour chaque monstre EAU dans votre Cimetière, jusqu'à la fin du prochain tour. Vous ne pouvez utiliser cet effet de ""Pisprectre le Pirate Fantôme"" qu'une fois par tour.",WATER,,Activates from your Graveyard/Activates if destroyed by battle/Activates if destroyed by card effect,Trigger/Condition,
70333910,Dragon Noctovision,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 7,0,2800,,,,"Lorsque votre adversaire active une carte ou un effet qui cible une ou plusieurs cartes face verso que vous contrôlez (Effet Rapide) : vous pouvez bannir cette carte depuis votre Cimetière ; annulez l'effet, et aussi, votre adversaire ne peut pas cibler ces cartes face verso avec des effets de carte le reste de ce tour. Vous ne pouvez utiliser chacun des effets suivants de ""Dragon Noctovision"" qu'une fois par tour.●Si un ou plusieurs monstres TÉNÈBRES Dragon sont Invoqués Spécialement sur votre Terrain (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte depuis votre main.●Si cette carte est envoyée au Cimetière comme Matériel Lien : vous pouvez piocher 1 carte.",DARK/Dragon,,Activates from your Graveyard/Activates if targeted by card effect/Activates from your hand/Activates upon Special Summon/Activates if used as Link Material/You draw cards,Quick/Condition/Trigger,
45483489,Sentinelle des Profondeurs,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 2,400,2000,,,,"Si cette carte est envoyée au Cimetière pour activer un effet de monstre EAU : jusqu'à la End Phase, vous pouvez faire bannir face recto à votre adversaire 1 carte depuis sa main. Si cette carte est Invoquée Spécialement : vous pouvez envoyer les 2 cartes du dessus de votre Deck au Cimetière, puis ciblez 1 monstre EAU de max. Niveau 4 (""Sentinelle des Profondeurs"" exclu) dans votre Cimetière ; ajoutez-le à votre main. Vous ne pouvez utiliser chaque effet de ""Sentinelle des Profondeurs"" qu'une fois par tour.",WATER,,Activates from your Graveyard/Adds banished cards to the hand/Activates upon Special Summon/Sends from the top of your Deck to your Graveyard for cost/Adds from your Graveyard to your hand,Trigger/Condition,
08372133,Familier Rouge,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1600,0,,,,"Vous pouvez Sacrifier 1 monstre Démon, puis ciblez 1 Monstre Synchro TÉNÈBRES Dragon dans votre Cimetière ; Invoquez-le Spécialement en Position de Défense, mais annulez ses effets. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 Monstre Synchro TÉNÈBRES Dragon que vous contrôlez et déclarez un Niveau de 1 et 8 ; jusqu'à la fin de ce tour, le monstre devient de ce Niveau. Vous ne pouvez utiliser chaque effet de ""Familier Rouge"" qu'une fois par tour.",Fiend/DARK/Dragon/Synchro Monster,,Tributes for cost/Activates from your Graveyard/Declares a Level,Ignition,
33545259,Guerriers Anciens - Ambitieux Cao De,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 8,3000,2500,,,,"Tant que vous contrôlez un autre monstre ""Guerriers Anciens"", votre adversaire ne peut pas cibler cette carte avec des effets de carte, et aussi, elle ne peut pas être détruite par des effets de carte de votre adversaire. Vous ne pouvez utiliser chacun des effets suivants de ""Guerriers Anciens - Ambitieux Cao De"" qu'une fois par tour.●Si une ou plusieurs cartes contrôlées par votre adversaire sont détruites au combat ou par un effet de carte : vous pouvez envoyer 1 autre carte depuis votre main ou Terrain au Cimetière ; Invoquez Spécialement cette carte depuis votre main.●Lorsque cette carte détruit un monstre de l'adversaire au combat et l'envoie au Cimetière : vous pouvez Invoquer Spécialement le monstre sur votre Terrain en Position de Défense.",Supports archetypes /Ancient Warriors,,Activates from your hand/Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost/Activates if destroyed by battle/Activates if destroyed by card effect/Activates when it destroys a monster by battle,Continuous/Condition/Trigger,
60033398,Guerriers Anciens - Terrifiant Zhang Yuan,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 6,2300,2000,,,,"Tous les autres monstres ""Guerriers Anciens"" que vous contrôlez ne peuvent pas être détruits au combat. Vous ne pouvez utiliser chacun des effets suivants de ""Guerriers Anciens - Terrifiant Zhang Yuan"" qu'une fois par tour.●Au début de la Damage Step, lorsque votre monstre ""Guerriers Anciens"" combat un monstre face recto de l'adversaire : vous pouvez Invoquer Spécialement cette carte depuis votre main, et si vous le faites, le monstre de l'adversaire perd 1000 ATK.●Si une ou plusieurs cartes contrôlées par votre adversaire sont détruites au combat ou par un effet de carte : vous pouvez cibler 1 carte contrôlée par votre adversaire ; détruisez-la.",Supports archetypes /Ancient Warriors,,Activates from your hand/Activates if destroyed by battle/Activates if destroyed by card effect/Activates when it destroys a monster by battle,Continuous/Condition/Trigger,
06438003,Guerriers Anciens - Fallacieux Jia Wen,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Effet],,,,,Niveau 4,1100,1800,,,,"Vous pouvez cibler 1 Magie Continue/Piège Continu que vous contrôlez ; envoyez-le au Cimetière, et si vous le faites, divisez par deux l'ATK de 2 monstres face recto sur le Terrain jusqu'à la fin de ce tour. Si une ou plusieurs cartes contrôlées par votre adversaire sont détruites au combat ou par un effet de carte : vous pouvez cibler 1 carte ""Guerriers Anciens"" (""Guerriers Anciens - Fallacieux Jia Wen"" exclu) dans votre Cimetière ; ajoutez-la à votre main. Vous ne pouvez utiliser chaque effet de ""Guerriers Anciens - Fallacieux Jia Wen"" qu'une fois par tour.",Supports archetypes /Ancient Warriors,,Sends from your field to your Graveyard/Activates if destroyed by battle/Activates if destroyed by card effect/Adds from Graveyard to hand/Activates when it destroys a monster by battle,Ignition/Trigger/Condition,
32422602,Guerriers Anciens - Ingénieux Zhuge Kong,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête-Guerrier/Effet],,,,,Niveau 4,1000,2000,,,,"Si cette carte est ajoutée depuis le Deck à votre main par l'effet d'une carte ""Guerriers Anciens"" : vous pouvez l'Invoquer Spécialement. Lorsqu'une Carte Magie/Piège est activée (Effet Rapide) : vous pouvez envoyer 1 Magie Continue/Piège Continu ""Guerriers Anciens"" face recto que vous contrôlez au Cimetière ; annulez l'activation. Lorsqu'un effet de monstre est activé tant que vous contrôlez ""Guerriers Anciens - Vertueux Liu Xuan"" (Effet Rapide) : vous pouvez envoyer 1 Magie Continue/Piège Continu ""Guerriers Anciens"" face recto que vous contrôlez au Cimetière ; annulez l'activation. Vous ne pouvez utiliser chaque effet de ""Guerriers Anciens - Ingénieux Zhuge Kong"" qu'une fois par tour.",Supports archetypes /Ancient Warriors,,Activates from your hand/Sends from field to Graveyard for cost,Trigger/Quick/Condition,
69811710,"Girsu, le Mekk-Chevalier Orcust",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,1800,0,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer 1 carte ""Orcust"" ou ""Héritage du Monde"" depuis votre Deck au Cimetière, puis, s'il y a min. 2 autres cartes dans la colonne de cette carte, traitez cette carte comme Syntoniseur ce tour. Si vous ne contrôlez aucun autre monstre : vous pouvez Invoquer Spécialement 1 ""Jeton Héritage du Monde"" (Machine/TÉNÈBRES/Niveau 1/ATK 0/DEF 0) sur chaque Terrain en Position de Défense. Vous ne pouvez utiliser chaque effet de ""Girsu, le Mekk-Chevalier Orcust"" qu'une fois par tour.",Supports archetypes /Orcust/World Legacy,,Activates upon Normal Summon/Activates upon Special Summon/Sends from your Deck to your Graveyard,Trigger/Ignition/Condition,
32600024,Chambre Dragonirène,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 4,500,1800,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 Magie/Piège ""Dragonirène"" depuis votre Deck à votre main. Au début de la Battle Phase : vous pouvez renvoyer cette carte à la main, et si vous le faites, Invoquez Spécialement 1 monstre ""Dragonirène"" de min. Niveau 7 depuis votre main ou Cimetière. Vous ne pouvez utiliser chaque effet de ""Chambre Dragonirène"" qu'une fois par tour.",Supports archetypes /Dragonmaid,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Returns itself from field to hand,Trigger,
