Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
92327802,Compilateur Défectueux,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Cyberse/Effet],,,,,Niveau 3,1000,1000,,,,"Une fois par tour, si vous allez recevoir des dommages d'un effet de carte de l'adversaire, placez 1 Compteur Défectueux sur cette carte à la place (max. 1). Une fois par tour (Effet Rapide) : vous pouvez retirer 1 Compteur Défectueux de cette carte, puis ciblez 1 monstre Cyberse que vous contrôlez ; jusqu'à la fin de ce tour, il gagne 800 ATK.",Cyberse,,,Continuous/Quick,
29716911,Condensateur Acharné,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Cyberse/Effet],,,,,Niveau 5,2000,1000,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 autre monstre Cyberse que vous contrôlez ; tant que ce monstre face recto est sur le Terrain, le monstre gagne 800 ATK. Si cette carte dans la Zone Monstre est détruite par un effet de carte et envoyée au Cimetière : chaque joueur reçoit 800 points de dommages. Vous ne pouvez utiliser cet effet de ""Condensateur Acharné"" qu'une fois par tour.",Cyberse,,Activates upon Normal Summon/Activates if destroyed by card effect/Activates from your Graveyard,Trigger/Condition,
83477829,"Héritage du Monde - ""Armure du Monde""",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 7,2500,2500,,,,"Lorsqu'un monstre est Invoqué par Flip : vous pouvez Invoquer Spécialement cette carte depuis votre main. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 carte ""Héritage du Monde"" depuis votre Deck à votre main. Si cette carte Invoquée/Posée Normalement est sur le Terrain (Effet Rapide) : vous pouvez cibler 1 monstre face recto de l'adversaire qui a été Invoqué Spécialement depuis l'Extra Deck ; renvoyez le monstre ainsi que cette carte à la main. Vous ne pouvez utiliser chaque effet de ""Héritage du Monde - ""Armure du Monde"""" qu'une fois par tour.",Supports archetypes /World Legacy,,Activates upon Flip Summon/Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Returns from your opponent's field to your opponent's hand/Returns itself from field to hand,Trigger/Quick/Condition,
72355272,Nephtys Métaphysique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Wyrm/Effet],,,,,Niveau 8,2400,1600,,,,"Si cette carte est Invoquée Spécialement par l'effet d'un monstre ""Métaphysique"" : vous pouvez bannir toutes les Magies/Pièges Posés sur le Terrain. Si cette carte est bannie, durant la Standby Phase du prochain tour : vous pouvez mélanger cette carte bannie dans le Deck ; ajoutez 1 carte ""Métaphysique"" (""Nephtys Métaphysique"" exclu) depuis votre Deck à votre main.",Supports archetypes /Metaphys,,Activates upon Special Summon/Activates while banished/Returns itself from Banished Zone to Deck/Adds from Deck to hand,Trigger,
44026393,Bête Fantôme Méca Raiten,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Effet],,,,,Niveau 4,1500,1500,,,,"Vous pouvez défausser 1 carte ; Invoquez Spécialement 1 ""Jeton Bête Fantôme Méca"" (Machine/VENT/Niveau 3/ATK 0/DEF 0), et aussi, vous pouvez uniquement utiliser des monstres ""Bête Fantôme Méca"" comme Matériel Fusion, Synchro, Xyz ou Lien pour une Invocation le reste de ce tour. Le Niveau de cette carte est augmenté de la somme des Niveaux de tous les ""Jeton Bête Fantôme Méca"" que vous contrôlez. Tant que vous contrôlez un Jeton, cette carte ne peut être détruite ni au combat ni par des effets de carte.",Supports archetypes /Mecha Phantom Beast,,Discards for cost,Ignition/Continuous,
70410002,L'Accumulateur,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Tonnerre/Effet],,,,,Niveau 1,0,0,,,,Gagne une ATK égale à la somme des Classifications Lien de tous les Monstres Lien sur le Terrain x 300.,Link Monster,Link Monster,,Continuous,
06783559,Fourmi Autodestructrice,Unlimited(OCG)/Unlimited(TCG),TERRE,[Insecte/Flip／Effet],,,,,Niveau 3,1500,1000,,,,"FLIP : Chaque joueur reçoit 1000 points de dommages.Si cette carte est détruite au combat ou par un effet de carte, et envoyée au Cimetière : infligez 1000 points de dommages à votre adversaire. Vous ne pouvez utiliser chaque effet de ""Fourmi Autodestructrice"" qu'une fois par tour.",,,Activates from your Graveyard,Flip/Trigger/Condition,
79176962,Striborg Ventonnant,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Effet],,,,,Niveau 5,2200,2200,,,,Les Monstres Sacrifiés pour l'Invocation Sacrifice face recto de cette carte sont renvoyés à la main au lieu d'aller au Cimetière. Une fois par tour : vous pouvez défausser 1 carte ; renvoyez toutes les cartes contrôlées par votre adversaire dans la colonne de cette carte à la main.,,,Returns from your field to your hand/Returns to the hand cards that would be sent to the Graveyard/Discards for cost/Returns from your opponent's field to your opponent's hand,Condition/Ignition,
05560911,Destrudo le Frisson du Dragon Perdu,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Syntoniseur／Effet],,,,,Niveau 7,1000,3000,,,,"Si cette carte est dans votre main ou Cimetière : vous pouvez payer la moitié de vos LP, puis ciblez 1 monstre de max. Niveau 6 que vous contrôlez ; Invoquez Spécialement cette carte, et si vous le faites, le Niveau de cette carte est réduit du Niveau du monstre ciblé, et aussi, placez cette carte au-dessous du Deck si elle quitte le Terrain. Vous ne pouvez utiliser cet effet de ""Destrudo le Frisson du Dragon Perdu"" qu'une fois par tour.",,,Activates from your hand/Activates from your Graveyard/Returns itself to the Deck when it leaves the field,Ignition/Condition,
94626871,Chauve-Chat Noir Farstar,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Lien／Effet],Lien 2,Left/Right,,,,2000,-,,,,"2 monstres ""Farstar""Chaque fois qu'un ou plusieurs monstres pointés par cette carte sont détruits au combat ou par un effet de carte, et envoyés au Cimetière, infligez 200 points de dommages à votre adversaire. Chaque fois que votre adversaire reçoit des dommages par un effet de monstre ""Farstar"" : jusqu'à la fin de ce tour, les monstres face recto qu'il contrôle perdent 200 ATK pour chaque monstre pointé par cette carte.",Supports archetypes /Trickstar,,Activates if destroyed by battle/Activates if destroyed by card effect/Activates when it inflicts effect damage,Continuous/Trigger,
28776350,Magicien Akashique,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Lien／Effet],Lien 2,Top/Bottom,,,,1700,-,,,,"2 monstres de même Type (Jetons exclus)Vous ne pouvez Invoquer par Lien un ou plusieurs ""Magicien Akashique"" qu'une fois par tour. Si cette carte est Invoquée par Lien : renvoyez tous les monstres pointés par cette carte à la main. Une fois par tour : vous pouvez déclarer 1 nom de carte ; dévoilez un nombre de cartes du dessus de votre Deck, égal à la somme des Classifications Lien des Monstres Lien co-liés à cette carte, puis vous pouvez dévoiler un nombre de votre choix d'exemplaires de la carte déclarée, ajoutez-les à votre main, et aussi, envoyez les cartes restantes au Cimetière.",Link Monster,,Activates upon Link Summon/Returns from field to hand/Declares a card name/Excavates from the player's Deck/Adds excavated cards to the hand/Adds from Deck to hand/Sends excavated cards to the Graveyard/Sends from the top of your Deck to your Graveyard,Condition/Trigger/Ignition,
65170459,Mistar Garçon-Étoile,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Lien／Effet],Lien 2,Bottom-Left/Bottom-Right,,,,1400,-,,,,"2 monstres EAUTous les monstres EAU sur le Terrain gagnent 500 ATK/DEF, et aussi, tous les monstres FEU sur le Terrain perdent 400 ATK/DEF. Si cette carte est détruite au combat ou par un effet de carte : vous pouvez cibler 1 monstre EAU dans votre Cimetière ; ajoutez-le à votre main. Vous ne pouvez utiliser cet effet de ""Mistar Garçon-Étoile"" qu'une fois par tour.",WATER,FIRE,Activates if destroyed by battle/Activates if destroyed by card effect/Adds from Graveyard to hand,Continuous/Trigger/Condition,
91665064,Bloc de Sécurité,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre Cyberse sur le Terrain ; ce tour, aucun joueur ne reçoit de dommages de combat, et aussi, le monstre ne peut pas être détruit au combat.",Cyberse,,,Effect,
67831115,Ombre de l'Héritage du Monde,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Tous les monstres ""Krawler"" sur le Terrain gagnent 300 ATK/DEF. Une fois par tour : vous pouvez Invoquer Spécialement 1 monstre Insecte de max. Niveau 2 depuis votre main en Position de Défense face recto ou face verso. Lorsque votre monstre Flip est détruit au combat avec un monstre de l'adversaire : vous pouvez envoyer le monstre de l'adversaire au Cimetière.",Supports archetypes /Krawler,,Sends from your opponent's field to your opponent's Graveyard/Activates if destroyed by battle,Continuous-like/Ignition-like/Trigger-like,
93236220,Affrontement de l'Héritage du Monde,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Bannissez 1 monstre face recto que vous contrôlez (jusqu'à la End Phase), puis ciblez 1 monstre face recto contrôlé par votre adversaire ; la cible perd une ATK/DEF égales à l'ATK/DEF d'origine du monstre banni.",,,Returns banished cards to the field,Cost/Effect,
20720928,Facteur Métaphysique,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Chaque tour, 1 monstre ""Métaphysique"" de min. Niveau 5 que vous Invoquez Normalement peut être Invoqué sans Sacrifice, mais bannissez-le durant la End Phase du prochain tour. Votre adversaire ne peut ni activer de cartes ni d'effets en réponse aux activations d'effet de vos monstres ""Métaphysique"".",Supports archetypes /Metaphys,,Prevents responding to its activation,Continuous-like,
92481084,Temple de l'Oeil de l'Esprit,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Les dommages de combat reçus par un joueur deviennent 1000.,,,,Continuous-like,
55870497,Épée de Bambou Ardente,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous activez une carte ""Épée de Bambou"" tant que cette carte est déjà face recto dans votre Zone Magie & Piège : vous pouvez sauter la prochaine Main Phase 1 de votre adversaire.",Supports archetypes /Bamboo Sword,,Skips Main Phase 1,Trigger-like,
91269402,Balise Cyberse,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Si vous avez reçu des dommages au combat ou par un effet de carte de l'adversaire ce tour : ajoutez 1 monstre Cyberse de max. Niveau 4 depuis votre Deck à votre main. Vous ne pouvez activer qu'1 ""Balise Cyberse"" par tour.",Cyberse,,Adds from Deck to hand,Activation requirement/Effect/Condition,
53936268,Usurpation Personnelle,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Une fois par tour : vous pouvez mélanger 1 carte ""Altergeist"" depuis votre main ou face recto depuis votre Terrain dans le Main Deck ; ajoutez 1 monstre ""Altergeist"" depuis votre Deck à votre main.",Supports archetypes /Altergeist,,Returns from hand to Deck for cost/Returns from field to Deck for cost/Adds from Deck to hand,Quick-like,
89320376,Pions de l'Héritage du Monde,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Vous pouvez cibler 1 monstre face verso que vous contrôlez ; changez-le en Position d'Attaque ou Défense face recto. Vous pouvez mélanger 1 monstre ""Krawler"" depuis votre Cimetière dans le Main Deck, puis ciblez 1 monstre face recto que vous contrôlez ; changez-le en Position de Défense face verso. Vous ne pouvez utiliser qu'1 effet de ""Pions de l'Héritage du Monde"" par tour, et uniquement une fois le tour.",Supports archetypes /Krawler,,Changes battle positions/Flips monsters face-up/Returns from your Graveyard to your Deck/Flips monsters face-down,Quick-like/Condition,
16329071,Globe Piège de l'Héritage du Monde,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Mélangez dans le Deck, 5 de vos cartes ""Héritage du Monde"" (""Globe Piège de l'Héritage du Monde"" exclu) de noms différents qui sont bannis, dans votre main ou Cimetière, et/ou face recto sur votre Terrain, puis piochez 2 cartes. Vous ne pouvez activer qu'1 ""Globe Piège de l'Héritage du Monde"" par tour.",Supports archetypes /World Legacy,,Returns the player's banished cards to the Deck by effect/Returns from your hand to your Deck/Returns from your Graveyard to your Deck/Returns from your field to your Deck/You draw cards,Effect/Condition,
52714670,Dimension Métaphysique,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Si votre adversaire Invoque Spécialement un monstre (sauf durant la Damage Step) : vous pouvez cibler 1 de vos monstres ""Métaphysique"" bannis ; Invoquez-le Spécialement, mais bannissez-le durant la End Phase du prochain tour. Si votre autre carte ""Métaphysique"" en possession de son propriétaire est bannie tant que cette carte est déjà face recto dans votre Zone Magie & Piège : vous pouvez cibler 1 carte contrôlée par votre adversaire ; bannissez-la. Vous ne pouvez utiliser chaque effet de ""Dimension Métaphysique"" qu'une fois par tour.",Supports archetypes /Metaphys,,Activates upon Special Summon,Trigger-like/Condition,
15693423,À Forces Égales,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"À la fin de la Battle Phase, si votre adversaire contrôle plus de cartes que vous : vous pouvez faire bannir face verso à votre adversaire des cartes depuis son Terrain jusqu'à ce qu'il contrôle le même nombre de cartes que vous. Si vous ne contrôlez aucune carte, vous pouvez activer cette carte depuis votre main.",,,,Activation requirement/Effect/Condition,
13482075,Chimère Vendetterreur,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Rituel／Effet],,,,,Niveau 5,2300,0,,,,"Vous pouvez Invoquer Rituellement cette carte avec une Magie Rituelle ""Vendetterreur"". Lorsqu'une carte ou un effet qui va détruire une carte sur le Terrain est activé (Effet Rapide) : vous pouvez bannir 1 monstre Zombie depuis votre Cimetière ; annulez l'activation, et si vous le faites, détruisez la carte. Si cette carte est Sacrifiée ou bannie pour une Invocation Rituelle : tous les monstres contrôlés par votre adversaire perdent 500 ATK/DEF. Vous ne pouvez utiliser chaque effet de ""Chimère Vendetterreur"" qu'une fois par tour.",Supports archetypes /Vendread,,Activates from your Graveyard/Activates while banished,Summon/Quick/Trigger/Condition,
49655592,Crosseur Whip F.A.,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Effet],,,,,Niveau 4,0,1000,,,,"Gagne une ATK égale à son Niveau x 300. Votre adversaire doit payer 300 LP pour activer l'effet d'un monstre dont le Niveau/Rang d'origine est inférieur au Niveau de cette carte. Chaque fois qu'une Carte Magie/Piège ""F.A."" ou effet de Magie/Piège ""F.A."" est activé : vous pouvez augmenter le Niveau de cette carte de 1. Si cette carte est min. Niveau 7, votre adversaire ne peut ni défausser ni envoyer de cartes depuis sa main au Cimetière pour activer un effet de carte.",Supports archetypes /F.A.,,Must pay cost to activate cards or effects/Prevents cards from being discarded,Continuous/Trigger,
75059201,Chargeur Turbo F.A.,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Effet],,,,,Niveau 6,0,1500,,,,"Gagne une ATK égale à son Niveau x 300. Les monstres de votre adversaire dont le Niveau/Rang d'origine est inférieur au Niveau de cette carte ne peuvent pas cibler de monstres (celui-ci exclu) avec une attaque. Votre adversaire ne peut pas cibler de monstres (celui-ci exclu) avec des effets de monstres dont le Niveau/Rang d'origine est inférieur au Niveau de cette carte. Chaque fois qu'une Carte Magie/Piège ""F.A."" ou effet de Magie/Piège ""F.A."" est activé : vous pouvez augmenter le Niveau de cette carte de 1. Si votre monstre ""F.A."" combat tant que vous contrôlez cette carte de min. Niveau 7, les monstres de votre adversaire ne peuvent pas activer leurs effets jusqu'à la fin de la Damage Step.",Supports archetypes /F.A.,,,Continuous/Trigger,
02144946,Grand Prix F.A. Tout-Terrain,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Augmentez le Niveau de tous les monstres ""F.A."" sur le Terrain de 2 durant la Main Phase uniquement. Vous ne pouvez utiliser chacun des effets suivants de ""Grand Prix F.A. Tout-Terrain"" qu'une fois par tour.●Lorsqu'un monstre ""F.A."" que vous contrôlez est détruit au combat : vous pouvez défausser 1 carte au hasard depuis la main de votre adversaire.●Si cette carte face recto sur le Terrain est détruite par un effet de carte : vous pouvez ajouter 1 carte ""F.A."" (""Grand Prix F.A. Tout-Terrain"" exclu) depuis votre Deck à votre main.",Supports archetypes /F.A.,,Activates if destroyed by battle/Your opponent discards/Activates if destroyed by card effect/Adds from Deck to hand,Continuous-like/Condition/Trigger-like,
38532954,Arrêt au Stand F.A.,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre ""F.A."" que vous contrôlez ; réduisez son Niveau de 2, et si vous le faites, piochez un nombre de cartes égal au nombre de ""Arrêt au Stand F.A."" dans votre Cimetière +1. Durant votre Main Phase, sauf le tour où cette carte a été envoyée au Cimetière : vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre ""F.A."" dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser chaque effet de ""Arrêt au Stand F.A."" qu'une fois par tour.",Supports archetypes /F.A.,,You draw cards/Activates from your Graveyard,Effect/Ignition-like/Condition,
94919024,Renard Cramoisi Clair de Lune,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête-Guerrier/Effet],,,,,Niveau 4,1800,600,,,,"Si cette carte est envoyée au Cimetière par un effet de carte : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; jusqu'à la fin de ce tour, changez son ATK à 0. Lorsqu'une carte ou un effet qui cible un ou plusieurs monstres ""Clair de Lune"" que vous contrôlez est activé (Effet Rapide) : vous pouvez bannir cette carte depuis votre Cimetière ; annulez l'activation, et si vous le faites, chaque joueur gagne 1000 LP.",Supports archetypes /Lunalight,,Activates from your Graveyard,Trigger/Quick,
90590303,Numéro 41 : Bagooska le Tapir Terriblement Fatigué,Unlimited(OCG)/Unlimited(TCG),TERRE,[Démon/Xyz／Effet],,,Rang 4,,,2100,2000,,2 monstres de Niveau 4,,"Une fois par tour, durant votre Standby Phase, détachez 1 Matériel de cette carte. Si vous ne pouvez pas, détruisez-la. Cette carte en Position d'Attaque ne peut pas être détruite par des effets de carte de votre adversaire. Votre adversaire ne peut pas cibler cette carte en Position d'Attaque avec des effets de carte. Tant que cette carte est en Position de Défense face recto, changez tous les monstres face recto sur le Terrain en Position de Défense, et aussi, annulez les effets activés des monstres qui étaient en Position de Défense lorsque l'effet a été activé.",,,Changes battle positions/Detaches Xyz Materials for effect,Maintenance cost/Continuous,
