Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
69140098,Gemini Elf,Unlimited(OCG)/Unlimited(TCG),EARTH,[Spellcaster/Normal],,,,,4,1900,900,,,,Elf twins that alternate their attacks.,,,,,
49064413,La Bête Masquée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Rituel],,,,,Niveau 8,3200,1800,,,,"Vous pouvez Invoquer Rituellement cette carte avec ""Malédiction de la Bête Masquée"".",,,,,
03573512,Le Spadassin de Landstar,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Normal],,,,,Niveau 3,500,1200,,,,"Loin d'être brillant à l'épée, ce guerrier féerique compte surtout sur ses mystérieux pouvoirs.",,,,,
73216412,Ver Drakonien,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Reptile/Normal],,,,,Niveau 4,1400,1500,,,,"Dès lors qu'il enveloppe sa victime, ce monstre ne lâchera plus prise.",,,,,
05600127,Ver Drakonien Humanoïde,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Aqua/Fusion],,,,,Niveau 7,2200,2000,,,,"Ver Drakonien + ""Gélatine Humanoïde""",,,,,
31987274,Poisson Volant,Unlimited(OCG)/Unlimited(TCG),VENT,[Poisson/Normal],,,,,Niveau 4,800,500,,,,Trois vœux seront accordés à celui qui aura la chance de voir ce monstre voler.,,,,,
67371383,Bête Amphibie,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Normal],,,,,Niveau 6,2400,2000,,,,"Sur terre comme sur mer, la vitesse de ce monstre est inégalable.",,,,,
86569121,Melchid la Bête aux Quatre Visages,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Démon/Normal],,,,,Niveau 4,1500,1200,,,,Ce monstre porte un masque différent pour chacune de ses quatre attaques.,,,,,
12953226,Nuvia la Malfaisante,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,2000,800,,,,"Si ce monstre est Invoqué par Invocation Normale, il est détruit. L'ATK de cette carte est diminuée de 200 points pour chaque monstre sur le Terrain de votre adversaire.",,,,Trigger/Continuous,
21888494,L'Élu,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Sélectionnez de votre main 1 Carte Monstre et 2 Cartes autres que monstre. Votre adversaire sélectionne au hasard 1 des 3 cartes. Si la carte sélectionnée est la Carte Monstre, celle-ci est Invoquée par Invocation Spéciale sur votre Terrain et les 2 cartes restantes sont envoyées au Cimetière. Si ce n'est pas la Carte Monstre, les 3 cartes sont envoyées au Cimetière.",,,Sends from hand to Graveyard/Sends from your hand to your Graveyard,Effect,
