Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
57116033,Kuriboh Ailé,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 1,300,200,,,,"Si cette carte sur le Terrain est détruite et envoyée au Cimetière : le reste de ce tour, vous ne recevez aucun dommage de combat.",,,Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard,Trigger,
10509340,Bête Rouages Ancients,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 6,2000,2000,,,,"Non Invocable Spécialement. Si cette carte attaque, votre adversaire ne peut pas activer de Cartes Magie/Piège jusqu'à la fin de la Damage Step. Annulez les effets d'un monstre de l'adversaire détruit au combat avec cette carte (y compris dans le Cimetière).",,,,Summon/Continuous,
56094445,Soldat Rouages Ancients,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet],,,,,Niveau 4,1300,1300,,,,"Si cette carte attaque, votre adversaire ne peut pas activer de Cartes Magie/Piège jusqu'à la fin de la Damage Step.",,,,Continuous,
45871897,Gardien Oublié,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 4,100,?,,,,La DEF originale de cette carte est égale au nombre de vos monstres de Type Rocher bannis x 700.,Rock,,,Continuous,
82260502,Hieracosphinx,Unlimited(OCG)/Unlimited(TCG),EARTH,[Rock/Effect],,,,,6,2400,1200,,,,Your opponent cannot select a face-down Defense Position monster as an attack target.,,,,Continuous,
18654201,Criosphinx,Unlimited(OCG)/Unlimited(TCG),EARTH,[Rock/Effect],,,,,6,1200,2400,,,,"When a monster is returned from the field to the owner's hand, the owner of the returned monster selects and sends 1 card in their hand to the Graveyard.",,,Activates if returned from the field to the hand/Sends from hand to Graveyard,Trigger,
45159319,Canons Intercepteurs Moai,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 4,1100,2000,,,,Vous pouvez retourner cette carte en Position de Défense face verso une fois par tour durant votre Main Phase.,,,Flips itself face-down/Changes battle positions,Ignition,
13532663,Golem Factice,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Flip／Effet],,,,,Niveau 2,800,800,,,,FLIP : Votre adversaire sélectionne 1 monstre qu'il contrôle. Échangez le contrôle du monstre sélectionné et de cette carte.,,,Changes control,Flip,
03810071,Moine Combattant,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 3,1300,1000,,,,Les dommages de combat que le contrôleur de cette carte reçoit à l'issue d'un combat impliquant cette carte deviennent 0.,,,,Continuous,
37970940,Aussa la Charmeuse de Terre,Unlimited(OCG)/Unlimited(TCG),TERRE,[Magicien/Flip／Effet],,,,,Niveau 3,500,1500,,,,FLIP : Ciblez 1 monstre TERRE contrôlé par votre adversaire ; prenez le contrôle de la cible tant que cette carte est face recto sur le Terrain.,,EARTH,Changes control,Flip/Continuous,
74364659,Eria la Charmeuse d'Eau,Unlimited(OCG)/Unlimited(TCG),EAU,[Magicien/Flip／Effet],,,,,Niveau 3,500,1500,,,,FLIP : Ciblez 1 monstre EAU contrôlé par votre adversaire ; prenez le contrôle de la cible tant que cette carte est face recto sur le Terrain.,,WATER,Changes control,Flip/Continuous,
00759393,Hiita la Charmeuse de Feu,Unlimited(OCG)/Unlimited(TCG),FEU,[Magicien/Flip／Effet],,,,,Niveau 3,500,1500,,,,FLIP : Ciblez 1 monstre FEU contrôlé par votre adversaire ; prenez le contrôle de la cible tant que cette carte est face recto sur le Terrain.,,FIRE,Changes control,Flip/Continuous,
37744402,Wynn la Charmeuse de Vent,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Flip／Effet],,,,,Niveau 3,500,1500,,,,FLIP : Ciblez 1 monstre VENT contrôlé par votre adversaire ; prenez le contrôle de la cible tant que cette carte est face recto sur le Terrain.,,WIND,Changes control,Flip,
63142001,Homme-Batterie AA,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Tonnerre/Effet],,,,,Niveau 3,0,0,,,,"Si tous les ""Homme-Batterie AA"" sur votre Terrain sont en Position d'Attaque, augmentez l'ATK de cette carte de 1000 points pour chaque ""Homme-Batterie AA"" sur votre Terrain. Si tous les ""Homme-Batterie AA"" sur votre Terrain sont en Position de Défense, augmentez la DEF de cette carte de 1000 points pour chaque ""Homme-Batterie AA"" sur votre Terrain.",,,,Continuous,
36021814,Roi des Crânes Serviteurs,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 1,?,0,,,,"L'ATK d'origine de cette carte est la somme du nombre de ""Roi des Crânes Serviteurs"" et ""Crâne Serviteur"" dans votre Cimetière x 1000. Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez bannir 1 autre ""Roi des Crânes Serviteurs"" ou 1 ""Crâne Serviteur"" depuis votre Cimetière ; Invoquez Spécialement cette carte.",Skull Servant,,Activates from your Graveyard,Continuous/Trigger,
62420419,"Reshef, l'Être des Ténèbres",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Rituel／Effet],,,,,Niveau 8,2500,1500,,,,"Cette carte ne peut être Invoquée que par Invocation Rituelle avec la Carte Magie Rituelle, ""Ultime Rituel des Anciens"". Défaussez 1 Carte Magie de votre main. Prenez le contrôle d'1 monstre sur le Terrain de votre adversaire jusqu'à la End Phase. Vous ne pouvez utiliser cet effet qu'une fois par tour.",Spell Card,,Discards for cost/Changes control,Summon/Ignition,
42664989,Carte d'Inviolabilité,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Bannissez toutes les autres cartes que vous contrôlez et dans votre main (min. 1 de chaque) ; piochez jusqu'à avoir 2 cartes dans votre main.,,,You draw cards,Effect,
87910978,Contrôle Cérébral,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Payez 800 LP, puis ciblez 1 monstre face recto contrôlé par votre adversaire qui est Invocable/Posable Normalement ; jusqu'à la End Phase, prenez le contrôle de la cible.",,,Changes control,Cost/Effect,
98792570,Don du Martyre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Envoyez 1 monstre que vous contrôlez au Cimetière, puis ciblez 1 monstre face recto que vous contrôlez ; jusqu'à la fin de ce tour, il gagne une ATK égale à l'ATK d'origine du monstre envoyé.",,,Sends from your field to your Graveyard for cost,Cost/Effect,
34187685,Double Attaque,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Défaussez 1 Carte Monstre de votre main au Cimetière. Sélectionnez 1 monstre sur votre Terrain avec un Niveau inférieur à celui du monstre défaussé. Le monstre sélectionné peut attaquer deux fois ce tour.,,,Discards for cost,Cost/Effect,
61181383,Chargeur de Batterie,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Payez 500 Life Points. Faites l'Invocation Spéciale d'1 monstre de votre Cimetière qui inclut ""Homme-Batterie"" dans son nom de carte.",Supports archetypes /Batteryman,,,Cost/Effect,
97570038,Frappe Kaminote,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Vous ne pouvez activer cette carte que s'il y a au moins 1 ""Chu-Suke, Le Guerrier Rongeur"", ""Moine Combattant"" ou ""Maître Moine"" face recto sur votre Terrain. Détruisez le (ou les) monstre(s) qui combat(tent) contre ces monstres sur votre Terrain ce tour, à la fin de chaque Damage Step.",Chu-Ske the Mouse Fighter/Monk Fighter/Master Monk,,,Activation requirement/Lingering,
23965037,Bénédiction de Doriado,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Cette carte est utilisée pour faire l'Invocation Rituelle de ""Doriado, Maîtresse Élémentaire"". Vous devez également Sacrifier un nombre de monstres dont le total de Niveaux est égal à 3 ou plus du Terrain ou de votre main.",,,Tributes as an effect,Condition/Effect,
60369732,Ultime Rituel des Anciens,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Cette carte est utilisée pour faire l'Invocation Rituelle de ""Reshef, l'Être des Ténèbres"". Vous devez également Sacrifier un nombre de monstres dont le total de Niveaux est égal à 8 ou plus du Terrain ou de votre main.",,,Tributes as an effect,Condition/Effect,
59237154,Ombres Mouvantes,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,Payez 300 Life Points pour mélanger les monstres en Position de Défense face verso sur votre Terrain et les remettre en Position de Défense face verso. Vous ne pouvez utiliser cet effet qu'une fois par tour.,,,Rearranges face-down cards,Ignition-like,
96631852,Formation Impénétrable,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Sélectionnez 1 monstre sur votre Terrain pour activer cette carte. Tant que vous avez 2 monstres ou plus sur votre Terrain et que tous les monstres sur votre Terrain sont en Position de Défense, augmentez la DEF du monstre sélectionné de 700 points. Lorsque le monstre sélectionné est retiré du Terrain, détruisez cette carte.",,,,Activation requirement/Continuous-like,
58015506,Double Vue de Pikeru,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Jusqu'à la seconde End Phase de votre adversaire, celui-ci vous révèle toutes les cartes qu'il pioche puis les ajoute à sa main.",,,Reveals your opponent's draw,Effect,
21908319,Bouton d'Autodestruction de Kozaky,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Infligez 1000 points de dommages aux Life Points du joueur qui détruit cette carte Posée.,,,Activates if destroyed while Set,Trigger-like,
58392024,Dépolymérisation,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,Vous ne pouvez activer cette carte que lorsqu'un Monstre de Fusion est Invoqué par Invocation Spéciale. Renvoyez tous les Monstres de Fusion face recto sur le Terrain dans leur Extra Deck respectif.,,Fusion Monster,Returns from field to Extra Deck/Returns from your field to your Extra Deck/Returns from your opponent's field to your opponent's Extra Deck,Activation requirement/Effect,
82452993,Loup Solitaire,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Vous ne pouvez activer cette carte que s'il n'y a qu'1 monstre sur votre Terrain et qu'il s'agit de ""Chu-Suke, Le Guerrier Rongeur"", de ""Moine Combattant"" ou de ""Maître Moine"". Ce monstre n'est pas détruit à l'issue du combat et n'est pas affecté par les effets des monstres de votre adversaire.",Chu-Ske the Mouse Fighter/Monk Fighter/Master Monk,,,Activation requirement/Continuous-like,
