Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
19680539,Gawayn le Chevalier Noble,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 4,1900,500,,,,"Si vous contrôlez un Monstre Normal LUMIÈRE, vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position de Défense.",LIGHT/Normal Monster,,,Summon,
14214060,Transe le Spadassin Magique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Magicien/Normal],,,,,Niveau 6,2600,200,,,,"Un magicien unique aux pouvoirs considérables. Apparemment, il vient tout juste de rentrer d'un voyage dans l'espace.",,,,,
50491121,Challenger Héroïque - Spartiate,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 4,1600,1000,,,,"Une fois par tour, lorsqu'un monstre de votre adversaire déclare une attaque : vous pouvez cibler 1 monstre ""Héroïque"" face recto que vous contrôlez (cette carte exclue) ; jusqu'à la fin de la Battle Phase, cette carte gagne une ATK égale à l'ATK d'origine du monstre face recto.",Supports archetypes /Heroic,,Activates upon attack declaration,Trigger,
89774530,Challenger Héroïque - Double Lance,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 4,1700,900,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 ""Challenger Héroïque - Double Lance"" depuis votre main ou Cimetière en Position de Défense face recto. Cette carte ne peut pas être utilisée comme Monstre-Matériel de Synchro. Cette carte ne peut pas être utilisée comme Matériel Xyz, sauf pour l'Invocation Xyz d'un monstre de Type Guerrier.",Warrior/Xyz Monster,,Activates upon Normal Summon,Trigger/Condition,
25163248,Machine Maya Chronomal,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 3,1500,700,,,,Cette carte peut être traitée comme 2 Sacrifices pour l'Invocation Sacrifice d'un monstre de Type Machine.,Machine,,,Unclassified,
52158283,Tête Colossale Chronomal,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 4,800,1600,,,,"Vous pouvez bannir cette carte depuis votre Cimetière pour cibler 1 monstre de min. Niveau 3 en Position d'Attaque sur le Terrain ; changez-le en Position de Défense face recto ou face verso. L'effet de ""Tête Colossale Chronomal"" ne peut être utilisé qu'une fois par tour.",,,Changes battle positions/Activates from your Graveyard/Flips monsters face-down,Ignition/Condition,
88552992,Jet Doré Chronomal,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Effet],,,,,Niveau 4,1300,1400,,,,"Une fois par tour : vous pouvez augmenter les Niveaux de tous les monstres ""Chronomal"" que vous contrôlez actuellement de 1.",Supports archetypes /Chronomaly,,,Ignition,
15941690,Os de Cristal Chronomal,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Rocher/Effet],,,,,Niveau 3,1300,400,,,,"Si votre adversaire contrôle un monstre et que vous n'en contrôlez aucun, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Lorsque vous le faites : vous pouvez Invoquer Spécialement 1 monstre ""Chronomal"" (""Os de Cristal Chronomal"" exclu) depuis votre main ou Cimetière.",Supports archetypes /Chronomaly,,,Summon/Trigger,
51435705,Crâne de Cristal Chronomal,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Rocher/Effet],,,,,Niveau 3,900,600,,,,"Si vous contrôlez un monstre ""Chronomal"" face recto : vous pouvez défausser cette carte au Cimetière ; ajoutez 1 monstre ""Chronomal"" (""Crâne de Cristal Chronomal"" exclu) depuis votre Deck ou Cimetière à votre main. L'effet de ""Crâne de Cristal Chronomal"" ne peut être utilisé qu'une fois par tour.",Supports archetypes /Chronomaly,,Discards itself for cost/Adds from Deck to hand/Adds from Graveyard to hand,Ignition/Condition,
87430304,Moai Chronomal,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet],,,,,Niveau 5,1800,1600,,,,"Si vous contrôlez un monstre ""Chronomal"" face recto, vous pouvez Invoquer Spécialement cette carte (depuis votre main) en Position de Défense face recto.",Supports archetypes /Chronomaly,,,Summon,
