Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
27918963,Terrain d'Entraînement Yosen,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Chaque fois qu'un ou plusieurs monstres ""Yosenju"" sont Invoqués Normalement ou Spécialement, placez 1 Compteur Yosen sur cette carte. Vous pouvez retirer un nombre de votre choix de Compteurs Yosen de cette carte ; appliquez cet effet, selon le nombre de Compteurs Yosen retirés. Vous ne pouvez utiliser cet effet de ""Terrain d'Entraînement Yosen"" qu'une fois par tour.●1 Compteur : Jusqu'à la fin de ce tour, tous les monstres ""Yosenju"" que vous contrôlez actuellement gagnent 300 ATK (même si cette carte quitte le Terrain).●3 Compteurs : Ajoutez 1 carte ""Yosenju"" depuis votre Deck ou Cimetière à votre main.",Supports archetypes /Yosenju,,Adds from Deck to hand/Adds from Graveyard to hand,Continuous-like/Ignition-like/Condition,
90307777,"Shurit, Stratégiste Nékroz",Unlimited(OCG)/Unlimited(TCG),EAU,[Guerrier/Effet],,,,,Niveau 3,300,1800,,,,"Si vous Invoquez Rituellement exactement 1 Monstre Rituel ""Nékroz"" avec un effet de carte qui nécessite l'utilisation de monstres, cette carte peut être utilisée pour l'ensemble de cette nécessité. Si cette carte est Sacrifiée par un effet de carte : vous pouvez ajouter 1 Monstre Rituel ""Nékroz"" Guerrier depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Shurit, Stratégiste Nékroz"" qu'une fois par tour.",Supports archetypes /Nekroz,,Adds from Deck to hand,Unclassified/Trigger/Condition,
27796375,Grand Sorcier Nékroz,Unlimited(OCG)/Unlimited(TCG),EAU,[Magicien/Effet],,,,,Niveau 4,1500,800,,,,"Si cette carte est Sacrifiée par un effet de carte : vous pouvez ajouter 1 Monstre Rituel ""Nékroz"" de Type Magicien depuis votre Deck à votre main. Si cette carte est bannie : vous pouvez envoyer 1 monstre ""Nékroz"" (""Grand Sorcier Nékroz"" exclu) depuis votre Deck au Cimetière. Vous ne pouvez utiliser qu'1 effet de ""Grand Sorcier Nékroz"" par tour, et uniquement une fois le tour.",Supports archetypes /Nekroz,,Activates if Tributed/Activates while banished/Adds from Deck to hand/Sends from your Deck to your Graveyard,Trigger/Condition,
53180020,"Exa, Exécuteur Nékroz",Unlimited(OCG)/Unlimited(TCG),EAU,[Dragon/Effet],,,,,Niveau 5,2000,1000,,,,"Si cette carte est Sacrifiée par un effet de carte : vous pouvez ajouter 1 Monstre Rituel ""Nékroz"" de Type Dragon depuis votre Deck à votre main. Si cette carte est bannie : vous pouvez cibler 1 de vos monstres ""Nékroz"" bannis (cette carte exclue) ; Invoquez Spécialement le monstre. Vous ne pouvez utiliser qu'1 effet de ""Exa, Exécuteur Nékroz"" par tour, et uniquement une fois le tour.",Supports archetypes /Nekroz,,Adds from Deck to hand,Trigger/Condition,
99185129,Nékroz de Claíomh Solais,Unlimited(OCG)/Unlimited(TCG),EAU,[Guerrier/Rituel／Effet],,,,,Niveau 3,1200,2300,,,,"Vous pouvez Invoquer Rituellement cette carte avec une Magie Rituelle ""Nékroz"". Uniquement Invocable Rituellement. Vous ne pouvez utiliser chacun de ces effets de ""Nékroz de Claíomh Solais"" qu'une fois par tour.●Vous pouvez défausser cette carte ; ajoutez 1 Magie/Piège ""Nékroz"" depuis votre Deck à votre main.●(Effet Rapide) : vous pouvez cibler 1 monstre face recto sur le Terrain qui a été Invoqué Spécialement depuis l'Extra Deck ; jusqu'à la fin de ce tour, l'ATK de la cible devient 0, et aussi, les effets de la cible sont annulés.",Supports archetypes /Nekroz,,Discards itself for cost/Adds from Deck to hand,Summon/Condition/Ignition/Quick,
26674724,Nékroz de Brionac,Unlimited(OCG)/Unlimited(TCG),EAU,[Guerrier/Rituel／Effet],,,,,Niveau 6,2300,1400,,,,"Vous pouvez Invoquer Rituellement cette carte avec une Magie Rituelle ""Nékroz"". Uniquement Invocable Rituellement, sans utiliser ""Nékroz de Brionac"". Vous ne pouvez utiliser chacun de ces effets de ""Nékroz de Brionac"" qu'une fois par tour.●Vous pouvez défausser cette carte ; ajoutez 1 monstre ""Nékroz"" (""Nékroz de Brionac"" exclu) depuis votre Deck à votre main.●Vous pouvez cibler max. 2 monstres face recto sur le Terrain qui ont été Invoqués Spécialement depuis l'Extra Deck ; mélangez-les dans le Deck.",Supports archetypes /Nekroz,,Discards itself for cost/Adds from Deck to hand/Returns from your field to your Deck/Returns from your opponent's field to your opponent's Deck/Returns from field to Extra Deck,Summon/Condition/Ignition,
52068432,Nékroz de Trishula,Unlimited(OCG)/Unlimited(TCG),EAU,[Guerrier/Rituel／Effet],,,,,Niveau 9,2700,2000,,,,"Vous pouvez Invoquer Rituellement cette carte avec une Magie Rituelle ""Nékroz"". Uniquement Invocable Rituellement, sans utiliser des monstres de Niveau 9. Vous ne pouvez utiliser chacun de ces effets de ""Nékroz de Trishula"" qu'une fois par tour.●Lorsqu'une carte ou un effet qui cible un ou plusieurs monstres ""Nékroz"" que vous contrôlez est activé (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'activation.●Lorsque cette carte est Invoquée Rituellement, vous pouvez : bannissez exactement 3 des cartes de votre adversaire, 1 depuis sa main, 1 depuis son Terrain et 1 depuis son Cimetière. (La carte dans la main est choisie au hasard.)",Supports archetypes /Nekroz,,Discards itself for cost/Activates upon Ritual Summon,Summon/Condition/Quick/Trigger,
89463537,Nékroz d'Unicore,Unlimited(OCG)/Unlimited(TCG),EAU,[Magicien/Rituel／Effet],,,,,Niveau 4,2300,1000,,,,"Vous pouvez Invoquer Rituellement cette carte avec une Magie Rituelle ""Nékroz"". Uniquement Invocable Rituellement. Vous pouvez défausser cette carte, puis ciblez 1 carte ""Nékroz"" (""Nékroz d'Unicore"" exclu) dans votre Cimetière ; ajoutez-la à votre main. Vous ne pouvez utiliser cet effet de ""Nékroz d'Unicore"" qu'une fois par tour. Annulez les effets des monstres face recto sur le Terrain qui ont été Invoqués Spécialement depuis l'Extra Deck.",Supports archetypes /Nekroz,,Discards itself for cost/Adds from Graveyard to hand,Summon/Ignition/Condition/Continuous,
52846880,Nékroz de Kalidor,Unlimited(OCG)/Unlimited(TCG),EAU,[Dragon/Rituel／Effet],,,,,Niveau 5,2200,1200,,,,"Vous pouvez Invoquer Rituellement cette carte avec une Carte Magie Rituelle ""Nékroz"". Uniquement Invocable Rituellement sans utiliser ""Nékroz de Kalidor"", et non Invocable Spécialement autrement. Vous pouvez défausser cette carte, puis ciblez 1 monstre ""Nékroz"" dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser cet effet de ""Nékroz de Kalidor"" qu'une fois par tour. Au début de la Damage Step, si un monstre ""Nékroz"" que vous contrôlez combat un monstre face recto de votre adversaire qui a été Invoqué Spécialement depuis l'Extra Deck : détruisez le monstre.",Supports archetypes /Nekroz,,Discards itself/Discards itself for cost,Summon/Ignition/Condition/Trigger,
88240999,Nékroz d'Armure Invincible,Unlimited(OCG)/Unlimited(TCG),EAU,[Dragon/Rituel／Effet],,,,,Niveau 10,3300,2300,,,,"Vous pouvez Invoquer Rituellement cette carte avec une Carte Magie Rituelle ""Nékroz"". Uniquement Invocable Rituellement sans utiliser de monstres de Niveau 10, et non Invocable Spécialement autrement. Vous ne pouvez utiliser chacun de ces effets de ""Nékroz d'Armure Invincible"" qu'une fois par tour.●Durant le tour de chaque joueur : vous pouvez défausser cette carte, puis ciblez 1 monstre ""Nékroz"" que vous contrôlez ; jusqu'à la fin de ce tour, il gagne 1000 ATK/DEF.●Vous pouvez cibler 1 carte Posée contrôlée par votre adversaire ; détruisez-la, et si vous le faites, bannissez-la.",Supports archetypes /Nekroz,,Discards itself for cost,Summon/Condition/Quick/Ignition,
