Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
48940337,Lancephorhynchus,Unlimited(OCG)/Unlimited(TCG),VENT,[Dinosaure/Pendule／Normal],,,,,Niveau 6,2500,800,,,,"Cette espèce primordiale a survécu en développant une lance offensive qui peut tout percer, et ce, malgré que son régime alimentaire qui se compose encore principalement de poisson.",Normal Monster,,,Pendulum Effect /Continuous-like,
17857780,Pompomtaupe Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Pendule／Effet],,,,,Niveau 2,600,1000,,,,"Vous pouvez cibler 1 monstre dont l'ATK actuelle est différente de son ATK d'origine ; appliquez l'effet approprié. Vous ne pouvez utiliser cet effet de ""Pompomtaupe Potartiste"" qu'une fois par tour.●Si l'ATK actuelle du monstre est supérieure à son ATK d'origine, il gagne 1000 ATK.●Si l'ATK actuelle du monstre est inférieure à son ATK d'origine, il perd 1000 ATK.",Pendulum Monster,,,Pendulum Effect /Continuous-like/Monster Effect/Ignition/Condition,
43241495,Trampolynx Potartiste,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Pendule／Effet],,,,,Niveau 2,300,300,,,,Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 carte dans la Zone Pendule d'un joueur ; renvoyez-la à la main.,,,Activates upon Pendulum Summon/Activates upon Normal Summon/Returns from field to hand,Pendulum Effect /Trigger-like/Condition/Monster Effect/Trigger,
16021142,Canon la Diva de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1400,2000,,,,"Si vous contrôlez un monstre ""Musique"", vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Canon la Diva de la Musique"" qu'une fois par tour de cette façon. Une fois par tour : vous pouvez cibler 1 monstre ""Musique"" que vous contrôlez ; changez sa position de combat.",Supports archetypes /Melodious,,Changes battle positions,Summon/Condition/Ignition,
42029847,Sérénade la Diva de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,400,1900,,,,"Cette carte peut être traitée comme 2 Sacrifices pour l'Invocation Sacrifice d'un monstre de Type Elfe. Après que cette carte est Invoquée Spécialement sur votre Terrain, vous pouvez Invoquer Normalement 1 monstre ""Musique"" durant votre Main Phase ce tour, en plus de votre Invocation Normale/Pose. (Vous ne pouvez gagner cet effet qu'une fois par tour.)",Supports archetypes /Melodious,,,Unclassified,
79514956,Élégie la Diva de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 5,2000,1200,,,,"Les monstres ""Musique"" Invoqués Spécialement que vous contrôlez ne peuvent pas être détruits par des effets de carte. Si cette carte a été Invoquée Spécialement, tous les monstres de Type Elfe que vous contrôlez gagnent 300 ATK.",Supports archetypes /Melodious,,,Continuous,
05908650,Shopina la Maestria de la Musique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 7,2300,1700,,,,Une fois par tour : vous pouvez cibler 1 monstre LUMIÈRE Elfe dans votre Cimetière ; ajoutez-le à votre main. Vous ne pouvez pas activer d'effets de monstre non-LUMIÈRE durant le tour où vous activez cet effet.,LIGHT/Fairy,,Adds from Graveyard to hand,Ignition/Condition,
31181711,Mur Bouclierâme Samouraï Supralourd,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 3,1200,1200,,,,"Vous pouvez cibler 1 monstre ""Samouraï Supralourd"" que vous contrôlez ; équipez ce monstre depuis votre main ou votre Terrain à la cible. Il gagne 1200 DEF. Lorsque le monstre équipé avec cette carte par cet effet est ciblé par une attaque : vous pouvez envoyer cette Carte d'Équipement au Cimetière ; annulez l'attaque, mais la DEF du monstre équipé devient 0.",Supports archetypes /Superheavy Samurai,,Activates from your hand/Equips self from hand/Equips self from field/Sends itself from field to Graveyard,Ignition/Continuous-like/Trigger-like,
77679716,Armure Brisâme Samouraï Supralourd,Forbidden(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 1,0,500,,,,"Vous pouvez cibler 1 monstre ""Samouraï Supralourd"" que vous contrôlez ; équipez ce monstre depuis votre main ou votre Terrain à la cible. Il perd 1000 DEF, et aussi, il ne peut pas être détruit au combat. Si cette carte est dans votre Cimetière : vous pouvez bannir tous les ""Armure Brisâme Samouraï Supralourd"" depuis votre Cimetière, puis ciblez 1 monstre ""Samouraï Supralourd"" sur le Terrain dont la DEF actuelle est inférieure à sa DEF d'origine ; infligez des dommages à votre adversaire égaux à la différence entre sa DEF actuelle et d'origine.",Supports archetypes /Superheavy Samurai,,Activates from your hand/Equips self from hand/Equips self from field/Activates from your Graveyard,Ignition/Continuous-like,
65518099,Sentinelle Qliphort,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Pendule／Normal],,,,,Niveau 5,1000,2800,,,,Démarrage en Mode Réplique...Une erreur est survenue lors de l'exécution de C:\sophia\zefra.exeÉditeur inconnu.Autoriser C:\tierra\qliphort.exe ? ...[O]Démarrage en Mode Autonomie...,Supports archetypes /Qli,,Effect that cannot be negated/Adds from Deck to hand,Pendulum Effect /Continuous-like/Condition/Ignition-like,
