Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
85914562,Rechercheuse Inflexcipateur,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Syntoniseur／Effet],,,,,Niveau 2,100,2100,,,,"Si vous contrôlez un monstre Rocher (""Rechercheuse Inflexcipateur"" exclu) : vous pouvez Invoquer Spécialement cette carte depuis votre main. Durant votre Main Phase : vous pouvez dévoiler les 5 cartes du dessus de votre Deck, et si vous le faites, vous pouvez Invoquer Spécialement 1 monstre non-Syntoniseur Rocher de max. Niveau 4 dévoilé, et aussi, placez les cartes restantes au-dessous de votre Deck dans l'ordre de votre choix. Vous ne pouvez utiliser chaque effet de ""Rechercheuse Inflexcipateur"" qu'une fois par tour.",Rock,,Activates from your hand/Excavates from the player's Deck/Places excavated cards on the bottom of the Deck,Ignition/Condition,
34614910,Cyclamen la Féé Rikka,Unlimited(OCG)/Unlimited(TCG),EAU,[Plante/Effet],,,,,Niveau 4,1800,800,,,,"Vous pouvez Sacrifier cette carte depuis votre main ou Terrain face recto, puis ciblez max. 2 monstres Plante que vous contrôlez ; jusqu'à la fin de ce tour, réduisez leur Niveau de 2. Durant la End Phase, si cette carte est dans le Cimetière parce qu'elle a été Sacrifiée et y a été envoyée ce tour : vous pouvez Invoquer Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser chaque effet de ""Cyclamen la Féé Rikka"" qu'une fois par tour.",Plant,,Activates from your hand/Tributes itself for cost/Activates from your Graveyard,Ignition/Trigger/Condition,
07407724,Érica la Féé Rikka,Unlimited(OCG)/Unlimited(TCG),EAU,[Plante/Effet],,,,,Niveau 6,2400,1000,,,,"Lorsqu'une attaque impliquant un autre monstre Plante que vous contrôlez est déclarée : vous pouvez Sacrifier cette carte depuis votre main ou Terrain face recto ; jusqu'à la fin de ce tour, le monstre que vous contrôlez gagne 1000 ATK/DEF. Si un ou plusieurs monstres Plante que vous contrôlez sont Sacrifiés, tant que cette carte est dans votre Cimetière (sauf durant la Damage Step) : vous pouvez Invoquer Spécialement cette carte en Position de Défense, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser chaque effet de ""Érica la Féé Rikka"" qu'une fois par tour.",Plant,,Activates upon attack declaration/Activates from your hand/Tributes itself for cost/Activates from your Graveyard/Activates if Tributed,Trigger/Condition,
33491462,Perce-Neige la Féé Rikka,Unlimited(OCG)/Unlimited(TCG),EAU,[Plante/Effet],,,,,Niveau 8,1200,2600,,,,"Vous pouvez Sacrifier 1 monstre Plante ; Invoquez Spécialement cette carte ainsi qu'1 autre monstre Plante depuis votre main, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres Plante exclus) le reste de ce tour. Vous pouvez cibler 1 monstre Plante que vous contrôlez ; jusqu'à la fin de ce tour, tous les monstres Plante que vous contrôlez actuellement deviennent du Niveau du monstre. Vous ne pouvez utiliser chaque effet de ""Perce-Neige la Féé Rikka"" qu'une fois par tour.",Plant,,Activates from your hand/Tributes for cost,Ignition/Condition,
60880471,Hellébore la Féé Rikka,Unlimited(OCG)/Unlimited(TCG),EAU,[Plante/Effet],,,,,Niveau 8,2600,1200,,,,"Lorsque votre adversaire active un effet de monstre qui cible un ou plusieurs monstres que vous contrôlez, tant que vous contrôlez un monstre ""Rikka"" (Effet Rapide) : vous pouvez Sacrifier cette carte depuis votre main ou Terrain face recto ; annulez l'effet. Si cette carte est dans votre Cimetière : vous pouvez Sacrifier 1 monstre Plante ; Invoquez Spécialement cette carte en Position de Défense, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser chaque effet de ""Hellébore la Féé Rikka"" qu'une fois par tour.",Supports archetypes /Rikka,,Activates from your hand/Tributes itself for cost/Activates from your Graveyard/Tributes for cost,Quick/Ignition/Condition,
33779875,Larme la Reine Rikka,Unlimited(OCG)/Unlimited(TCG),EAU,[Plante/Xyz／Effet],,,Rang 8,,,2800,2800,,2 monstres de Niveau 8,,"Vous pouvez détacher 1 Matériel de cette carte, puis ciblez 1 monstre sur le Terrain ; Sacrifiez-le. Ceci est un Effet Rapide si cette carte a un monstre Plante comme Matériel. Vous ne pouvez utiliser cet effet de ""Larme la Reine Rikka"" qu'une fois par tour. Chaque fois qu'un ou plusieurs monstres sont Sacrifiés : jusqu'à la fin de ce tour, cette carte gagne 200 ATK pour chacun d'eux.",Plant,,Tributes as an effect/Tributes opponent's monsters/Applies effects if specific Xyz Material is attached/Activates if Tributed,Ignition/Condition/Trigger,
31434645,Surnaterre Maudite,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Vous ne pouvez pas déclarer d'attaques (sauf avec des monstres Zombie). Vous ne pouvez utiliser chacun des effets suivants de ""Surnaterre Maudite"" qu'une fois par tour.●Vous pouvez payer 800 LP ; ajoutez 1 monstre ""Surnaliche"" ou 1 Magie/Piège ""Terre d'Or"" depuis votre Deck à votre main.●Si cette carte est envoyée depuis la Zone Magie & Piège au Cimetière : vous pouvez envoyer 1 monstre ""Surnaliche"" ou 1 Magie/Piège ""Terre d'Or"" depuis votre Deck au Cimetière.",Supports archetypes /Eldlich/Golden Land,,Adds from Deck to hand/Activates from your Graveyard/Sends from your Deck to your Graveyard,Continuous-like/Condition/Ignition-like/Trigger-like,
68829754,Surnalixir de l'Éveil Noir,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Invoquez Spécialement 1 monstre Zombie depuis votre main ou Deck en Position de Défense, mais si vous ne contrôlez aucun monstre ""Surnaliche"", vous ne pouvez Invoquer Spécialement que des monstres ""Surnaliche"" avec cet effet. Le reste de ce tour après la résolution de cette carte, vous ne pouvez pas Invoquer Spécialement de monstres (monstres Zombie exclus). Vous pouvez bannir cette carte depuis votre Cimetière ; Posez 1 Magie/Piège ""Terre d'Or"" directement depuis votre Deck. Vous ne pouvez utiliser qu'1 effet de ""Surnalixir de l'Éveil Noir"" par tour, et uniquement une fois le tour.",Supports archetypes /Eldlich/Golden Land,,Activates from your Graveyard/Sets from your Deck,Effect/Ignition-like/Condition,
94224458,Surnalixir de la Destinée Blanche,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Invoquez Spécialement 1 monstre Zombie depuis votre main ou Cimetière, mais si vous ne contrôlez aucun monstre ""Surnaliche"", vous ne pouvez Invoquer Spécialement que des monstres ""Surnaliche"" avec cet effet. Le reste de ce tour après la résolution de cette carte, vous ne pouvez pas Invoquer Spécialement de monstres (monstres Zombie exclus). Durant votre Main Phase : vous pouvez bannir cette carte depuis votre Cimetière ; Posez 1 Magie/Piège ""Terre d'Or"" directement depuis votre Deck. Vous ne pouvez utiliser qu'1 effet de ""Surnalixir de la Destinée Blanche"" par tour, et uniquement une fois le tour.",Supports archetypes /Eldlich/Golden Land,,Activates from your Graveyard/Sets from your Deck,Effect/Ignition-like/Condition,
20612097,Surnalixir de la Sanguine Écarlate,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Invoquez Spécialement 1 monstre Zombie depuis votre Deck ou Cimetière, mais si vous ne contrôlez aucun monstre ""Surnaliche"", vous ne pouvez Invoquer Spécialement que des monstres ""Surnaliche"" avec cet effet. Le reste de ce tour après la résolution de cette carte, vous ne pouvez pas Invoquer Spécialement de monstres (monstres Zombie exclus). Vous pouvez bannir cette carte depuis votre Cimetière ; Posez 1 Magie/Piège ""Terre d'Or"" directement depuis votre Deck. Vous ne pouvez utiliser qu'1 effet de ""Surnalixir de la Sanguine Écarlate"" par tour, et uniquement une fois le tour.",Supports archetypes /Eldlich/Golden Land,,Activates from your Graveyard/Sets from your Deck,Effect/Quick-like/Condition,
