Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
06917479,Baron Rouge Vampire,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 6,2400,1000,,,,"Une fois par tour : vous pouvez payer 1000 LP, puis ciblez 1 monstre contrôlé par votre adversaire et 1 autre monstre ""Vampire"" que vous contrôlez ; échangez le contrôle de ces monstres. À la fin de la Battle Phase, si cette carte a détruit un ou plusieurs monstres au combat : vous pouvez les Invoquer Spécialement depuis les Cimetières sur votre Terrain.",Supports archetypes /Vampire,,Changes control/Activates when it destroys a monster by battle,Ignition/Trigger,
32302078,Sheridan Vampire Dhampire,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Xyz／Effet],,,Rang 6,,,2600,1000,,2+ monstres de Niveau 6,,"Si vous utilisez un ou plusieurs monstres, avec un Niveau, dont le propriétaire est votre adversaire pour l'Invocation Xyz de cette carte, traitez-les comme Niveau 6. Une fois par tour : vous pouvez détacher 1 Matériel de cette carte, puis ciblez 1 carte contrôlée par votre adversaire ; envoyez-la au Cimetière. Une fois par tour, si une ou plusieurs Cartes Monstre sont envoyées depuis le Terrain au Cimetière de votre adversaire par un effet de carte, ou si un monstre est détruit au combat et envoyé au Cimetière de votre adversaire : vous pouvez détacher 1 Matériel de cette carte ; Invoquez Spécialement 1 de ces monstres sur votre Terrain en Position de Défense.",,,Sends from your opponent's field to your opponent's Graveyard/Activates if destroyed by battle/Activates if destroyed by card effect,Condition/Ignition/Trigger,
14212201,Vampire de l'Ombre,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 5,2000,0,,,,"Non utilisable comme Matériel pour une Invocation Xyz, sauf pour l'Invocation Xyz d'un monstre TÉNÈBRES. Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 monstre ""Vampire"" TÉNÈBRES (""Vampire de l'Ombre"" exclu) depuis votre main ou Deck, mais les monstres que vous contrôlez (le monstre Invoqué Spécialement exclu) ne peuvent pas attaquer le reste de ce tour.",Supports archetypes /Vampire,,Activates upon Normal Summon,Trigger/Condition,
38250531,Bram Chevalier Vampire Cramoisi,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Xyz／Effet],,,Rang 5,,,2500,0,,2 monstres Zombie de Niveau 5,,"Vous pouvez détacher 1 Matériel de cette carte, puis ciblez 1 monstre dans le Cimetière de votre adversaire ; Invoquez Spécialement la cible sur votre Terrain, mais seul le monstre peut attaquer le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Bram Chevalier Vampire Cramoisi"" qu'une fois par tour. Une fois par tour, durant la Standby Phase du prochain tour après que cette carte que vous contrôliez a été détruite par une carte de votre adversaire et envoyée à votre Cimetière : Invoquez Spécialement cette carte en Position de Défense.",Zombie,,Activates if destroyed by battle/Activates if destroyed by card effect/Activates from your Graveyard,Ignition/Condition/Trigger,
31467949,"Recon, Éclaireuse Mercefourrure",Unlimited(OCG)/Unlimited(TCG),VENT,[Bête/Effet],,,,,Niveau 2,1000,500,,,,"Durant votre Main Phase : vous pouvez Invoquer Spécialement 1 monstre ""Mercefourrure"" (""Recon, Éclaireuse Mercefourrure"" exclu) depuis votre main. Si un monstre ""Mercefourrure"" est Invoqué Spécialement sur votre Terrain tant que vous contrôlez ce monstre (sauf durant la Damage Step) : vous pouvez cibler 1 carte Posée sur le Terrain ; détruisez-la. Vous ne pouvez utiliser chaque effet de ""Recon, Éclaireuse Mercefourrure"" qu'une fois par tour.",Supports archetypes /Fur Hire,,Activates upon Special Summon,Ignition/Trigger/Condition,
64400161,"Fondora, la Fourtoresse Volante",Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Durant votre Draw Phase, avant de piocher : vous pouvez renoncer à votre pioche normale ce tour, et si vous le faites, ajoutez 1 monstre ""Mercefourrure"" depuis votre Deck à votre main. Si vous contrôlez min. 5 monstres ""Mercefourrure"" de noms différents : vous pouvez envoyer cette carte depuis la Zone Terrain au Cimetière ; détruisez toutes les cartes contrôlées par votre adversaire, et aussi, votre adversaire ne reçoit aucun dommage le reste de ce tour.",Supports archetypes /Fur Hire,,Replaces normal draw/Adds from Deck to hand/Sends itself from field to Graveyard for cost,Trigger-like/Ignition-like,
37890974,Entraînement Mercefourrure Toute Situation,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Si un ou plusieurs monstres ""Mercefourrure"" face recto que vous contrôlez sont détruits au combat ou par un effet de carte de l'adversaire : vous pouvez cibler 1 de ces monstres ; Invoquez Spécialement 1 monstre ""Mercefourrure"" depuis votre Deck, dont le Niveau est inférieur au Niveau d'origine de la cible. Vous ne pouvez utiliser cet effet de ""Entraînement Mercefourrure Toute Situation"" qu'une fois par tour.",Supports archetypes /Fur Hire,,Activates if destroyed by battle/Activates if destroyed by card effect,Trigger-like/Condition,
97616504,Assaut de l'Air - Mécharmure - Base Hercule,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Activez cette carte uniquement si vous ne contrôlez aucun monstre dans vos Zones Monstre Main. Le monstre équipé ne peut pas attaquer directement. Il peut faire une seconde attaque sur les monstres durant chaque Battle Phase. Si le monstre équipé détruit un monstre avec son attaque tant que vous avez min. 3 Magies dans votre Cimetière : piochez 1 carte. Si cette carte est envoyée depuis le Terrain au Cimetière par un effet de carte : vous pouvez cibler max. 3 cartes ""Assaut de l'Air"" (""Assaut de l'Air - Mécharmure - Base Hercule"" exclu) dans votre Cimetière ; mélangez-les dans le Deck.",Supports archetypes /Sky Striker,,Activates when it destroys a monster by battle/You draw cards/Activates from your Graveyard/Returns from your Graveyard to your Deck,Activation requirement/Continuous-like/Trigger-like,
50005218,Assaut de l'Air - Espace Aérien - Zone Zéro,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Vous pouvez cibler 1 autre carte que vous contrôlez ; dévoilez les 3 cartes du dessus de votre Deck, et si vous le faites, vous pouvez ajouter 1 carte ""Assaut de l'Air"" dévoilée à votre main, et aussi, mélangez les cartes restantes dans le Deck, puis, si vous avez dévoilé une carte ""Assaut de l'Air"", envoyez la carte ciblée au Cimetière. Si cette carte dans la Zone Terrain est envoyée au Cimetière par un effet de carte : vous pouvez Invoquer Spécialement 1 monstre ""Assaut de l'Air - As"" depuis votre Deck. Vous ne pouvez utiliser chaque effet de ""Assaut de l'Air - Espace Aérien - Zone Zéro"" qu'une fois par tour.",Supports archetypes /Sky Striker/Sky Striker Ace,,Excavates from the player's Deck/Adds from Deck to hand/Adds excavated cards to the hand/Shuffles excavated cards into the Deck/Sends from your field to your Graveyard/Activates from your Graveyard,Ignition-like/Trigger-like/Condition,
28985331,Chevalier Armageddon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1400,1200,,,,Lorsque cette carte est Invoquée : vous pouvez envoyer 1 monstre TÉNÈBRES depuis votre Deck au Cimetière.,DARK,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon/Sends from your Deck to your Graveyard,Trigger,
