Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
85463083,Goule Fantôruse,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 3,1100,1200,,,,"Non Invocable Normalement, sauf si vous contrôlez un monstre ""Fantôruse"". Une fois par tour : vous pouvez changer cette carte en Position de Défense face verso. Une fois par tour, durant votre Main Phase 1 : vous pouvez cibler 1 monstre ""Fantôruse"" que vous contrôlez ; jusqu'à la fin du prochain tour de votre adversaire, son ATK devient égale à la somme des ATK d'origine de tous les monstres ""Fantôruse"" actuellement sur le Terrain, mais si elle le devient, seul le monstre peut attaquer ce tour.",Supports archetypes /Ghostrick,Anti-supports archetypes /Ghostrick,Changes battle positions/Flips itself face-down,Summon/Ignition,
99902789,Chow Chow Chan,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 2,800,800,,,,"Lorsque votre adversaire active une Carte Piège Normal en réponse à la déclaration d'attaque de votre monstre ciblant un monstre de votre adversaire : vous pouvez défausser cette carte ; annulez l'activation, et si vous le faites, détruisez la carte (ceci est un Effet Rapide).",,Normal Trap Card,Activates from your hand/Discards itself for cost,Quick,
35307484,Cuillère Malicevore,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 2,100,500,,,,"Lorsqu'un monstre ""Malicevore"" de nom différent est Invoqué Normalement ou Spécialement sur votre Terrain (sauf durant la Damage Step) : vous pouvez cibler 1 monstre de Type Démon de Niveau 2 dans votre Cimetière ; Invoquez Spécialement la cible. Ses effets sont annulés. Vous ne pouvez utiliser l'effet de ""Cuillère Malicevore"" qu'une fois par tour.",Supports archetypes /Malicevorous,,,Trigger/Condition,
61791132,Fourchette Malicevore,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 2,400,400,,,,Vous pouvez envoyer 1 monstre de Type Démon (cette carte exclue) depuis votre main au Cimetière ; Invoquez Spécialement cette carte depuis votre main.,Fiend,,Sends from hand to Graveyard for cost,Ignition,
98780137,Couteau Malicevore,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 2,600,100,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre ""Malicevore"" (""Couteau Malicevore"" exclu) dans votre Cimetière ; Invoquez Spécialement la cible.",Supports archetypes /Malicevorous,,Activates upon Normal Summon,Trigger,
50457953,Dragon Mythique de l'Arbre,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dragon/Effet],,,,,Niveau 4,100,1400,,,,Une fois par tour : vous pouvez cibler 1 monstre EAU de Type Dragon que vous contrôlez ; le Niveau de cette carte devient du Niveau actuel du monstre.,WATER/Dragon,,,Ignition,
92841002,Dragon Mythique de l'Eau,Unlimited(OCG)/Unlimited(TCG),EAU,[Dragon/Effet],,,,,Niveau 8,1000,2000,,,,"Si vous contrôlez un monstre TERRE, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Dragon Mythique de l'Eau"" qu'une fois par tour de cette façon.",EARTH,,,Summon/Condition,
29330706,Dragon Protecteur Cuirassé,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,2000,2800,,,,Les Cartes d'Équipement face recto que vous contrôlez ne peuvent pas être détruites par des effets de carte. Cette carte gagne 500 ATK pour chaque Carte d'Équipement équipée à cette carte.,Equip Card,,,Continuous,
55735315,Dragon Absorption d'Âme,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet],,,,,Niveau 8,4000,0,,,,"Ni Invocable Normalement ni Posable. Uniquement Invocable Spécialement par l'effet d'un Monstre Xyz de Type Dragon en votre possession, et non Invocable Spécialement autrement. Lorsqu'elle est Invoquée Spécialement, si vos Life Points sont inférieurs à ceux de votre adversaire : cette carte gagne une ATK égale à votre déficit de Life Point actuel, et si elle le fait, votre adversaire ne reçoit pas de dommages complémentaires ce tour. Cette carte ne peut pas attaquer directement votre adversaire.",Dragon/Xyz Monster,,,Summon/Trigger/Continuous,
28118128,Bébé Raton Laveur Tantan,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Flip／Effet],,,,,Niveau 2,0,800,,,,"FLIP : Invoquez Spécialement 1 monstre de Type Bête de Niveau 2 (""Bébé Raton Laveur Tantan"" exclu) depuis votre Deck.",Beast,,,Flip,
