Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
24861088,Disque de Nebra Chronomal,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Effet],,,,,Niveau 4,1800,1500,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez ajouter 1 carte ""Chronomal"" (""Disque de Nebra Chronomal"" exclu) depuis votre Deck à votre main. Si cette carte est dans le Cimetière et que tous les monstres que vous contrôlez sont des monstres ""Chronomal"" (min. 1) : vous pouvez Invoquer Spécialement cette carte en Position de Défense. Durant le tour où vous activez cet effet, vous ne pouvez activer ni de cartes ni d'effets (cartes et effets ""Chronomal"" exclus). Vous ne pouvez utiliser qu'1 effet de ""Disque de Nebra Chronomal"" par tour, et uniquement une fois le tour.",Supports archetypes /Chronomaly,,Activates upon Normal Summon/Adds from Deck to hand/Activates from your Graveyard,Trigger/Ignition/Condition,
50260683,Numéro 36 : Château Huyuk Chronomal,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Machine/Xyz／Effet],,,Rang 4,,,2000,2500,,"2 monstres ""Chronomal"" de Niveau 4",,"Une fois par tour, durant le tour de chaque joueur : vous pouvez détacher 1 Matériel Xyz de cette carte, puis ciblez 1 monstre face recto contrôlé par votre adversaire ; jusqu'à la fin de ce tour, changez son ATK à 0. Vous pouvez Sacrifier 1 monstre ""Chronomal"", puis ciblez 1 monstre contrôlé par votre adversaire dont l'ATK actuelle est différente de son ATK d'origine ; détruisez la cible.",Supports archetypes /Chronomaly,,Tributes for cost,Quick/Ignition,
87255382,"Amphisbène, Bête Héraldique",Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Effet],,,,,Niveau 4,1700,1100,,,,"Vous pouvez défausser 1 autre monstre ""Bête Héraldique"" ; Invoquez Spécialement cette carte depuis votre main. Une fois par tour : vous pouvez défausser 1 monstre ""Bête Héraldique"" ; jusqu'à la fin de ce tour, cette carte gagne 800 ATK.",Supports archetypes /Heraldic Beast,,Discards for cost,Ignition,
23649496,Numéro 18 : Patriarche Héraldique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Psychique/Xyz／Effet],,,Rang 4,,,2200,2200,,2 monstres de Niveau 4,,"Une fois par Chaîne, si min. 2 monstres du même nom sont sur le Terrain (Effet Rapide) : vous pouvez détacher 1 Matériel de cette carte ; choisissez 1 monstre parmi ceux du même nom, et détruisez tous les autres monstres de ce nom. Votre adversaire ne peut pas Invoquer de monstres du même nom que les monstres choisis pour l'effet de cette carte. Si cette carte est envoyée au Cimetière : vous pouvez envoyer 2 monstres ""Bête Héraldique"" depuis votre Deck au Cimetière.",Supports archetypes /Heraldic Beast,,Activates from your Graveyard/Sends from your Deck to your Graveyard,Quick/Continuous/Trigger,
59048135,Augmentation Héraldique,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Aucun joueur ne peut cibler de Monstres Xyz Psychique sur le Terrain avec des Cartes Magie/Piège ou effets de Magie/Piège. Une fois par tour : vous pouvez défausser 1 monstre ""Bête Héraldique"" ; ajoutez 1 Magie/Piège ""Héraldique"" (""Augmentation Héraldique"" exclu) depuis votre Deck à votre main. Vous ne pouvez Invoquer ni Normalement ni Spécialement (Monstres Xyz Psychique et monstres ""Bête Héraldique"" exclus) le tour où vous activez cet effet (même si cette carte quitte le Terrain).",Supports archetypes /Heraldic Beast/Heraldry,,Discards for cost/Adds from Deck to hand,Continuous-like/Ignition-like/Condition,
72044448,Flot Photon de Destruction,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous contrôlez un monstre ""Yeux Galactiques"" : ciblez 1 carte sur le Terrain ; bannissez la cible. Vous ne pouvez activer cette carte que durant votre tour, sauf si vous contrôlez ""Dragon Photon aux Yeux Galactiques"".",Supports archetypes /Galaxy-Eyes,,,Activation requirement/Effect/Condition,
08038143,Transmigration Tachyon,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Si vous contrôlez un monstre ""Yeux Galactiques"" : activez en min. Maillon 2 de la Chaîne ; annulez les activations des Cartes Magie/Piège et effets de monstre de votre adversaire activés avant cette carte dans cette Chaîne, et si vous le faites, mélangez les cartes annulées sur le Terrain dans le Deck. Si vous contrôlez un monstre ""Dragon Tachyon aux Yeux Galactiques"", vous pouvez activer cette carte depuis votre main.",Supports archetypes /Galaxy-Eyes/Galaxy-Eyes Tachyon Dragon,,Returns from field to Deck,Activation requirement/Effect/Condition,
35537251,Boxeur Indomptable de l'Ombre,Unlimited(OCG)/Unlimited(TCG),FEU,[Guerrier/Effet],,,,,Niveau 4,1800,1400,,,,"Durant votre Main Phase : vous pouvez détacher 1 Matériel d'un Monstre Xyz ""Boxeur Indomptable"" que vous contrôlez, et si vous le faites, Invoquez Spécialement cette carte depuis votre main. Vous ne pouvez utiliser cet effet de ""Boxeur Indomptable de l'Ombre"" qu'une fois par tour.",Supports archetypes /Battlin' Boxer,,,Ignition/Condition,
08316565,Choc du Contre,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Durant la Battle Phase, lorsqu'une Carte Magie/Piège ou un effet de monstre est activé tant que vous contrôlez un monstre ""Boxeur Indomptable"" : annulez l'activation, et si vous le faites, détruisez la carte.",Supports archetypes /Battlin' Boxer,,,Activation requirement/Effect,
01833916,Challenger Héroïque - Mille Lames,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 4,1300,1100,,,,"Une fois par tour, si cette carte est en Position d'Attaque : vous pouvez défausser 1 carte ""Héroïque"" (""Barrière Héroïque"" et ""Explosion Héroïque"" exclus) ; Invoquez Spécialement 1 monstre ""Héroïque"" depuis votre Deck, et si vous le faites, changez cette carte en Position de Défense, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres ""Héroïque"" exclus) le reste de ce tour. Lorsque vous recevez des dommages tant que cette carte est dans votre Cimetière : vous pouvez Invoquer Spécialement cette carte en Position d'Attaque. Vous ne pouvez utiliser cet effet de ""Challenger Héroïque - Mille Lames"" qu'une fois par tour.",Supports archetypes /Heroic,,Discards for cost/Changes battle positions/Activates from your Graveyard,Ignition/Trigger/Condition,
