Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
26775203,Aile Noire - Ghibli le Vent Flamboyant,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 3,0,1600,,,,"Lorsque votre adversaire déclare une attaque directe : vous pouvez Invoquer Spécialement cette carte depuis votre main. Une fois par tour : jusqu'à la fin de ce tour, vous pouvez échanger l'ATK et la DEF d'origine de cette carte.",,,Activates from your hand/Activates upon attack declaration,Trigger/Ignition,
52869807,Aile Noire - Rafale la Bourrasque,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet],,,,,Niveau 2,900,1400,,,,"Si vous ne contrôlez aucune carte, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Si un monstre de votre adversaire attaque un monstre ""Aile Noire"" que vous contrôlez : le monstre attaquant perd 300 ATK durant la Damage Step uniquement.",Supports archetypes /Blackwing,,,Summon/Continuous,
89258906,Aile Noire - Brise le Zéphyr,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet],,,,,Niveau 3,1100,300,,,,"Si cette carte est ajoutée depuis votre Deck à votre main par un effet de carte : vous pouvez Invoquer Spécialement cette carte depuis votre main. Non utilisable comme Matériel Synchro, sauf pour l'Invocation Synchro d'un monstre ""Aile Noire"".",Supports archetypes /Blackwing,,Activates from your hand,Trigger/Condition,
51047350,Briseur de Carte,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 2,100,900,,,,"Cette carte ne peut ni être Invoquée Normalement ni être Posée. Cette carte ne peut être Invoquée Spécialement, en Position d'Attaque face recto, qu'en envoyant 1 carte depuis votre Zone Carte Magie & Piège au Cimetière.",,,Sends from field to Graveyard for cost,Summon,
88032368,Appareil de Support,Unlimited(OCG)/Unlimited(TCG),FEU,[Machine/Effet],,,,,Niveau 3,1000,500,,,,Vous pouvez Sacrifier cette carte pour sélectionner 1 monstre en Position d'Attaque face recto que vous contrôlez. Le monstre sélectionné gagne 1500 points d'ATK jusqu'à la End Phase.,,,Tributes itself for cost,Ignition,
14430063,Quaterback Archdémon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 4,1400,1600,,,,"Si vous contrôlez cette carte en Position d'Attaque face recto lorsqu'un monstre de l'adversaire déclare une attaque, infligez 500 points de dommages à votre adversaire.",,,Activates upon attack declaration,Trigger,
86197239,Mirage Enfernité,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 1,0,0,,,,"Non Invocable Spécialement depuis le Cimetière. Si vous n'avez aucune carte dans votre main : vous pouvez Sacrifier cette carte, puis ciblez 2 monstres ""Enfernité"" dans votre Cimetière ; Invoquez-les Spécialement.",Supports archetypes /Infernity,,Tributes itself for cost,Condition/Ignition,
13582837,Rechargeur Enfernité,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 1,900,0,,,,"Une fois par tour, si vous n'avez aucune carte dans votre main, vous pouvez piocher 1 carte et la révéler. Si une Carte Monstre est piochée par cet effet, infligez des dommages à votre adversaire égaux au Niveau de ce monstre x 200. Si c'est une Carte Magie ou Piège, recevez 500 points de dommages.",,,You draw cards/Shows the player's drawn cards,Ignition,
49080532,Scarabée Enfernité,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Insecte/Syntoniseur／Effet],,,,,Niveau 2,1200,0,,,,"Lorsque vous n'avez aucune carte dans votre main, vous pouvez Sacrifier cette carte pour Invoquer Spécialement jusqu'à 2 ""Scarabée Enfernité"" depuis votre Deck.",,,Tributes itself for cost,Ignition,
85475641,Vengeur Enfernité,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Syntoniseur／Effet],,,,,Niveau 1,0,0,,,,"Lorsqu'un monstre que vous contrôlez, excepté ""Vengeur Enfernité"", est détruit au combat avec un monstre de l'adversaire et envoyé au Cimetière, si vous n'avez pas de carte dans votre main, vous pouvez Invoquer Spécialement cette carte depuis votre Cimetière. Dans ce cas, le Niveau de cette carte est égal au Niveau du monstre détruit.",,,Activates from your Graveyard/Activates if destroyed by battle,Trigger,
