Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
99217226,Paladins des Liens et de l'Unité,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Synchro／Effet],,,,,Niveau 12,2900,2900,,1 Syntoniseur + 1+ monstre non-Syntoniseur avec 2500 ATK/DEF d'origine,,"Tant que cette carte Invoquée par Synchronisation est dans votre Zone Monstre, votre adversaire ne peut pas la cibler avec des effets de carte, et aussi, elle ne peut pas être détruite par des effets de carte de votre adversaire. Tant que vous avez min. 25 cartes dans votre Cimetière, cette carte Invoquée par Synchronisation gagne 100 ATK/DEF pour chaque carte sur le Terrain et dans les Cimetières. Une fois par tour, lorsqu'une Carte Magie est activée, tant que votre adversaire a min. 25 cartes dans son Cimetière (Effet Rapide) : vous pouvez annuler l'activation, et si vous le faites, détruisez la carte.",,,,Continuous/Continuous/Quick,
03598351,"Bubble Toxique, HÉROS du Mal",Unlimited(OCG)/Unlimited(TCG),EAU,[Démon/Effet],,,,,Niveau 4,800,1200,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main), mais vous ne pouvez pas Invoquer Spécialement (monstres ""HÉROS"" exclus) le reste de ce tour. Vous ne pouvez Invoquer Spécialement ""Bubble Toxique, HÉROS du Mal"" qu'une fois par tour de cette façon. Si cette carte est Invoquée Spécialement, et que vous contrôlez un Monstre Fusion qui doit être Invoqué Spécialement avec ""Fusion des Ténèbres"" : vous pouvez piocher 2 cartes. Vous ne pouvez utiliser cet effet de ""Bubble Toxique, HÉROS du Mal"" qu'une fois par tour.",Supports archetypes /HERO,,Activates from your hand/Activates upon Special Summon/You draw cards,Unclassified/Condition/Trigger/Condition,
30583090,"Prison Sans Issue, HÉROS du Mal",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Rocher/Effet],,,,,Niveau 4,1700,1100,,,,"Si vous contrôlez un Monstre Fusion qui doit être Invoqué Spécialement avec ""Fusion des Ténèbres"", vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez Invoquer Spécialement ""Prison Sans Issue, HÉROS du Mal"" qu'une fois par tour de cette façon. Vous pouvez envoyer 1 monstre ""HÉROS"" depuis votre Deck au Cimetière ; si vous Invoquez par Fusion un monstre ""HÉROS"" ce tour, cette carte face recto peut être utilisée comme substitut pour 1 Matériel dont le nom est mentionné, mais tous les autres Matériels Fusion doivent être corrects. Vous ne pouvez utiliser cet effet de ""Prison Sans Issue, HÉROS du Mal"" qu'une fois par tour.",Supports archetypes /HERO,,Activates from your hand/Sends from your Deck to your Graveyard for cost,Unclassified/Condition/Ignition/Condition,
76978105,"Cavalier de l'Enfer, HÉROS du Mal",Unlimited(OCG)/Unlimited(TCG),VENT,[Démon/Effet],,,,,Niveau 6,2100,800,,,,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 ""Fusion des Ténèbres"" depuis votre Deck ou Cimetière à votre main. Vous pouvez bannir cette carte et 4 autres monstres depuis votre Cimetière ; Posez 1 ""Super Polymérisation"" depuis votre Deck, et aussi, vous ne pouvez pas Invoquer Spécialement (monstres ""HÉROS"" exclus), mais vous pouvez Invoquer par Fusion les monstres qui doivent être Invoqués Spécialement avec ""Fusion des Ténèbres"", en utilisant les effets d'autres cartes. Ces effets durent jusqu'à la fin du tour de votre adversaire. Vous ne pouvez utiliser chaque effet de ""Cavalier de l'Enfer, HÉROS du Mal"" qu'une fois par tour.",Supports archetypes /HERO,,Activates upon Normal Summon/Activates upon Special Summon/Adds from Deck to hand/Adds from Graveyard to hand/Activates from your Graveyard/Sets from your Deck,Trigger/Ignition/Condition/Condition,
03376703,Force Arcane V - Le Pape,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1500,1500,,,,"Vous pouvez défausser cette carte ; ce tour, votre adversaire ne peut activer ni de cartes ni d'effets lorsqu'un ou plusieurs monstres ""Force Arcane"" sont Invoqués sur votre Terrain. Si cette carte est Invoquée : lancez une pièce.●Face : Invoquez Spécialement 1 monstre ""Force Arcane"" de max. Niveau 4 depuis votre Deck de nom différent des monstres que vous contrôlez et dans votre Cimetière.●Pile : Invoquez Spécialement 1 monstre ""Force Arcane"" depuis votre Deck sur le Terrain de votre adversaire.",Supports archetypes /Arcana Force,,Activates from your hand/Discards itself for cost/Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon,Ignition/Trigger,
39761418,Force Arcane XIX - Le Soleil,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet],,,,,Niveau 7,2900,2900,,,,"Si une carte qui a un effet de lancer de pièce est sur le Terrain : vous pouvez Invoquer Spécialement cette carte depuis votre main. Vous ne pouvez utiliser cet effet de ""Force Arcane XIX - Le Soleil"" qu'une fois par tour. Si cette carte est Invoquée : lancez une pièce.●Face : Posez 1 Magie depuis votre Deck qui a un effet de lancer de pièce.●Pile : Détruisez toutes les cartes dans les Zones Magie & Piège.",Coin toss,,Activates cards from your hand/Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon/Sets from your Deck,Ignition/Condition/Trigger,
38648860,"Elzette, Azamina de la Forêt Blanche",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Illusion/Effet],,,,,Niveau 2,0,0,,,,"Vous pouvez révéler cette carte dans votre main ; Invoquez Spécialement 1 monstre ""Forêt Blanche"" ou ""Azamina"" depuis votre main. Durant votre Main Phase : vous pouvez Invoquer par Fusion 1 Monstre Fusion ""Azamina"" depuis votre Extra Deck, en utilisant des monstres depuis votre main ou Terrain. Si cette carte est envoyée au Cimetière comme Matériel Synchro : vous pouvez ajouter 1 carte ""Butin du Péché"" depuis votre Deck à votre main. Vous ne pouvez utiliser chaque effet de ""Elzette, Azamina de la Forêt Blanche"" qu'une fois par tour.",Supports archetypes /White Forest/Azamina/Sinful Spoils,,Reveals itself in the hand for cost/Uses cards in the hand as Fusion Materials/Uses cards on the player's field as Fusion Materials/Activates if sent to the Graveyard/Activates if used as Synchro Material/Adds from Deck to hand,Ignition/Ignition/Trigger/Condition,
64911387,Matériacteur Zeptaile,Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Effet],,,,,Niveau 3,0,0,,,,"Si vous contrôlez une carte ""Matériacteur"" : vous pouvez Invoquer Spécialement cette carte depuis votre main. Si cette carte est Invoquée Normalement ou Spécialement, ou retournée face recto : vous pouvez ajouter 1 carte ""Matériacteur"" (""Matériacteur Zeptaile"" exclu) depuis votre Deck à votre main, puis vous pouvez soit ajouter à votre main soit Invoquer Spécialement 1 Monstre Normal de Niveau 3 depuis votre Cimetière. Vous ne pouvez utiliser chaque effet de ""Matériacteur Zeptaile"" qu'une fois par tour.",Supports archetypes /Materiactor,,Activates cards from your hand/Activates upon Normal Summon/Activates upon Special Summon/Activates upon being flipped face-up/Adds from Deck to hand/Adds from Graveyard to hand,Ignition/Trigger/Condition,
63198739,Dragon Béryl Éthérique Primite,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dragon/Effet],,,,,Niveau 4,1600,0,,,,"Si cette carte est Invoquée Normalement : vous pouvez Poser 1 Magie/Piège ""Primite"" depuis votre Deck. Vous ne pouvez utiliser chacun des effets suivants de ""Dragon Béryl Éthérique Primite"" qu'une fois par tour. Vous pouvez Sacrifier cette carte ; envoyez 1 Monstre Normal depuis votre Deck au Cimetière. Durant votre Standby Phase, si vous avez un Monstre Normal dans votre Terrain ou Cimetière : vous pouvez ajouter cette carte depuis le Cimetière à votre main.",Supports archetypes /Primite,,Activates upon Normal Summon/Sets from your Deck/Tributes itself for cost/Sends from your Deck to your Graveyard/Activates from your Graveyard/Returns itself from Graveyard to hand,Trigger/Condition/Ignition/Trigger,
99193444,"Poseidra, l'Effréné de l'Atlantide",Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 7,2800,1600,,,,"Tant que vous contrôlez un monstre (""Poseidra, l'Effréné de l'Atlantide"" exclu), les monstres de votre adversaire ne peuvent pas cibler cette carte avec une attaque. Vous ne pouvez utiliser chacun des effets suivants de ""Poseidra, l'Effréné de l'Atlantide"" qu'une fois par tour. Vous pouvez envoyer 1 autre monstre EAU depuis votre main ou Terrain face recto au Cimetière ; Invoquez Spécialement cette carte depuis votre main. Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez envoyer 1 monstre ""Atlantide"" ou ""Sirènemure"" depuis votre Deck au Cimetière, puis ciblez 1 carte contrôlée par votre adversaire ; renvoyez-la à la main.",Supports archetypes /Atlantean/Mermail,,Activates cards from your hand/Sends from hand to Graveyard for cost/Sends from field to Graveyard for cost/Activates upon Normal Summon/Activates upon Special Summon/Sends from your Deck to your Graveyard for cost/Returns from your opponent's field to your opponent's hand,Continuous/Condition/Ignition/Trigger,
