Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
71799173,Gardien de l'Ordre,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet],,,,,Niveau 8,2500,1200,,,,"Si vous contrôlez min. 2 monstres LUMIÈRE, vous pouvez Invoquer Spécialement cette carte (depuis votre main). Vous ne pouvez contrôler qu'1 ""Gardien de l'Ordre"".",LIGHT,,,Summon/Unclassified,
36625827,Servant de l'Effroi - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 3,400,700,,,,"Si cette carte est Invoquée Normalement : placez 1 Compteur Horloge sur chaque ""Prison de la Tour de l'Horloge"". Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez cibler 1 Magie/Piège que vous contrôlez ; détruisez la cible.",Clock Tower Prison,,Activates from your Graveyard,Trigger,
62892347,Force Arcane 0 - L'Arlequin,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 1,0,0,,,,"Cette carte ne peut pas être détruite au combat. Cette carte ne peut pas être changée en Position de Défense, excepté par l'effet d'une carte. Lorsque cette carte est Invoquée, lancez une pièce : ●Face : Annulez les effets de vos Cartes Magie, Piège et Monstre à Effet qui ciblent cette carte et détruisez-les. ●Pile : Annulez les effets des Cartes Magie, Piège et Monstre à Effet de votre adversaire qui ciblent cette carte et détruisez-les.",,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon,Continuous/Trigger,
08396952,Force Arcane I - Le Magicien,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1100,1100,,,,"Lorsque cette carte est Invoquée, lancez une pièce : ●Face : Lorsqu'une Carte Magie est activée, l'ATK de cette carte devient le double de son ATK d'origine jusqu'à la End Phase de ce tour. ●Pile : Lorsqu'une Carte Magie est activée, votre adversaire augmente ses Life Points de 500 points.",,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon,Trigger/Continuous,
35781051,Force Arcane III - L'Impératrice,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1300,1300,,,,"Lorsque cette carte est Invoquée, lancez une pièce : ●Face : Chaque fois que votre adversaire Invoque Normalement ou Pose un monstre, vous pouvez Invoquer Spécialement 1 monstre ""Force Arcane"" depuis votre main. ●Pile : Chaque fois que votre adversaire Invoque Normalement ou Pose un monstre, envoyez 1 carte depuis votre main au Cimetière.",Supports archetypes /Arcana Force,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon/Sends from your hand to your Graveyard,Trigger,
61175706,Force Arcane IV - L'Empereur,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1400,1400,,,,"Lorsque cette carte est Invoquée, lancez une pièce : ●Face : Tous les monstres ""Force Arcane"" que vous contrôlez gagnent 500 points d'ATK. ●Pile : Tous les monstres ""Force Arcane"" que vous contrôlez perdent 500 points d'ATK.",Supports archetypes /Arcana Force,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon,Trigger/Continuous,
97574404,Force Arcane VI - L'Amoureux,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1600,1600,,,,"Lorsque cette carte est Invoquée, lancez une pièce : ●Face : Cette carte peut être traitée comme 2 Sacrifices pour faire l'Invocation Sacrifice d'un monstre ""Force Arcane"". ●Pile : Vous ne pouvez pas Invoquer par Sacrifice les monstres ""Force Arcane"".",Supports archetypes /Arcana Force,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon,Trigger/Continuous,
34568403,Force Arcane VII - Le Chariot,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 4,1700,1700,,,,"Lorsque cette carte est Invoquée, lancez une pièce : ●Face : Si cette carte détruit un monstre de l'adversaire au combat, vous pouvez Invoquer Spécialement ce monstre sur votre Terrain. ●Pile : Votre adversaire gagne le contrôle de cette carte.",,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon/Changes control,Trigger/Continuous,
97452817,Force Arcane XVIII - La Lune,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 7,2800,2800,,,,"Lorsque cette carte est Invoquée, lancez une pièce : ●Face : Durant votre Standby Phase, vous pouvez Invoquer Spécialement 1 ""Jeton Lune"" (Type Elfe/LUMIÈRE/Niveau 1/ATK 0/DEF 0). ●Pile : Durant chacune de vos End Phases, sélectionnez 1 monstre que vous contrôlez et donnez-en le contrôle à votre adversaire.",,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon/Changes control,Trigger,
23846921,Force Arcane XXI - Le Monde,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet],,,,,Niveau 8,3100,3100,,,,"Lorsque cette carte est Invoquée, lancez une pièce : ●Face : Durant votre End Phase, vous pouvez envoyer 2 monstres que vous contrôlez au Cimetière pour passer le prochain tour de votre adversaire. ●Pile : Durant la Draw Phase de votre adversaire, ajoutez la carte du dessus de son Cimetière à sa main.",,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon/Sends from field to Graveyard for cost/Skips a turn/Adds from Graveyard to hand,Trigger,
