Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
95772051,Chevalier Noble Infâme de Laundsallyn Noir,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 5,2000,800,,,,"Vous pouvez envoyer 1 Monstre Normal LUMIÈRE face recto que vous contrôlez au Cimetière ; Invoquez Spécialement cette carte depuis votre main ou Cimetière. Vous pouvez Sacrifier 1 monstre ""Chevalier Noble"" ; ajoutez 1 carte ""Armes Nobles"" depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Chevalier Noble Infâme de Laundsallyn Noir"" qu'une fois par tour. Vous ne pouvez contrôler qu'1 ""Chevalier Noble Infâme de Laundsallyn Noir"".",Supports archetypes /Noble Arms/Noble Knight,,Sends from your field to your Graveyard/Tributes for cost/Adds from Deck to hand,Ignition/Condition/Unclassified,
61254509,Poisson Tripode,Unlimited(OCG)/Unlimited(TCG),EAU,[Poisson/Effet],,,,,Niveau 3,300,1300,,,,Lorsque cette carte est Invoquée Spécialement depuis le Cimetière : vous pouvez cibler 1 monstre de Type Poisson/Serpent de Mer/Aqua face recto sur le Terrain ; augmentez son Niveau de 1.,Fish/Sea Serpent/Aqua,,,Trigger,
34143852,Challenger Héroïque - Épée Extra,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 4,1000,1000,,,,Un Monstre Xyz qui a été Invoqué en utilisant cette carte comme Matériel Xyz gagne cet effet. ●Lorsqu'il est Invoqué par Xyz : il gagne 1000 ATK.,Xyz Monster,,Grants effect as Xyz Material/Activates upon Xyz Summon,Unclassified/Trigger,
61132951,Challenger Héroïque - Veilleur de Nuit,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet],,,,,Niveau 4,1200,300,,,,"Si cette carte attaque un monstre en Position de Défense contrôlé par votre adversaire, avant le calcul des dommages : vous pouvez détruire le monstre.",,,,Trigger,
60316373,"Aberconway, Bête Héraldique",Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Effet],,,,,Niveau 4,1800,900,,,,"Si cette carte est dans le Cimetière : vous pouvez bannir un autre ""Aberconway, Bête Héraldique"" depuis votre Cimetière pour cibler 1 monstre ""Bête Héraldique"" dans votre Cimetière ; ajoutez la cible à votre main. Vous ne pouvez utiliser l'effet de ""Aberconway, Bête Héraldique"" qu'une fois par tour.",Supports archetypes /Heraldic Beast,,Adds from Graveyard to hand/Activates from your Graveyard,Ignition,
96704018,"Faucon Berners, Bête Héraldique",Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Effet],,,,,Niveau 4,1000,1600,,,,Lorsque cette carte est Invoquée : vous pouvez faire devenir tous les monstres de min. Niveau 5 face recto que vous contrôlez actuellement Niveau 4.,,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon,Trigger,
96682430,Sirènemure Abysshilde,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 3,1300,400,,,,"Si cette carte est envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre ""Sirènemure"" (""Sirènemure Abysshilde"" exclu) depuis votre main. Vous ne pouvez utiliser l'effet de ""Sirènemure Abysshilde"" qu'une fois par tour.",Supports archetypes /Mermail,,Activates from your Graveyard,Trigger/Condition,
54359696,Stoïque de la Prophétie,Unlimited(OCG)/Unlimited(TCG),EAU,[Magicien/Effet],,,,,Niveau 1,300,200,,,,"Lorsque cette carte est envoyée au Cimetière : ajoutez 1 monstre ""Prophétie"" de Niveau 3 depuis votre Deck à votre main.",Supports archetypes /Prophecy,,Adds from Deck to hand,Trigger,
90743290,Ermite de la Prophétie,Unlimited(OCG)/Unlimited(TCG),TERRE,[Magicien/Effet],,,,,Niveau 3,1200,700,,,,"Chaque fois qu'une Carte Magie ""Livre de Magie"" est activée, augmentez le Niveau de cette carte de 2 et l'ATK de 300.",Supports archetypes /Spellbook,,,Continuous,
26732909,Justice de la Prophétie,Unlimited(OCG)/Unlimited(TCG),TERRE,[Magicien/Effet],,,,,Niveau 3,1600,800,,,,"Durant votre End Phase, si vous avez activé auparavant une Carte Magie ""Livre de Magie"" ce tour : vous pouvez bannir cette carte depuis le Terrain ; ajoutez 1 monstre LUMIÈRE ou TÉNÈBRES de Type Magicien de min. Niveau 5 et 1 Carte Magie ""Livre de Magie"" depuis votre Deck à votre main. Vous ne pouvez utiliser l'effet de ""Justice de la Prophétie"" qu'une fois par tour.",Supports archetypes /Spellbook,,Adds from Deck to hand,Trigger,
53136004,Empereur de la Prophétie,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 5,2300,2000,,,,"Vous pouvez bannir 1 monstre de Type Magicien face recto que vous contrôlez (cette carte exclue) et 1 carte ""Livre de Magie"" depuis votre Cimetière pour cibler 1 monstre face recto contrôlé par votre adversaire ; jusqu'à la End Phase, prenez le contrôle de la cible. Vous ne pouvez utiliser l'effet de ""Empereur de la Prophétie"" qu'une fois par tour. Cette carte ne peut pas attaquer durant le tour où vous activez cet effet.",Supports archetypes /Spellbook,,Changes control,Ignition,
88409165,Combattant des Abysses,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Effet],,,,,Niveau 4,1800,1300,,,,"Une fois par tour : vous pouvez défausser 1 monstre EAU au Cimetière, puis ciblez 1 monstre dans l'un des Cimetières ; renvoyez la cible au-dessus ou au-dessous du Deck.",WATER,,Discards for cost/Places cards from the player's Graveyard on the bottom of the Deck/Places cards from the player's Graveyard on the top of the Deck/Returns from your opponent's Graveyard to your opponent's Deck,Ignition,
15893860,Créateur de Bonhommes de Neige,Unlimited(OCG)/Unlimited(TCG),EAU,[Machine/Effet],,,,,Niveau 4,1600,1000,,,,"Lorsque cette carte est Invoquée : vous pouvez créer un nombre de Compteurs Glace égal aux nombres de monstres EAU que vous contrôlez, placez-les sur un ou plusieurs monstres face recto contrôlés par votre adversaire, puis, si vous avez placé min. 3 Compteurs Glace par cet effet, vous pouvez détruire 1 carte contrôlée par votre adversaire.",WATER,,Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon,Trigger,
51282878,Cultivateur Poissonborg,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Poisson/Effet],,,,,Niveau 2,200,200,,,,"Une fois, tant que cette carte est dans le Cimetière : vous pouvez envoyer la carte du dessus de votre Deck au Cimetière, puis, si c'est un monstre EAU, Invoquez Spécialement cette carte depuis le Cimetière. Vous ne pouvez utiliser cet effet de ""Cultivateur Poissonborg"" qu'une fois par tour.",WATER,,Activates from your Graveyard/Sends from the top of your Deck to your Graveyard,Ignition/Condition,
14771222,Chevalier du Littoral,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Guerrier/Effet],,,,,Niveau 4,1400,1200,,,,"Une fois par tour, si la position de combat de carte face recto sur le Terrain est changé : envoyez 1 monstre EAU depuis votre Deck au Cimetière.",WATER,,Activates if battle positions change/Sends from your Deck to your Graveyard,Trigger,
40160226,Plésion le Dragon des Mers Mécanique,Unlimited(OCG)/Unlimited(TCG),EAU,[Machine/Effet],,,,,Niveau 5,2300,1800,,,,"Si vous contrôlez un monstre de Type Serpent de Mer face recto, vous pouvez Invoquer Normalement cette carte sans Sacrifice. Une fois par tour : vous pouvez Sacrifier 1 monstre EAU pour cibler 1 carte face recto contrôlée par votre adversaire ; détruisez la cible.",Sea Serpent/WATER,,Tributes for cost,Summon/Ignition,
13959634,Moulinglacia le Seigneur Élémentaire,Unlimited(OCG)/Unlimited(TCG),EAU,[Serpent de Mer/Effet],,,,,Niveau 8,2800,2200,,,,"Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en ayant exactement 5 monstres EAU dans votre Cimetière. Si cette carte est Invoquée Spécialement : défaussez 2 cartes au hasard à votre adversaire (ou toute sa main, s'il en a moins de 2). Vous ne pouvez utiliser cet effet de ""Moulinglacia le Seigneur Élémentaire"" qu'une fois par tour. Si cette carte face recto quitte le Terrain, sautez la Battle Phase de votre prochain tour.",WATER,,Your opponent discards/Skips Battle Phase,Summon/Trigger/Condition/Unclassified,
40343749,Poussièron de Maison,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Effet],,,,,Niveau 1,0,1000,,,,"Lorsque cette carte face recto sur le Terrain est détruite par une carte de votre adversaire (au combat et elle était face recto au début de la Damage Step, ou par un effet de carte) et envoyée au Cimetière : Vous pouvez Invoquer Spécialement un nombre de votre choix de monstres ""Poussièron"" depuis votre main et/ou Deck sur le Terrain, mais vous devez Invoquer Spécialement un nombre égal de monstres sur chaque Terrain.",Supports archetypes /Duston,,,Trigger,
12836042,La Troupe Manquante,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 4,1500,1000,,,,"Si vous ne contrôlez aucun autre monstre : vous pouvez Sacrifier cette carte pour cibler 1 monstre contrôlé par votre adversaire ; jusqu'à la End Phase, prenez le contrôle de la cible. Vous ne pouvez ni Invoquer Spécialement ni mener votre Battle Phase durant le tour où vous activez cet effet.",,,Tributes itself for cost/Changes control/Cannot conduct Battle Phase,Ignition/Condition,
75620895,Acquéreur de Compétence à un Œil,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Xyz／Effet],,,Rang 4,,,2500,2600,,3 monstres de Niveau 4,,Vous pouvez détacher 1 Matériel Xyz de cette carte pour cibler 1 Monstre Xyz face recto contrôlé par votre adversaire ; le nom et l'effet d'origine de cette carte deviennent les mêmes que ceux du monstre. Cet effet ne peut être utilisé qu'une fois tant que cette carte est face recto sur le Terrain.,,Xyz Monster,,Ignition,
48009503,Champion Héroïque - Gandiva,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Xyz／Effet],,,Rang 4,,,2100,1800,,2 monstres Guerrier de Niveau 4,,"Une fois par tour, lorsqu'un ou plusieurs monstres de max. Niveau 4 sont Invoqués Spécialement sur le Terrain de votre adversaire (sauf durant la Damage Step) : vous pouvez détacher 1 Matériel de cette carte ; détruisez ces monstres Invoqués Spécialement.",Warrior,,,Trigger,
00770365,Impératrice de la Prophétie,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Xyz／Effet],,,Rang 5,,,2000,1700,,2 monstres de Type Magicien de Niveau 5,,"Cette carte gagne 300 ATK pour chaque Matériel Xyz attaché à un monstre que vous contrôlez. Une fois par tour : vous pouvez détacher 1 Matériel Xyz de cette carte ; mélangez votre Deck, puis dévoilez les 5 cartes du dessus de votre Deck, détruisez un nombre de monstres sur le Terrain inférieur ou égal au nombre de cartes ""Livre de Magie"" dévoilées, et aussi, après ça, placez les cartes dévoilées au-dessus du Deck dans l'ordre de votre choix.",Supports archetypes /Spellbook,,Changes your Deck order/Excavates from the player's Deck/Places excavated cards on the top of the Deck/Places cards from your Deck on the top of the Deck,Continuous/Ignition,
73659078,Géant Poussière de Neige,Unlimited(OCG)/Unlimited(TCG),EAU,[Bête-Guerrier/Xyz／Effet],,,Rang 4,,,2200,800,,2 monstres EAU de Niveau 4,,"Une fois par tour : vous pouvez détacher 1 Matériel Xyz de cette carte ; révélez un nombre de monstres EAU depuis votre main, et placez autant de Compteurs Glace sur des monstres face recto sur le Terrain. Les monstres non-EAU sur le Terrain perdent 200 ATK pour chaque Compteur Glace sur le Terrain.",WATER,,Reveals your hand for effect,Ignition/Continuous,
36042825,Baguette à Tir Unique,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Équipable uniquement à un monstre de Type Magicien. Il gagne 800 ATK. Si le monstre équipé attaque ou est attaqué, après le calcul des dommages : vous pouvez détruire cette carte, et si vous le faites, piochez 1 carte.",Spellcaster,,You draw cards,Condition/Continuous-like/Trigger-like,
35220244,Projection Gravitationnelle,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Équipable uniquement à un monstre de Type Machine. Une fois par tour : vous pouvez activer cet effet ; il gagne définitivement 400 ATK. (Ce gain d'ATK reste même si cette carte quitte le Terrain ou si le monstre n'est plus affecté par des effets de carte). S'il combat un monstre de votre adversaire, durant la Battle Phase uniquement, l'effet du monstre est annulé.",Machine,,,Effect/Ignition-like/Continuous-like,
61314842,Art Héraldique Avancé,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 2 monstres ""Bête Héraldique"" dans votre Cimetière ; Invoquez Spécialement les cibles. Immédiatement après la résolution de cette carte, Invoquez par Xyz 1 Monstre Xyz en utilisant uniquement ces 2 monstres.",Supports archetypes /Heraldic Beast,,,Effect/Lingering,
08719957,Écaille-Abysses de Kraken,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Équipable uniquement à un monstre ""Sirènemure"". Il gagne 400 ATK. Lorsqu'un effet de monstre qui a été activé sur le Terrain de votre adversaire est résolu, annulez l'effet, puis envoyez cette carte au Cimetière.",Supports archetypes /Mermail,,Sends itself from field to Graveyard,Condition/Continuous-like,
34103656,"Lémuria, la Cité Oubliée",Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"(Cette carte est toujours traitée comme ""Umi"".)Tous les monstres EAU gagnent 200 ATK/DEF. Une fois par tour, durant votre Main Phase : jusqu'à la fin de ce tour, vous pouvez faire gagner un nombre de Niveaux égal au nombre de monstres EAU que vous contrôlez actuellement à tous les monstres EAU que vous contrôlez actuellement.",WATER,,,Condition/Continuous-like/Ignition-like,
61592395,Livre de Magie de l'Éternité,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Ciblez 1 de vos Cartes Magie ""Livre de Magie"" bannies (""Livre de Magie de l'Éternité"" exclu) ; ajoutez la cible à votre main. Vous ne pouvez activer qu'1 ""Livre de Magie de l'Éternité"" par tour.",Supports archetypes /Spellbook,,Adds banished cards to the hand,Effect/Condition,
97997309,Livre de Magie du Destin,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Si vous contrôlez un monstre Magicien : vous pouvez bannir max. 3 Magies ""Livre de Magie"" depuis votre Cimetière ; appliquez cet effet, selon le nombre de Magies bannies pour l'activation de cette carte. Vous ne pouvez activer qu'1 ""Livre de Magie du Destin"" par tour.●1 : Renvoyez 1 Magie/Piège Posé sur le Terrain à la main.●2 : Changez 1 monstre sur le Terrain en Position de Défense face verso ou Position d'Attaque face recto.●3 : Bannissez 1 carte contrôlée par votre adversaire.",Supports archetypes /Spellbook,,Returns from field to hand/Changes battle positions,Activation requirement/Effect/Condition,
