Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
89631139,Dragon Blanc aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Normal],,,,,Niveau 8,3000,2500,,,,Ce dragon légendaire est un puissant moteur de destruction. Rares sont ceux qui ont survécu à cette terrifiante créature quasiment invincible pour en parler.,,,,,
46986414,Magicien Sombre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 7,2500,2100,,,,Mage suprême en termes d'attaque et de défense.,,,,,
74677422,Dragon Noir aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Normal],,,,,Niveau 7,2400,2000,,,,Dragon féroce à l'attaque meurtrière.,,,,,
33396948,Éxodia l'Interdit,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Effet],,,,,Niveau 3,1000,1000,,,,"Si vous avez ""Jambe Droite de l'Interdit"", ""Jambe Gauche de l'Interdit"", ""Bras Droit de l'Interdit"" et ""Bras Gauche de l'Interdit"" en plus de cette carte dans votre main, vous gagnez le Duel.",Right Leg of the Forbidden One/Left Leg of the Forbidden One/Right Arm of the Forbidden One/Left Arm of the Forbidden One,,Activates from your hand,Condition,
83965310,Plasma - HÉROS de la Destinée,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Guerrier/Effet],,,,,Niveau 8,1900,600,,,,Ni Invocable Normalement ni Posable Normalement. Uniquement Invocable Spécialement (depuis votre main) en Sacrifiant 3 monstres. Annulez les effets des monstres face recto tant que votre adversaire les contrôle. Une fois par tour : vous pouvez cibler 1 monstre contrôlé par votre adversaire ; équipez la cible à cette carte (max. 1). Gagne une ATK égale à la moitié de l'ATK d'origine du monstre qui lui est équipé par cet effet.,,,Tributes for cost/Equips monsters from the opponent's field to itself,Summon/Continuous/Ignition,
88264978,Dragon Sombre Métallique aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 10,2800,2400,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) en bannissant 1 monstre Dragon face recto que vous contrôlez. Vous ne pouvez Invoquer Spécialement ""Dragon Sombre Métallique aux Yeux Rouges"" qu'une fois par tour de cette façon. Durant votre Main Phase : vous pouvez Invoquer Spécialement 1 monstre Dragon (""Dragon Sombre Métallique aux Yeux Rouges"" exclu) depuis votre main ou Cimetière. Vous ne pouvez utiliser cet effet de ""Dragon Sombre Métallique aux Yeux Rouges"" qu'une fois par tour.",Dragon,,,Summon/Ignition,
56746202,Chimère de Ferraille,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet],,,,,Niveau 4,1700,500,,,,"Non utilisable comme Matériel Synchro, sauf pour l'Invocation Synchro d'un monstre ""Ferraille"", et tous les autres Matériels doivent être des monstres ""Ferraille"". Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 Syntoniseur ""Ferraille"" dans votre Cimetière ; Invoquez Spécialement la cible.",Supports archetypes /Scrap,,Activates upon Normal Summon,Condition/Trigger,
89399912,"Tempest, Maître Dragon des Tempêtes",Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Effet],,,,,Niveau 7,2400,2200,,,,"Vous pouvez défausser cette carte et 1 monstre VENT au Cimetière ; ajoutez 1 monstre Dragon depuis votre Deck à votre main. Vous pouvez bannir un total de 2 monstres VENT et/ou Dragon depuis votre main et/ou Cimetière ; Invoquez Spécialement cette carte depuis votre main ou Cimetière. Durant la End Phase de votre adversaire, si vous contrôlez cette carte Invoquée Spécialement : renvoyez-la à la main. Si cette carte est bannie : vous pouvez ajouter 1 monstre VENT Dragon depuis votre Deck à votre main. Vous ne pouvez utiliser qu'1 effet de ""Tempest, Maître Dragon des Tempêtes"" par tour, et uniquement une fois le tour.",WIND/Dragon,,Returns itself from field to hand/Discards itself for cost/Discards for cost/Adds from Deck to hand/Activates from your hand/Activates from your Graveyard/Activates while banished,Ignition/Trigger/Condition,
40542825,Lyna - Familier Possédé,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 4,1850,1500,,,,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main ou Deck) en envoyant 1 ""Lyna la Charmeuse de Lumière"" face recto que vous contrôlez et 1 monstre LUMIÈRE face recto que vous contrôlez au Cimetière. Lorsqu'elle est Invoquée de cette façon : vous pouvez ajouter 1 monstre Magicien avec 1500 DEF (""Lyna - Familier Possédé"" exclu) depuis votre Deck à votre main. Si cette carte Invoquée Spécialement par son propre effet attaque un monstre en Position de Défense, infligez des dommages de combat perçants.",Lyna the Light Charmer/LIGHT/Spellcaster,,Sends from field to Graveyard for cost/Adds from Deck to hand,Unclassified/Trigger/Continuous,
18940556,Tyranno Ultime-Conducteur,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dinosaure/Effet],,,,,Niveau 10,3500,3200,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 2 monstres Dinosaure depuis votre Cimetière. Une fois par tour, durant la Main Phase (Effet Rapide) : vous pouvez détruire 1 monstre dans votre main ou Terrain, et si vous le faites, changez tous les monstres face recto contrôlés par votre adversaire en Position de Défense face verso. Cette carte peut attaquer une fois tous les monstres contrôlés par votre adversaire. Au début de la Damage Step, si cette carte attaque un monstre en Position de Défense : vous pouvez infliger 1000 points de dommages à votre adversaire, et si vous le faites, envoyez le monstre en Position de Défense au Cimetière.",Dinosaur,,Flips monsters face-down/Changes battle positions/Sends from your opponent's field to your opponent's Graveyard,Summon/Quick/Continuous/Trigger,
