Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
89631139,Dragon Blanc aux Yeux Bleus,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Dragon/Normal],,,,,Niveau 8,3000,2500,,,,Ce dragon légendaire est un puissant moteur de destruction. Rares sont ceux qui ont survécu à cette terrifiante créature quasiment invincible pour en parler.,,,,,
46986414,Magicien Sombre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Magicien/Normal],,,,,Niveau 7,2500,2100,,,,Mage suprême en termes d'attaque et de défense.,,,,,
74677422,Dragon Noir aux Yeux Rouges,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Dragon/Normal],,,,,Niveau 7,2400,2000,,,,Dragon féroce à l'attaque meurtrière.,,,,,
86197239,Mirage Enfernité,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 1,0,0,,,,"Non Invocable Spécialement depuis le Cimetière. Si vous n'avez aucune carte dans votre main : vous pouvez Sacrifier cette carte, puis ciblez 2 monstres ""Enfernité"" dans votre Cimetière ; Invoquez-les Spécialement.",Supports archetypes /Infernity,,Tributes itself for cost,Condition/Ignition,
10802915,Guide des Enfers,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet],,,,,Niveau 3,1000,600,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez Invoquer Spécialement 1 monstre Démon de Niveau 3 depuis votre main ou Deck, mais annulez ses effets, et aussi, il ne peut pas être utilisé comme Matériel Synchro.",Fiend,,Activates upon Normal Summon,Trigger,
59438930,Ogre Fantôme et Lapin des Neiges,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Psychique/Syntoniseur／Effet],,,,,Niveau 3,0,1800,,,,"Lorsqu'un monstre sur le Terrain active son effet, ou lorsqu'une Magie/Piège qui est déjà face recto sur le Terrain active son effet (Effet Rapide) : vous pouvez envoyer cette carte depuis votre main ou Terrain au Cimetière ; détruisez la carte sur le Terrain. Vous ne pouvez utiliser cet effet de ""Ogre Fantôme et Lapin des Neiges"" qu'une fois par tour.",,,Sends itself from hand to Graveyard for cost/Sends itself from field to Graveyard for cost,Quick/Condition,
14558127,Floraison de Cendres et Joyeux Printemps,Unlimited(OCG)/Unlimited(TCG),FEU,[Zombie/Syntoniseur／Effet],,,,,Niveau 3,0,1800,,,,"Lorsqu'une carte ou un effet qui inclut n'importe lequel de ces effets est activé (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'effet.●Ajouter une carte depuis le Deck à la main.●Invoquer Spécialement depuis le Deck.●Envoyer une carte depuis le Deck au Cimetière.Vous ne pouvez utiliser cet effet de ""Floraison de Cendres et Joyeux Printemps"" qu'une fois par tour.",,,Activates from your hand/Discards itself for cost,Quick/Condition,
73642296,Beauté Fantôme et Manoir Hanté,Unlimited(OCG)/Unlimited(TCG),TERRE,[Zombie/Syntoniseur／Effet],,,,,Niveau 3,0,1800,,,,"Lorsqu'une carte ou un effet qui inclut n'importe lequel de ces effets est activé (Effet Rapide) : vous pouvez défausser cette carte ; annulez l'activation.●Ajouter une ou plusieurs cartes depuis le Cimetière à la main, Deck et/ou Extra Deck.●Invoquer Spécialement une ou plusieurs Cartes Monstre depuis le Cimetière.●Bannir une ou plusieurs cartes depuis le Cimetière.Vous ne pouvez utiliser cet effet de ""Beauté Fantôme et Manoir Hanté"" qu'une fois par tour.",,,Activates from your hand/Discards itself for cost,Quick/Condition,
55878038,Levianier Dragon du Chaos,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Effet],,,,,Niveau 8,3000,0,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en bannissant 3 monstres LUMIÈRE et/ou TÉNÈBRES depuis votre Cimetière. Lorsqu'elle est Invoquée de cette façon : vous pouvez activer cet effet ; appliquez l'effet suivant, selon les Attributs des monstres bannis pour l'Invocation Spéciale, et aussi, cette carte ne peut pas attaquer le reste de ce tour.●Uniquement LUMIÈRE : Invoquez Spécialement 1 monstre depuis votre Cimetière en Position de Défense.●Uniquement TÉNÈBRES : Mélangez 1 carte au hasard depuis la main de votre adversaire dans le Deck.●LUMIÈRE ainsi que TÉNÈBRES : Détruisez max. 2 cartes sur le Terrain.Vous ne pouvez utiliser cet effet de ""Levianier Dragon du Chaos"" qu'une fois par tour.",LIGHT/DARK,,Returns from your opponent's hand to your opponent's Deck,Summon/Trigger/Condition,
27204311,"Nibiru, l'Être Primitif",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Rocher/Effet],,,,,Niveau 11,3000,600,,,,"Durant la Main Phase, si votre adversaire a Invoqué Normalement ou Spécialement min. 5 monstres ce tour (Effet Rapide) : vous pouvez Sacrifier autant de monstres face recto sur le Terrain que possible, et si vous le faites, Invoquez Spécialement cette carte depuis votre main, puis Invoquez Spécialement 1 ""Jeton Être Primitif"" (Rocher/LUMIÈRE/Niveau 11/ATK ?/DEF ?) sur le Terrain de votre adversaire. (L'ATK/DEF de ce Jeton deviennent la somme des ATK/DEF d'origine des monstres Sacrifiés.) Vous ne pouvez utiliser cet effet de ""Nibiru, l'Être Primitif"" qu'une fois par tour.",,,Activates from your hand/Tributes as an effect/Tributes opponent's monsters,Quick/Condition,
