Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
93854893,"Dingirsu, l'Orcust de l'Étoile du Berger",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Xyz／Effet],,,Rang 8,,,2600,2100,,2 monstres de Niveau 8,,"Vous ne pouvez Invoquer Spécialement un ou plusieurs ""Dingirsu, l'Orcust de l'Étoile du Berger"" qu'une fois par tour. Vous pouvez aussi Invoquer par Xyz cette carte en utilisant un Monstre Lien ""Orcust"" que vous contrôlez comme Matériel. Si une ou plusieurs cartes que vous contrôlez vont être détruites au combat ou par un effet de carte, vous pouvez détacher 1 Matériel de cette carte à la place. Si cette carte est Invoquée Spécialement : vous pouvez activer 1 de ces effets ;●Envoyez 1 carte contrôlée par votre adversaire au Cimetière.●Attachez 1 de vos monstres Machine bannis à cette carte comme Matériel.",Supports archetypes /Orcust,,Activates upon Special Summon/Sends from your opponent's field to your opponent's Graveyard/Does not have effects which detach Xyz Materials for cost/Attaches your banished cards as Xyz Material,Summon/Continuous/Trigger,
35261759,Pot des Désirs,Semi-Limited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Bannissez face verso 10 cartes du dessus de votre Deck ; piochez 2 cartes. Vous ne pouvez activer qu'1 ""Pot des Désirs"" par tour.",,,You draw cards,Cost/Effect/Condition,
34471458,"Lumina, Demoiselle de Fortune",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet],,,,,Niveau 1,?,?,,,,"L'ATK et la DEF de cette carte sont égales à son Niveau x 200. Durant chacune de vos Standby Phases, augmentez le Niveau de cette carte de 1 (max 12). Lorsque cette carte est retirée du Terrain par l'effet d'une carte, vous pouvez Invoquer Spécialement 1 monstre ""Demoiselle de Fortune"" depuis votre Deck.",Supports archetypes /Fortune Lady,,Activates when it leaves the field,Continuous/Trigger,
57835716,Orcust Horreur de la Harpe,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 4,1700,1400,,,,"Vous pouvez bannir cette carte depuis votre Cimetière ; Invoquez Spécialement 1 monstre ""Orcust"" (""Orcust Horreur de la Harpe"" exclu) depuis votre Deck, et aussi, vous ne pouvez pas Invoquer Spécialement (monstres TÉNÈBRES exclus) le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Orcust Horreur de la Harpe"" qu'une fois par tour.",Supports archetypes /Orcust,,Activates from your Graveyard,Ignition/Condition,
04055337,Orcust Chevalier du Cauchemar,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet],,,,,Niveau 7,100,2000,,,,"Non destructible au combat avec un Monstre Lien. Vous pouvez bannir cette carte depuis votre Cimetière, puis ciblez 1 monstre face recto sur le Terrain ; vous ne pouvez pas Invoquer Spécialement de monstres (monstres TÉNÈBRES exclus) le reste de ce tour, et aussi, envoyez 1 monstre TÉNÈBRES Machine (""Orcust Chevalier du Cauchemar"" exclu) depuis votre Deck au Cimetière, et si vous le faites, le monstre ciblé gagne une ATK égale au Niveau du monstre envoyé au Cimetière x 100 jusqu'à la fin de ce tour. Vous ne pouvez utiliser cet effet de ""Orcust Chevalier du Cauchemar"" qu'une fois par tour.",DARK/Machine,Link Monster,Activates from your Graveyard/Sends from your Deck to your Graveyard,Continuous/Ignition/Condition,
92998610,Louve Distante,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête/Effet],,,,,Niveau 4,1700,300,,,,"Lorsque cette carte est Invoquée Normalement : vous pouvez bannir 1 monstre depuis votre main ; bannissez 1 monstre du même Type que le monstre depuis votre Deck. Si cette carte est détruite au combat, ou si cette carte en possession de son propriétaire est détruite par un effet de carte de l'adversaire : vous pouvez cibler 1 de vos monstres bannis ; ajoutez-le à votre main. Vous ne pouvez utiliser chaque effet de ""Louve Distante"" qu'une fois par tour.",,,Activates upon Normal Summon/Activates if destroyed by battle/Activates if destroyed by card effect/Adds banished cards to the hand,Trigger/Condition,
70095154,Cyber Dragon,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LIGHT,[Machine/Effect],,,,,5,2100,1600,,,,"If only your opponent controls a monster, you can Special Summon this card (from your hand).",,,,Unclassified,
13316346,Soldat Amorceur - Dynamo Redoutable,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet],,,,,Niveau 4,0,2000,,,,"Tant que vous avez un monstre ""Gadget"" face recto sur votre Terrain, cette carte gagne 2000 points d'ATK.",Supports archetypes /Gadget,,,Continuous,
29088922,"Ondine, Demoiselle de Fortune",Unlimited(OCG)/Unlimited(TCG),EAU,[Magicien/Effet],,,,,Niveau 4,?,?,,,,"L'ATK et la DEF de cette carte sont égales à son Niveau x 300. Durant chacune de vos Standby Phases, augmentez le Niveau de cette carte de 1 (max 12). Lorsque cette carte est Invoquée Spécialement lorsque vous contrôlez un monstre ""Demoiselle de Fortune"" face recto excepté ""Ondine, Demoiselle de Fortune"", piochez 2 cartes.",Supports archetypes /Fortune Lady,,You draw cards,Continuous/Trigger,
23171610,Limiter Removal,Unlimited(OCG)/Unlimited(TCG),SPELL,,,,,,,,,Quick-Play,,,"Double the ATK of all Machine monsters you currently control, until the end of this turn. During the End Phase of this turn, destroy those monsters.",Machine,,,Effect/Lingering,
22123627,Murène de Cupidité,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Mélangez 2 monstres EAU depuis votre main dans le Deck, puis piochez 3 cartes.",WATER,,Returns from your hand to your Deck/You draw cards,Effect,
49430782,Héritage du Véritable Draco,Unlimited(OCG)/Unlimited(TCG),MAGIE,,,,,,,,,,,,"Durant votre Main Phase : vous pouvez piocher un nombre de cartes égal au nombre de types de carte ""Véritable Draco"" et ""Roi Véritable"" (Monstre, Magie et Piège) envoyé depuis le Terrain au Cimetière ce tour. Durant votre Main Phase, vous pouvez : immédiatement après la résolution de cet effet, Invoquez par Sacrifice face recto 1 monstre ""Véritable Draco"" ou ""Roi Véritable"". Si cette carte est envoyée depuis la Zone Magie & Piège au Cimetière : vous pouvez cibler 1 Magie/Piège sur le Terrain ; détruisez-le. Vous ne pouvez utiliser chaque effet de ""Héritage du Véritable Draco"" qu'une fois par tour.",Supports archetypes /True Draco and True King,,You draw cards/Activates from your Graveyard,Ignition-like/Trigger-like,
13955608,"Fortin, la Forteresse Ambulante",Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Invoquez Spécialement cette carte en Position de Défense comme un Monstre à Effet (Type Machine/TERRE/Niveau 4/ATK 0/DEF 2000). (Cette carte est toujours aussi une Carte Piège.) Tant que vous contrôlez ""Gadget Vert"", ""Gadget Rouge"" et ""Gadget Jaune"", cette carte gagne 3000 ATK.",Green Gadget/Red Gadget/Yellow Gadget,,,Effect/Condition/Continuous-like,
14507213,Matériel Synchro,,PIÈGE,,,,,,,,,,,,"Sélectionnez 1 monstre face recto contrôlé par votre adversaire. Si vous Invoquez par Synchronisation ce tour, vous pouvez utiliser le monstre sélectionné en tant que Monstre-Matériel de Synchro. Vous ne pouvez pas mener votre Battle Phase le tour où vous activez cette carte.",Synchro Monster,,Cannot conduct Battle Phase/Uses the opponent's monsters as Synchro Materials,Effect/Condition,
54059040,Eisbahn,Unlimited(OCG)/Unlimited(TCG),TRAP,,,,,,,,,Continuous,,,If a non-WATER monster(s) is Normal or Special Summoned while you control a WATER monster: Change that Summoned monster to Defense Position.,WATER,,Activates upon Normal Summon/Activates upon Special Summon/Changes battle positions,Trigger-like,
35125879,Retour du Roi Véritable,Unlimited(OCG)/Unlimited(TCG),PIÈGE,,,,,,,,,,,,"Si cette carte est envoyée depuis la Zone Magie & Piège au Cimetière : vous pouvez cibler 1 monstre sur le Terrain ; détruisez-le. Vous ne pouvez pas activer les effets suivants de ""Retour du Roi Véritable"" dans la même Chaîne.●Vous pouvez cibler 1 monstre ""Véritable Draco"" ou ""Roi Véritable"" dans votre Cimetière ; Invoquez-le Spécialement en Position de Défense, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres le reste de ce tour.●Durant la Main Phase de votre adversaire, vous pouvez : immédiatement après la résolution de cet effet, Invoquez par Sacrifice face recto 1 monstre ""Véritable Draco"" ou ""Roi Véritable"".Vous ne pouvez utiliser chaque effet de ""Retour du Roi Véritable"" qu'une fois par tour.",Supports archetypes /True Draco and True King,,Activates from your Graveyard,Trigger-like/Condition/Quick-like,
