Passcode,Name,Status,Attribute,type,link,link_arrows,rank,pendulum_scale,level,attack,defense,spell_attribute,summoning_condition,pendulum_condition,card_text,card_supports,card_anti_supports,card_actions,effect_types,
48579379,Grand Moth Ultimement Parfait,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Insecte/Effet],,,,,Niveau 8,3500,3000,,,,"Ni Invocable Normalement ni Posable Normalement. Doit d'abord être Invoquée Spécialement (depuis votre main) en Sacrifiant 1 ""Petit Papillon"" pendant votre min. 6e tour après avoir été équipé avec ""Cocon d'Évolution"".",Petit Moth/Cocoon of Evolution,,Tributes for cost,Summon,
94004268,Épée Amazonesse,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Guerrier/Effet],,,,,Niveau 4,1500,1600,,,,Votre adversaire reçoit les dommages de combat que vous auriez dû recevoir de combats impliquant cette carte à la place.,,,,Continuous,
36021814,Roi des Crânes Serviteurs,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Zombie/Effet],,,,,Niveau 1,?,0,,,,"L'ATK d'origine de cette carte est la somme du nombre de ""Roi des Crânes Serviteurs"" et ""Crâne Serviteur"" dans votre Cimetière x 1000. Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez bannir 1 autre ""Roi des Crânes Serviteurs"" ou 1 ""Crâne Serviteur"" depuis votre Cimetière ; Invoquez Spécialement cette carte.",Skull Servant,,Activates from your Graveyard,Continuous/Trigger,
62337487,Baleine Forteresse,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Poisson/Rituel],,,,,Niveau 7,2350,2150,,,,"Vous pouvez Invoquer Rituellement cette carte avec ""Serment de la Baleine Forteresse"".",,,,,
51934376,Kabazauls,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),WATER,[Dinosaur/Normal],,,,,4,1700,1500,,,,A huge monster in the shape of a hippopotamus. The sneezing from his gigantic body is so fierce that people mistake it for a hurricane.,,,,,
54652250,Insecte Mangeur d'Hommes,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Insecte/Flip／Effet],,,,,Niveau 2,450,600,,,,FLIP : Ciblez 1 monstre sur le Terrain ; détruisez-le.,,,,Flip,
03643300,Le Pêcheur Légendaire,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EAU,[Guerrier/Effet],,,,,Niveau 5,1850,1600,,,,"Tant que ""Umi"" est sur le Terrain, cette carte n'est pas affectée par les effets de Magie et ne peut pas être ciblée par des attaques, mais elle n'empêche pas votre adversaire de vous attaquer directement.",Umi,,,Continuous,
36629203,"Destructeur de Noyau, Allié de la Justice",Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Machine/Effet],,,,,Niveau 3,1200,200,,,,"Au début de la Damage Step, si cette carte combat un monstre LUMIÈRE : détruisez le monstre.",,LIGHT,,Trigger,
30587695,Beetron,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),DARK,[Insect/Effect],,,,,4,1600,900,,,,"You can send 1 face-up Spell/Trap you control to the GY, then target 1 Level 4 or lower Insect monster in your GY; Special Summon that Insect monster in Defense Position. You can only use this effect of ""Beetron"" once per turn.",Insect,,Sends from field to Graveyard for cost,Ignition,
30531525,Ravissant Salon d'Essayage,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Payez 800 LP ; dévoilez les 4 cartes du dessus de votre Deck et Invoquez Spécialement tous les Monstres Normaux de max. Niveau 3 dévoilés, et aussi, après ça, mélangez les cartes restantes dans votre Deck.",Normal Monster,,Excavates from the player's Deck/Shuffles excavated cards into the Deck,Cost/Effect,
79816536,Habileté de l'Invocateur,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,Ajoutez 1 Monstre Normal de min. Niveau 5 depuis votre Deck à votre main.,Normal Monster,,Adds from Deck to hand,Effect,
73048641,À Moitié Fermé,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,,,,,,,,,,,,"Ciblez 1 monstre face recto sur le Terrain ; il ne peut pas être détruit au combat ce tour, et aussi, son ATK est divisée par deux jusqu'à la fin de ce tour.",,,,Effect,
31785398,Paré à l'Interception,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Ciblez 1 monstre Guerrier ou Magicien sur le Terrain ; changez la cible en Position de Défense face verso.,Spellcaster/Warrior,Spellcaster/Warrior,Flips monsters face-down/Changes battle positions,Effect,
62325062,Trappe d'Adhérence,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,,,,,,,,,,,,Lorsque votre adversaire Invoque un ou plusieurs monstres : divisez par deux l'ATK d'origine de ces monstres.,,,,Activation requirement/Effect,
